년도,월,나이,경상북도 영주시,경상북도 영주시 풍기읍,경상북도 영주시 이산면,경상북도 영주시 평은면,경상북도 영주시 문수면,경상북도 영주시 장수면,경상북도 영주시 안정면,경상북도 영주시 봉현면,경상북도 영주시 순흥면,경상북도 영주시 단산면,경상북도 영주시 부석면,경상북도 영주시 상망동,경상북도 영주시 하망동,경상북도 영주시 영주1동,경상북도 영주시 영주2동,경상북도 영주시 휴천1동,경상북도 영주시 휴천2동,경상북도 영주시 휴천3동,경상북도 영주시 가흥1동,경상북도 영주시 가흥2동
2020,3,총,"52,724","5,458","1,189",718,983,"1,106","1,536","1,386","1,027",979,"1,597","4,093","3,269","2,170","1,901","3,361","4,262","4,079","9,484","4,126"
2020,3,0,"3,122",232,30,11,30,31,35,39,18,19,25,260,181,75,84,245,258,243,"1,042",264
2020,3,10,"4,397",362,61,30,41,55,65,69,43,32,62,476,314,172,127,415,285,348,"1,019",421
2020,3,20,"4,130",361,77,28,63,56,88,70,48,43,71,332,262,136,139,273,433,406,874,370
2020,3,30,"4,185",363,49,27,39,44,63,59,39,27,60,303,222,139,135,292,339,321,"1,285",379
2020,3,40,"6,858",598,88,29,73,87,97,104,66,67,86,698,461,246,219,596,530,561,"1,611",641
2020,3,50,"9,035",997,216,113,156,178,260,252,188,169,288,659,551,337,336,581,852,807,"1,358",737
2020,3,60,"9,264","1,120",259,168,203,232,345,353,258,213,410,589,562,474,403,464,773,693,"1,132",613
2020,3,70,"6,589",806,191,148,172,217,286,229,193,196,310,454,438,348,287,297,489,426,713,389
2020,3,80,"4,350",511,190,138,166,164,247,176,139,186,242,251,243,214,147,175,264,234,393,270
2020,3,90,751,101,27,25,37,39,49,30,35,27,40,69,33,26,24,21,36,38,56,38
2020,3,100,43,7,1,1,3,3,1,5,0,0,3,2,2,3,0,2,3,2,1,4
2020,4,총,"52,651","5,447","1,177",717,984,"1,096","1,535","1,385","1,030",973,"1,590","4,083","3,250","2,151","1,898","3,359","4,264","4,085","9,495","4,132"
2020,4,0,"3,110",232,26,10,30,29,34,39,16,17,25,259,180,72,79,250,251,240,"1,053",268
2020,4,10,"4,369",360,56,29,42,56,65,68,42,31,60,474,309,164,126,410,285,345,"1,030",417
2020,4,20,"4,116",359,78,28,63,55,84,70,50,42,68,329,264,133,142,269,433,408,874,367
2020,4,30,"4,130",361,46,23,41,43,62,61,35,26,57,294,213,136,138,287,333,316,"1,279",379
2020,4,40,"6,840",592,87,32,72,85,95,101,66,65,82,697,456,244,214,601,528,562,"1,620",641
2020,4,50,"9,025",988,212,111,154,176,263,252,190,169,289,662,548,340,335,582,855,814,"1,349",736
2020,4,60,"9,274","1,125",260,171,205,230,344,351,262,212,407,590,564,467,401,466,781,701,"1,119",618
2020,4,70,"6,621",812,188,149,170,217,285,232,192,198,316,457,438,351,290,297,495,428,714,392
2020,4,80,"4,365",508,196,139,166,164,252,175,142,184,240,250,243,213,149,175,263,232,401,273
2020,4,90,758,103,27,24,38,38,50,31,35,29,43,68,33,28,24,20,37,37,55,38
2020,4,100,43,7,1,1,3,3,1,5,0,0,3,3,2,3,0,2,3,2,1,3
2020,5,총,"52,570","5,433","1,177",722,974,"1,097","1,533","1,379","1,027",967,"1,590","4,066","3,250","2,135","1,900","3,367","4,247","4,081","9,487","4,138"
2020,5,0,"3,089",230,26,9,28,30,36,38,16,14,24,259,177,71,77,248,249,238,"1,048",271
2020,5,10,"4,355",358,56,31,40,55,65,70,43,31,61,474,312,165,123,412,284,337,"1,028",410
2020,5,20,"4,095",356,76,29,61,56,80,68,49,38,65,323,262,128,139,273,432,413,869,378
2020,5,30,"4,114",359,48,23,38,43,63,61,36,29,58,293,212,136,139,285,327,308,"1,277",379
2020,5,40,"6,815",586,86,31,72,83,95,100,65,65,81,685,451,240,218,603,532,558,"1,627",637
2020,5,50,"8,993",980,213,114,154,175,259,249,191,170,289,667,548,336,332,578,843,814,"1,345",736
2020,5,60,"9,287","1,128",260,168,205,231,348,351,259,210,406,589,568,465,405,468,783,707,"1,117",619
2020,5,70,"6,631",812,187,151,172,218,283,234,191,195,316,452,439,350,288,300,496,431,721,395
2020,5,80,"4,381",512,195,141,165,165,253,174,141,185,243,252,245,211,153,179,261,235,399,272
2020,5,90,767,105,29,24,37,38,50,29,36,30,44,69,34,30,26,19,37,38,55,37
2020,5,100,43,7,1,1,2,3,1,5,0,0,3,3,2,3,0,2,3,2,1,4
2020,6,총,"52,430","5,419","1,168",723,973,"1,095","1,527","1,377","1,022",964,"1,585","4,037","3,243","2,128","1,886","3,361","4,248","4,070","9,475","4,129"
2020,6,0,"3,072",228,28,10,29,27,39,39,16,14,26,257,177,73,75,245,245,235,"1,039",270
2020,6,10,"4,336",357,54,31,42,55,62,70,42,29,61,464,312,163,121,415,287,335,"1,033",403
2020,6,20,"4,063",354,75,29,60,58,78,65,47,37,65,326,260,127,138,270,429,405,855,385
2020,6,30,"4,077",349,47,23,38,38,59,59,38,29,58,288,210,140,136,280,331,303,"1,274",377
2020,6,40,"6,800",587,83,32,69,85,100,102,61,64,80,678,448,239,216,604,529,559,"1,630",634
2020,6,50,"8,954",969,215,112,155,175,252,253,186,171,282,663,551,330,328,577,843,818,"1,345",729
2020,6,60,"9,326","1,137",260,167,203,231,349,349,264,210,410,591,567,467,403,468,789,711,"1,122",628
2020,6,70,"6,637",814,187,154,173,218,287,234,191,196,314,454,439,350,288,302,494,430,721,391
2020,6,80,"4,359",511,192,140,166,165,251,172,141,184,242,246,244,208,155,178,261,232,398,273
2020,6,90,762,106,26,23,36,40,49,29,36,30,44,67,33,28,26,20,37,40,56,36
2020,6,100,44,7,1,2,2,3,1,5,0,0,3,3,2,3,0,2,3,2,2,3
2020,7,총,"52,367","5,419","1,162",727,971,"1,098","1,524","1,377","1,025",962,"1,584","4,033","3,232","2,120","1,881","3,350","4,225","4,078","9,466","4,133"
2020,7,0,"3,065",228,26,9,28,26,39,38,17,13,25,254,175,76,73,253,244,231,"1,039",271
2020,7,10,"4,311",357,54,32,43,56,60,71,44,28,57,464,306,160,120,412,277,337,"1,035",398
2020,7,20,"4,046",356,71,31,57,57,80,64,48,36,69,323,259,125,136,269,426,406,843,390
2020,7,30,"4,062",342,49,23,41,41,56,60,38,29,59,288,211,138,134,272,334,301,"1,273",373
2020,7,40,"6,795",589,82,31,69,86,101,103,65,63,79,680,440,239,216,603,532,560,"1,626",631
2020,7,50,"8,938",969,216,115,153,170,249,253,184,172,283,664,557,325,319,573,835,825,"1,343",733
2020,7,60,"9,349","1,135",261,166,205,236,351,353,261,211,409,592,566,468,412,465,782,717,"1,130",629
2020,7,70,"6,628",817,184,154,169,215,286,230,192,194,314,451,443,350,291,301,497,427,718,395
2020,7,80,"4,368",510,192,141,168,168,252,173,139,186,242,247,241,208,154,180,259,232,402,274
2020,7,90,759,109,26,23,36,40,49,27,37,30,44,67,32,28,25,20,36,40,55,35
2020,7,100,46,7,1,2,2,3,1,5,0,0,3,3,2,3,1,2,3,2,2,4
2020,8,총,"52,273","5,412","1,154",724,969,"1,088","1,526","1,371","1,026",960,"1,587","4,021","3,223","2,121","1,875","3,358","4,212","4,058","9,440","4,148"
2020,8,0,"3,037",223,26,9,28,24,43,36,17,12,25,249,169,80,71,249,246,230,"1,028",272
2020,8,10,"4,292",361,52,31,43,55,61,70,43,28,58,461,307,158,118,414,273,325,"1,038",396
2020,8,20,"4,017",350,71,29,55,56,77,63,49,33,67,323,261,125,136,269,420,401,840,392
2020,8,30,"4,032",344,47,22,41,40,58,57,38,32,61,285,207,138,132,275,329,292,"1,264",370
2020,8,40,"6,790",587,78,33,68,84,101,105,65,61,79,680,443,236,214,604,527,564,"1,626",635
2020,8,50,"8,906",963,218,114,154,168,248,253,182,172,284,659,551,328,314,576,836,816,"1,337",733
2020,8,60,"9,396","1,141",257,166,207,238,350,355,265,212,409,597,570,470,418,465,783,726,"1,130",637
2020,8,70,"6,608",814,185,152,167,213,286,229,190,193,313,451,439,346,289,304,501,426,712,398
