년도,월,나이,용산구,후암동,용산2가동,남영동,청파동,원효로제1동,원효로제2동,효창동,용문동,한강로동,이촌제1동,이촌제2동,이태원제1동,이태원제2동,한남동,서빙고동,보광동
2020,1,총,"229,385","17,948","10,415","7,779","19,816","16,071","14,543","10,226","12,471","18,079","28,424","8,891","6,827","9,273","20,868","13,389","14,365"
2020,1,0,"14,127","1,052",447,232,735,"1,399","1,019",779,841,926,"2,880",578,260,462,"1,190",828,499
2020,1,10,"16,395","1,370",641,280,"1,280",882,"1,352",813,924,897,"3,010",535,309,506,"1,170","1,562",864
2020,1,20,"32,991","2,660","1,595",963,"4,052","2,460","1,894","1,586","1,813","2,773","3,030","1,026",984,"1,351","2,764","1,807","2,233"
2020,1,30,"38,086","2,860","1,825","1,047","3,121","3,652","2,130","1,871","2,043","3,587","3,835","1,546","1,086","1,702","4,037","1,558","2,186"
2020,1,40,"36,263","2,827","1,479","1,185","2,861","2,666","2,413","1,585","1,941","2,567","5,121","1,254",917,"1,389","3,363","2,534","2,161"
2020,1,50,"36,595","2,928","1,528","1,691","3,099","2,153","2,368","1,558","2,004","3,011","4,411","1,424","1,129","1,301","3,216","2,245","2,529"
2020,1,60,"27,599","2,175","1,435","1,320","2,328","1,553","1,702","1,006","1,508","2,234","2,850","1,310","1,041","1,186","2,633","1,357","1,961"
2020,1,70,"17,192","1,322",935,691,"1,568",841,"1,053",642,944,"1,313","1,889",771,645,872,"1,638",804,"1,264"
2020,1,80,"8,246",590,431,277,637,376,524,321,372,596,"1,137",373,365,414,675,605,553
2020,1,90,"1,534",135,79,60,102,72,75,52,68,132,226,60,70,76,150,83,94
2020,1,100,357,29,20,33,33,17,13,13,13,43,35,14,21,14,32,6,21
2020,2,총,"229,677","17,914","10,380","7,748","19,890","16,125","14,461","10,255","12,455","18,154","28,552","8,871","6,829","9,288","21,062","13,372","14,321"
2020,2,0,"14,093","1,048",438,232,736,"1,397","1,001",786,822,922,"2,908",571,259,462,"1,188",832,491
2020,2,10,"16,314","1,356",628,273,"1,279",896,"1,339",806,901,901,"3,022",534,311,507,"1,186","1,537",838
2020,2,20,"33,036","2,629","1,588",952,"4,077","2,438","1,878","1,594","1,840","2,796","3,038","1,032",967,"1,344","2,795","1,821","2,247"
2020,2,30,"38,197","2,849","1,822","1,049","3,165","3,679","2,132","1,879","2,043","3,607","3,849","1,533","1,097","1,709","4,054","1,548","2,182"
2020,2,40,"36,233","2,839","1,470","1,165","2,850","2,675","2,398","1,591","1,924","2,575","5,129","1,249",914,"1,402","3,395","2,527","2,130"
2020,2,50,"36,688","2,929","1,536","1,681","3,116","2,166","2,347","1,557","2,003","3,028","4,420","1,420","1,137","1,294","3,263","2,246","2,545"
2020,2,60,"27,716","2,181","1,436","1,332","2,323","1,563","1,699","1,013","1,519","2,225","2,896","1,308","1,041","1,190","2,674","1,357","1,959"
2020,2,70,"17,207","1,329",929,689,"1,557",845,"1,055",640,950,"1,319","1,889",778,646,872,"1,641",809,"1,259"
2020,2,80,"8,276",594,431,279,648,376,524,322,370,606,"1,137",370,365,416,681,606,551
2020,2,90,"1,555",131,80,63,106,73,75,54,70,132,228,62,70,78,152,83,98
2020,2,100,362,29,22,33,33,17,13,13,13,43,36,14,22,14,33,6,21
2020,3,총,"229,579","17,820","10,362","7,779","19,905","16,098","14,422","10,236","12,413","18,219","28,563","8,823","6,844","9,287","21,137","13,386","14,285"
2020,3,0,"14,054","1,032",437,234,732,"1,399",989,781,811,933,"2,894",573,263,460,"1,197",833,486
2020,3,10,"16,219","1,341",623,273,"1,263",887,"1,330",803,887,911,"3,009",528,305,509,"1,181","1,540",829
2020,3,20,"33,128","2,602","1,586",957,"4,106","2,431","1,899","1,587","1,865","2,820","3,037","1,027",983,"1,344","2,822","1,831","2,231"
2020,3,30,"38,146","2,830","1,816","1,053","3,187","3,668","2,117","1,868","2,033","3,625","3,842","1,512","1,107","1,714","4,057","1,542","2,175"
2020,3,40,"36,126","2,819","1,472","1,171","2,832","2,661","2,387","1,581","1,897","2,564","5,104","1,252",916,"1,392","3,396","2,548","2,134"
2020,3,50,"36,659","2,926","1,524","1,698","3,107","2,160","2,342","1,559","2,001","3,041","4,452","1,408","1,130","1,296","3,278","2,216","2,521"
2020,3,60,"27,808","2,197","1,442","1,329","2,332","1,582","1,689","1,021","1,518","2,203","2,924","1,299","1,048","1,189","2,689","1,371","1,975"
2020,3,70,"17,196","1,325",924,691,"1,557",845,"1,055",640,946,"1,338","1,882",776,631,875,"1,640",810,"1,261"
2020,3,80,"8,309",586,437,277,650,370,526,328,373,609,"1,151",373,369,416,688,604,552
2020,3,90,"1,571",133,79,63,105,77,75,55,69,133,233,61,70,78,156,85,99
2020,3,100,363,29,22,33,34,18,13,13,13,42,35,14,22,14,33,6,22
2020,4,총,"229,369","17,831","10,311","7,770","19,881","16,071","14,365","10,270","12,404","18,243","28,539","8,814","6,849","9,254","21,120","13,348","14,299"
2020,4,0,"14,009","1,033",429,222,738,"1,382",980,790,805,942,"2,900",567,255,448,"1,208",829,481
2020,4,10,"16,102","1,344",611,268,"1,238",880,"1,314",803,879,900,"2,989",529,307,512,"1,168","1,543",817
2020,4,20,"33,169","2,598","1,581",963,"4,145","2,413","1,888","1,598","1,870","2,836","3,028","1,013",995,"1,345","2,819","1,819","2,258"
2020,4,30,"38,064","2,837","1,812","1,042","3,159","3,671","2,112","1,865","2,043","3,635","3,835","1,522","1,102","1,694","4,042","1,529","2,164"
2020,4,40,"36,042","2,807","1,459","1,166","2,832","2,658","2,377","1,598","1,885","2,553","5,074","1,246",913,"1,407","3,393","2,539","2,135"
2020,4,50,"36,669","2,944","1,508","1,715","3,100","2,166","2,333","1,557","1,996","3,034","4,481","1,409","1,126","1,283","3,270","2,216","2,531"
2020,4,60,"27,863","2,194","1,443","1,333","2,330","1,600","1,692","1,025","1,514","2,218","2,928","1,301","1,056","1,186","2,693","1,369","1,981"
2020,4,70,"17,178","1,331",926,689,"1,542",843,"1,045",637,952,"1,340","1,876",781,634,867,"1,646",809,"1,260"
2020,4,80,"8,336",582,439,276,657,363,537,329,377,606,"1,159",371,370,420,693,604,553
2020,4,90,"1,572",132,81,63,106,76,74,55,70,137,233,61,69,78,155,85,97
2020,4,100,365,29,22,33,34,19,13,13,13,42,36,14,22,14,33,6,22
2020,5,총,"229,393","17,804","10,285","7,758","19,874","16,091","14,336","10,284","12,391","18,294","28,537","8,820","6,868","9,272","21,123","13,353","14,303"
2020,5,0,"13,968","1,022",418,226,739,"1,385",973,794,807,939,"2,893",571,255,444,"1,201",827,474
2020,5,10,"16,011","1,332",602,269,"1,231",878,"1,303",805,869,908,"2,983",528,301,512,"1,151","1,530",809
2020,5,20,"33,190","2,595","1,584",957,"4,143","2,418","1,887","1,600","1,857","2,831","3,032","1,004","1,016","1,367","2,813","1,821","2,265"
2020,5,30,"38,129","2,846","1,799","1,037","3,153","3,699","2,087","1,856","2,056","3,652","3,834","1,525","1,111","1,692","4,078","1,536","2,168"
2020,5,40,"35,958","2,781","1,458","1,159","2,819","2,640","2,379","1,597","1,875","2,576","5,060","1,245",919,"1,411","3,380","2,535","2,124"
2020,5,50,"36,700","2,951","1,486","1,716","3,108","2,174","2,336","1,569","1,989","3,032","4,494","1,406","1,118","1,282","3,277","2,219","2,543"
2020,5,60,"27,919","2,195","1,457","1,328","2,338","1,599","1,697","1,019","1,526","2,221","2,937","1,309","1,057","1,182","2,690","1,379","1,985"
2020,5,70,"17,205","1,332",932,690,"1,546",843,"1,052",643,956,"1,343","1,872",782,629,863,"1,653",811,"1,258"
2020,5,80,"8,381",588,444,278,661,359,537,331,377,617,"1,167",374,369,427,691,601,560
2020,5,90,"1,567",133,83,65,102,77,72,57,66,133,230,61,71,78,156,88,95
2020,5,100,365,29,22,33,34,19,13,13,13,42,35,15,22,14,33,6,22
2020,6,총,"229,431","17,807","10,247","7,736","19,917","16,140","14,338","10,259","12,380","18,321","28,486","8,793","6,899","9,283","21,183","13,349","14,293"
2020,6,0,"13,911","1,033",414,221,731,"1,392",961,788,804,933,"2,865",566,255,449,"1,219",811,469
2020,6,10,"15,964","1,321",593,264,"1,222",872,"1,304",795,874,911,"2,976",512,303,516,"1,157","1,535",809
2020,6,20,"33,267","2,604","1,577",970,"4,185","2,431","1,896","1,604","1,848","2,836","3,027","1,014","1,024","1,378","2,798","1,812","2,263"
2020,6,30,"38,124","2,841","1,795","1,041","3,175","3,706","2,088","1,853","2,053","3,668","3,808","1,520","1,117","1,682","4,089","1,530","2,158"
2020,6,40,"35,934","2,779","1,439","1,142","2,808","2,643","2,377","1,582","1,878","2,583","5,062","1,236",917,"1,415","3,415","2,538","2,120"
2020,6,50,"36,658","2,932","1,487","1,692","3,097","2,193","2,335","1,569","1,991","3,033","4,498","1,405","1,127","1,284","3,258","2,218","2,539"
2020,6,60,"28,050","2,206","1,459","1,330","2,355","1,613","1,706","1,025","1,524","2,233","2,941","1,319","1,056","1,181","2,717","1,395","1,990"
2020,6,70,"17,202","1,345",927,700,"1,549",837,"1,047",643,955,"1,335","1,871",776,635,861,"1,643",815,"1,263"
2020,6,80,"8,376",585,448,279,659,358,538,330,372,610,"1,175",370,370,421,696,601,564
2020,6,90,"1,582",132,86,65,102,77,73,57,67,137,229,60,73,82,158,88,96
2020,6,100,363,29,22,32,34,18,13,13,14,42,34,15,22,14,33,6,22
2020,7,총,"229,432","17,810","10,231","7,733","19,948","16,131","14,378","10,247","12,369","18,347","28,402","8,753","6,921","9,290","21,275","13,280","14,317"
2020,7,0,"13,858","1,032",412,215,721,"1,386",962,790,803,942,"2,836",569,251,442,"1,235",793,469
2020,7,10,"15,897","1,316",591,261,"1,225",862,"1,301",790,864,908,"2,969",503,302,511,"1,162","1,524",808
2020,7,20,"33,262","2,591","1,575",975,"4,221","2,434","1,889","1,601","1,850","2,808","3,023",991,"1,038","1,391","2,811","1,813","2,251"
2020,7,30,"38,096","2,844","1,786","1,036","3,168","3,679","2,117","1,850","2,046","3,687","3,778","1,526","1,126","1,693","4,075","1,520","2,165"
2020,7,40,"35,883","2,781","1,451","1,128","2,810","2,661","2,362","1,588","1,882","2,587","5,021","1,231",907,"1,399","3,436","2,509","2,130"
2020,7,50,"36,668","2,927","1,473","1,692","3,088","2,184","2,360","1,564","1,989","3,026","4,523","1,388","1,133","1,291","3,273","2,220","2,537"
2020,7,60,"28,167","2,214","1,456","1,345","2,367","1,629","1,708","1,026","1,519","2,252","2,942","1,316","1,064","1,184","2,744","1,398","2,003"
2020,7,70,"17,244","1,356",931,704,"1,552",839,"1,054",639,956,"1,346","1,868",782,633,863,"1,640",810,"1,271"
2020,7,80,"8,396",586,444,279,658,361,539,329,378,611,"1,178",371,371,420,705,602,564
2020,7,90,"1,596",134,90,66,104,78,73,57,68,137,230,61,74,82,160,85,97
2020,7,100,365,29,22,32,34,18,13,13,14,43,34,15,22,14,34,6,22
2020,8,총,"229,362","17,818","10,173","7,713","19,921","16,126","14,366","10,254","12,365","18,499","28,334","8,770","6,925","9,262","21,265","13,309","14,262"
2020,8,0,"13,754","1,020",399,206,714,"1,376",951,788,790,952,"2,806",567,251,437,"1,235",795,467
2020,8,10,"15,854","1,317",580,268,"1,215",861,"1,301",783,861,914,"2,955",506,297,504,"1,165","1,526",801
2020,8,20,"33,229","2,583","1,569",960,"4,231","2,452","1,881","1,599","1,860","2,826","3,008",996,"1,023","1,381","2,805","1,822","2,233"
2020,8,30,"38,043","2,852","1,780","1,044","3,152","3,658","2,112","1,846","2,032","3,728","3,745","1,519","1,149","1,696","4,049","1,509","2,172"
2020,8,40,"35,864","2,791","1,436","1,129","2,801","2,649","2,363","1,597","1,886","2,603","5,020","1,232",911,"1,392","3,439","2,506","2,109"
2020,8,50,"36,702","2,926","1,469","1,673","3,100","2,192","2,355","1,572","1,992","3,055","4,542","1,405","1,123","1,283","3,265","2,234","2,516"
2020,8,60,"28,281","2,221","1,447","1,350","2,364","1,637","1,722","1,025","1,520","2,277","2,961","1,320","1,073","1,189","2,761","1,401","2,013"
2020,8,70,"17,248","1,357",934,706,"1,548",843,"1,057",643,962,"1,341","1,857",779,630,860,"1,641",815,"1,275"
2020,8,80,"8,420",586,445,278,658,363,538,334,380,625,"1,172",371,368,421,715,609,557
2020,8,90,"1,599",135,91,67,104,77,72,53,69,135,234,61,78,85,155,86,97
2020,8,100,368,30,23,32,34,18,14,14,13,43,34,14,22,14,35,6,22
2020,9,총,"229,786","17,757","10,111","7,699","19,889","16,072","14,346","10,251","12,314","19,271","28,300","8,764","6,935","9,256","21,290","13,248","14,283"
2020,9,0,"13,686",999,385,201,698,"1,355",951,775,778,"1,017","2,796",561,249,434,"1,231",794,462
2020,9,10,"15,862","1,310",569,266,"1,204",874,"1,287",785,849,956,"2,948",511,299,499,"1,174","1,509",822
2020,9,20,"33,313","2,580","1,562",966,"4,241","2,432","1,884","1,601","1,851","2,942","3,012",980,"1,026","1,389","2,819","1,810","2,218"
2020,9,30,"38,070","2,849","1,771","1,051","3,144","3,650","2,112","1,860","2,023","3,876","3,695","1,516","1,150","1,670","4,030","1,508","2,165"
2020,9,40,"35,840","2,793","1,422","1,118","2,779","2,629","2,348","1,584","1,868","2,705","5,004","1,236",903,"1,397","3,428","2,498","2,128"
2020,9,50,"36,870","2,898","1,458","1,651","3,102","2,198","2,349","1,573","1,995","3,223","4,575","1,402","1,130","1,300","3,278","2,219","2,519"
2020,9,60,"28,456","2,220","1,452","1,353","2,375","1,637","1,731","1,033","1,523","2,369","2,972","1,331","1,071","1,192","2,774","1,399","2,024"
2020,9,70,"17,255","1,350",933,709,"1,537",841,"1,058",641,963,"1,371","1,854",779,639,854,"1,644",815,"1,267"
2020,9,80,"8,452",594,449,283,669,363,538,328,383,633,"1,173",370,368,423,718,604,556
2020,9,90,"1,615",134,88,69,106,75,74,56,68,137,237,64,78,84,159,86,100
2020,9,100,367,30,22,32,34,18,14,15,13,42,34,14,22,14,35,6,22
2020,10,총,"230,044","17,737","10,070","7,673","19,846","16,064","14,265","10,238","12,301","19,941","28,283","8,740","6,958","9,231","21,249","13,192","14,256"
2020,10,0,"13,621",976,379,197,686,"1,335",944,775,774,"1,078","2,782",555,251,425,"1,218",785,461
2020,10,10,"15,785","1,300",562,267,"1,183",862,"1,272",776,843,993,"2,948",515,290,495,"1,172","1,494",813
2020,10,20,"33,363","2,589","1,534",955,"4,236","2,437","1,879","1,593","1,843","3,052","3,021",977,"1,040","1,393","2,802","1,797","2,215"
2020,10,30,"38,116","2,847","1,774","1,051","3,139","3,683","2,088","1,868","2,023","3,953","3,684","1,487","1,154","1,651","4,043","1,500","2,171"
2020,10,40,"35,799","2,796","1,412","1,113","2,763","2,614","2,332","1,576","1,858","2,805","4,979","1,243",893,"1,415","3,409","2,483","2,108"
2020,10,50,"36,995","2,883","1,463","1,641","3,107","2,208","2,348","1,572","1,985","3,372","4,587","1,400","1,136","1,294","3,280","2,217","2,502"
2020,10,60,"28,621","2,237","1,458","1,364","2,376","1,628","1,720","1,049","1,533","2,459","2,976","1,338","1,078","1,191","2,777","1,408","2,029"
2020,10,70,"17,257","1,348",927,699,"1,544",839,"1,055",635,969,"1,406","1,848",777,645,848,"1,633",814,"1,270"
2020,10,80,"8,500",600,452,286,673,368,540,323,389,643,"1,188",368,368,420,718,601,563
2020,10,90,"1,620",132,87,68,105,72,73,57,71,138,236,66,81,85,161,87,101
2020,10,100,367,29,22,32,34,18,14,14,13,42,34,14,22,14,36,6,23
2020,11,총,"230,151","17,697","10,036","7,642","19,861","16,069","14,239","10,243","12,311","20,288","28,183","8,747","6,960","9,254","21,185","13,218","14,218"
2020,11,0,"13,570",965,371,195,679,"1,320",936,778,772,"1,108","2,762",563,244,438,"1,193",783,463
2020,11,10,"15,705","1,279",549,264,"1,187",874,"1,275",771,846,992,"2,931",514,288,488,"1,162","1,493",792
2020,11,20,"33,428","2,590","1,554",965,"4,240","2,436","1,868","1,585","1,840","3,114","3,008",973,"1,046","1,400","2,788","1,795","2,226"
2020,11,30,"38,103","2,832","1,769","1,043","3,132","3,690","2,078","1,878","2,026","4,015","3,671","1,472","1,153","1,653","4,026","1,518","2,147"
2020,11,40,"35,740","2,790","1,397","1,096","2,766","2,633","2,308","1,569","1,854","2,848","4,939","1,254",891,"1,420","3,394","2,480","2,101"
2020,11,50,"37,057","2,866","1,457","1,627","3,124","2,192","2,360","1,576","1,985","3,444","4,585","1,405","1,146","1,293","3,281","2,220","2,496"
2020,11,60,"28,754","2,267","1,450","1,366","2,378","1,629","1,726","1,051","1,545","2,509","2,986","1,341","1,075","1,195","2,782","1,421","2,033"
2020,11,70,"17,248","1,344",924,696,"1,533",843,"1,060",638,969,"1,418","1,835",778,640,849,"1,633",813,"1,275"
2020,11,80,"8,544",601,455,286,680,364,542,323,390,654,"1,197",367,373,419,728,603,562
2020,11,90,"1,632",132,88,72,108,69,72,60,71,143,236,66,82,84,163,86,100
2020,11,100,370,31,22,32,34,19,14,14,13,43,33,14,22,15,35,6,23
2020,12,총,"230,040","17,696","9,972","7,623","19,829","16,089","14,202","10,205","12,327","20,444","28,139","8,727","6,923","9,285","21,176","13,187","14,216"
2020,12,0,"13,496",965,364,190,665,"1,318",941,768,766,"1,122","2,734",563,237,432,"1,178",787,466
2020,12,10,"15,609","1,272",534,262,"1,175",868,"1,258",767,843,997,"2,918",514,282,494,"1,162","1,471",792
2020,12,20,"33,485","2,597","1,557",960,"4,244","2,458","1,856","1,575","1,856","3,138","3,002",965,"1,054","1,409","2,784","1,802","2,228"
2020,12,30,"38,069","2,830","1,736","1,041","3,113","3,695","2,074","1,859","2,023","4,043","3,663","1,470","1,150","1,656","4,038","1,522","2,156"
2020,12,40,"35,698","2,803","1,391","1,099","2,757","2,628","2,306","1,570","1,863","2,867","4,914","1,257",880,"1,421","3,379","2,468","2,095"
2020,12,50,"37,070","2,867","1,454","1,625","3,133","2,209","2,348","1,566","1,975","3,464","4,593","1,406","1,131","1,300","3,291","2,219","2,489"
2020,12,60,"28,840","2,259","1,451","1,368","2,387","1,619","1,733","1,061","1,552","2,544","3,005","1,337","1,077","1,208","2,781","1,418","2,040"
2020,12,70,"17,203","1,340",923,689,"1,526",842,"1,056",638,972,"1,422","1,839",770,638,841,"1,639",806,"1,262"
2020,12,80,"8,572",603,452,286,687,363,545,327,393,662,"1,198",367,370,424,727,602,566
2020,12,90,"1,627",129,88,72,108,70,71,60,71,142,240,64,80,85,162,86,99
2020,12,100,371,31,22,31,34,19,14,14,13,43,33,14,24,15,35,6,23
2021,1,총,"230,045","17,671","9,951","7,648","19,761","16,108","14,158","10,253","12,315","20,533","28,090","8,710","6,951","9,288","21,196","13,213","14,199"
2021,1,0,"13,411",946,356,188,661,"1,313",926,781,764,"1,126","2,718",560,238,428,"1,164",788,454
2021,1,10,"15,563","1,265",530,259,"1,169",874,"1,253",755,825,993,"2,914",510,277,489,"1,174","1,479",797
2021,1,20,"33,405","2,596","1,546",968,"4,181","2,461","1,862","1,595","1,845","3,163","2,981",949,"1,050","1,408","2,778","1,809","2,213"
2021,1,30,"38,098","2,816","1,732","1,044","3,124","3,706","2,055","1,874","2,019","4,058","3,624","1,465","1,175","1,675","4,052","1,513","2,166"
2021,1,40,"35,612","2,789","1,387","1,106","2,741","2,609","2,292","1,577","1,861","2,867","4,907","1,251",884,"1,414","3,378","2,460","2,089"
2021,1,50,"37,106","2,876","1,444","1,620","3,129","2,230","2,353","1,571","1,983","3,478","4,586","1,407","1,128","1,307","3,275","2,233","2,486"
2021,1,60,"28,959","2,264","1,461","1,377","2,391","1,626","1,725","1,060","1,548","2,570","3,033","1,344","1,081","1,204","2,796","1,435","2,044"
2021,1,70,"17,249","1,356",930,692,"1,528",843,"1,055",639,985,"1,417","1,838",776,646,840,"1,647",800,"1,257"
2021,1,80,"8,637",602,454,289,694,358,552,328,398,675,"1,216",369,369,425,731,604,573
2021,1,90,"1,631",129,89,72,109,69,71,59,74,143,239,65,79,84,165,86,98
2021,1,100,374,32,22,33,34,19,14,14,13,43,34,14,24,14,36,6,22
2021,2,총,"230,113","17,647","9,925","7,650","19,748","16,136","14,173","10,237","12,282","20,939","28,096","8,696","6,937","9,257","21,107","13,149","14,134"
2021,2,0,"13,335",931,349,186,662,"1,311",924,761,744,"1,140","2,723",554,229,428,"1,154",791,448
2021,2,10,"15,488","1,262",525,258,"1,158",868,"1,246",750,822,"1,008","2,905",514,275,484,"1,165","1,464",784
2021,2,20,"33,441","2,588","1,532",948,"4,185","2,481","1,876","1,584","1,842","3,329","2,955",937,"1,060","1,394","2,758","1,783","2,189"
2021,2,30,"38,137","2,795","1,739","1,051","3,128","3,703","2,078","1,879","2,006","4,225","3,614","1,449","1,159","1,667","3,990","1,499","2,155"
2021,2,40,"35,623","2,784","1,374","1,097","2,736","2,613","2,298","1,574","1,845","2,908","4,915","1,256",888,"1,415","3,392","2,456","2,072"
2021,2,50,"37,072","2,873","1,438","1,641","3,128","2,225","2,350","1,577","1,986","3,479","4,577","1,416","1,122","1,300","3,268","2,212","2,480"
2021,2,60,"29,118","2,284","1,469","1,380","2,397","1,637","1,731","1,062","1,558","2,581","3,064","1,348","1,089","1,209","2,806","1,449","2,054"
2021,2,70,"17,185","1,364",929,688,"1,521",843,"1,038",643,985,"1,408","1,833",769,647,832,"1,636",796,"1,253"
2021,2,80,"8,718",607,457,298,695,366,548,335,409,678,"1,234",373,365,430,739,607,577
2021,2,90,"1,623",126,91,70,105,70,73,59,72,139,242,66,79,84,162,86,99
2021,2,100,373,33,22,33,33,19,11,13,13,44,34,14,24,14,37,6,23
2021,3,총,"229,013","17,360","9,879","7,544","19,700","16,099","14,140","10,251","12,207","21,596","27,739","8,547","6,822","9,193","20,778","13,105","14,053"
2021,3,0,"13,360",944,347,179,659,"1,301",915,773,748,"1,179","2,724",542,236,427,"1,162",780,444
2021,3,10,"15,377","1,246",522,261,"1,148",866,"1,236",741,813,"1,010","2,875",514,267,480,"1,172","1,453",773
2021,3,20,"33,787","2,575","1,558",952,"4,230","2,488","1,901","1,606","1,832","3,607","2,931",928,"1,075","1,400","2,716","1,797","2,191"
2021,3,30,"38,352","2,790","1,735","1,049","3,126","3,682","2,098","1,871","2,007","4,588","3,587","1,436","1,140","1,672","3,941","1,492","2,138"
2021,3,40,"35,320","2,734","1,370","1,077","2,711","2,622","2,289","1,557","1,836","2,915","4,849","1,227",873,"1,410","3,360","2,429","2,061"
2021,3,50,"36,849","2,798","1,433","1,639","3,107","2,233","2,322","1,600","1,968","3,504","4,553","1,382","1,102","1,288","3,222","2,221","2,477"
2021,3,60,"28,995","2,253","1,467","1,350","2,402","1,646","1,742","1,063","1,543","2,597","3,044","1,353","1,073","1,197","2,757","1,450","2,058"
2021,3,70,"16,839","1,304",929,668,"1,517",824,"1,024",649,981,"1,394","1,757",740,618,825,"1,575",792,"1,242"
2021,3,80,"8,598",594,439,293,701,362,548,333,403,687,"1,199",364,357,420,716,598,584
2021,3,90,"1,425",105,77,57,96,65,61,55,68,110,215,57,74,72,142,90,81
2021,3,100,111,17,2,19,3,10,4,3,8,5,5,4,7,2,15,3,4
2021,4,총,"228,755","17,332","9,833","7,549","19,676","16,042","14,100","10,258","12,187","21,705","27,705","8,494","6,824","9,190","20,738","13,115","14,007"
2021,4,0,"13,270",939,340,175,664,"1,296",906,768,735,"1,186","2,707",537,235,423,"1,147",773,439
2021,4,10,"15,290","1,237",511,256,"1,137",867,"1,222",740,794,"1,006","2,866",516,267,473,"1,175","1,457",766
2021,4,20,"33,752","2,569","1,548",955,"4,239","2,476","1,897","1,593","1,844","3,628","2,918",907,"1,083","1,402","2,708","1,795","2,190"
2021,4,30,"38,345","2,787","1,717","1,058","3,146","3,665","2,106","1,873","2,003","4,649","3,568","1,427","1,138","1,678","3,902","1,496","2,132"
2021,4,40,"35,259","2,729","1,364","1,072","2,689","2,626","2,267","1,562","1,812","2,915","4,866","1,230",879,"1,416","3,357","2,422","2,053"
2021,4,50,"36,771","2,799","1,445","1,620","3,091","2,213","2,317","1,604","1,972","3,497","4,559","1,369","1,095","1,274","3,220","2,232","2,464"
2021,4,60,"29,073","2,244","1,456","1,373","2,402","1,648","1,748","1,074","1,557","2,611","3,032","1,350","1,075","1,203","2,779","1,458","2,063"
2021,4,70,"16,811","1,307",932,670,"1,505",820,"1,020",651,984,"1,401","1,764",732,612,819,"1,572",785,"1,237"
2021,4,80,"8,630",594,441,295,703,358,549,336,410,694,"1,202",366,357,428,718,601,578
2021,4,90,"1,440",109,77,56,97,63,64,54,68,112,217,56,76,72,145,93,81
2021,4,100,114,18,2,19,3,10,4,3,8,6,6,4,7,2,15,3,4
2021,5,총,"227,515","17,125","9,656","7,549","19,497","15,975","14,052","10,214","12,044","21,899","27,712","8,487","6,524","9,170","20,702","13,121","13,788"
2021,5,0,"13,199",921,337,174,657,"1,287",899,759,736,"1,217","2,686",536,229,410,"1,142",773,436
