년도,월,나이,서울특별시 구로구,서울특별시 구로구 신도림동,서울특별시 구로구 구로제1동,서울특별시 구로구 구로제2동,서울특별시 구로구 구로제3동,서울특별시 구로구 구로제4동,서울특별시 구로구 구로제5동,서울특별시 구로구 가리봉동,서울특별시 구로구 고척제1동,서울특별시 구로구 고척제2동,서울특별시 구로구 개봉제1동,서울특별시 구로구 개봉제2동,서울특별시 구로구 개봉제3동,서울특별시 구로구 오류제1동,서울특별시 구로구 오류제2동,서울특별시 구로구 수궁동,서울특별시 구로구 항동
2020,3,총,"205,279","18,688","10,913","12,413","11,891","10,615","15,408","4,257","11,801","14,150","16,123","16,454","10,944","11,510","20,524","12,301","7,287"
2020,3,0,"14,618","1,864",949,493,704,453,971,122,693,995,"1,079","1,173",696,644,"1,853",785,"1,144"
2020,3,10,"15,055","1,728",966,693,731,600,841,155,"1,003","1,152","1,216","1,244",736,622,"1,907",946,515
2020,3,20,"28,261","2,267","1,522","1,600","2,226","1,495","2,905",635,"1,568","1,800","2,023","1,896","1,315","2,173","2,446","1,529",861
2020,3,30,"31,459","3,359","1,962","1,359","2,328","1,485","2,831",492,"1,439","1,724","2,153","2,419","1,517","2,110","2,799","1,658","1,824"
2020,3,40,"31,150","3,351","1,838","1,718","1,823","1,506","2,079",567,"1,812","2,237","2,309","2,425","1,619","1,501","3,370","1,984","1,011"
2020,3,50,"32,314","2,627","1,619","2,346","1,476","1,784","2,327",791,"2,071","2,465","2,792","2,634","1,890","1,568","3,004","2,104",816
2020,3,60,"28,533","2,076","1,314","2,051","1,396","1,644","1,854",746,"1,781","1,998","2,501","2,655","1,807","1,513","2,665","1,829",703
2020,3,70,"16,178",925,478,"1,471",797,"1,128","1,102",452,980,"1,210","1,419","1,428",898,922,"1,708","1,016",244
2020,3,80,"6,498",410,220,565,351,445,427,241,383,491,531,483,403,383,654,375,136
2020,3,90,"1,085",73,43,93,40,63,71,39,67,74,95,89,57,69,113,67,32
2020,3,100,128,8,2,24,19,12,0,17,4,4,5,8,6,5,5,8,1
2020,4,총,"205,032","18,629","10,900","12,376","11,843","10,610","15,377","4,255","11,790","14,091","16,060","16,407","10,924","11,539","20,493","12,262","7,476"
2020,4,0,"14,503","1,851",946,480,692,446,966,121,687,978,"1,064","1,161",693,644,"1,831",772,"1,171"
2020,4,10,"14,966","1,711",961,689,731,599,833,153,994,"1,139","1,205","1,235",733,616,"1,913",934,520
2020,4,20,"28,224","2,264","1,524","1,600","2,197","1,495","2,891",637,"1,569","1,796","2,025","1,904","1,313","2,164","2,432","1,527",886
2020,4,30,"31,273","3,347","1,957","1,342","2,322","1,464","2,813",495,"1,432","1,696","2,125","2,398","1,503","2,119","2,765","1,636","1,859"
2020,4,40,"31,149","3,336","1,830","1,715","1,824","1,504","2,085",561,"1,814","2,223","2,305","2,414","1,619","1,521","3,374","1,979","1,045"
2020,4,50,"32,278","2,628","1,613","2,340","1,472","1,785","2,316",789,"2,061","2,472","2,786","2,623","1,878","1,567","2,993","2,097",858
2020,4,60,"28,610","2,068","1,326","2,051","1,387","1,655","1,861",748,"1,788","2,001","2,487","2,653","1,811","1,522","2,688","1,846",718
2020,4,70,"16,251",925,474,"1,473",809,"1,136","1,105",454,985,"1,216","1,423","1,428",913,920,"1,720","1,019",251
2020,4,80,"6,558",419,223,571,349,452,437,239,386,490,537,495,398,390,658,377,137
2020,4,90,"1,090",72,44,91,41,62,70,41,69,75,98,88,57,71,114,67,30
2020,4,100,130,8,2,24,19,12,0,17,5,5,5,8,6,5,5,8,1
2020,5,총,"204,932","18,586","10,885","12,355","11,799","10,609","15,390","4,271","11,768","14,060","16,012","16,388","10,936","11,561","20,479","12,214","7,619"
2020,5,0,"14,385","1,840",946,472,683,448,958,121,679,970,"1,052","1,144",680,641,"1,796",765,"1,190"
2020,5,10,"14,934","1,710",955,690,729,586,840,155,981,"1,133","1,199","1,222",735,620,"1,927",925,527
2020,5,20,"28,269","2,258","1,523","1,594","2,168","1,514","2,920",651,"1,575","1,801","2,015","1,914","1,306","2,180","2,429","1,521",900
2020,5,30,"31,176","3,333","1,943","1,337","2,316","1,451","2,784",508,"1,429","1,679","2,110","2,393","1,501","2,126","2,762","1,618","1,886"
2020,5,40,"31,104","3,335","1,834","1,710","1,818","1,511","2,079",548,"1,809","2,201","2,283","2,403","1,623","1,519","3,387","1,969","1,075"
2020,5,50,"32,254","2,616","1,608","2,329","1,461","1,777","2,318",794,"2,045","2,469","2,791","2,626","1,893","1,561","2,990","2,092",884
2020,5,60,"28,663","2,060","1,329","2,052","1,399","1,659","1,879",741,"1,790","2,009","2,495","2,646","1,816","1,522","2,679","1,851",736
2020,5,70,"16,322",936,475,"1,481",812,"1,134","1,105",457,989,"1,216","1,424","1,450",922,924,"1,726","1,019",252
2020,5,80,"6,598",418,221,572,354,455,440,238,396,501,539,496,399,389,663,380,137
2020,5,90,"1,095",72,49,94,40,62,67,40,70,75,99,86,55,74,115,66,31
2020,5,100,132,8,2,24,19,12,0,18,5,6,5,8,6,5,5,8,1
2020,6,총,"204,977","18,580","10,909","12,344","11,775","10,624","15,365","4,295","11,770","14,020","15,965","16,383","10,925","11,570","20,400","12,197","7,855"
2020,6,0,"14,315","1,838",947,472,676,436,956,119,671,962,"1,034","1,141",672,635,"1,764",759,"1,233"
2020,6,10,"14,889","1,717",948,687,717,585,828,154,984,"1,125","1,186","1,216",727,620,"1,925",928,542
2020,6,20,"28,351","2,264","1,527","1,584","2,155","1,533","2,923",667,"1,582","1,791","2,022","1,919","1,318","2,207","2,419","1,519",921
2020,6,30,"31,166","3,312","1,966","1,343","2,330","1,446","2,776",509,"1,418","1,676","2,106","2,393","1,477","2,117","2,724","1,618","1,955"
2020,6,40,"31,082","3,321","1,824","1,701","1,800","1,524","2,076",552,"1,812","2,191","2,278","2,393","1,618","1,525","3,393","1,959","1,115"
2020,6,50,"32,110","2,624","1,606","2,306","1,458","1,771","2,300",791,"2,042","2,460","2,765","2,612","1,892","1,554","2,957","2,075",897
2020,6,60,"28,832","2,060","1,340","2,074","1,408","1,662","1,893",743,"1,795","2,022","2,497","2,662","1,832","1,521","2,708","1,855",760
2020,6,70,"16,385",949,484,"1,476",813,"1,132","1,105",463,993,"1,214","1,429","1,453",931,919,"1,732","1,030",262
2020,6,80,"6,620",419,218,579,359,460,444,237,394,501,539,501,395,393,663,379,139
2020,6,90,"1,096",69,47,98,40,63,63,42,74,72,104,87,55,74,110,67,31
2020,6,100,131,7,2,24,19,12,1,18,5,6,5,6,8,5,5,8,0
2020,7,총,"205,097","18,619","10,912","12,346","11,793","10,610","15,304","4,277","11,737","13,980","16,058","16,405","10,874","11,569","20,376","12,181","8,056"
2020,7,0,"14,299","1,857",948,473,677,431,950,111,662,955,"1,035","1,141",659,633,"1,743",749,"1,275"
2020,7,10,"14,829","1,707",938,683,707,584,815,149,985,"1,120","1,187","1,199",724,618,"1,934",931,548
2020,7,20,"28,349","2,262","1,521","1,600","2,158","1,528","2,899",676,"1,591","1,791","2,033","1,932","1,304","2,209","2,414","1,498",933
2020,7,30,"31,217","3,321","1,971","1,339","2,346","1,443","2,780",512,"1,402","1,664","2,145","2,393","1,450","2,119","2,693","1,621","2,018"
2020,7,40,"31,037","3,321","1,819","1,697","1,806","1,513","2,057",544,"1,797","2,169","2,286","2,385","1,624","1,519","3,388","1,965","1,147"
2020,7,50,"32,105","2,628","1,614","2,298","1,451","1,771","2,289",785,"2,037","2,458","2,771","2,627","1,887","1,554","2,954","2,061",920
2020,7,60,"28,908","2,069","1,345","2,080","1,408","1,658","1,896",739,"1,798","2,015","2,508","2,663","1,838","1,524","2,726","1,863",778
2020,7,70,"16,462",959,490,"1,478",822,"1,141","1,111",463,988,"1,226","1,436","1,465",925,919,"1,742","1,032",265
2020,7,80,"6,665",420,218,576,357,464,445,238,400,505,549,508,399,397,663,387,139
2020,7,90,"1,092",68,45,98,42,65,60,42,72,71,103,86,56,72,114,66,32
2020,7,100,134,7,3,24,19,12,2,18,5,6,5,6,8,5,5,8,1
2020,8,총,"205,244","18,610","10,901","12,287","11,746","10,578","15,270","4,266","11,702","13,957","16,607","16,341","10,819","11,537","20,302","12,137","8,184"
2020,8,0,"14,221","1,844",942,466,668,428,943,113,658,938,"1,071","1,112",645,633,"1,709",742,"1,309"
2020,8,10,"14,795","1,720",940,686,697,578,805,144,986,"1,116","1,207","1,191",714,608,"1,920",919,564
2020,8,20,"28,368","2,250","1,505","1,585","2,155","1,508","2,886",681,"1,583","1,793","2,160","1,924","1,295","2,203","2,407","1,502",931
2020,8,30,"31,226","3,331","1,962","1,323","2,330","1,441","2,778",519,"1,391","1,659","2,265","2,370","1,428","2,106","2,654","1,621","2,048"
2020,8,40,"31,018","3,317","1,816","1,690","1,805","1,496","2,048",536,"1,790","2,170","2,360","2,361","1,622","1,515","3,379","1,934","1,179"
2020,8,50,"32,130","2,613","1,623","2,283","1,445","1,755","2,282",784,"2,021","2,442","2,882","2,637","1,873","1,545","2,955","2,058",932
2020,8,60,"29,040","2,078","1,355","2,079","1,397","1,675","1,911",734,"1,804","2,022","2,548","2,673","1,849","1,523","2,743","1,868",781
2020,8,70,"16,501",955,491,"1,471",830,"1,154","1,107",463,994,"1,235","1,446","1,469",922,931,"1,743","1,022",268
2020,8,80,"6,701",427,220,580,357,463,447,235,395,506,557,511,405,395,669,396,138
2020,8,90,"1,110",68,44,100,43,68,61,39,75,70,106,87,58,73,118,67,33
2020,8,100,134,7,3,24,19,12,2,18,5,6,5,6,8,5,5,8,1
2020,9,총,"205,311","18,584","10,908","12,250","11,729","10,542","15,200","4,254","11,653","13,910","16,976","16,329","10,743","11,560","20,295","12,142","8,236"
2020,9,0,"14,128","1,835",933,454,677,415,923,109,650,939,"1,092","1,099",624,636,"1,700",730,"1,312"
2020,9,10,"14,757","1,722",944,678,700,570,793,144,983,"1,089","1,225","1,191",703,609,"1,917",912,577
2020,9,20,"28,347","2,236","1,507","1,583","2,132","1,499","2,866",677,"1,581","1,784","2,225","1,916","1,291","2,205","2,408","1,512",925
2020,9,30,"31,213","3,308","1,955","1,319","2,319","1,451","2,764",521,"1,382","1,666","2,372","2,344","1,388","2,103","2,643","1,624","2,054"
2020,9,40,"30,962","3,326","1,820","1,675","1,800","1,479","2,029",531,"1,779","2,144","2,394","2,368","1,604","1,516","3,377","1,922","1,198"
2020,9,50,"32,179","2,601","1,624","2,274","1,451","1,756","2,279",776,"2,012","2,439","2,951","2,629","1,877","1,536","2,964","2,073",937
2020,9,60,"29,185","2,092","1,364","2,084","1,399","1,674","1,930",743,"1,804","2,031","2,587","2,694","1,842","1,543","2,741","1,870",787
2020,9,70,"16,543",960,492,"1,478",831,"1,157","1,095",458,990,"1,230","1,452","1,481",942,933,"1,743","1,026",275
2020,9,80,"6,743",424,221,581,359,461,457,236,397,512,566,515,407,401,675,394,137
2020,9,90,"1,119",72,45,99,42,68,62,41,70,70,107,86,57,74,122,71,33
2020,9,100,135,8,3,25,19,12,2,18,5,6,5,6,8,4,5,8,1
2020,10,총,"205,286","18,568","10,892","12,247","11,710","10,548","15,168","4,254","11,668","13,896","17,091","16,336","10,708","11,515","20,324","12,113","8,248"
2020,10,0,"14,018","1,839",916,447,665,415,904,107,646,935,"1,092","1,088",610,637,"1,688",720,"1,309"
2020,10,10,"14,707","1,721",937,684,697,563,794,141,970,"1,086","1,219","1,180",692,604,"1,931",909,579
2020,10,20,"28,289","2,236","1,507","1,570","2,118","1,487","2,859",691,"1,588","1,777","2,250","1,926","1,288","2,187","2,394","1,487",924
2020,10,30,"31,197","3,311","1,954","1,322","2,304","1,449","2,772",520,"1,395","1,654","2,404","2,323","1,374","2,088","2,653","1,627","2,047"
2020,10,40,"30,913","3,327","1,814","1,664","1,814","1,470","2,017",526,"1,755","2,146","2,392","2,373","1,598","1,521","3,372","1,913","1,211"
2020,10,50,"32,145","2,588","1,619","2,271","1,449","1,763","2,266",768,"2,034","2,428","2,958","2,633","1,868","1,515","2,975","2,071",939
2020,10,60,"29,369","2,083","1,384","2,105","1,395","1,692","1,935",746,"1,809","2,042","2,635","2,709","1,856","1,544","2,756","1,885",793
2020,10,70,"16,616",964,490,"1,478",845,"1,156","1,098",461,"1,002","1,240","1,453","1,489",949,940,"1,747","1,027",277
2020,10,80,"6,775",419,222,580,362,472,459,234,399,509,575,523,409,400,684,394,134
2020,10,90,"1,122",72,46,102,42,69,62,42,65,73,107,86,57,75,118,72,34
2020,10,100,135,8,3,24,19,12,2,18,5,6,6,6,7,4,6,8,1
2020,11,총,"205,131","18,557","10,861","12,224","11,707","10,535","15,117","4,262","11,630","13,879","17,122","16,345","10,678","11,541","20,314","12,120","8,239"
2020,11,0,"13,916","1,827",910,435,654,408,907,105,641,932,"1,087","1,078",616,633,"1,663",716,"1,304"
2020,11,10,"14,633","1,710",932,675,690,564,787,137,957,"1,077","1,217","1,163",690,606,"1,932",913,583
