년도,월,나이,부산광역시 영도구,부산광역시 영도구 남항동,부산광역시 영도구 영선제1동,부산광역시 영도구 영선제2동,부산광역시 영도구 신선동,부산광역시 영도구 봉래제1동,부산광역시 영도구 봉래제2동,부산광역시 영도구 청학제1동,부산광역시 영도구 청학제2동,부산광역시 영도구 동삼제1동,부산광역시 영도구 동삼제2동,부산광역시 영도구 동삼제3동
2020,6,10,"7,706",555,258,613,524,433,288,461,"1,450","2,342",199,583
2020,6,20,"12,247","1,052",466,901,828,730,507,624,"2,009","3,530",626,974
2020,6,30,"11,132","1,060",400,837,682,804,419,691,"1,933","3,003",343,960
2020,6,40,"15,581","1,401",538,"1,154","1,181",988,695,"1,020","2,724","4,133",450,"1,297"
2020,6,50,"20,083","1,983",738,"1,579","1,716","1,207",953,"1,107","3,258","5,180",487,"1,875"
2020,6,60,"21,778","2,157",816,"1,701","1,864","1,440","1,055","1,240","3,343","5,122",676,"2,364"
2020,6,70,"14,551","1,517",536,"1,227","1,568",882,905,924,"2,005","3,005",447,"1,535"
2020,6,80,"5,679",617,202,488,659,417,327,349,756,"1,128",155,581
2020,6,90,727,82,26,78,83,56,31,59,95,124,28,65
2020,6,100,131,8,9,12,12,29,8,12,15,16,2,8
2020,7,총,"114,873","10,830","4,164","9,007","9,310","7,388","5,341","6,850","18,637","29,151","3,603","10,592"
2020,7,0,"5,455",405,187,433,234,391,156,386,"1,080","1,615",186,382
2020,7,10,"7,658",547,256,609,516,432,286,457,"1,449","2,327",197,582
2020,7,20,"12,172","1,048",452,896,824,732,511,617,"2,002","3,511",619,960
2020,7,30,"11,102","1,061",399,852,679,798,417,680,"1,917","2,990",357,952
2020,7,40,"15,534","1,396",540,"1,140","1,160",987,698,"1,016","2,715","4,151",438,"1,293"
2020,7,50,"19,968","1,973",725,"1,570","1,708","1,206",942,"1,102","3,259","5,136",492,"1,855"
2020,7,60,"21,854","2,168",828,"1,705","1,864","1,446","1,060","1,241","3,352","5,142",677,"2,371"
2020,7,70,"14,552","1,522",540,"1,225","1,569",890,896,929,"1,992","3,002",449,"1,538"
2020,7,80,"5,716",621,202,488,663,421,336,350,757,"1,135",158,585
2020,7,90,731,81,26,77,81,56,31,60,99,126,28,66
2020,7,100,131,8,9,12,12,29,8,12,15,16,2,8
2020,8,총,"114,511","10,841","4,156","8,975","9,274","7,372","5,322","6,822","18,567","29,043","3,580","10,559"
2020,8,0,"5,391",409,184,428,226,385,150,385,"1,068","1,597",185,374
2020,8,10,"7,617",540,260,600,517,433,286,449,"1,454","2,302",195,581
2020,8,20,"12,121","1,058",452,902,825,735,502,616,"1,981","3,494",610,946
2020,8,30,"10,981","1,060",394,851,673,783,414,672,"1,892","2,960",352,930
2020,8,40,"15,457","1,409",539,"1,129","1,154",978,695,"1,004","2,697","4,112",442,"1,298"
2020,8,50,"19,878","1,955",722,"1,567","1,692","1,206",937,"1,107","3,242","5,116",483,"1,851"
2020,8,60,"21,888","2,167",820,"1,708","1,864","1,447","1,059","1,239","3,367","5,170",679,"2,368"
2020,8,70,"14,564","1,530",546,"1,211","1,558",898,902,930,"1,991","3,003",451,"1,544"
2020,8,80,"5,748",623,205,491,670,419,337,349,761,"1,146",153,594
2020,8,90,733,81,25,76,83,58,32,59,99,127,28,65
2020,8,100,133,9,9,12,12,30,8,12,15,16,2,8
2020,9,총,"114,252","10,880","4,180","8,942","9,248","7,340","5,294","6,779","18,533","29,000","3,557","10,499"
2020,9,0,"5,340",405,186,423,225,373,156,377,"1,066","1,580",182,367
2020,9,10,"7,556",542,256,586,517,433,274,438,"1,447","2,298",190,575
2020,9,20,"12,109","1,060",455,905,820,744,499,619,"1,969","3,498",605,935
2020,9,30,"10,886","1,074",389,841,672,754,404,671,"1,891","2,926",341,923
2020,9,40,"15,396","1,414",547,"1,134","1,145",976,690,985,"2,680","4,110",442,"1,273"
2020,9,50,"19,812","1,942",723,"1,552","1,687","1,206",937,"1,099","3,227","5,099",485,"1,855"
2020,9,60,"21,951","2,189",831,"1,708","1,860","1,446","1,059","1,242","3,386","5,186",678,"2,366"
2020,9,70,"14,557","1,535",548,"1,205","1,555",901,899,921,"1,990","3,008",452,"1,543"
2020,9,80,"5,777",630,210,500,672,417,337,357,763,"1,151",152,588
2020,9,90,735,80,26,76,83,60,31,58,99,128,28,66
2020,9,100,133,9,9,12,12,30,8,12,15,16,2,8
2020,10,총,"113,909","10,933","4,170","8,889","9,198","7,333","5,271","6,733","18,512","28,828","3,575","10,467"
2020,10,0,"5,264",410,186,412,221,370,154,355,"1,059","1,558",183,356
2020,10,10,"7,501",546,255,582,510,428,271,450,"1,446","2,259",189,565
2020,10,20,"12,071","1,062",456,901,813,741,495,607,"1,968","3,487",613,928
2020,10,30,"10,769","1,074",382,832,655,760,395,655,"1,869","2,893",343,911
2020,10,40,"15,322","1,433",553,"1,131","1,138",977,689,975,"2,652","4,059",442,"1,273"
2020,10,50,"19,689","1,932",711,"1,532","1,680","1,195",925,"1,089","3,230","5,058",490,"1,847"
2020,10,60,"22,053","2,213",836,"1,705","1,869","1,450","1,065","1,244","3,407","5,206",678,"2,380"
2020,10,70,"14,562","1,538",547,"1,202","1,541",906,901,928,"1,997","3,005",455,"1,542"
2020,10,80,"5,810",632,211,505,678,419,337,359,769,"1,156",152,592
2020,10,90,736,84,24,75,81,57,31,59,100,131,28,66
2020,10,100,132,9,9,12,12,30,8,12,15,16,2,7
2020,11,총,"113,621","10,964","4,159","8,854","9,136","7,301","5,251","6,708","18,457","28,818","3,546","10,427"
2020,11,0,"5,198",420,187,407,218,360,151,349,"1,042","1,550",175,339
2020,11,10,"7,457",548,252,575,500,425,272,447,"1,446","2,241",186,565
2020,11,20,"12,022","1,060",445,895,814,738,490,605,"1,956","3,489",606,924
2020,11,30,"10,690","1,056",386,822,647,755,382,651,"1,868","2,888",341,894
2020,11,40,"15,246","1,453",546,"1,125","1,123",975,689,972,"2,629","4,038",439,"1,257"
2020,11,50,"19,631","1,932",712,"1,519","1,676","1,192",920,"1,084","3,209","5,051",484,"1,852"
2020,11,60,"22,099","2,225",837,"1,711","1,856","1,454","1,061","1,244","3,423","5,231",671,"2,386"
2020,11,70,"14,560","1,540",547,"1,200","1,533",896,909,923,"1,993","3,017",461,"1,541"
2020,11,80,"5,851",632,215,512,679,418,340,360,777,"1,165",153,600
2020,11,90,735,89,23,76,78,58,29,61,99,132,28,62
2020,11,100,132,9,9,12,12,30,8,12,15,16,2,7
2020,12,총,"113,342","10,996","4,167","8,791","9,072","7,280","5,234","6,705","18,411","28,740","3,545","10,401"
2020,12,0,"5,139",418,185,397,218,353,145,349,"1,028","1,529",174,343
2020,12,10,"7,403",539,249,567,491,425,271,445,"1,442","2,234",183,557
2020,12,20,"11,990","1,056",453,886,797,739,490,612,"1,963","3,481",604,909
2020,12,30,"10,610","1,065",383,818,641,742,378,648,"1,836","2,867",349,883
2020,12,40,"15,159","1,445",540,"1,113","1,115",976,677,969,"2,622","4,017",438,"1,247"
2020,12,50,"19,559","1,944",706,"1,511","1,664","1,186",930,"1,067","3,203","5,038",485,"1,825"
2020,12,60,"22,171","2,245",853,"1,697","1,853","1,460","1,062","1,259","3,422","5,241",667,"2,412"
2020,12,70,"14,556","1,549",547,"1,202","1,517",892,905,920,"1,997","3,013",466,"1,548"
2020,12,80,"5,886",636,220,509,689,420,339,363,784,"1,168",151,607
2020,12,90,737,90,22,79,75,57,29,61,99,137,26,62
2020,12,100,132,9,9,12,12,30,8,12,15,15,2,8
2021,1,총,"113,048","11,017","4,178","8,757","9,037","7,256","5,202","6,688","18,357","28,646","3,548","10,362"
2021,1,0,"5,083",418,184,391,216,350,147,348,"1,022","1,494",175,338
2021,1,10,"7,369",538,251,561,475,422,266,449,"1,442","2,243",175,547
2021,1,20,"11,890","1,051",443,889,793,735,488,602,"1,937","3,458",602,892
2021,1,30,"10,562","1,062",390,811,638,728,379,650,"1,821","2,855",344,884
2021,1,40,"15,082","1,458",536,"1,108","1,104",973,668,965,"2,607","3,982",447,"1,234"
2021,1,50,"19,444","1,927",707,"1,500","1,648","1,181",919,"1,057","3,194","5,015",487,"1,809"
2021,1,60,"22,261","2,271",861,"1,703","1,866","1,461","1,059","1,263","3,441","5,250",669,"2,417"
2021,1,70,"14,544","1,556",552,"1,192","1,517",889,894,913,"1,994","3,020",472,"1,545"
2021,1,80,"5,943",636,220,515,694,429,347,366,786,"1,174",150,626
2021,1,90,734,91,24,74,74,58,27,63,97,139,25,62
2021,1,100,136,9,10,13,12,30,8,12,16,16,2,8
2021,2,총,"112,809","11,030","4,166","8,753","9,000","7,230","5,191","6,660","18,344","28,553","3,538","10,344"
2021,2,0,"5,032",418,183,384,212,352,146,346,"1,007","1,470",176,338
2021,2,10,"7,323",539,247,557,471,419,261,442,"1,454","2,217",170,546
2021,2,20,"11,881","1,058",434,896,797,729,489,605,"1,930","3,450",608,885
2021,2,30,"10,474","1,062",388,811,634,722,371,634,"1,793","2,836",341,882
2021,2,40,"15,038","1,451",537,"1,104","1,085",974,671,972,"2,610","3,969",441,"1,224"
2021,2,50,"19,374","1,937",706,"1,488","1,641","1,172",914,"1,052","3,196","4,986",486,"1,796"
2021,2,60,"22,268","2,276",860,"1,707","1,865","1,456","1,056","1,266","3,438","5,259",664,"2,421"
2021,2,70,"14,562","1,550",551,"1,202","1,510",890,895,906,"2,005","3,032",472,"1,549"
2021,2,80,"5,970",635,227,517,697,427,355,363,794,"1,173",154,628
2021,2,90,751,95,23,74,75,59,26,61,102,145,24,67
2021,2,100,136,9,10,13,13,30,7,13,15,16,2,8
2021,3,총,"111,507","10,930","4,090","8,617","8,761","7,112","5,094","6,478","18,197","28,408","3,520","10,300"
2021,3,0,"5,011",421,178,383,205,354,148,342,"1,008","1,465",177,330
2021,3,10,"7,253",527,245,548,465,420,255,438,"1,428","2,202",172,553
2021,3,20,"11,807","1,068",425,902,787,726,491,587,"1,916","3,435",597,873
2021,3,30,"10,351","1,056",382,803,620,715,367,621,"1,787","2,810",339,851
2021,3,40,"14,861","1,432",530,"1,089","1,047",968,650,947,"2,585","3,941",450,"1,222"
2021,3,50,"19,040","1,906",688,"1,453","1,590","1,136",885,"1,022","3,168","4,941",471,"1,780"
2021,3,60,"22,125","2,250",856,"1,680","1,833","1,436","1,040","1,242","3,420","5,277",661,"2,430"
2021,3,70,"14,413","1,542",539,"1,187","1,460",876,886,877,"2,000","3,015",477,"1,554"
2021,3,80,"5,911",637,225,504,687,411,351,348,788,"1,174",152,634
2021,3,90,683,87,22,64,65,50,20,53,94,141,22,65
2021,3,100,52,4,0,4,2,20,1,1,3,7,2,8
2021,4,총,"111,387","10,973","4,078","8,608","8,707","7,098","5,180","6,466","18,174","28,328","3,499","10,276"
2021,4,0,"4,966",416,170,377,200,350,160,338,992,"1,461",175,327
2021,4,10,"7,233",525,245,553,463,413,263,444,"1,431","2,185",171,540
2021,4,20,"11,786","1,084",425,900,777,726,499,578,"1,907","3,420",592,878
2021,4,30,"10,319","1,063",378,809,611,698,382,617,"1,779","2,806",331,845
2021,4,40,"14,840","1,434",534,"1,095","1,037",975,664,939,"2,588","3,913",444,"1,217"
2021,4,50,"18,959","1,899",686,"1,436","1,578","1,137",899,"1,024","3,159","4,910",472,"1,759"
2021,4,60,"22,175","2,271",853,"1,685","1,832","1,440","1,047","1,244","3,418","5,284",659,"2,442"
2021,4,70,"14,432","1,545",538,"1,191","1,453",875,889,883,"2,007","3,014",479,"1,558"
2021,4,80,"5,935",645,226,493,690,410,356,345,801,"1,183",152,634
2021,4,90,690,87,23,65,64,54,20,53,89,145,22,68
2021,4,100,52,4,0,4,2,20,1,1,3,7,2,8
2021,5,총,"111,574","10,879","4,036","8,511","8,640","6,936","6,558","6,371","17,949","28,041","3,459","10,194"
2021,5,0,"5,024",397,164,360,214,325,369,325,963,"1,427",171,309
2021,5,10,"7,213",513,242,539,451,401,391,435,"1,398","2,142",170,531
2021,5,20,"11,790","1,072",417,890,774,706,631,565,"1,891","3,392",582,870
2021,5,30,"10,390","1,047",371,815,614,668,613,595,"1,745","2,782",323,817
2021,5,40,"14,841","1,415",534,"1,059","1,028",943,922,921,"2,552","3,835",436,"1,196"
2021,5,50,"18,919","1,891",670,"1,430","1,552","1,109","1,084","1,012","3,105","4,838",469,"1,759"
2021,5,60,"22,229","2,276",849,"1,671","1,810","1,441","1,181","1,235","3,407","5,277",661,"2,421"
2021,5,70,"14,442","1,532",539,"1,194","1,429",864,959,881,"1,996","2,997",471,"1,580"
2021,5,80,"5,980",642,227,487,703,404,383,347,803,"1,197",151,636
2021,5,90,693,90,22,63,63,55,24,54,86,146,23,67
2021,5,100,53,4,1,3,2,20,1,1,3,8,2,8
2021,6,총,"111,685","10,841","3,977","8,462","8,582","6,874","7,315","6,315","17,900","27,839","3,462","10,118"
2021,6,0,"5,008",384,156,352,210,325,447,321,960,"1,392",168,293
2021,6,10,"7,218",505,229,539,447,402,469,430,"1,391","2,108",171,527
2021,6,20,"11,792","1,087",412,884,769,692,696,555,"1,869","3,382",580,866
2021,6,30,"10,402","1,040",354,802,604,666,754,593,"1,730","2,737",325,797
2021,6,40,"14,874","1,403",519,"1,054","1,034",945,"1,043",902,"2,550","3,797",439,"1,188"
2021,6,50,"18,844","1,877",655,"1,420","1,528","1,080","1,183","1,000","3,087","4,792",467,"1,755"
2021,6,60,"22,326","2,273",859,"1,671","1,800","1,431","1,289","1,233","3,421","5,280",663,"2,406"
2021,6,70,"14,457","1,538",539,"1,185","1,420",853,998,887,"2,006","2,989",473,"1,569"
