년도,월,나이,경상북도 영천시,경상북도 영천시 금호읍,경상북도 영천시 청통면,경상북도 영천시 신녕면,경상북도 영천시 화산면,경상북도 영천시 화북면,경상북도 영천시 화남면,경상북도 영천시 자양면,경상북도 영천시 임고면,경상북도 영천시 고경면,경상북도 영천시 북안면,경상북도 영천시 대창면,경상북도 영천시 동부동,경상북도 영천시 중앙동,경상북도 영천시 서부동,경상북도 영천시 완산동,경상북도 영천시 남부동
2020,1,총,"51,918","5,836","2,206","1,948","1,708","1,092","1,577",598,"2,170","3,493","2,291","1,613","14,799","4,382","2,448","3,458","2,299"
2020,1,0,"2,991",215,55,60,47,43,32,13,78,159,36,45,"1,419",304,88,265,132
2020,1,10,"3,749",308,93,94,53,50,51,17,96,130,84,46,"1,665",461,148,326,127
2020,1,20,"6,295",594,218,165,143,65,124,44,172,889,155,131,"2,062",607,296,379,251
2020,1,30,"5,295",480,194,143,115,55,98,29,133,296,165,134,"1,995",457,245,478,278
2020,1,40,"7,120",801,238,204,191,107,165,43,260,336,255,174,"2,448",704,324,556,314
2020,1,50,"9,734","1,313",438,381,350,225,329,147,400,484,467,338,"2,548",778,477,582,477
2020,1,60,"8,952","1,141",499,458,412,278,390,155,459,589,551,420,"1,694",623,455,458,370
2020,1,70,"5,391",693,329,297,268,180,270,87,384,424,391,224,694,305,301,290,254
2020,1,80,"2,215",270,130,138,121,84,107,59,169,174,175,92,248,138,108,113,89
2020,1,90,163,20,11,8,8,5,10,4,19,11,11,8,25,4,6,6,7
2020,1,100,13,1,1,0,0,0,1,0,0,1,1,1,1,1,0,5,0
2020,2,총,"51,828","5,820","2,201","1,929","1,703","1,088","1,584",590,"2,159","3,457","2,286","1,609","14,700","4,533","2,420","3,439","2,310"
2020,2,0,"2,984",217,54,56,45,43,33,9,77,147,36,45,"1,397",339,86,264,136
2020,2,10,"3,718",304,89,92,56,49,53,17,94,128,82,45,"1,642",479,145,322,121
2020,2,20,"6,210",585,215,161,136,59,121,38,169,880,156,130,"2,025",619,283,377,256
2020,2,30,"5,281",479,192,137,115,55,97,27,131,289,161,133,"1,991",484,245,463,282
2020,2,40,"7,125",795,237,207,189,107,167,44,251,329,256,171,"2,437",733,324,561,317
2020,2,50,"9,744","1,306",439,377,351,226,328,145,405,485,463,339,"2,550",795,476,580,479
2020,2,60,"8,958","1,148",500,457,412,282,397,157,455,587,554,417,"1,684",635,449,456,368
2020,2,70,"5,398",695,331,296,269,171,265,89,390,426,390,227,699,306,300,293,251
2020,2,80,"2,229",269,132,138,123,91,111,60,168,173,176,93,252,137,103,111,92
2020,2,90,168,21,11,8,7,5,11,4,19,12,11,8,22,5,9,7,8
2020,2,100,13,1,1,0,0,0,1,0,0,1,1,1,1,1,0,5,0
2020,3,총,"51,685","5,767","2,198","1,909","1,684","1,080","1,568",587,"2,162","3,468","2,291","1,594","14,604","4,634","2,401","3,439","2,299"
2020,3,0,"2,952",210,54,60,45,43,32,9,77,146,34,43,"1,373",340,85,268,133
2020,3,10,"3,684",301,89,87,56,48,51,17,92,126,81,44,"1,622",485,142,326,117
2020,3,20,"6,192",572,206,155,128,58,118,38,167,911,159,123,"2,010",638,281,374,254
2020,3,30,"5,244",471,192,134,114,55,98,28,133,289,161,132,"1,958",516,229,452,282
