년도,월,나이,대구광역시 서구,대구광역시 서구 내당1동,대구광역시 서구 내당2.3동,대구광역시 서구 내당4동,대구광역시 서구 비산1동,대구광역시 서구 비산2.3동,대구광역시 서구 비산4동,대구광역시 서구 비산5동,대구광역시 서구 비산6동,대구광역시 서구 비산7동,대구광역시 서구 평리1동,대구광역시 서구 평리2동,대구광역시 서구 평리3동,대구광역시 서구 평리4동,대구광역시 서구 평리5동,대구광역시 서구 평리6동,대구광역시 서구 상중이동,대구광역시 서구 원대동
2020,3,총,"86,705","4,485","5,319","8,903","4,904","4,914","5,185","3,184","3,997","5,198","3,986","4,233","5,137","9,340",990,"2,561","10,379","3,990"
2020,3,0,"3,968",161,176,403,162,143,212,95,111,183,142,318,169,726,45,89,668,165
2020,3,10,"5,544",256,277,660,313,246,313,183,240,305,233,309,309,602,60,164,847,227
2020,3,20,"10,039",645,627,"1,126",520,480,618,331,466,552,464,445,609,"1,092",108,273,"1,244",439
2020,3,30,"7,979",455,403,897,390,337,400,246,298,466,320,490,453,"1,160",90,178,"1,078",318
2020,3,40,"11,057",540,600,"1,209",598,523,641,369,527,600,481,600,644,"1,277",120,307,"1,524",497
2020,3,50,"17,621",912,"1,037","1,780","1,047",945,"1,085",599,862,"1,108",813,802,"1,150","1,827",218,573,"2,055",808
2020,3,60,"15,921",818,"1,068","1,540",917,983,"1,004",676,772,"1,027",764,699,943,"1,491",205,517,"1,746",751
2020,3,70,"9,560",448,757,838,634,826,591,450,472,650,510,384,566,733,105,296,784,516
2020,3,80,"4,337",217,332,395,271,364,278,216,219,273,228,159,250,360,28,148,356,243
2020,3,90,603,26,36,53,47,49,35,18,25,31,28,27,42,68,6,16,70,26
2020,3,100,76,7,6,2,5,18,8,1,5,3,3,0,2,4,5,0,7,0
2020,4,총,"86,640","4,491","5,322","8,896","4,893","4,931","5,190","3,207","4,001","5,219","3,984","4,226","5,121","9,332",967,"2,549","10,328","3,983"
2020,4,0,"3,950",161,175,399,164,145,209,97,109,184,140,318,170,724,44,89,660,162
