년도,월,나이,유성구,진잠동,온천1동,온천2동,노은1동,노은2동,노은3동,신성동,전민동,구즉동,관평동,원신흥동,학하동,상대동
2021,11,20,"28,142","1,796","3,165","5,052","1,449","1,572","1,972","2,248","2,371","2,337","2,007","1,596","1,570","1,007"
2021,11,30,"28,785","1,525","3,257","3,455","1,564","1,505","2,763","2,913","2,506","2,143","2,011","2,524","1,433","1,186"
2021,11,40,"29,428","2,160","1,807","2,820","2,006","2,154","3,615","2,131","1,992","2,333","2,779","2,492","1,343","1,796"
2021,11,50,"27,269","2,415","2,080","2,802","1,699","2,044","2,635","1,836","2,185","2,475","2,508","1,790","1,289","1,511"
2021,11,60,"18,048","1,702","1,635","2,329",928,"1,136","1,745","1,097","1,401","1,350","1,151","1,310","1,183","1,081"
2021,11,70,"6,482",711,683,851,407,498,686,345,368,483,324,477,344,305
2021,11,80,"2,296",269,246,282,164,217,218,126,133,212,87,138,99,105
2021,11,90,248,24,28,35,14,21,21,14,33,21,8,9,10,10
2021,11,100,3,0,0,0,1,0,0,0,0,0,0,1,1,0
2021,12,총,"177,463","12,867","13,788","20,802","10,843","11,976","18,289","13,661","13,848","13,968","14,685","13,207","8,798","10,731"
2021,12,0,"17,061",971,445,"1,692","1,092","1,139","2,386","1,496","1,311","1,164","1,519","1,593",909,"1,344"
2021,12,10,"19,578","1,324",514,"1,595","1,553","1,724","2,340","1,471","1,598","1,532","2,350","1,354",650,"1,573"
2021,12,20,"28,055","1,783","3,125","4,995","1,445","1,586","1,932","2,240","2,358","2,311","2,002","1,585","1,556","1,137"
2021,12,30,"28,748","1,507","3,230","3,455","1,559","1,484","2,742","2,918","2,477","2,118","1,978","2,477","1,409","1,394"
2021,12,40,"29,452","2,152","1,804","2,792","1,991","2,124","3,603","2,115","1,991","2,307","2,747","2,475","1,345","2,006"
2021,12,50,"27,333","2,419","2,080","2,782","1,693","2,043","2,620","1,819","2,167","2,468","2,517","1,782","1,292","1,651"
2021,12,60,"18,166","1,705","1,631","2,322",930,"1,138","1,743","1,104","1,415","1,347","1,152","1,313","1,184","1,182"
2021,12,70,"6,509",715,685,854,402,500,683,353,364,484,324,479,342,324
2021,12,80,"2,308",269,243,280,162,218,218,129,134,216,88,139,101,111
2021,12,90,250,22,31,35,15,20,22,16,33,21,8,9,9,9
2021,12,100,3,0,0,0,1,0,0,0,0,0,0,1,1,0
