년도,월,나이,옥천군,옥천읍,동이면,안남면,안내면,청성면,청산면,이원면,군서면,군북면
2020,1,총,"50,987","29,227","3,237","1,438","1,957","2,348","3,108","4,284","2,317","3,071"
2020,1,0,"2,758","2,241",89,40,34,35,60,111,67,81
2020,1,10,"4,071","3,160",138,66,71,62,142,225,85,122
2020,1,20,"4,596","3,203",244,78,101,96,163,273,193,245
2020,1,30,"4,122","2,955",185,71,72,93,134,282,143,187
2020,1,40,"6,451","4,604",306,100,175,139,245,393,181,308
2020,1,50,"9,188","4,984",633,281,343,454,565,841,446,641
2020,1,60,"9,346","4,123",768,338,509,611,784,932,545,736
2020,1,70,"6,189","2,557",498,238,341,444,589,699,376,447
2020,1,80,"3,701","1,229",314,191,253,366,378,463,252,255
2020,1,90,538,164,60,34,53,45,45,62,29,46
2020,1,100,27,7,2,1,5,3,3,3,0,3
2020,2,총,"50,903","29,223","3,220","1,440","1,951","2,341","3,095","4,272","2,298","3,063"
2020,2,0,"2,748","2,248",87,41,31,34,61,107,63,76
2020,2,10,"4,045","3,149",136,69,73,61,138,219,83,117
2020,2,20,"4,547","3,185",238,75,99,94,159,268,190,239
2020,2,30,"4,095","2,943",178,75,73,87,135,281,134,189
2020,2,40,"6,434","4,597",303,102,173,141,240,395,181,302
2020,2,50,"9,153","4,978",631,279,337,452,559,832,442,643
2020,2,60,"9,394","4,147",776,342,511,600,787,943,545,743
2020,2,70,"6,191","2,563",493,235,342,450,587,702,374,445
2020,2,80,"3,725","1,235",317,190,257,371,379,459,258,259
2020,2,90,544,171,60,31,50,48,46,63,28,47
2020,2,100,27,7,1,1,5,3,4,3,0,3
2020,3,총,"50,791","29,157","3,232","1,433","1,945","2,339","3,092","4,248","2,294","3,051"
2020,3,0,"2,737","2,233",91,39,31,34,64,110,61,74
2020,3,10,"4,017","3,124",134,69,72,61,139,217,83,118
2020,3,20,"4,489","3,161",239,71,96,89,157,260,185,231
2020,3,30,"4,053","2,911",181,73,71,86,135,275,134,187
2020,3,40,"6,397","4,584",302,102,171,137,239,389,175,298
