년도,월,나이,곡성군,곡성읍,오곡면,삼기면,석곡면,목사동면,죽곡면,고달면,옥과면,입면,겸면,오산면
2020,1,총,"14,067","3,855",983,824,"1,115",672,944,594,"2,197","1,260",867,756
2020,1,0,598,257,34,17,38,12,27,21,110,34,28,20
2020,1,10,"1,122",361,75,48,76,28,56,22,249,124,45,38
2020,1,20,"1,373",414,72,68,84,57,76,52,311,108,72,59
2020,1,30,"1,015",341,69,50,68,38,48,34,182,78,65,42
2020,1,40,"1,820",550,118,103,119,66,98,60,305,208,114,79
2020,1,50,"2,793",712,204,148,246,148,190,132,397,276,171,169
2020,1,60,"2,478",589,192,178,196,136,205,111,321,200,159,191
2020,1,70,"1,784",415,129,126,172,109,154,104,207,138,134,96
2020,1,80,983,200,85,76,103,69,83,54,101,83,73,56
2020,1,90,99,16,5,10,12,9,7,4,14,11,5,6
2020,1,100,2,0,0,0,1,0,0,0,0,0,1,0
2020,2,총,"14,036","3,850",977,825,"1,114",667,951,595,"2,188","1,263",857,749
2020,2,0,606,256,34,18,38,12,31,22,110,37,28,20
2020,2,10,"1,108",363,75,48,75,24,59,22,244,122,43,33
2020,2,20,"1,363",412,71,68,86,58,76,51,304,109,68,60
2020,2,30,990,328,69,48,64,37,49,32,186,75,62,40
2020,2,40,"1,828",565,114,102,118,67,101,60,303,207,113,78
2020,2,50,"2,773",703,198,150,245,147,190,132,393,276,171,168
2020,2,60,"2,488",589,196,179,196,137,201,109,325,203,162,191
2020,2,70,"1,789",420,127,126,174,107,156,109,207,139,128,96
2020,2,80,992,198,88,76,105,70,82,54,102,84,76,57
2020,2,90,97,16,5,10,12,8,6,4,14,11,5,6
2020,2,100,2,0,0,0,1,0,0,0,0,0,1,0
2020,3,총,"13,955","3,825",970,822,"1,115",664,939,593,"2,164","1,262",855,746
2020,3,0,591,249,34,15,40,12,29,20,107,38,28,19
2020,3,10,"1,097",364,74,49,70,24,57,23,237,123,44,32
2020,3,20,"1,341",412,70,66,86,57,74,47,292,111,65,61
2020,3,30,977,323,68,49,65,38,49,33,183,69,61,39
2020,3,40,"1,803",554,114,101,116,66,98,59,299,209,110,77
2020,3,50,"2,770",702,195,150,248,146,186,133,393,275,174,168
2020,3,60,"2,502",592,197,181,197,136,206,111,325,205,162,190
2020,3,70,"1,786",418,125,125,174,108,155,109,208,138,129,97
2020,3,80,992,197,88,76,106,69,78,55,106,83,76,58
2020,3,90,94,14,5,10,12,8,7,3,14,11,5,5
2020,3,100,2,0,0,0,1,0,0,0,0,0,1,0
2020,4,총,"13,892","3,816",951,818,"1,116",663,936,591,"2,154","1,255",855,737
2020,4,0,586,248,34,15,40,12,29,20,103,38,28,19
2020,4,10,"1,085",363,73,49,67,24,56,20,233,121,47,32
2020,4,20,"1,327",404,67,65,86,56,76,49,290,109,64,61
2020,4,30,958,321,65,48,64,38,45,30,182,69,59,37
2020,4,40,"1,796",553,109,101,118,66,98,60,296,206,113,76
2020,4,50,"2,757",701,188,148,250,145,185,135,394,275,173,163
2020,4,60,"2,506",594,197,181,198,135,208,111,325,206,163,188
2020,4,70,"1,789",419,127,126,174,109,154,107,212,137,127,97
2020,4,80,992,198,86,75,106,70,79,56,105,83,75,59
2020,4,90,94,15,5,10,12,8,6,3,14,11,5,5
2020,4,100,2,0,0,0,1,0,0,0,0,0,1,0
2020,5,총,"13,864","3,814",947,819,"1,111",660,944,587,"2,136","1,253",852,741
2020,5,0,585,252,33,15,37,12,30,20,102,38,27,19
2020,5,10,"1,072",365,72,49,62,22,56,20,227,120,46,33
2020,5,20,"1,317",396,66,65,84,57,78,49,283,113,64,62
2020,5,30,956,322,65,49,66,36,44,30,182,67,58,37
2020,5,40,"1,777",550,109,97,118,65,98,57,294,203,109,77
2020,5,50,"2,755",700,185,149,250,144,188,133,393,275,175,163
2020,5,60,"2,515",596,199,184,196,137,207,113,324,207,163,189
2020,5,70,"1,797",418,127,127,178,110,158,105,213,136,129,96
2020,5,80,988,198,85,74,106,69,78,57,104,82,75,60
2020,5,90,100,17,6,10,13,8,7,3,14,12,5,5
2020,5,100,2,0,0,0,1,0,0,0,0,0,1,0
2020,6,총,"13,836","3,808",941,817,"1,108",658,952,585,"2,119","1,259",857,732
2020,6,0,573,247,34,14,37,10,30,18,100,38,26,19
2020,6,10,"1,073",368,72,49,62,22,56,20,222,121,49,32
2020,6,20,"1,301",397,62,64,82,57,78,48,278,111,64,60
2020,6,30,951,316,63,50,67,36,44,31,185,66,58,35
2020,6,40,"1,768",550,109,97,116,63,99,57,287,204,110,76
2020,6,50,"2,735",706,180,145,248,145,188,131,389,273,171,159
2020,6,60,"2,538",591,203,185,199,136,211,112,329,214,167,191
2020,6,70,"1,804",419,126,127,179,112,160,106,213,136,129,97
2020,6,80,990,197,86,76,105,69,79,59,103,84,74,58
2020,6,90,101,17,6,10,12,8,7,3,13,12,8,5
2020,6,100,2,0,0,0,1,0,0,0,0,0,1,0
2020,7,총,"13,808","3,806",937,821,"1,108",652,945,585,"2,114","1,264",852,724
2020,7,0,574,250,31,14,35,10,28,18,99,41,26,22
2020,7,10,"1,063",364,73,49,61,22,56,19,221,122,46,30
2020,7,20,"1,292",397,59,64,84,54,77,48,278,112,62,57
2020,7,30,959,320,63,49,66,37,46,31,185,69,57,36
2020,7,40,"1,756",553,106,98,116,62,98,59,279,201,110,74
