년도,월,나이,경상북도 김천시,경상북도 김천시 아포읍,경상북도 김천시 농소면,경상북도 김천시 남면,경상북도 김천시 개령면,경상북도 김천시 감문면,경상북도 김천시 어모면,경상북도 김천시 봉산면,경상북도 김천시 대항면,경상북도 김천시 감천면,경상북도 김천시 조마면,경상북도 김천시 구성면,경상북도 김천시 지례면,경상북도 김천시 부항면,경상북도 김천시 대덕면,경상북도 김천시 증산면,경상북도 김천시 자산동,경상북도 김천시 평화남산동,경상북도 김천시 양금동,경상북도 김천시 대신동,경상북도 김천시 대곡동,경상북도 김천시 지좌동,경상북도 김천시 율곡동
2020,1,총,"70,637","3,667","1,570","1,650","1,299","1,695","2,126","1,674","1,824","1,024","1,143","1,438",805,647,"1,082",517,"3,517","3,909","1,999","12,236","10,205","5,526","11,084"
2020,1,0,"5,647",215,50,51,45,52,87,60,56,41,33,26,19,16,38,7,136,139,90,"1,177",741,459,"2,109"
2020,1,10,"6,477",231,74,85,64,59,125,93,103,51,55,66,31,24,66,23,191,260,141,"1,552","1,295",625,"1,263"
2020,1,20,"8,394",351,154,163,141,121,212,161,203,77,87,101,67,47,75,29,397,512,200,"1,939","1,421",769,"1,167"
2020,1,30,"8,435",335,136,123,89,131,151,128,133,90,79,84,49,31,77,15,357,466,156,"1,478","1,141",725,"2,461"
2020,1,40,"10,401",510,200,192,143,173,249,182,195,128,138,139,80,77,102,57,543,499,250,"1,977","1,498",958,"2,111"
2020,1,50,"12,475",765,318,365,271,342,409,361,421,215,245,326,164,132,213,127,605,700,368,"2,080","1,790",958,"1,300"
2020,1,60,"10,275",702,320,364,298,410,448,356,390,203,267,340,184,175,241,143,687,680,384,"1,224","1,335",643,481
2020,1,70,"5,712",373,187,194,177,247,290,234,211,130,157,228,125,86,173,62,442,429,271,550,706,294,146
2020,1,80,"2,583",167,122,109,65,149,140,85,105,82,74,106,71,55,91,50,147,209,126,240,260,89,41
2020,1,90,228,17,9,4,6,11,14,13,6,7,8,21,13,4,6,4,12,15,11,19,17,6,5
2020,1,100,10,1,0,0,0,0,1,1,1,0,0,1,2,0,0,0,0,0,2,0,1,0,0
2020,2,총,"70,589","3,645","1,570","1,644","1,294","1,697","2,121","1,673","1,820","1,025","1,143","1,439",807,650,"1,072",520,"3,499","3,895","1,986","12,243","10,212","5,543","11,091"
2020,2,0,"5,604",212,49,50,41,51,84,61,56,40,33,27,20,15,38,7,134,137,91,"1,167",739,458,"2,094"
2020,2,10,"6,450",228,74,84,62,64,125,91,103,52,55,65,34,25,63,23,188,266,137,"1,551","1,263",627,"1,270"
2020,2,20,"8,379",349,152,162,145,120,209,161,201,75,86,101,67,46,76,29,392,498,197,"1,945","1,433",775,"1,160"
2020,2,30,"8,395",331,135,116,88,127,145,128,132,94,79,84,48,33,74,14,356,454,154,"1,480","1,141",721,"2,461"
2020,2,40,"10,384",506,199,198,143,173,254,181,196,125,136,140,79,74,98,60,532,496,250,"1,968","1,496",956,"2,124"
2020,2,50,"12,511",769,321,361,272,338,410,362,417,215,243,324,164,134,214,128,609,709,363,"2,092","1,792",967,"1,307"
2020,2,60,"10,300",694,319,365,295,414,448,355,391,204,272,338,186,176,241,143,686,677,384,"1,230","1,356",646,480
2020,2,70,"5,726",368,188,198,174,251,291,236,211,133,155,234,124,87,172,63,442,430,268,550,706,297,148
2020,2,80,"2,600",171,124,106,68,147,140,84,106,80,76,106,70,56,90,49,146,213,129,240,268,90,41
2020,2,90,230,16,9,4,6,12,14,13,6,7,8,19,13,4,6,4,14,15,11,20,17,6,6
2020,2,100,10,1,0,0,0,0,1,1,1,0,0,1,2,0,0,0,0,0,2,0,1,0,0
2020,3,총,"70,481","3,641","1,568","1,632","1,281","1,682","2,115","1,658","1,808","1,024","1,138","1,432",804,652,"1,070",523,"3,508","3,867","1,974","12,234","10,200","5,554","11,116"
2020,3,0,"5,580",214,48,49,37,50,85,58,57,40,32,26,19,17,39,8,133,132,88,"1,151",741,459,"2,097"
2020,3,10,"6,423",231,75,84,60,62,126,89,103,51,55,65,34,26,62,24,189,260,134,"1,559","1,241",621,"1,272"
2020,3,20,"8,364",338,148,160,145,122,207,157,198,76,86,99,66,46,74,32,398,495,191,"1,949","1,436",776,"1,165"
2020,3,30,"8,332",328,133,111,87,118,140,124,128,93,75,81,46,31,77,15,351,454,149,"1,454","1,145",730,"2,462"
2020,3,40,"10,322",503,201,194,142,171,248,176,190,123,134,139,78,74,97,57,535,492,253,"1,962","1,492",945,"2,116"
2020,3,50,"12,516",767,319,359,268,338,414,361,422,213,243,322,162,134,210,131,607,703,362,"2,100","1,784",975,"1,322"
2020,3,60,"10,331",699,324,369,297,412,446,357,390,208,265,337,190,175,241,141,685,668,386,"1,239","1,365",650,487
2020,3,70,"5,762",369,187,196,172,252,297,234,208,134,163,238,122,90,172,61,448,434,269,558,708,303,147
2020,3,80,"2,609",175,123,106,67,145,137,87,105,80,77,105,71,55,92,50,148,214,129,242,270,89,42
2020,3,90,232,16,10,4,6,12,14,14,6,6,8,19,14,4,6,4,14,15,11,20,17,6,6
2020,3,100,10,1,0,0,0,0,1,1,1,0,0,1,2,0,0,0,0,0,2,0,1,0,0
2020,4,총,"70,365","3,620","1,559","1,620","1,265","1,673","2,099","1,642","1,790","1,011","1,128","1,419",801,650,"1,071",517,"3,497","3,873","1,955","12,265","10,184","5,558","11,168"
2020,4,0,"5,554",213,51,46,38,50,84,57,56,36,31,25,19,17,39,8,131,130,84,"1,139",737,462,"2,101"
2020,4,10,"6,397",225,71,84,58,62,128,86,101,52,56,64,33,24,63,23,187,260,135,"1,548","1,235",626,"1,276"
2020,4,20,"8,358",334,144,158,139,121,204,153,199,74,86,96,64,48,75,31,400,499,180,"1,965","1,439",769,"1,180"
2020,4,30,"8,253",322,131,105,85,116,132,121,127,88,70,79,47,31,77,15,348,446,150,"1,459","1,128",721,"2,455"
2020,4,40,"10,279",491,197,188,139,166,236,173,184,122,131,137,75,74,99,54,524,493,246,"1,977","1,488",950,"2,135"
2020,4,50,"12,522",766,320,363,266,334,421,357,418,209,241,320,158,133,209,131,612,703,357,"2,105","1,787",979,"1,333"
2020,4,60,"10,360",705,323,371,292,413,447,359,388,210,266,334,194,174,238,140,681,674,388,"1,255","1,364",651,493
2020,4,70,"5,783",368,189,195,176,255,298,235,206,133,161,238,122,90,169,61,455,435,272,558,716,304,147
2020,4,80,"2,619",179,123,106,66,144,134,87,104,81,76,107,73,55,97,49,147,217,130,239,274,89,42
2020,4,90,230,16,10,4,6,12,14,13,6,6,10,18,14,4,5,5,12,16,11,20,15,7,6
2020,4,100,10,1,0,0,0,0,1,1,1,0,0,1,2,0,0,0,0,0,2,0,1,0,0
2020,5,총,"70,371","3,617","1,559","1,618","1,257","1,671","2,091","1,635","1,780","1,009","1,128","1,418",801,642,"1,069",518,"3,492","3,855","1,943","12,288","10,195","5,570","11,215"
2020,5,0,"5,534",213,51,44,38,48,86,57,52,38,31,25,19,15,39,8,128,130,85,"1,127",729,463,"2,108"
2020,5,10,"6,407",226,68,81,56,62,123,85,102,51,55,61,33,25,62,22,189,255,134,"1,542","1,262",625,"1,288"
2020,5,20,"8,334",330,147,158,138,121,203,151,199,74,85,97,64,44,74,31,395,493,177,"1,963","1,435",764,"1,191"
2020,5,30,"8,240",317,132,108,81,118,130,121,124,87,71,79,49,33,76,18,351,443,148,"1,474","1,118",716,"2,446"
2020,5,40,"10,286",490,194,189,135,165,237,173,184,120,132,136,71,72,96,55,524,496,238,"1,981","1,485",962,"2,151"
2020,5,50,"12,520",762,324,362,265,335,417,351,413,209,237,321,159,132,211,129,610,698,361,"2,111","1,785",984,"1,344"
2020,5,60,"10,392",714,321,370,295,412,446,361,386,209,266,337,197,174,238,140,683,677,381,"1,271","1,369",654,491
2020,5,70,"5,783",369,189,195,175,253,300,233,209,134,163,238,120,88,172,60,451,432,276,555,718,305,148
2020,5,80,"2,636",178,122,107,69,145,134,89,104,81,78,106,73,54,96,50,149,217,130,243,278,91,42
2020,5,90,229,17,11,4,5,12,14,13,6,6,10,17,14,5,5,5,12,14,11,21,15,6,6
2020,5,100,10,1,0,0,0,0,1,1,1,0,0,1,2,0,0,0,0,0,2,0,1,0,0
2020,6,총,"70,596","3,641","1,552","1,614","1,266","1,671","2,083","1,635","1,779","1,012","1,122","1,420",801,636,"1,109",521,"3,483","3,843","1,943","12,304","10,320","5,612","11,229"
2020,6,0,"5,527",215,51,43,37,48,86,57,52,39,29,24,19,15,37,9,129,130,85,"1,111",728,463,"2,120"
2020,6,10,"6,550",224,65,80,54,60,122,87,102,49,54,60,32,24,102,20,189,253,132,"1,551","1,375",627,"1,288"
2020,6,20,"8,324",339,147,156,137,118,199,147,197,77,86,97,63,41,75,33,390,492,179,"1,966","1,435",763,"1,187"
2020,6,30,"8,217",322,130,104,83,118,125,118,123,89,68,82,48,32,76,18,345,442,146,"1,469","1,110",741,"2,428"
2020,6,40,"10,309",496,191,189,132,161,239,173,183,118,132,132,71,72,95,55,520,505,235,"1,988","1,490",969,"2,163"
2020,6,50,"12,498",759,324,355,271,335,414,351,411,206,233,325,161,131,210,128,608,682,363,"2,112","1,785",982,"1,352"
2020,6,60,"10,475",721,321,378,298,414,450,366,393,212,268,340,197,173,240,142,684,683,381,"1,286","1,375",663,490
2020,6,70,"5,814",369,191,196,178,257,300,232,209,136,164,236,121,87,173,61,455,426,279,560,724,307,153
2020,6,80,"2,640",178,121,108,70,148,132,91,102,80,78,106,73,56,96,50,151,214,130,241,282,91,42
2020,6,90,232,17,11,5,6,12,15,12,6,6,10,17,14,5,5,5,12,16,11,20,15,6,6
2020,6,100,10,1,0,0,0,0,1,1,1,0,0,1,2,0,0,0,0,0,2,0,1,0,0
