년도,월,나이,양천구,목1동,목2동,목3동,목4동,목5동,신월1동,신월2동,신월3동,신월4동,신월5동,신월6동,신월7동,신정1동,신정2동,신정3동,신정4동,신정6동,신정7동
2020,1,총,"224,995","15,343","15,228","11,048","13,078","21,206","10,979","10,730","8,651","9,299","7,653","3,259","10,543","10,453","10,036","23,283","17,038","12,288","14,880"
2020,1,0,"17,031","1,539",956,769,769,"1,882",595,815,550,870,550,209,643,"1,030",689,"1,949","1,037","1,120","1,059"
2020,1,10,"27,369","2,610","1,478",899,"1,956","4,217",721,936,652,915,730,343,767,"1,600","1,581","2,854","1,285","1,945","1,880"
2020,1,20,"31,191","1,719","2,520","1,838","2,222","2,469","1,464","1,387","1,113","1,152","1,143",443,"1,483","1,304","1,428","3,135","2,599","1,703","2,069"
2020,1,30,"29,200","1,468","2,830","2,057","1,510","1,824","1,568","1,649","1,207","1,303","1,177",405,"1,530",984,891,"2,999","2,917","1,256","1,625"
2020,1,40,"38,651","3,269","2,261","1,607","2,137","4,250","1,727","1,745","1,350","1,587","1,189",522,"1,638","1,999","1,800","4,094","2,745","2,160","2,571"
2020,1,50,"38,458","2,592","2,422","1,729","2,424","3,511","2,105","1,672","1,694","1,452","1,261",562,"1,833","1,837","1,897","3,876","2,666","2,207","2,718"
2020,1,60,"26,391","1,359","1,747","1,352","1,242","1,928","1,733","1,527","1,308","1,226",981,460,"1,601","1,011","1,100","2,579","2,191","1,241","1,805"
2020,1,70,"12,747",614,768,597,642,830,863,792,584,630,490,247,771,510,456,"1,380","1,237",488,848
2020,1,80,"3,518",151,208,182,159,246,186,194,175,147,125,59,248,154,173,377,325,139,270
2020,1,90,397,20,33,15,15,49,12,11,14,15,6,7,26,22,19,38,33,29,33
2020,1,100,42,2,5,3,2,0,5,2,4,2,1,2,3,2,2,2,3,0,2
2020,2,총,"224,702","15,375","15,207","11,024","13,062","21,231","10,918","10,714","8,624","9,245","7,643","3,248","10,518","10,453","10,057","23,279","16,984","12,298","14,822"
2020,2,0,"17,097","1,563",951,760,773,"1,939",588,799,544,856,550,205,635,"1,038",713,"1,964","1,023","1,132","1,064"
2020,2,10,"27,215","2,613","1,463",889,"1,934","4,193",705,937,650,908,728,342,760,"1,597","1,577","2,843","1,264","1,948","1,864"
2020,2,20,"30,963","1,695","2,501","1,818","2,219","2,433","1,457","1,384","1,112","1,134","1,136",437,"1,477","1,285","1,399","3,127","2,613","1,689","2,047"
2020,2,30,"29,106","1,488","2,843","2,054","1,501","1,846","1,543","1,634","1,198","1,293","1,169",400,"1,517",971,905,"2,975","2,903","1,261","1,605"
2020,2,40,"38,743","3,279","2,264","1,598","2,130","4,311","1,716","1,749","1,342","1,577","1,190",523,"1,634","2,020","1,839","4,088","2,718","2,179","2,586"
2020,2,50,"38,269","2,587","2,407","1,735","2,437","3,454","2,095","1,672","1,680","1,443","1,257",563,"1,833","1,836","1,872","3,864","2,664","2,186","2,684"
2020,2,60,"26,534","1,357","1,753","1,367","1,248","1,929","1,744","1,533","1,320","1,233",991,459,"1,612","1,012","1,099","2,612","2,199","1,248","1,818"
2020,2,70,"12,802",619,779,597,645,834,866,799,585,635,490,251,770,516,458,"1,382","1,236",488,852
2020,2,80,"3,531",150,207,188,158,241,187,195,175,149,125,59,252,153,175,384,328,138,267
2020,2,90,401,22,34,15,15,51,12,10,14,15,6,7,26,23,18,38,33,29,33
2020,2,100,41,2,5,3,2,0,5,2,4,2,1,2,2,2,2,2,3,0,2
2020,3,총,"224,241","15,360","15,173","10,997","13,001","21,205","10,893","10,645","8,609","9,245","7,621","3,300","10,502","10,391","10,023","23,270","16,915","12,305","14,786"
2020,3,0,"16,964","1,559",937,758,768,"1,924",576,784,548,845,547,215,633,"1,022",699,"1,946","1,009","1,127","1,067"
2020,3,10,"27,056","2,612","1,435",875,"1,923","4,179",701,936,644,895,720,360,749,"1,583","1,566","2,842","1,254","1,934","1,848"
2020,3,20,"30,990","1,693","2,525","1,824","2,211","2,449","1,463","1,379","1,106","1,148","1,123",437,"1,483","1,271","1,403","3,136","2,599","1,700","2,040"
2020,3,30,"28,994","1,492","2,826","2,041","1,488","1,834","1,536","1,630","1,193","1,295","1,163",415,"1,492",969,900,"2,960","2,884","1,267","1,609"
2020,3,40,"38,504","3,269","2,253","1,596","2,120","4,282","1,696","1,729","1,333","1,571","1,182",532,"1,631","1,989","1,821","4,067","2,680","2,182","2,571"
2020,3,50,"38,183","2,573","2,405","1,728","2,417","3,459","2,100","1,663","1,668","1,437","1,250",561,"1,836","1,833","1,880","3,868","2,664","2,180","2,661"
2020,3,60,"26,655","1,359","1,772","1,371","1,250","1,942","1,738","1,525","1,330","1,239","1,008",455,"1,624","1,024","1,099","2,623","2,211","1,254","1,831"
2020,3,70,"12,878",625,770,599,648,843,878,792,588,644,490,255,771,521,463,"1,392","1,245",493,861
2020,3,80,"3,571",153,210,187,160,243,188,195,180,153,129,61,255,154,173,396,333,138,263
2020,3,90,402,23,35,15,14,50,12,10,14,16,7,7,26,23,17,38,32,30,33
