년도,월,나이,경상남도 밀양시,경상남도 밀양시 삼랑진읍,경상남도 밀양시 삼랑진임천출장소,경상남도 밀양시 하남읍,경상남도 밀양시 부북면,경상남도 밀양시 상동면,경상남도 밀양시 산외면,경상남도 밀양시 산내면,경상남도 밀양시 단장면,경상남도 밀양시 상남면,경상남도 밀양시 초동면,경상남도 밀양시 무안면,경상남도 밀양시 청도면,경상남도 밀양시 내일동,경상남도 밀양시 내이동,경상남도 밀양시 삼문동,경상남도 밀양시 가곡동,경상남도 밀양시 교동
2020,1,총,"51,578","2,714",640,"3,626","2,670","1,479","1,480","2,021","2,146","4,370","1,736","2,525",865,"1,436","7,317","10,120","3,458","2,975"
2020,1,0,"2,999",78,12,153,74,27,47,50,44,243,43,63,17,31,602,"1,132",182,201
2020,1,10,"4,267",135,25,243,148,49,73,119,90,320,76,140,37,98,698,"1,407",296,313
2020,1,20,"5,428",208,66,326,228,119,128,154,167,429,122,214,54,174,"1,013","1,262",380,384
2020,1,30,"4,911",210,43,307,212,97,100,122,147,408,117,158,44,115,"1,007","1,133",340,351
2020,1,40,"7,013",327,74,486,298,128,171,238,197,607,200,240,78,185,"1,158","1,683",478,465
2020,1,50,"9,760",549,128,711,562,279,316,401,477,807,327,532,137,301,"1,315","1,655",694,569
2020,1,60,"9,732",669,152,751,653,438,339,522,595,885,446,606,261,272,983,"1,119",607,434
2020,1,70,"5,262",397,97,447,333,241,231,310,309,468,279,369,155,192,388,524,329,193
2020,1,80,"2,032",130,37,189,150,94,72,98,112,185,118,189,75,61,134,187,138,63
2020,1,90,170,11,6,12,12,7,2,7,8,18,7,14,7,6,19,18,14,2
2020,1,100,4,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
2020,2,총,"51,625","2,700",637,"3,625","2,689","1,486","1,474","2,028","2,147","4,342","1,731","2,529",860,"1,429","7,365","10,035","3,598","2,950"
2020,2,0,"3,001",76,11,156,77,28,45,50,47,239,43,63,17,32,605,"1,112",203,197
2020,2,10,"4,265",132,26,245,145,51,75,120,93,313,80,163,35,93,702,"1,381",308,303
2020,2,20,"5,403",205,63,318,230,116,129,151,161,427,117,207,51,171,"1,031","1,256",398,372
2020,2,30,"4,908",205,43,306,215,96,97,120,152,402,117,159,45,118,"1,009","1,115",355,354
2020,2,40,"7,026",328,73,483,301,132,167,244,197,596,201,237,79,182,"1,159","1,684",501,462
2020,2,50,"9,743",548,128,708,570,279,315,401,468,799,323,523,135,300,"1,319","1,647",715,565
2020,2,60,"9,785",664,151,754,654,440,339,526,601,891,448,607,260,274,993,"1,115",632,436
2020,2,70,"5,287",400,98,451,332,244,231,313,309,473,278,368,158,191,390,524,331,196
2020,2,80,"2,035",131,38,191,152,93,73,98,111,185,116,187,74,61,137,184,141,63
2020,2,90,168,11,6,12,13,7,2,5,8,17,7,15,6,6,20,17,14,2
2020,2,100,4,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
2020,3,총,"51,571","2,686",629,"3,617","2,705","1,480","1,484","2,021","2,137","4,315","1,723","2,521",860,"1,424","7,373","9,993","3,668","2,935"
2020,3,0,"2,987",77,11,157,77,28,45,51,47,238,43,64,19,33,615,"1,090",206,186
2020,3,10,"4,258",131,25,244,147,52,75,119,93,311,78,161,34,93,699,"1,376",318,302
2020,3,20,"5,379",203,60,312,242,112,131,150,158,422,112,199,49,170,"1,020","1,255",415,369
2020,3,30,"4,859",199,44,304,219,94,97,121,145,396,110,156,42,117,"1,005","1,097",363,350
2020,3,40,"7,010",321,71,487,295,131,169,238,194,587,204,233,82,178,"1,158","1,687",517,458
2020,3,50,"9,744",547,127,707,578,278,315,398,468,797,319,519,136,302,"1,328","1,641",723,561
2020,3,60,"9,789",661,147,748,649,442,340,525,603,887,452,610,262,272,997,"1,114",636,444
2020,3,70,"5,320",404,103,454,330,244,233,315,310,474,280,375,155,193,392,526,331,201
2020,3,80,"2,058",132,36,192,155,92,75,99,111,187,117,189,76,61,139,189,145,63
2020,3,90,162,11,5,11,13,7,3,5,7,16,7,15,5,4,20,18,14,1
2020,3,100,5,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0
