년도,월,나이,전라남도 함평군,전라남도 함평군 함평읍,전라남도 함평군 손불면,전라남도 함평군 신광면,전라남도 함평군 학교면,전라남도 함평군 엄다면,전라남도 함평군 대동면,전라남도 함평군 나산면,전라남도 함평군 해보면,전라남도 함평군 월야면
2020,3,총,"32,630","8,599","3,442","1,913","3,948","1,954","3,172","2,915","2,920","3,767"
2020,3,0,"1,470",552,152,74,146,51,110,112,108,165
2020,3,10,"2,143",783,192,66,218,100,247,150,142,245
2020,3,20,"2,645",845,195,147,291,142,263,211,268,283
2020,3,30,"2,231",735,190,125,245,106,190,189,206,245
2020,3,40,"3,662","1,190",365,192,399,179,322,272,325,418
2020,3,50,"5,696","1,423",602,310,697,372,579,527,526,660
2020,3,60,"5,717","1,223",636,411,744,353,535,612,550,653
2020,3,70,"5,235","1,081",678,326,674,358,527,459,462,670
2020,3,80,"3,332",670,386,223,457,258,347,335,284,372
2020,3,90,473,91,45,38,74,34,51,46,42,52
2020,3,100,26,6,1,1,3,1,1,2,7,4
2020,4,총,"32,519","8,559","3,429","1,912","3,933","1,938","3,161","2,909","2,917","3,761"
2020,4,0,"1,459",553,150,74,146,48,107,111,105,165
2020,4,10,"2,122",776,194,67,216,98,239,150,138,244
2020,4,20,"2,623",837,191,145,284,141,266,208,268,283
2020,4,30,"2,199",725,185,126,242,102,192,185,199,243
2020,4,40,"3,634","1,183",367,189,394,176,307,276,329,413
2020,4,50,"5,664","1,414",595,304,689,371,583,523,528,657
2020,4,60,"5,744","1,230",634,415,751,354,542,611,550,657
2020,4,70,"5,217","1,072",675,325,674,352,525,462,467,665
2020,4,80,"3,354",671,392,228,460,260,349,332,284,378
2020,4,90,477,92,45,38,74,35,50,49,42,52
2020,4,100,26,6,1,1,3,1,1,2,7,4
2020,5,총,"32,433","8,519","3,430","1,901","3,934","1,936","3,152","2,910","2,898","3,753"
2020,5,0,"1,448",543,148,73,148,49,108,111,105,163
2020,5,10,"2,111",771,191,67,224,100,237,148,134,239
2020,5,20,"2,593",829,193,142,279,137,264,202,266,281
2020,5,30,"2,182",723,181,121,239,105,192,187,191,243
2020,5,40,"3,606","1,175",364,188,390,173,306,276,328,406
2020,5,50,"5,650","1,402",589,302,692,370,583,521,528,663
2020,5,60,"5,753","1,237",640,409,751,357,541,613,547,658
2020,5,70,"5,220","1,065",676,331,676,346,527,466,466,667
2020,5,80,"3,365",675,401,229,462,264,341,336,283,374
2020,5,90,478,93,46,38,70,34,52,48,43,54
2020,5,100,27,6,1,1,3,1,1,2,7,5
2020,6,총,"32,360","8,503","3,431","1,891","3,927","1,938","3,146","2,904","2,878","3,742"
2020,6,0,"1,447",544,147,72,148,48,112,113,100,163
2020,6,10,"2,093",764,191,65,225,100,232,150,133,233
2020,6,20,"2,567",816,196,137,275,136,263,198,265,281
2020,6,30,"2,183",732,183,123,235,104,194,188,184,240
2020,6,40,"3,589","1,173",360,187,392,174,301,273,328,401
2020,6,50,"5,596","1,388",584,298,680,371,580,511,523,661
2020,6,60,"5,810","1,253",645,411,761,360,547,616,552,665
2020,6,70,"5,200","1,062",671,330,678,348,523,469,456,663
2020,6,80,"3,369",674,407,229,459,262,339,336,287,376
2020,6,90,480,92,46,38,71,34,54,48,43,54
2020,6,100,26,5,1,1,3,1,1,2,7,5
2020,7,총,"32,307","8,502","3,420","1,890","3,916","1,947","3,144","2,888","2,870","3,730"
2020,7,0,"1,438",548,141,71,147,51,110,109,99,162
2020,7,10,"2,088",767,190,66,221,99,236,143,133,233
2020,7,20,"2,544",808,200,133,274,139,258,196,259,277
2020,7,30,"2,182",735,183,121,233,104,194,186,188,238
2020,7,40,"3,562","1,162",357,186,393,174,297,269,323,401
2020,7,50,"5,592","1,384",584,302,672,369,583,516,525,657
2020,7,60,"5,817","1,261",638,410,764,363,544,617,555,665
2020,7,70,"5,216","1,068",670,331,681,351,528,468,454,665
2020,7,80,"3,368",672,411,231,459,262,340,335,285,373
