년도,월,나이,파주시,문산읍,파주읍,법원읍,조리읍,월롱면,탄현면,광탄면,파평면,적성면,군내면,장단출장소,장단면,진동면,진서면,금촌1동,금촌2동,금촌3동,교하동,운정1동,운정2동,운정3동
2020,1,총,"453,961","48,665","13,218","11,114","30,483","9,490","13,559","11,658","3,940","7,594",0.0,577.0,0,153.0,0.0,"22,645","33,997","27,579","41,225","45,048","60,357","72,659"
2020,1,0,"45,061","5,336",562,403,"1,937",196,764,515,117,586,0.0,24.0,0,6.0,0.0,"1,291","3,777","2,540","4,153","5,356","8,883","8,615"
2020,1,10,"48,577","4,733",821,831,"2,916",298,"1,057",720,215,555,0.0,37.0,0,10.0,0.0,"1,585","4,420","2,872","5,616","5,884","7,277","8,730"
2020,1,20,"55,235","5,705","1,470","1,344","3,853","2,417","1,532","1,304",419,941,0.0,65.0,0,4.0,0.0,"3,461","4,264","3,820","4,424","5,066","6,495","8,651"
2020,1,30,"67,454","8,180","1,398",958,"3,193","2,311","1,552","1,099",282,866,0.0,50.0,0,10.0,0.0,"3,000","4,996","3,930","5,384","6,785","11,754","11,706"
2020,1,40,"79,166","7,455","1,763","1,370","4,647",951,"2,222","1,402",378,881,0.0,76.0,0,13.0,0.0,"3,436","6,338","4,411","8,441","8,937","11,892","14,553"
2020,1,50,"69,764","6,863","2,532","2,273","5,970","1,329","2,588","2,447",779,"1,262",0.0,105.0,0,26.0,0.0,"4,226","5,021","4,558","6,324","6,501","6,817","10,143"
2020,1,60,"45,367","4,914","2,192","1,901","4,192","1,061","1,917","2,105",743,"1,172",0.0,87.0,0,32.0,0.0,"2,957","2,575","2,861","3,658","3,600","3,862","5,538"
2020,1,70,"28,083","3,489","1,504","1,285","2,445",553,"1,159","1,235",592,909,0.0,89.0,0,35.0,0.0,"1,792","1,706","1,691","2,076","1,965","2,320","3,238"
2020,1,80,"13,160","1,729",813,642,"1,163",327,641,686,346,358,0.0,42.0,0,15.0,0.0,776,781,796,969,826,927,"1,323"
