년도,월,나이,전라남도 해남군,전라남도 해남군 해남읍,전라남도 해남군 삼산면,전라남도 해남군 화산면,전라남도 해남군 현산면,전라남도 해남군 송지면,전라남도 해남군 북평면,전라남도 해남군 북일면,전라남도 해남군 옥천면,전라남도 해남군 계곡면,전라남도 해남군 마산면,전라남도 해남군 황산면,전라남도 해남군 산이면,전라남도 해남군 문내면,전라남도 해남군 화원면
2020,1,총,"34,599","12,207","1,526","1,687","1,461","3,117","1,401",970,"1,521","1,062","1,255","2,462","1,966","2,061","1,903"
2020,1,0,"2,207","1,208",55,82,40,164,54,29,55,47,58,112,114,113,76
2020,1,10,"2,896","1,557",92,81,86,215,102,55,99,54,75,149,99,134,98
2020,1,20,"3,166","1,448",119,118,98,293,100,64,107,59,88,191,152,168,161
2020,1,30,"2,817","1,258",120,150,95,252,84,51,72,64,71,182,151,122,145
2020,1,40,"4,797","1,967",194,208,177,396,151,122,208,140,159,250,281,255,289
2020,1,50,"6,582","2,099",306,334,298,604,262,196,322,183,275,510,392,424,377
2020,1,60,"5,880","1,475",314,316,307,553,281,199,285,220,227,543,368,405,387
2020,1,70,"4,358",901,223,277,239,463,255,160,235,166,194,361,306,330,248
2020,1,80,"1,748",266,94,115,117,171,100,90,128,113,96,152,98,98,110
2020,1,90,146,28,9,6,4,6,12,4,10,15,11,12,5,12,12
2020,1,100,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2020,2,총,"34,542","12,238","1,514","1,675","1,460","3,102","1,393",969,"1,518","1,051","1,252","2,454","1,959","2,063","1,894"
2020,2,0,"2,183","1,198",53,81,41,162,51,29,54,46,56,110,113,113,76
2020,2,10,"2,862","1,560",88,80,85,207,101,55,93,52,72,147,96,129,97
2020,2,20,"3,172","1,457",120,113,97,296,101,65,112,58,90,187,147,171,158
2020,2,30,"2,803","1,274",114,145,92,246,81,51,72,60,67,181,154,124,142
2020,2,40,"4,774","1,947",190,211,179,396,151,122,208,141,161,247,284,252,285
2020,2,50,"6,572","2,117",306,329,297,599,259,196,319,179,272,516,381,423,379
2020,2,60,"5,911","1,486",317,319,313,553,283,197,284,219,230,543,374,407,386
2020,2,70,"4,345",904,217,273,238,463,254,158,238,165,197,355,304,330,249
2020,2,80,"1,766",265,100,118,114,174,98,92,126,115,96,155,101,102,110
2020,2,90,152,30,9,6,4,6,14,4,12,15,10,13,5,12,12
2020,2,100,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2020,3,총,"34,459","12,227","1,505","1,672","1,453","3,095","1,385",971,"1,520","1,041","1,249","2,444","1,957","2,059","1,881"
2020,3,0,"2,159","1,196",52,80,41,161,51,28,53,40,55,105,112,109,76
2020,3,10,"2,846","1,547",86,81,83,205,101,56,95,53,73,143,96,131,96
2020,3,20,"3,163","1,454",126,110,98,294,99,64,112,59,91,188,146,167,155
2020,3,30,"2,792","1,282",108,144,90,244,81,50,72,58,64,178,155,127,139
2020,3,40,"4,732","1,934",186,208,173,398,151,119,208,140,159,244,282,246,284
2020,3,50,"6,570","2,137",302,328,298,590,256,201,316,175,273,511,381,425,377
2020,3,60,"5,917","1,476",319,317,315,559,280,198,284,223,229,545,375,412,385
2020,3,70,"4,334",900,215,280,237,462,253,155,239,163,198,356,301,326,249
2020,3,80,"1,795",272,102,118,114,175,100,96,129,114,96,161,104,105,109
2020,3,90,149,29,9,6,4,7,13,4,12,15,10,13,5,11,11
2020,3,100,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2020,4,총,"34,381","12,247","1,492","1,657","1,445","3,080","1,384",966,"1,527","1,036","1,242","2,424","1,951","2,054","1,876"
2020,4,0,"2,140","1,193",52,78,41,157,52,29,53,38,53,100,108,111,75
2020,4,10,"2,836","1,548",86,80,81,205,98,54,94,53,71,143,95,129,99
2020,4,20,"3,149","1,460",120,104,96,287,99,63,115,61,92,186,145,169,152
2020,4,30,"2,781","1,291",107,143,91,245,80,48,74,55,62,172,152,125,136
2020,4,40,"4,708","1,937",182,208,168,395,154,119,206,134,160,243,283,242,277
2020,4,50,"6,549","2,131",303,322,294,585,256,199,317,179,272,508,380,423,380
2020,4,60,"5,937","1,480",316,319,321,561,280,198,288,222,227,549,376,412,388
2020,4,70,"4,318",902,213,279,235,461,250,156,237,163,196,350,300,325,251
2020,4,80,"1,815",276,104,118,114,177,102,96,130,115,98,164,107,107,107
2020,4,90,147,29,9,6,4,7,13,4,13,15,11,9,5,11,11
2020,4,100,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020,5,총,"34,339","12,269","1,481","1,650","1,437","3,074","1,376",970,"1,533","1,029","1,240","2,420","1,945","2,046","1,869"
2020,5,0,"2,143","1,204",51,77,41,156,49,29,56,36,54,100,106,109,75
