년도,월,나이,광주시,오포읍,초월읍,곤지암읍,도척면,퇴촌면,남종면,남한산성면,경안동,송정동,광남동,쌍령동,탄벌동,광남1동,광남2동
2020,1,총,"182,147","53,407","20,835","10,644","4,067","7,065",719,"1,258","21,352","30,033","32,767",,,,
2020,1,0,"17,563","5,536","1,861",718,247,513,21,79,"1,994","2,570","4,024",,,,
2020,1,10,"16,352","4,179","2,271",907,285,546,28,104,"2,020","2,882","3,130",,,,
2020,1,20,"20,771","6,192","2,366","1,254",401,509,56,102,"2,723","3,681","3,487",,,,
2020,1,30,"28,404","9,835","2,785","1,242",409,721,43,107,"3,307","4,066","5,889",,,,
2020,1,40,"30,387","8,773","3,641","1,656",535,"1,027",72,163,"3,548","5,106","5,866",,,,
2020,1,50,"30,322","8,513","3,409","2,017",772,"1,245",125,222,"3,622","5,592","4,805",,,,
2020,1,60,"21,819","6,010","2,454","1,472",724,"1,368",167,215,"2,359","3,631","3,419",,,,
2020,1,70,"10,767","2,916","1,314",810,405,724,124,154,"1,185","1,692","1,443",,,,
2020,1,80,"4,799","1,211",619,473,239,335,72,89,494,684,583,,,,
2020,1,90,887,230,112,81,44,72,11,20,91,110,116,,,,
2020,1,100,76,12,3,14,6,5,0,3,9,19,5,,,,
2020,2,총,"182,446","53,652","20,893","10,632","4,066","7,052",726,"1,257","21,331","29,962","32,875",,,,
2020,2,0,"17,539","5,532","1,879",713,237,517,22,81,"1,982","2,536","4,040",,,,
2020,2,10,"16,300","4,175","2,268",895,289,537,28,105,"2,019","2,854","3,130",,,,
2020,2,20,"20,734","6,196","2,358","1,255",395,506,56,100,"2,708","3,675","3,485",,,,
2020,2,30,"28,202","9,783","2,767","1,226",410,704,45,107,"3,282","4,005","5,873",,,,
2020,2,40,"30,603","8,885","3,656","1,665",539,"1,041",74,167,"3,543","5,128","5,905",,,,
2020,2,50,"30,396","8,582","3,426","2,019",768,"1,221",122,218,"3,632","5,581","4,827",,,,
2020,2,60,"22,011","6,078","2,475","1,475",731,"1,384",169,216,"2,380","3,665","3,438",,,,
2020,2,70,"10,827","2,943","1,313",812,404,721,127,151,"1,187","1,707","1,462",,,,
2020,2,80,"4,848","1,234",633,477,242,343,72,89,497,677,584,,,,
2020,2,90,911,234,115,81,45,73,11,21,92,115,124,,,,
2020,2,100,75,10,3,14,6,5,0,2,9,19,7,,,,
2020,3,총,"182,968","53,978","20,929","10,648","4,087","7,065",728,"1,256","21,336","29,986","32,955",,,,
2020,3,0,"17,470","5,530","1,847",717,240,521,25,79,"1,969","2,509","4,033",,,,
2020,3,10,"16,315","4,185","2,263",892,290,538,28,104,"2,012","2,859","3,144",,,,
2020,3,20,"20,882","6,270","2,384","1,257",402,496,56,98,"2,735","3,668","3,516",,,,
2020,3,30,"28,147","9,807","2,762","1,227",407,712,47,105,"3,258","3,988","5,834",,,,
2020,3,40,"30,676","8,954","3,640","1,658",530,"1,039",74,168,"3,542","5,138","5,933",,,,
2020,3,50,"30,434","8,593","3,448","2,009",777,"1,216",117,219,"3,626","5,580","4,849",,,,
2020,3,60,"22,281","6,190","2,504","1,500",742,"1,389",170,217,"2,402","3,711","3,456",,,,
2020,3,70,"10,889","2,961","1,316",813,405,731,127,154,"1,193","1,717","1,472",,,,
2020,3,80,"4,881","1,235",646,479,243,346,72,89,497,685,589,,,,
2020,3,90,920,242,116,82,45,72,12,21,92,113,125,,,,
2020,3,100,73,11,3,14,6,5,0,2,10,18,4,,,,
2020,4,총,"183,353","54,137","21,000","10,631","4,098","7,104",722,"1,245","21,319","30,051","33,046",,,,
2020,4,0,"17,450","5,523","1,836",714,242,520,22,78,"1,959","2,524","4,032",,,,
2020,4,10,"16,297","4,186","2,271",887,292,538,28,102,"1,998","2,851","3,144",,,,
2020,4,20,"20,946","6,295","2,410","1,260",402,500,54,95,"2,736","3,677","3,517",,,,
2020,4,30,"28,134","9,787","2,760","1,228",409,719,47,100,"3,256","3,986","5,842",,,,
2020,4,40,"30,690","9,001","3,652","1,636",530,"1,039",73,169,"3,518","5,119","5,953",,,,
2020,4,50,"30,496","8,633","3,431","2,010",778,"1,220",115,217,"3,634","5,588","4,870",,,,
2020,4,60,"22,471","6,230","2,545","1,502",741,"1,411",170,219,"2,412","3,752","3,489",,,,
2020,4,70,"10,942","2,970","1,324",818,409,732,129,151,"1,201","1,727","1,481",,,,
2020,4,80,"4,920","1,257",651,482,243,346,73,91,499,692,586,,,,
2020,4,90,934,244,117,80,46,74,11,21,96,117,128,,,,
2020,4,100,73,11,3,14,6,5,0,2,10,18,4,,,,
2020,5,총,"183,859","54,398","21,103","10,653","4,104","7,141",725,"1,239","21,328","30,053","33,115",,,,
2020,5,0,"17,425","5,535","1,831",710,236,522,21,77,"1,950","2,513","4,030",,,,
2020,5,10,"16,349","4,207","2,312",888,293,545,30,103,"1,990","2,839","3,142",,,,
2020,5,20,"20,954","6,316","2,419","1,261",403,497,55,93,"2,735","3,664","3,511",,,,
2020,5,30,"28,111","9,808","2,756","1,235",409,713,47,99,"3,228","3,979","5,837",,,,
2020,5,40,"30,748","9,026","3,658","1,630",535,"1,044",73,170,"3,539","5,102","5,971",,,,
2020,5,50,"30,662","8,703","3,457","2,028",774,"1,242",115,213,"3,634","5,604","4,892",,,,
2020,5,60,"22,641","6,297","2,566","1,509",747,"1,416",171,219,"2,430","3,778","3,508",,,,
2020,5,70,"11,017","2,991","1,332",817,411,733,129,151,"1,211","1,740","1,502",,,,
2020,5,80,"4,940","1,258",651,480,245,351,74,91,500,697,593,,,,
2020,5,90,939,246,118,81,45,73,10,21,101,119,125,,,,
2020,5,100,73,11,3,14,6,5,0,2,10,18,4,,,,
2020,6,총,"184,293","54,604","21,133","10,680","4,116","7,178",714,"1,240","21,340","30,140","33,148",,,,
2020,6,0,"17,393","5,530","1,815",704,235,520,21,78,"1,934","2,525","4,031",,,,
2020,6,10,"16,341","4,219","2,304",885,290,554,27,102,"1,990","2,833","3,137",,,,
2020,6,20,"21,024","6,355","2,436","1,268",407,498,54,91,"2,736","3,672","3,507",,,,
2020,6,30,"28,008","9,774","2,724","1,235",408,706,47,103,"3,229","3,970","5,812",,,,
2020,6,40,"30,866","9,080","3,679","1,636",538,"1,050",70,166,"3,542","5,109","5,996",,,,
2020,6,50,"30,718","8,749","3,479","2,024",777,"1,244",114,212,"3,620","5,625","4,874",,,,
2020,6,60,"22,856","6,348","2,581","1,527",749,"1,429",171,223,"2,461","3,813","3,554",,,,
2020,6,70,"11,100","3,024","1,342",823,412,742,125,151,"1,219","1,747","1,515",,,,
2020,6,80,"4,976","1,266",653,485,247,356,76,91,505,706,591,,,,
2020,6,90,937,248,117,79,46,74,9,21,94,122,127,,,,
2020,6,100,74,11,3,14,7,5,0,2,10,18,4,,,,
2020,7,총,"184,927","54,789","21,364","10,690","4,132","7,228",719,"1,234","21,331","30,199","33,241",,,,
2020,7,0,"17,367","5,531","1,799",700,232,521,22,77,"1,930","2,521","4,034",,,,
2020,7,10,"16,499","4,252","2,429",881,292,565,28,99,"1,972","2,838","3,143",,,,
2020,7,20,"21,097","6,357","2,474","1,272",409,501,54,88,"2,741","3,679","3,522",,,,
2020,7,30,"27,985","9,775","2,732","1,218",407,715,46,104,"3,218","3,979","5,791",,,,
2020,7,40,"30,971","9,133","3,692","1,642",535,"1,062",68,168,"3,542","5,115","6,014",,,,
2020,7,50,"30,757","8,744","3,501","2,022",784,"1,235",118,213,"3,609","5,627","4,904",,,,
2020,7,60,"23,092","6,422","2,617","1,548",760,"1,448",173,219,"2,490","3,835","3,580",,,,
2020,7,70,"11,137","3,031","1,342",825,413,750,123,153,"1,219","1,752","1,529",,,,
2020,7,80,"4,999","1,281",657,488,245,353,76,88,504,712,595,,,,
2020,7,90,948,251,117,81,48,73,11,23,96,123,125,,,,
2020,7,100,75,12,4,13,7,5,0,2,10,18,4,,,,
2020,8,총,"185,334","54,902","21,707","10,657","4,127","7,244",720,"1,242","21,306","30,136","33,293",,,,
2020,8,0,"17,323","5,507","1,823",688,229,524,22,75,"1,923","2,496","4,036",,,,
2020,8,10,"16,520","4,259","2,468",878,293,567,28,100,"1,956","2,821","3,150",,,,
2020,8,20,"21,147","6,393","2,531","1,268",404,497,53,89,"2,721","3,667","3,524",,,,
2020,8,30,"27,906","9,722","2,793","1,212",404,700,47,105,"3,216","3,957","5,750",,,,
2020,8,40,"31,131","9,184","3,773","1,645",533,"1,069",69,166,"3,531","5,105","6,056",,,,
2020,8,50,"30,800","8,770","3,533","2,009",783,"1,236",118,216,"3,612","5,621","4,902",,,,
2020,8,60,"23,269","6,473","2,658","1,552",768,"1,464",172,222,"2,504","3,861","3,595",,,,
2020,8,70,"11,175","3,042","1,346",826,409,753,124,156,"1,216","1,758","1,545",,,,
2020,8,80,"5,030","1,291",658,485,248,355,75,87,520,709,602,,,,
2020,8,90,956,249,120,81,49,74,12,24,96,123,128,,,,
2020,8,100,77,12,4,13,7,5,0,2,11,18,5,,,,
2020,9,총,"185,767","55,035","21,908","10,674","4,137","7,286",722,"1,229","21,278","30,145","33,353",,,,
2020,9,0,"17,259","5,481","1,821",690,225,523,22,74,"1,926","2,459","4,038",,,,
