년도,월,나이,경기도 과천시,경기도 과천시 중앙동,경기도 과천시 갈현동,경기도 과천시 별양동,경기도 과천시 부림동,경기도 과천시 과천동,경기도 과천시 문원동
2020,1,총,"28,650","3,247","5,308","5,126","5,844","5,138","3,987"
2020,1,0,"2,392",227,612,319,528,351,355
2020,1,10,"3,276",338,774,654,676,352,482
2020,1,20,"4,237",561,630,878,893,729,546
2020,1,30,"3,991",382,600,564,897,"1,007",541
2020,1,40,"4,348",378,"1,024",659,823,806,658
2020,1,50,"5,001",595,861,"1,045","1,042",777,681
2020,1,60,"3,191",449,474,591,614,658,405
2020,1,70,"1,503",195,234,250,240,351,233
2020,1,80,614,103,87,141,118,92,73
2020,1,90,89,17,12,22,13,15,10
2020,1,100,8,2,0,3,0,0,3
2020,2,총,"28,616","3,256","5,313","5,110","5,846","5,116","3,975"
2020,2,0,"2,394",231,627,318,530,336,352
2020,2,10,"3,271",339,769,653,673,353,484
2020,2,20,"4,217",547,624,873,890,736,547
2020,2,30,"4,002",392,604,566,909,999,532
2020,2,40,"4,348",380,"1,023",662,827,801,655
2020,2,50,"4,982",599,866,"1,035","1,029",776,677
2020,2,60,"3,191",450,470,586,619,660,406
2020,2,70,"1,497",198,230,251,237,347,234
2020,2,80,614,101,87,139,119,93,75
2020,2,90,92,17,13,24,13,15,10
2020,2,100,8,2,0,3,0,0,3
2020,3,총,"28,633","3,259","5,321","5,082","5,855","5,151","3,965"
2020,3,0,"2,392",228,621,319,534,336,354
2020,3,10,"3,259",338,771,647,672,359,472
2020,3,20,"4,231",547,632,867,899,740,546
2020,3,30,"3,995",392,598,563,908,998,536
2020,3,40,"4,318",381,"1,022",646,822,804,643
2020,3,50,"5,002",594,873,"1,036","1,032",789,678
2020,3,60,"3,214",456,472,590,615,671,410
2020,3,70,"1,503",201,227,250,243,344,238
2020,3,80,623,103,92,139,117,97,75
2020,3,90,88,17,13,22,13,13,10
2020,3,100,8,2,0,3,0,0,3
2020,4,총,"29,341","4,112","5,277","5,030","5,820","5,150","3,952"
2020,4,0,"2,494",338,609,324,531,339,353
2020,4,10,"3,307",423,765,632,664,352,471
2020,4,20,"4,323",675,628,844,900,739,537
2020,4,30,"4,110",515,587,573,901,997,537
2020,4,40,"4,429",507,"1,004",647,821,804,646
2020,4,50,"5,122",742,876,"1,015","1,020",794,675
2020,4,60,"3,291",549,475,586,608,669,404
2020,4,70,"1,531",228,223,248,246,345,241
2020,4,80,638,116,97,137,115,98,75
2020,4,90,88,17,13,21,14,13,10
2020,4,100,8,2,0,3,0,0,3
2020,5,총,"29,872","4,741","5,301","4,960","5,793","5,133","3,944"
2020,5,0,"2,557",387,623,318,531,344,354
2020,5,10,"3,300",461,753,616,655,349,466
2020,5,20,"4,412",763,641,839,891,730,548
2020,5,30,"4,196",621,587,565,898,994,531
2020,5,40,"4,483",585,"1,017",631,810,799,641
2020,5,50,"5,230",855,869,"1,005","1,029",794,678
2020,5,60,"3,380",655,480,575,600,670,400
2020,5,70,"1,571",265,225,254,249,341,237
2020,5,80,647,130,95,132,115,99,76
2020,5,90,87,17,11,22,14,13,10
2020,5,100,9,2,0,3,1,0,3
2020,6,총,"30,125","5,032","5,366","4,945","5,741","5,123","3,918"
2020,6,0,"2,586",414,640,328,519,337,348
2020,6,10,"3,285",467,756,601,644,350,467
2020,6,20,"4,444",792,652,835,885,733,547
2020,6,30,"4,242",674,595,566,899,986,522
2020,6,40,"4,529",632,"1,037",633,796,801,630
2020,6,50,"5,253",900,869,996,"1,012",791,685
2020,6,60,"3,458",727,488,575,606,668,394
2020,6,70,"1,588",276,222,255,251,344,240
2020,6,80,645,131,96,132,114,99,73
2020,6,90,86,17,11,21,14,14,9
2020,6,100,9,2,0,3,1,0,3
2020,7,총,"30,296","5,228","5,377","4,932","5,731","5,114","3,914"
2020,7,0,"2,604",439,647,323,514,333,348
2020,7,10,"3,269",476,752,594,638,345,464
2020,7,20,"4,489",833,651,838,877,742,548
2020,7,30,"4,285",705,596,576,906,987,515
2020,7,40,"4,540",656,"1,040",618,795,794,637
2020,7,50,"5,297",941,870,"1,000","1,010",792,684
2020,7,60,"3,463",742,490,568,606,665,392
2020,7,70,"1,602",281,225,256,257,342,241
2020,7,80,651,134,95,134,115,100,73
2020,7,90,87,19,11,22,12,14,9
2020,7,100,9,2,0,3,1,0,3
2020,8,총,"30,374","5,309","5,407","4,935","5,712","5,117","3,894"
2020,8,0,"2,607",441,649,323,519,334,341
2020,8,10,"3,267",487,760,585,632,346,457
2020,8,20,"4,495",846,651,841,866,743,548
2020,8,30,"4,311",720,608,580,911,977,515
2020,8,40,"4,537",670,"1,039",617,784,794,633
2020,8,50,"5,299",952,873,"1,001","1,002",791,680
2020,8,60,"3,496",753,491,570,612,673,397
2020,8,70,"1,609",287,227,256,259,341,239
2020,8,80,657,133,97,137,113,104,73
2020,8,90,87,18,12,22,13,14,8
2020,8,100,9,2,0,3,1,0,3
2020,9,총,"30,431","5,348","5,398","4,950","5,715","5,127","3,893"
2020,9,0,"2,611",443,650,320,526,333,339
2020,9,10,"3,261",498,756,584,625,346,452
2020,9,20,"4,505",853,645,845,863,742,557
2020,9,30,"4,331",722,605,586,918,981,519
2020,9,40,"4,557",679,"1,032",622,794,801,629
2020,9,50,"5,300",959,876,993,998,799,675
2020,9,60,"3,504",753,493,586,610,666,396
2020,9,70,"1,606",287,230,252,256,340,241
2020,9,80,661,135,97,137,112,106,74
2020,9,90,86,17,14,22,12,13,8
2020,9,100,9,2,0,3,1,0,3
2020,10,총,"30,459","5,389","5,397","4,959","5,690","5,121","3,903"
2020,10,0,"2,601",445,647,317,526,330,336
2020,10,10,"3,255",498,747,585,618,347,460
2020,10,20,"4,506",861,643,851,859,735,557
2020,10,30,"4,343",736,613,585,918,972,519
2020,10,40,"4,543",677,"1,022",622,790,801,631
2020,10,50,"5,307",969,888,992,985,799,674
2020,10,60,"3,523",759,493,584,608,679,400
2020,10,70,"1,615",291,231,254,261,338,240
2020,10,80,672,134,99,144,112,108,75
2020,10,90,85,17,14,22,12,12,8
2020,10,100,9,2,0,3,1,0,3
2020,11,총,"30,466","5,394","5,398","4,963","5,695","5,100","3,916"
2020,11,0,"2,609",443,648,325,523,330,340
2020,11,10,"3,231",496,742,573,619,341,460
2020,11,20,"4,520",862,644,855,862,734,563
2020,11,30,"4,345",736,616,589,915,971,518
2020,11,40,"4,521",671,"1,018",617,788,796,631
2020,11,50,"5,297",965,887,995,982,792,676
2020,11,60,"3,548",771,499,580,619,680,399
2020,11,70,"1,622",297,225,258,262,338,242
2020,11,80,680,135,105,146,112,106,76
2020,11,90,83,16,14,21,12,12,8
2020,11,100,10,2,0,4,1,0,3
2020,12,총,"31,068","5,395","5,372","4,927","6,425","5,082","3,867"
2020,12,0,"2,700",435,649,329,631,329,327
2020,12,10,"3,267",493,739,561,680,340,454
2020,12,20,"4,597",866,641,846,949,734,561
2020,12,30,"4,440",731,622,596,"1,020",961,510
2020,12,40,"4,594",673,"1,008",610,895,789,619
2020,12,50,"5,386",964,881,978,"1,111",786,666
2020,12,60,"3,661",781,493,586,712,685,404
2020,12,70,"1,641",298,222,252,289,339,241
2020,12,80,687,135,103,143,124,107,75
2020,12,90,85,17,14,22,13,12,7
2020,12,100,10,2,0,4,1,0,3
2021,1,총,"31,675","5,379","5,438","4,914","7,067","5,039","3,838"
2021,1,0,"2,784",435,655,333,717,327,317
2021,1,10,"3,321",493,752,549,741,334,452
2021,1,20,"4,630",855,644,841,"1,014",719,557
2021,1,30,"4,536",727,623,594,"1,124",964,504
2021,1,40,"4,694",668,"1,029",609,998,778,612
2021,1,50,"5,476",963,888,970,"1,218",775,662
2021,1,60,"3,765",791,501,593,787,688,405
2021,1,70,"1,667",295,222,255,318,334,243
2021,1,80,704,134,110,144,134,107,75
2021,1,90,88,16,14,22,15,13,8
2021,1,100,10,2,0,4,1,0,3
2021,2,총,"33,019","5,360","6,520","5,059","7,283","5,002","3,795"
2021,2,0,"3,020",424,848,361,760,323,304
2021,2,10,"3,446",495,853,573,746,326,453
2021,2,20,"4,759",852,760,845,"1,036",720,546
2021,2,30,"4,724",721,788,616,"1,156",949,494
2021,2,40,"4,928",670,"1,214",637,"1,041",769,597
2021,2,50,"5,672",965,"1,055",971,"1,243",773,665
2021,2,60,"3,930",780,620,625,814,686,405
2021,2,70,"1,714",298,247,259,330,334,246
2021,2,80,727,136,121,145,140,111,74
2021,2,90,88,17,14,23,16,11,7
2021,2,100,11,2,0,4,1,0,4
2021,3,총,"33,581","5,333","7,036","5,149","7,338","4,951","3,774"
2021,3,0,"3,064",420,897,368,773,314,292
2021,3,10,"3,470",496,883,579,736,323,453
2021,3,20,"4,835",843,836,846,"1,052",718,540
2021,3,30,"4,809",710,865,637,"1,177",924,496
2021,3,40,"4,995",664,"1,298",648,"1,031",764,590
2021,3,50,"5,751",958,"1,144",980,"1,240",763,666
2021,3,60,"4,065",783,699,655,832,689,407
2021,3,70,"1,751",303,269,265,334,336,244
2021,3,80,741,138,131,144,144,108,76
2021,3,90,91,16,14,24,18,12,7
2021,3,100,9,2,0,3,1,0,3
2021,4,총,"33,846","5,339","7,264","5,185","7,382","4,921","3,755"
2021,4,0,"3,088",419,916,370,786,316,281
2021,4,10,"3,477",498,901,574,732,318,454
2021,4,20,"4,865",840,865,851,"1,052",717,540
2021,4,30,"4,855",697,910,644,"1,192",915,497
2021,4,40,"5,022",669,"1,312",655,"1,045",759,582
2021,4,50,"5,790",964,"1,183",981,"1,242",755,665
2021,4,60,"4,117",787,742,664,833,686,405
2021,4,70,"1,777",309,288,269,333,334,244
2021,4,80,749,138,130,149,147,108,77
2021,4,90,97,16,17,25,19,13,7
2021,4,100,9,2,0,3,1,0,3
2021,5,총,"33,887","5,314","7,380","5,174","7,405","4,887","3,727"
2021,5,0,"3,104",418,926,371,797,316,276
2021,5,10,"3,478",497,906,571,736,317,451
2021,5,20,"4,876",833,891,845,"1,057",705,545
2021,5,30,"4,842",688,920,648,"1,189",906,491
2021,5,40,"5,025",672,"1,324",656,"1,050",746,577
2021,5,50,"5,809",956,"1,217",980,"1,244",756,656
2021,5,60,"4,134",786,751,663,842,686,406
2021,5,70,"1,775",309,298,266,326,335,241
2021,5,80,747,139,131,148,144,108,77
2021,5,90,94,15,16,24,20,12,7
2021,5,100,3,1,0,2,0,0,0
2021,6,총,"34,036","5,317","7,477","5,217","7,421","4,880","3,724"
2021,6,0,"3,130",422,929,379,805,315,280
2021,6,10,"3,475",489,912,568,735,320,451
2021,6,20,"4,892",832,903,846,"1,064",705,542
2021,6,30,"4,862",689,940,666,"1,179",896,492
2021,6,40,"5,047",666,"1,350",661,"1,040",752,578
2021,6,50,"5,832",963,"1,227",982,"1,261",746,653
