년도,월,나이,경상북도 청도군,경상북도 청도군 화양읍,경상북도 청도군 화양읍남성현출장소,경상북도 청도군 청도읍,경상북도 청도군 청도읍유호출장소,경상북도 청도군 각남면,경상북도 청도군 풍각면,경상북도 청도군 각북면,경상북도 청도군 이서면,경상북도 청도군 운문면,경상북도 청도군 금천면,경상북도 청도군 매전면
2020,3,총,"42,727","7,193","1,132","10,496","1,629","2,177","3,982","2,253","4,580","2,112","3,364","3,809"
2020,3,0,"1,594",472,51,491,34,53,127,66,135,39,62,64
2020,3,10,"2,380",675,22,745,58,84,179,77,278,49,111,102
2020,3,20,"2,981",603,55,917,97,127,227,137,301,131,192,194
2020,3,30,"2,988",672,101,902,97,117,263,111,271,115,151,188
2020,3,40,"4,594","1,040",109,"1,371",139,178,363,170,479,180,273,292
2020,3,50,"7,560","1,252",171,"1,828",281,352,742,451,786,430,593,674
2020,3,60,"9,347","1,195",268,"2,062",432,518,928,563,"1,043",510,835,993
2020,3,70,"6,499",751,189,"1,306",303,428,639,393,736,353,664,737
2020,3,80,"4,195",459,148,772,165,275,461,260,465,270,416,504
2020,3,90,569,69,16,99,23,45,50,25,83,35,64,60
2020,3,100,20,5,2,3,0,0,3,0,3,0,3,1
2020,4,총,"42,684","7,176","1,126","10,467","1,632","2,166","3,991","2,255","4,559","2,127","3,365","3,820"
2020,4,0,"1,583",471,49,484,36,51,133,64,133,37,61,64
2020,4,10,"2,370",674,23,743,58,83,178,73,273,47,114,104
2020,4,20,"2,942",593,55,908,92,122,231,136,292,133,186,194
2020,4,30,"2,969",664,100,898,100,118,266,113,265,111,149,185
2020,4,40,"4,581","1,049",104,"1,364",138,176,362,165,474,193,267,289
2020,4,50,"7,545","1,230",171,"1,821",277,348,733,459,793,431,600,682
2020,4,60,"9,374","1,207",266,"2,069",439,520,926,567,"1,040",514,836,990
2020,4,70,"6,525",754,195,"1,306",304,428,644,395,736,352,666,745
2020,4,80,"4,208",462,146,774,164,277,463,257,468,273,417,507
2020,4,90,568,67,15,97,24,43,52,26,83,36,66,59
2020,4,100,19,5,2,3,0,0,3,0,2,0,3,1
2020,5,총,"42,651","7,172","1,133","10,441","1,633","2,148","3,989","2,253","4,566","2,127","3,364","3,825"
2020,5,0,"1,576",464,50,494,37,51,128,62,129,37,59,65
2020,5,10,"2,355",675,23,735,57,77,179,72,273,45,113,106
2020,5,20,"2,942",598,56,902,90,120,234,141,291,133,184,193
2020,5,30,"2,948",659,104,886,99,117,264,112,264,112,148,183
2020,5,40,"4,558","1,038",103,"1,367",138,168,362,159,474,197,265,287
2020,5,50,"7,527","1,235",170,"1,808",279,343,719,461,797,433,594,688
2020,5,60,"9,394","1,209",269,"2,070",436,523,939,566,"1,044",510,843,985
2020,5,70,"6,542",753,193,"1,310",305,433,641,396,744,352,667,748
2020,5,80,"4,208",467,148,769,168,270,465,257,465,270,422,507
2020,5,90,581,69,15,97,23,46,55,27,83,38,66,62
2020,5,100,20,5,2,3,1,0,3,0,2,0,3,1
2020,6,총,"42,553","7,170","1,128","10,397","1,629","2,154","3,975","2,244","4,549","2,128","3,361","3,818"
2020,6,0,"1,563",463,50,488,37,50,129,61,129,37,56,63
2020,6,10,"2,333",672,22,726,57,75,176,71,270,43,113,108
2020,6,20,"2,920",598,56,894,87,124,228,138,286,132,185,192
2020,6,30,"2,918",659,102,880,97,111,265,110,262,108,147,177
2020,6,40,"4,523","1,030",100,"1,358",138,167,358,157,469,196,261,289
2020,6,50,"7,492","1,233",170,"1,797",278,345,716,455,791,434,599,674
2020,6,60,"9,420","1,215",272,"2,070",437,530,931,566,"1,043",512,845,999
2020,6,70,"6,570",762,191,"1,311",305,434,644,400,751,357,663,752
2020,6,80,"4,216",464,148,773,169,273,470,259,463,271,423,503
2020,6,90,578,69,15,97,23,45,55,27,83,38,65,61
2020,6,100,20,5,2,3,1,0,3,0,2,0,4,0
2020,7,총,"42,512","7,208","1,124","10,365","1,630","2,145","3,976","2,230","4,538","2,134","3,345","3,817"
