년도,월,나이,충청남도 공주시,충청남도 공주시 유구읍,충청남도 공주시 이인면,충청남도 공주시 탄천면,충청남도 공주시 계룡면,충청남도 공주시 반포면,충청남도 공주시 의당면,충청남도 공주시 정안면,충청남도 공주시 우성면,충청남도 공주시 사곡면,충청남도 공주시 신풍면,충청남도 공주시 중학동,충청남도 공주시 웅진동,충청남도 공주시 금학동,충청남도 공주시 옥룡동,충청남도 공주시 신관동,충청남도 공주시 월송동
2020,1,총,"53,252","3,848","1,731","1,543","2,908","2,267","2,450","2,470","2,787","1,508","1,487","2,416","4,151","2,740","4,114","9,647","7,185"
2020,1,0,"3,194",153,54,41,90,110,104,74,90,43,44,93,237,197,183,783,898
2020,1,10,"4,482",226,87,69,161,123,195,130,144,83,51,210,382,291,320,"1,077",933
2020,1,20,"6,592",339,142,116,194,213,302,186,280,102,108,351,538,387,545,"1,765","1,024"
2020,1,30,"5,384",323,129,107,195,195,217,175,217,107,106,234,501,271,429,"1,209",969
2020,1,40,"7,278",460,177,154,331,278,360,285,359,163,146,321,608,421,567,"1,509","1,139"
2020,1,50,"9,807",710,367,308,608,528,503,463,567,315,293,437,744,462,808,"1,569","1,125"
2020,1,60,"8,750",862,384,345,689,486,422,573,541,320,367,387,616,413,683,"1,013",649
2020,1,70,"5,068",496,251,241,409,220,231,332,380,229,232,253,362,214,410,512,296
2020,1,80,"2,437",257,120,151,207,103,105,231,187,137,118,116,145,78,161,191,130
2020,1,90,248,18,20,11,22,11,11,21,22,8,22,14,17,6,8,16,21
2020,1,100,12,4,0,0,2,0,0,0,0,1,0,0,1,0,0,3,1
2020,2,총,"53,161","3,837","1,721","1,538","2,892","2,264","2,435","2,463","2,786","1,511","1,476","2,406","4,155","2,744","4,121","9,605","7,207"
2020,2,0,"3,189",154,54,41,86,106,99,73,91,43,44,95,237,199,184,780,903
2020,2,10,"4,458",229,89,66,162,124,192,132,145,80,49,211,388,290,314,"1,066",921
2020,2,20,"6,489",328,138,115,187,205,295,186,276,102,104,341,536,384,540,"1,720","1,032"
2020,2,30,"5,392",320,127,109,198,196,219,170,219,106,105,237,492,275,439,"1,211",969
2020,2,40,"7,258",460,177,152,321,279,354,288,356,163,140,316,610,420,569,"1,511","1,142"
2020,2,50,"9,787",709,360,305,607,528,501,457,563,315,290,432,748,465,808,"1,561","1,138"
2020,2,60,"8,767",855,384,346,688,489,425,570,542,322,370,389,617,413,679,"1,028",650
2020,2,70,"5,112",502,252,242,412,224,234,337,384,229,233,254,364,214,417,515,299
2020,2,80,"2,447",257,120,151,208,102,105,229,187,142,120,117,146,78,162,192,131
2020,2,90,250,19,20,11,21,11,11,21,23,8,21,14,16,6,9,18,21
2020,2,100,12,4,0,0,2,0,0,0,0,1,0,0,1,0,0,3,1
2020,3,총,"53,074","3,828","1,716","1,542","2,899","2,267","2,432","2,453","2,782","1,509","1,467","2,403","4,126","2,744","4,098","9,609","7,199"
2020,3,0,"3,190",154,54,41,86,107,100,75,91,43,44,101,241,201,183,780,889
2020,3,10,"4,429",223,90,66,157,125,193,131,145,79,48,208,374,291,312,"1,068",919
2020,3,20,"6,468",327,131,114,189,210,296,181,272,104,103,337,534,382,537,"1,714","1,037"
2020,3,30,"5,361",320,127,109,197,193,210,169,214,105,104,233,491,273,432,"1,210",974
2020,3,40,"7,212",460,175,153,323,274,349,279,352,167,135,318,604,420,564,"1,504","1,135"
2020,3,50,"9,766",701,365,303,609,526,503,457,563,314,285,434,739,468,799,"1,563","1,137"
2020,3,60,"8,774",860,377,339,690,493,428,568,545,319,372,381,616,411,681,"1,036",658
2020,3,70,"5,157",503,257,254,418,228,237,344,384,226,233,262,362,214,416,520,299
