년도,월,나이,봉화군,봉화읍,물야면,봉성면,법전면,춘양면,소천면,재산면,명호면,상운면,석포면
2020,1,총,"15,933","5,175","1,599","1,128","1,012","2,241","1,124",785,"1,080",855,934
2020,1,0,700,304,53,25,38,86,24,17,27,18,108
2020,1,10,900,461,56,59,38,100,45,32,40,17,52
2020,1,20,935,413,73,61,46,122,42,36,41,37,64
2020,1,30,971,434,74,63,40,130,50,31,38,25,86
2020,1,40,"1,408",634,116,68,62,171,80,61,76,44,96
2020,1,50,"2,799",859,299,203,162,419,217,168,207,124,141
2020,1,60,"3,112",783,344,242,204,464,263,173,248,220,171
2020,1,70,"2,702",683,304,204,215,396,208,139,219,204,130
2020,1,80,"2,024",481,242,177,180,285,169,112,154,146,78
2020,1,90,359,118,35,26,26,64,21,15,29,17,8
2020,1,100,23,5,3,0,1,4,5,1,1,3,0
2020,2,총,"15,875","5,152","1,597","1,117","1,011","2,238","1,120",775,"1,079",862,924
2020,2,0,701,306,51,22,38,88,24,16,30,19,107
2020,2,10,883,457,54,57,39,99,44,28,39,16,50
2020,2,20,921,409,71,57,43,121,44,37,41,38,60
2020,2,30,966,432,72,61,41,127,50,29,38,28,88
2020,2,40,"1,402",632,112,68,62,172,80,61,75,46,94
2020,2,50,"2,774",849,304,200,160,419,213,165,203,121,140
2020,2,60,"3,130",790,348,246,208,462,264,175,251,217,169
2020,2,70,"2,680",669,304,203,213,396,207,135,218,206,129
2020,2,80,"2,033",485,242,175,179,286,168,112,154,152,80
2020,2,90,362,118,36,28,27,64,21,16,29,16,7
2020,2,100,23,5,3,0,1,4,5,1,1,3,0
2020,3,총,"15,874","5,152","1,591","1,107","1,017","2,231","1,131",774,"1,077",864,930
2020,3,0,708,307,51,22,39,88,27,16,30,19,109
2020,3,10,874,453,54,54,40,98,45,28,38,15,49
2020,3,20,912,412,65,53,46,117,45,35,43,37,59
2020,3,30,950,422,72,59,40,127,49,29,37,30,85
2020,3,40,"1,384",624,107,65,60,167,85,59,73,45,99
