년도,월,나이,광산구,송정1동,송정2동,도산동,신흥동,어룡동,우산동,월곡1동,월곡2동,비아동,첨단1동,첨단2동,신가동,운남동,수완동,하남동,임곡동,동곡동,평동,삼도동,본량동,신창동
2020,1,총,"405,525","11,370","6,711","16,173","4,907","32,813","24,326","11,804","16,833","7,321","26,112","44,100","21,714","31,911","78,851","23,473","2,153","1,978","4,074","2,292","2,102","34,507"
2020,1,0,"42,736",803,346,"1,617",389,"4,187","1,959",791,"1,330",702,"1,977","4,126","2,365","3,315","11,274","3,336",57,49,148,56,44,"3,865"
2020,1,10,"54,055","1,276",411,"1,809",444,"3,649","2,095","1,299","2,251",809,"3,605","6,062","3,278","4,206","13,572","3,120",128,90,153,122,90,"5,586"
2020,1,20,"57,163","1,747",983,"2,272",640,"3,963","3,599","2,001","2,511",916,"4,817","7,759","2,998","4,776","9,214","2,804",180,185,443,169,153,"5,033"
2020,1,30,"56,486","1,283",956,"2,385",634,"5,777","3,459","1,362","1,911",935,"2,988","5,918","2,834","4,339","11,565","3,914",120,165,450,153,140,"5,198"
2020,1,40,"77,462","1,974",897,"2,802",751,"5,972","3,760","1,841","3,120","1,434","4,385","8,474","4,530","6,034","17,998","4,684",192,185,499,218,259,"7,453"
2020,1,50,"61,945","1,799","1,112","2,448",811,"4,482","4,387","2,339","3,072","1,298","5,199","7,451","3,175","5,336","9,271","3,116",394,354,694,423,330,"4,454"
2020,1,60,"30,420","1,290",923,"1,421",612,"2,766","2,736","1,320","1,578",622,"1,922","2,459","1,435","2,092","3,609","1,623",430,387,758,450,345,"1,642"
2020,1,70,"16,768",834,761,984,437,"1,367","1,471",562,737,387,781,"1,194",791,"1,247","1,659",587,368,370,572,369,401,889
2020,1,80,"7,379",315,279,375,152,548,743,257,283,200,375,582,276,497,596,248,248,174,292,292,302,345
2020,1,90,"1,049",47,37,55,33,96,114,32,38,17,62,73,28,67,87,37,34,16,63,37,35,41
2020,1,100,62,2,6,5,4,6,3,0,2,1,1,2,4,2,6,4,2,3,2,3,3,1
2020,2,총,"405,600","11,397","6,744","16,169","4,881","32,755","24,401","11,757","16,728","7,336","26,152","44,162","21,600","32,126","78,744","23,430","2,144","1,980","4,064","2,283","2,099","34,648"
2020,2,0,"42,500",798,350,"1,596",382,"4,139","1,970",791,"1,310",694,"1,980","4,102","2,336","3,341","11,193","3,298",54,54,145,56,44,"3,867"
2020,2,10,"53,885","1,267",416,"1,812",438,"3,652","2,092","1,269","2,201",812,"3,596","6,035","3,250","4,212","13,556","3,123",124,90,152,120,92,"5,576"
2020,2,20,"57,151","1,757",987,"2,254",634,"3,947","3,598","1,994","2,507",910,"4,797","7,821","2,979","4,790","9,204","2,804",182,187,429,168,148,"5,054"
2020,2,30,"56,266","1,280",961,"2,375",626,"5,748","3,474","1,363","1,884",941,"3,008","5,914","2,811","4,341","11,460","3,855",119,163,456,154,145,"5,188"
2020,2,40,"77,604","1,983",893,"2,815",744,"5,960","3,775","1,823","3,099","1,438","4,381","8,466","4,509","6,102","18,032","4,708",188,190,502,219,258,"7,519"
2020,2,50,"62,214","1,812","1,118","2,458",812,"4,496","4,398","2,344","3,073","1,304","5,216","7,493","3,190","5,387","9,318","3,122",394,348,680,422,328,"4,501"
2020,2,60,"30,621","1,294",927,"1,426",612,"2,797","2,748","1,324","1,598",627,"1,945","2,477","1,423","2,124","3,617","1,640",429,387,769,450,341,"1,666"
2020,2,70,"16,782",837,765,989,443,"1,364","1,471",559,726,387,783,"1,196",790,"1,252","1,671",587,367,366,575,364,399,891
2020,2,80,"7,445",319,286,384,152,553,752,254,290,204,382,577,278,505,605,252,249,175,292,290,306,340
