년도,월,나이,전라북도 임실군,전라북도 임실군 임실읍,전라북도 임실군 청웅면,전라북도 임실군 운암면,전라북도 임실군 신평면,전라북도 임실군 성수면,전라북도 임실군 오수면,전라북도 임실군 신덕면,전라북도 임실군 삼계면,전라북도 임실군 관촌면,전라북도 임실군 강진면,전라북도 임실군 덕치면,전라북도 임실군 지사면
2020,1,총,"13,989","3,758",668,834,756,846,"1,939",651,794,"1,726",779,604,634
2020,1,0,693,338,17,17,29,22,55,23,23,92,25,29,23
2020,1,10,858,356,25,38,28,37,117,28,37,101,35,26,30
2020,1,20,"1,032",342,38,69,52,56,134,38,33,131,65,38,36
2020,1,30,999,421,31,51,46,38,122,33,40,117,28,32,40
2020,1,40,"1,231",479,48,70,58,62,158,49,45,133,56,34,39
2020,1,50,"2,152",502,91,161,111,143,297,95,107,302,141,95,107
2020,1,60,"2,303",485,111,171,148,135,362,111,143,313,127,99,98
2020,1,70,"2,453",433,155,124,150,192,354,157,170,280,163,150,125
2020,1,80,"1,926",333,132,117,113,136,297,99,168,225,109,83,114
2020,1,90,323,64,20,16,18,24,43,18,28,29,27,14,22
2020,1,100,19,5,0,0,3,1,0,0,0,3,3,4,0
2020,2,총,"13,881","3,713",667,825,756,841,"1,927",646,792,"1,714",769,602,629
2020,2,0,684,331,18,17,29,23,56,22,20,91,24,31,22
2020,2,10,863,358,26,36,27,37,115,29,41,102,35,27,30
2020,2,20,"1,000",331,35,66,52,53,134,37,33,128,62,34,35
2020,2,30,986,414,32,50,46,38,117,33,42,115,27,33,39
2020,2,40,"1,193",468,44,67,59,60,154,49,42,130,51,32,37
2020,2,50,"2,131",493,93,158,110,141,293,93,110,298,140,95,107
2020,2,60,"2,313",489,112,174,147,136,364,111,143,313,128,99,97
2020,2,70,"2,426",426,156,124,148,190,350,155,167,279,160,147,124
2020,2,80,"1,945",337,131,117,116,138,300,100,164,228,112,86,116
2020,2,90,323,62,20,16,19,24,44,17,30,28,27,14,22
2020,2,100,17,4,0,0,3,1,0,0,0,2,3,4,0
2020,3,총,"13,780","3,683",662,823,749,838,"1,910",642,782,"1,695",769,599,628
2020,3,0,674,326,18,18,28,23,55,21,20,86,25,31,23
2020,3,10,848,356,26,34,27,36,114,29,38,101,33,26,28
2020,3,20,970,329,31,63,53,50,128,34,31,125,60,32,34
2020,3,30,967,403,32,50,44,38,114,32,40,112,29,34,39
2020,3,40,"1,180",466,42,66,57,61,151,50,42,128,48,31,38
2020,3,50,"2,114",487,94,157,108,141,294,95,109,293,140,91,105
2020,3,60,"2,305",489,110,176,145,140,360,103,143,313,129,103,94
2020,3,70,"2,431",423,156,127,147,187,350,161,167,280,159,145,129
2020,3,80,"1,945",337,132,116,117,138,299,100,160,228,116,87,115
2020,3,90,330,64,21,16,20,23,45,17,32,27,27,15,23
2020,3,100,16,3,0,0,3,1,0,0,0,2,3,4,0
2020,4,총,"13,676","3,662",662,816,742,825,"1,906",633,782,"1,678",750,595,625
2020,4,0,670,324,19,19,29,23,54,20,21,83,23,31,24
2020,4,10,831,358,26,31,27,33,110,27,37,99,31,25,27
2020,4,20,932,315,29,62,49,44,127,33,31,121,55,33,33
2020,4,30,942,399,30,51,41,38,110,32,39,103,27,33,39
2020,4,40,"1,176",469,42,64,58,60,152,46,44,129,45,32,35
2020,4,50,"2,098",482,94,154,106,138,296,96,102,291,141,92,106
2020,4,60,"2,302",488,112,175,144,138,360,101,150,311,128,102,93
2020,4,70,"2,425",421,156,127,148,183,352,160,165,282,155,146,130
2020,4,80,"1,957",340,132,117,117,143,300,102,163,230,116,82,115
2020,4,90,327,63,22,16,20,24,45,16,30,27,26,15,23
2020,4,100,16,3,0,0,3,1,0,0,0,2,3,4,0
