년도,월,나이,경상남도,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 성산구,경상남도 창원시 마산합포구,경상남도 창원시 마산회원구,경상남도 창원시 진해구,경상남도 진주시,경상남도 통영시,경상남도 사천시,경상남도 김해시,경상남도 밀양시,경상남도 거제시,경상남도 양산시,경상남도 의령군,경상남도 함안군,경상남도 창녕군,경상남도 고성군,경상남도 남해군,경상남도 하동군,경상남도 산청군,경상남도 함양군,경상남도 거창군,경상남도 합천군
2020,1,총,"3,361,344","1,044,579","260,206","219,933","177,026","193,975","193,439","347,489","131,089","111,845","542,713","105,459","248,130","351,168","27,131","65,491","62,182","52,204","43,539","46,331","35,336","39,555","62,049","45,054"
2020,1,0,"284,183","87,550","21,798","17,832","13,135","14,159","20,626","29,491","10,728","8,713","51,933","5,928","28,625","36,210","1,148","4,544","3,565","2,889","1,666","2,091","1,510","1,938","3,961","1,693"
2020,1,10,"332,811","103,181","24,248","24,566","14,193","19,094","21,080","36,123","13,067","10,474","63,050","8,127","28,262","34,264","1,609","6,172","4,294","4,157","3,144","3,096","2,199","3,124","5,830","2,638"
2020,1,20,"386,854","133,740","36,383","33,872","19,611","23,226","20,648","44,886","11,848","11,075","69,392","9,483","25,159","41,435","2,139","5,845","5,230","4,128","3,354","3,860","2,623","3,286","6,086","3,285"
2020,1,30,"420,582","139,502","35,532","30,548","21,670","22,825","28,927","42,566","15,415","12,624","72,512","9,297","39,775","51,997","1,915","6,254","5,505","4,312","2,647","3,087","2,332","2,755","5,266","2,821"
2020,1,40,"543,802","170,332","41,147","37,570","25,790","31,174","34,651","55,204","21,715","17,940","99,794","13,264","47,384","60,311","2,978","9,722","7,253","6,718","4,796","5,506","3,680","4,634","8,030","4,541"
2020,1,50,"585,162","188,813","50,537","44,308","30,222","35,392","28,354","57,886","23,012","18,579","94,977","19,346","38,530","58,044","4,787","11,483","11,290","9,300","7,587","8,826","6,754","7,091","10,741","8,116"
2020,1,60,"432,284","132,239","31,560","21,376","28,805","28,408","22,090","42,863","19,271","15,619","53,507","20,070","24,368","39,731","5,102","10,449","11,513","9,237","7,933","8,479","6,803","6,873","9,584","8,643"
2020,1,70,"239,878","60,889","12,760","6,581","15,962","14,172","11,414","25,033","10,887","10,558","25,415","12,323","10,433","20,043","4,067","6,602","8,033","6,816","6,858","6,451","5,333","5,580","7,154","7,403"
2020,1,80,"119,203","25,017","5,486","2,863","6,682","4,943","5,043","11,736","4,543","5,487","10,742","6,726","4,806","8,083","2,970","3,919","4,888","4,045","4,747","4,255","3,569","3,717","4,713","5,240"
