년도,월,나이,경기도 의정부시,경기도 의정부시 의정부1동,경기도 의정부시 의정부2동,경기도 의정부시 의정부3동,경기도 의정부시 호원1동,경기도 의정부시 호원2동,경기도 의정부시 장암동,경기도 의정부시 신곡1동,경기도 의정부시 신곡2동,경기도 의정부시 송산1동,경기도 의정부시 송산2동,경기도 의정부시 송산3동,경기도 의정부시 자금동,경기도 의정부시 가능동,경기도 의정부시 흥선동,경기도 의정부시 녹양동
2020,1,총,"451,876","30,674","32,123",0.0,"36,513","35,947","19,642","45,321","44,631","29,073","34,791","46,075","28,133","26,560","19,711","22,682"
2020,1,0,"35,089","1,207","1,953",0.0,"2,582","2,741","1,428","3,137","3,200","1,981","3,088","7,068","2,135","1,587","1,250","1,732"
2020,1,10,"43,635","1,672","2,344",0.0,"2,874","3,676","2,056","4,443","5,174","2,893","4,628","4,976","2,770","2,151","1,697","2,281"
2020,1,20,"62,493","5,538","5,278",0.0,"4,721","4,621","2,268","6,435","6,528","3,996","4,651","5,111","3,878","3,705","2,608","3,155"
2020,1,30,"59,654","4,565","4,830",0.0,"4,970","4,323","2,206","5,556","4,765","3,495","4,090","8,844","3,336","3,424","2,364","2,886"
2020,1,40,"74,524","4,444","5,074",0.0,"5,835","5,891","3,318","7,312","7,382","4,756","6,767","8,560","4,525","4,001","2,993","3,666"
2020,1,50,"78,789","5,573","5,721",0.0,"5,819","6,031","3,269","8,644","8,461","5,382","5,843","5,830","5,278","5,205","3,706","4,027"
2020,1,60,"52,511","4,235","3,800",0.0,"5,007","4,283","2,615","5,516","5,060","3,551","2,857","3,403","3,296","3,517","2,726","2,645"
2020,1,70,"30,318","2,236","2,160",0.0,"3,388","3,012","1,651","2,892","2,639","1,891","1,867","1,573","1,903","2,071","1,557","1,478"
2020,1,80,"12,939",999,855,0.0,"1,175","1,221",721,"1,233","1,238",964,879,615,873,779,686,701
2020,1,90,"1,722",147,97,0.0,123,140,100,142,176,154,117,94,121,111,91,109
2020,1,100,202,58,11,0.0,19,8,10,11,8,10,4,1,18,9,33,2
2020,2,총,"452,865","30,798","31,972",,"36,440","35,828","20,128","45,124","44,468","31,005","34,596","45,789","28,013","26,491","19,604","22,609"
2020,2,0,"35,074","1,185","1,923",,"2,550","2,692","1,513","3,076","3,182","2,328","3,061","6,929","2,120","1,564","1,231","1,720"
