년도,월,나이,세종특별자치시,세종특별자치시
2020,1,총,"171,599","171,599"
2020,1,0,"23,128","23,128"
2020,1,10,"20,103","20,103"
2020,1,20,"18,034","18,034"
2020,1,30,"31,465","31,465"
2020,1,40,"31,607","31,607"
2020,1,50,"20,603","20,603"
2020,1,60,"13,841","13,841"
2020,1,70,"7,407","7,407"
2020,1,80,"4,540","4,540"
2020,1,90,826,826
2020,1,100,45,45
2020,2,총,"172,385","172,385"
2020,2,0,"23,170","23,170"
2020,2,10,"20,219","20,219"
2020,2,20,"17,926","17,926"
2020,2,30,"31,519","31,519"
2020,2,40,"31,936","31,936"
2020,2,50,"20,716","20,716"
2020,2,60,"14,015","14,015"
2020,2,70,"7,425","7,425"
2020,2,80,"4,576","4,576"
2020,2,90,838,838
2020,2,100,45,45
2020,3,총,"172,841","172,841"
2020,3,0,"23,163","23,163"
2020,3,10,"20,292","20,292"
2020,3,20,"17,972","17,972"
2020,3,30,"31,502","31,502"
2020,3,40,"32,082","32,082"
2020,3,50,"20,804","20,804"
2020,3,60,"14,108","14,108"
2020,3,70,"7,444","7,444"
2020,3,80,"4,582","4,582"
2020,3,90,845,845
2020,3,100,47,47
2020,4,총,"173,040","173,040"
2020,4,0,"23,108","23,108"
2020,4,10,"20,337","20,337"
2020,4,20,"17,964","17,964"
2020,4,30,"31,435","31,435"
2020,4,40,"32,183","32,183"
2020,4,50,"20,862","20,862"
2020,4,60,"14,189","14,189"
2020,4,70,"7,447","7,447"
2020,4,80,"4,606","4,606"
2020,4,90,862,862
2020,4,100,47,47
2020,5,총,"173,104","173,104"
2020,5,0,"23,013","23,013"
2020,5,10,"20,389","20,389"
2020,5,20,"17,923","17,923"
2020,5,30,"31,363","31,363"
2020,5,40,"32,281","32,281"
2020,5,50,"20,879","20,879"
2020,5,60,"14,248","14,248"
2020,5,70,"7,478","7,478"
2020,5,80,"4,611","4,611"
2020,5,90,873,873
2020,5,100,46,46
2020,6,총,"173,107","173,107"
2020,6,0,"22,942","22,942"
2020,6,10,"20,478","20,478"
2020,6,20,"17,818","17,818"
2020,6,30,"31,289","31,289"
2020,6,40,"32,367","32,367"
2020,6,50,"20,850","20,850"
2020,6,60,"14,318","14,318"
2020,6,70,"7,528","7,528"
2020,6,80,"4,587","4,587"
2020,6,90,884,884
2020,6,100,46,46
2020,7,총,"173,557","173,557"
2020,7,0,"22,932","22,932"
2020,7,10,"20,561","20,561"
2020,7,20,"17,866","17,866"
2020,7,30,"31,196","31,196"
2020,7,40,"32,559","32,559"
2020,7,50,"20,931","20,931"
2020,7,60,"14,421","14,421"
2020,7,70,"7,573","7,573"
2020,7,80,"4,584","4,584"
2020,7,90,890,890
2020,7,100,44,44
2020,8,총,"174,049","174,049"
2020,8,0,"22,911","22,911"
2020,8,10,"20,639","20,639"
2020,8,20,"17,879","17,879"
2020,8,30,"31,162","31,162"
2020,8,40,"32,713","32,713"
2020,8,50,"21,031","21,031"
2020,8,60,"14,543","14,543"
2020,8,70,"7,602","7,602"
2020,8,80,"4,622","4,622"
2020,8,90,902,902
2020,8,100,45,45
2020,9,총,"174,401","174,401"
2020,9,0,"22,822","22,822"
2020,9,10,"20,713","20,713"
2020,9,20,"17,902","17,902"
2020,9,30,"31,112","31,112"
2020,9,40,"32,825","32,825"
2020,9,50,"21,162","21,162"
2020,9,60,"14,650","14,650"
2020,9,70,"7,629","7,629"
2020,9,80,"4,627","4,627"
2020,9,90,916,916
2020,9,100,43,43
2020,10,총,"175,872","175,872"
2020,10,0,"22,947","22,947"
2020,10,10,"20,928","20,928"
2020,10,20,"18,084","18,084"
2020,10,30,"31,250","31,250"
2020,10,40,"33,121","33,121"
2020,10,50,"21,385","21,385"
2020,10,60,"14,838","14,838"
2020,10,70,"7,706","7,706"
2020,10,80,"4,650","4,650"
2020,10,90,920,920
2020,10,100,43,43
2020,11,총,"177,094","177,094"
2020,11,0,"23,029","23,029"
2020,11,10,"21,099","21,099"
2020,11,20,"18,189","18,189"
2020,11,30,"31,372","31,372"
2020,11,40,"33,393","33,393"
2020,11,50,"21,586","21,586"
2020,11,60,"15,047","15,047"
2020,11,70,"7,738","7,738"
2020,11,80,"4,682","4,682"
2020,11,90,918,918
2020,11,100,41,41
2020,12,총,"178,263","178,263"
2020,12,0,"23,095","23,095"
2020,12,10,"21,258","21,258"
2020,12,20,"18,403","18,403"
2020,12,30,"31,488","31,488"
2020,12,40,"33,643","33,643"
2020,12,50,"21,711","21,711"
2020,12,60,"15,204","15,204"
2020,12,70,"7,790","7,790"
2020,12,80,"4,694","4,694"
2020,12,90,937,937
2020,12,100,40,40
2021,1,총,"179,215","179,215"
2021,1,0,"23,040","23,040"
2021,1,10,"21,466","21,466"
2021,1,20,"18,535","18,535"
2021,1,30,"31,485","31,485"
2021,1,40,"33,978","33,978"
2021,1,50,"21,773","21,773"
2021,1,60,"15,413","15,413"
2021,1,70,"7,809","7,809"
2021,1,80,"4,728","4,728"
2021,1,90,948,948
2021,1,100,40,40
2021,2,총,"180,041","180,041"
2021,2,0,"23,069","23,069"
2021,2,10,"21,554","21,554"
2021,2,20,"18,520","18,520"
2021,2,30,"31,494","31,494"
2021,2,40,"34,344","34,344"
2021,2,50,"21,888","21,888"
2021,2,60,"15,595","15,595"
2021,2,70,"7,794","7,794"
2021,2,80,"4,775","4,775"
2021,2,90,969,969
2021,2,100,39,39
2021,3,총,"180,432","180,432"
2021,3,0,"23,109","23,109"
2021,3,10,"21,643","21,643"
2021,3,20,"18,526","18,526"
2021,3,30,"31,455","31,455"
2021,3,40,"34,390","34,390"
