년도,월,나이,서울특별시 도봉구,서울특별시 도봉구 창제1동,서울특별시 도봉구 창제2동,서울특별시 도봉구 창제3동,서울특별시 도봉구 창제4동,서울특별시 도봉구 창제5동,서울특별시 도봉구 도봉제1동,서울특별시 도봉구 도봉제2동,서울특별시 도봉구 쌍문제1동,서울특별시 도봉구 쌍문제2동,서울특별시 도봉구 쌍문제3동,서울특별시 도봉구 쌍문제4동,서울특별시 도봉구 방학제1동,서울특별시 도봉구 방학제2동,서울특별시 도봉구 방학제3동
2020,1,총,"162,701","12,462","14,815","7,322","13,345","12,352","11,191","13,982","10,703","9,582","8,260","9,444","14,732","10,577","13,934"
2020,1,0,"10,570",888,"1,052",448,980,865,487,911,664,623,456,696,829,556,"1,115"
2020,1,10,"14,121","1,186","1,263",590,"1,442","1,082",698,966,864,781,566,"1,067","1,215",820,"1,581"
2020,1,20,"22,966","1,732","2,104",991,"1,968","1,827","1,468","1,745","1,517","1,350","1,236","1,398","2,108","1,557","1,965"
2020,1,30,"22,047","1,754","2,259",987,"1,682","1,911","1,411","1,967","1,361","1,444","1,291","1,191","1,815","1,309","1,665"
2020,1,40,"25,215","2,139","2,408","1,167","2,188","1,746","1,659","2,052","1,722","1,465","1,315","1,453","2,214","1,592","2,095"
2020,1,50,"27,809","2,001","2,474","1,348","2,368","2,077","1,963","2,240","1,814","1,540","1,310","1,610","2,774","1,952","2,338"
2020,1,60,"22,887","1,583","1,882",999,"1,583","1,709","1,830","2,310","1,495","1,362","1,112","1,298","2,131","1,608","1,985"
2020,1,70,"12,475",848,994,589,779,804,"1,246","1,314",946,722,720,519,"1,282",877,835
2020,1,80,"4,138",297,357,187,307,292,387,424,289,265,233,186,329,270,315
2020,1,90,432,32,21,13,46,35,40,48,24,23,21,26,34,32,37
2020,1,100,41,2,1,3,2,4,2,5,7,7,0,0,1,4,3
2020,2,총,"162,327","12,439","14,776","7,293","13,325","12,286","11,175","13,951","10,649","9,555","8,265","9,400","14,740","10,565","13,908"
2020,2,0,"10,438",876,"1,024",442,967,847,484,892,653,618,456,688,824,549,"1,118"
2020,2,10,"14,020","1,181","1,258",588,"1,426","1,076",696,959,844,777,556,"1,067","1,214",815,"1,563"
2020,2,20,"22,842","1,734","2,094",981,"1,965","1,800","1,455","1,748","1,506","1,335","1,246","1,381","2,101","1,543","1,953"
2020,2,30,"21,935","1,748","2,242",975,"1,689","1,901","1,393","1,949","1,353","1,434","1,277","1,182","1,821","1,305","1,666"
2020,2,40,"25,123","2,128","2,403","1,161","2,172","1,742","1,658","2,055","1,717","1,455","1,315","1,442","2,206","1,590","2,079"
2020,2,50,"27,792","2,000","2,481","1,345","2,363","2,074","1,962","2,235","1,811","1,537","1,313","1,605","2,782","1,953","2,331"
2020,2,60,"23,010","1,588","1,893","1,000","1,607","1,698","1,835","2,333","1,491","1,376","1,121","1,299","2,140","1,625","2,004"
2020,2,70,"12,502",847,997,596,780,814,"1,252","1,304",945,720,718,525,"1,284",880,840
2020,2,80,"4,193",303,363,190,307,295,399,424,299,271,241,186,333,268,314
2020,2,90,432,32,20,12,47,35,39,47,23,25,22,25,35,33,37
2020,2,100,40,2,1,3,2,4,2,5,7,7,0,0,0,4,3
2020,3,총,"161,879","12,374","14,755","7,276","13,297","12,276","11,137","13,920","10,621","9,527","8,259","9,367","14,680","10,525","13,865"
2020,3,0,"10,350",862,"1,018",446,953,840,468,882,652,613,454,685,819,541,"1,117"
2020,3,10,"13,889","1,173","1,245",585,"1,419","1,060",693,951,838,769,550,"1,063","1,190",810,"1,543"
2020,3,20,"22,805","1,708","2,100",989,"1,964","1,804","1,458","1,751","1,494","1,334","1,245","1,376","2,101","1,538","1,943"
2020,3,30,"21,825","1,743","2,219",968,"1,692","1,900","1,372","1,945","1,352","1,441","1,269","1,169","1,802","1,291","1,662"
2020,3,40,"24,940","2,104","2,384","1,140","2,152","1,739","1,658","2,026","1,706","1,441","1,312","1,434","2,187","1,586","2,071"
2020,3,50,"27,733","1,988","2,495","1,354","2,369","2,074","1,945","2,239","1,800","1,535","1,305","1,604","2,778","1,929","2,318"
2020,3,60,"23,084","1,602","1,902",988,"1,617","1,700","1,845","2,329","1,504","1,373","1,141","1,297","2,138","1,642","2,006"
2020,3,70,"12,532",846,"1,000",595,781,823,"1,259","1,316",941,718,717,523,"1,295",873,845
2020,3,80,"4,245",312,372,195,301,298,396,429,304,269,246,190,336,278,319
2020,3,90,434,34,19,13,46,34,41,47,23,27,20,26,34,32,38
2020,3,100,42,2,1,3,3,4,2,5,7,7,0,0,0,5,3
2020,4,총,"161,581","12,328","14,735","7,276","13,281","12,253","11,102","13,919","10,631","9,514","8,243","9,333","14,655","10,494","13,817"
2020,4,0,"10,282",849,"1,003",450,955,827,461,881,652,609,448,684,817,533,"1,113"
2020,4,10,"13,798","1,158","1,248",577,"1,406","1,054",696,934,843,770,542,"1,048","1,183",813,"1,526"
2020,4,20,"22,791","1,712","2,098",999,"1,963","1,812","1,456","1,751","1,495","1,331","1,243","1,368","2,095","1,532","1,936"
2020,4,30,"21,737","1,736","2,213",957,"1,697","1,890","1,355","1,956","1,351","1,430","1,260","1,171","1,789","1,279","1,653"
2020,4,40,"24,798","2,090","2,385","1,132","2,133","1,727","1,644","2,009","1,711","1,445","1,311","1,419","2,162","1,577","2,053"
2020,4,50,"27,686","1,972","2,491","1,346","2,373","2,079","1,938","2,248","1,797","1,515","1,311","1,599","2,784","1,924","2,309"
2020,4,60,"23,187","1,617","1,905",998,"1,617","1,707","1,852","2,337","1,505","1,386","1,142","1,299","2,154","1,647","2,021"
2020,4,70,"12,571",849,"1,000",605,789,823,"1,261","1,316",947,725,718,529,"1,294",870,845
2020,4,80,"4,247",309,372,196,300,294,396,434,302,267,248,190,340,282,317
2020,4,90,441,34,19,13,44,36,41,48,21,29,20,26,37,32,41
2020,4,100,43,2,1,3,4,4,2,5,7,7,0,0,0,5,3
2020,5,총,"161,195","12,302","14,692","7,275","13,250","12,238","11,061","13,856","10,615","9,494","8,232","9,315","14,630","10,444","13,791"
2020,5,0,"10,216",849,"1,002",442,958,825,452,869,652,606,443,682,812,526,"1,098"
2020,5,10,"13,741","1,156","1,243",572,"1,392","1,053",689,935,833,762,542,"1,044","1,179",810,"1,531"
2020,5,20,"22,677","1,705","2,078","1,003","1,952","1,821","1,454","1,738","1,489","1,321","1,246","1,354","2,090","1,508","1,918"
2020,5,30,"21,636","1,730","2,200",952,"1,687","1,879","1,338","1,940","1,353","1,417","1,255","1,174","1,775","1,288","1,648"
2020,5,40,"24,683","2,079","2,376","1,137","2,120","1,720","1,644","1,997","1,700","1,445","1,297","1,413","2,154","1,558","2,043"
2020,5,50,"27,646","1,977","2,475","1,344","2,374","2,076","1,932","2,242","1,794","1,511","1,309","1,595","2,790","1,924","2,303"
2020,5,60,"23,230","1,607","1,910","1,000","1,623","1,701","1,837","2,330","1,515","1,403","1,150","1,303","2,162","1,645","2,044"
2020,5,70,"12,601",853,"1,008",609,796,822,"1,274","1,318",951,726,720,533,"1,286",866,839
2020,5,80,"4,278",308,378,200,300,300,398,436,299,266,249,191,347,283,323
2020,5,90,442,36,21,13,44,37,41,45,22,30,21,26,35,31,40
2020,5,100,45,2,1,3,4,4,2,6,7,7,0,0,0,5,4
2020,6,총,"160,855","12,255","14,683","7,250","13,239","12,190","11,047","13,851","10,601","9,456","8,241","9,284","14,593","10,417","13,748"
2020,6,0,"10,173",842,"1,004",435,947,830,454,865,650,602,435,678,804,525,"1,102"
2020,6,10,"13,671","1,147","1,240",576,"1,393","1,041",680,934,823,766,540,"1,043","1,176",798,"1,514"
2020,6,20,"22,598","1,695","2,072",989,"1,944","1,823","1,433","1,744","1,473","1,316","1,260","1,343","2,092","1,499","1,915"
2020,6,30,"21,544","1,731","2,183",946,"1,694","1,853","1,350","1,921","1,355","1,404","1,259","1,164","1,763","1,280","1,641"
2020,6,40,"24,597","2,062","2,378","1,126","2,115","1,718","1,648","2,009","1,701","1,433","1,287","1,407","2,126","1,562","2,025"
2020,6,50,"27,556","1,956","2,472","1,351","2,366","2,071","1,921","2,230","1,782","1,508","1,317","1,582","2,786","1,914","2,300"
2020,6,60,"23,308","1,614","1,919","1,003","1,631","1,698","1,846","2,334","1,532","1,402","1,150","1,307","2,172","1,651","2,049"
2020,6,70,"12,634",855,"1,017",608,801,822,"1,274","1,330",949,725,722,539,"1,289",869,834
2020,6,80,"4,286",315,377,202,299,294,397,433,305,264,249,195,350,282,324
2020,6,90,442,36,21,11,45,36,42,45,24,29,21,26,34,32,40
2020,6,100,46,2,0,3,4,4,2,6,7,7,1,0,1,5,4
2020,7,총,"160,465","12,213","14,646","7,239","13,210","12,176","11,001","13,814","10,600","9,421","8,203","9,276","14,571","10,395","13,700"
2020,7,0,"10,093",830,996,434,952,823,448,862,639,584,424,680,805,514,"1,102"
2020,7,10,"13,575","1,142","1,234",571,"1,378","1,029",677,928,825,764,539,"1,037","1,164",788,"1,499"
2020,7,20,"22,525","1,678","2,071",979,"1,922","1,824","1,434","1,743","1,478","1,324","1,255","1,341","2,085","1,497","1,894"
2020,7,30,"21,444","1,733","2,170",948,"1,693","1,852","1,333","1,911","1,353","1,380","1,240","1,159","1,752","1,267","1,653"
2020,7,40,"24,510","2,050","2,372","1,131","2,110","1,717","1,637","1,990","1,689","1,429","1,285","1,405","2,118","1,564","2,013"
