년도,월,나이,부산광역시 수영구,부산광역시 수영구 남천제1동,부산광역시 수영구 남천제2동,부산광역시 수영구 수영동,부산광역시 수영구 망미제1동,부산광역시 수영구 망미제2동,부산광역시 수영구 광안제1동,부산광역시 수영구 광안제2동,부산광역시 수영구 광안제3동,부산광역시 수영구 광안제4동,부산광역시 수영구 민락동
2020,1,총,"176,112","14,178","12,480","15,222","28,492","11,919","26,223","18,963","10,353","11,190","27,092"
2020,1,0,"10,544",731,898,693,"1,811",744,"1,469","1,215",366,549,"2,068"
2020,1,10,"12,336","1,240","1,253",719,"2,037",950,"1,753","1,341",508,755,"1,780"
2020,1,20,"24,063","1,872","1,485","1,848","3,311","1,321","4,825","2,820","1,892","1,534","3,155"
2020,1,30,"24,107","1,675","1,296","1,952","3,636","1,546","4,142","2,771","1,532","1,586","3,971"
2020,1,40,"25,598","2,145","2,017","1,939","3,839","1,833","3,752","2,925","1,369","1,690","4,089"
2020,1,50,"27,922","2,428","2,187","2,458","4,625","1,928","3,679","2,830","1,532","1,775","4,480"
2020,1,60,"27,641","2,093","1,865","2,900","4,960","1,973","3,550","2,617","1,690","1,656","4,337"
2020,1,70,"16,651","1,286","1,028","1,899","2,895","1,176","2,176","1,724","1,043","1,111","2,313"
2020,1,80,"6,342",605,363,732,"1,197",395,766,642,370,477,795
2020,1,90,841,97,78,78,170,48,103,70,46,52,99
2020,1,100,67,6,10,4,11,5,8,8,5,5,5
2020,2,총,"176,879","14,180","12,514","15,200","28,476","11,913","26,236","18,964","10,373","11,156","27,867"
2020,2,0,"10,616",725,904,679,"1,812",749,"1,441","1,217",364,547,"2,178"
2020,2,10,"12,348","1,241","1,250",717,"2,030",946,"1,736","1,335",511,758,"1,824"
2020,2,20,"24,217","1,901","1,476","1,839","3,300","1,321","4,885","2,815","1,902","1,519","3,259"
2020,2,30,"24,185","1,659","1,329","1,914","3,627","1,528","4,122","2,766","1,540","1,576","4,124"
2020,2,40,"25,781","2,139","2,025","1,960","3,819","1,840","3,764","2,952","1,375","1,680","4,227"
2020,2,50,"27,967","2,435","2,181","2,441","4,617","1,919","3,663","2,804","1,526","1,772","4,609"
2020,2,60,"27,763","2,082","1,874","2,923","4,980","1,979","3,568","2,619","1,684","1,656","4,398"
2020,2,70,"16,703","1,294","1,024","1,893","2,913","1,184","2,165","1,733","1,040","1,113","2,344"
2020,2,80,"6,394",601,364,752,"1,196",395,780,646,382,479,799
2020,2,90,840,97,77,78,171,48,105,69,44,51,100
2020,2,100,65,6,10,4,11,4,7,8,5,5,5
2020,3,총,"176,967","14,150","12,481","15,196","28,372","11,880","26,250","18,854","10,353","11,122","28,309"
2020,3,0,"10,593",729,896,679,"1,795",748,"1,424","1,210",358,536,"2,218"
2020,3,10,"12,270","1,221","1,243",715,"2,013",928,"1,717","1,317",507,755,"1,854"
2020,3,20,"24,288","1,921","1,459","1,835","3,277","1,327","4,941","2,801","1,901","1,509","3,317"
2020,3,30,"24,127","1,659","1,302","1,909","3,595","1,511","4,111","2,727","1,541","1,573","4,199"
2020,3,40,"25,757","2,082","2,031","1,954","3,818","1,825","3,760","2,931","1,363","1,676","4,317"
2020,3,50,"27,947","2,443","2,187","2,427","4,586","1,917","3,642","2,786","1,521","1,768","4,670"
2020,3,60,"27,833","2,089","1,868","2,928","4,985","1,982","3,589","2,607","1,678","1,658","4,449"
2020,3,70,"16,791","1,299","1,038","1,907","2,910","1,193","2,170","1,748","1,055","1,110","2,361"
2020,3,80,"6,446",603,369,758,"1,207",397,784,651,382,481,814
2020,3,90,850,98,79,80,174,48,105,68,42,51,105
2020,3,100,65,6,9,4,12,4,7,8,5,5,5
2020,4,총,"176,984","14,128","12,475","15,162","28,349","11,864","26,230","18,860","10,342","11,098","28,476"
2020,4,0,"10,578",727,893,679,"1,780",741,"1,415","1,205",356,530,"2,252"
2020,4,10,"12,228","1,223","1,239",706,"2,012",923,"1,704","1,313",510,754,"1,844"
2020,4,20,"24,247","1,906","1,450","1,820","3,267","1,311","4,950","2,813","1,880","1,503","3,347"
2020,4,30,"24,153","1,672","1,288","1,889","3,597","1,526","4,107","2,729","1,547","1,569","4,229"
2020,4,40,"25,700","2,054","2,038","1,949","3,808","1,811","3,742","2,933","1,354","1,671","4,340"
2020,4,50,"27,893","2,435","2,198","2,408","4,561","1,913","3,637","2,755","1,514","1,766","4,706"
2020,4,60,"27,927","2,100","1,868","2,939","5,005","1,974","3,599","2,627","1,691","1,660","4,464"
2020,4,70,"16,847","1,300","1,040","1,927","2,927","1,211","2,175","1,755","1,053","1,101","2,358"
2020,4,80,"6,484",604,373,758,"1,209",401,787,654,388,488,822
2020,4,90,863,101,79,82,173,49,107,68,44,51,109
2020,4,100,64,6,9,5,10,4,7,8,5,5,5
2020,5,총,"176,886","14,101","12,462","15,158","28,224","11,819","26,221","18,839","10,361","11,078","28,623"
2020,5,0,"10,538",722,899,673,"1,764",736,"1,401","1,199",357,523,"2,264"
2020,5,10,"12,130","1,216","1,226",695,"1,988",919,"1,696","1,299",499,745,"1,847"
2020,5,20,"24,226","1,899","1,445","1,822","3,244","1,306","4,953","2,805","1,901","1,501","3,350"
2020,5,30,"24,144","1,659","1,286","1,884","3,583","1,520","4,104","2,725","1,559","1,559","4,265"
2020,5,40,"25,650","2,052","2,032","1,949","3,778","1,796","3,747","2,938","1,335","1,671","4,352"
2020,5,50,"27,883","2,439","2,196","2,413","4,538","1,901","3,610","2,763","1,509","1,770","4,744"
2020,5,60,"27,915","2,098","1,859","2,929","5,006","1,970","3,618","2,622","1,693","1,655","4,465"
2020,5,70,"16,938","1,303","1,050","1,938","2,928","1,220","2,183","1,757","1,068","1,102","2,389"
2020,5,80,"6,528",606,380,767,"1,215",398,793,657,390,493,829
2020,5,90,871,101,80,83,171,49,109,66,45,54,113
2020,5,100,63,6,9,5,9,4,7,8,5,5,5
2020,6,총,"176,975","14,093","12,470","15,129","28,141","11,806","26,323","18,879","10,360","10,997","28,777"
2020,6,0,"10,518",723,889,664,"1,751",742,"1,400","1,192",358,524,"2,275"
2020,6,10,"12,070","1,211","1,220",693,"1,991",906,"1,692","1,278",487,729,"1,863"
2020,6,20,"24,274","1,904","1,444","1,821","3,200","1,295","5,010","2,853","1,913","1,479","3,355"
2020,6,30,"24,162","1,664","1,286","1,852","3,566","1,516","4,143","2,745","1,563","1,554","4,273"
2020,6,40,"25,638","2,038","2,021","1,959","3,779","1,781","3,750","2,924","1,338","1,662","4,386"
2020,6,50,"27,832","2,437","2,198","2,404","4,498","1,904","3,621","2,771","1,499","1,748","4,752"
2020,6,60,"28,009","2,100","1,876","2,933","5,023","1,982","3,613","2,621","1,697","1,652","4,512"
2020,6,70,"16,991","1,303","1,059","1,951","2,939","1,227","2,182","1,757","1,064","1,095","2,414"
2020,6,80,"6,541",605,389,762,"1,216",399,795,663,390,495,827
2020,6,90,877,102,79,84,171,50,110,68,45,53,115
2020,6,100,63,6,9,6,7,4,7,7,6,6,5
2020,7,총,"176,742","14,059","12,410","15,140","28,069","11,767","26,376","18,889","10,277","10,961","28,794"
2020,7,0,"10,458",720,873,656,"1,740",739,"1,391","1,190",348,513,"2,288"
2020,7,10,"11,997","1,195","1,209",684,"1,982",890,"1,695","1,276",475,734,"1,857"
2020,7,20,"24,273","1,891","1,434","1,829","3,170","1,296","5,046","2,852","1,932","1,468","3,355"
2020,7,30,"24,108","1,665","1,272","1,869","3,555","1,501","4,137","2,748","1,552","1,541","4,268"
2020,7,40,"25,589","2,034","2,002","1,952","3,759","1,774","3,767","2,914","1,326","1,671","4,390"
2020,7,50,"27,764","2,433","2,203","2,386","4,484","1,903","3,613","2,790","1,475","1,728","4,749"
2020,7,60,"28,035","2,106","1,877","2,949","5,023","1,984","3,616","2,622","1,671","1,666","4,521"
2020,7,70,"17,022","1,305","1,058","1,955","2,961","1,225","2,200","1,761","1,051","1,088","2,418"
2020,7,80,"6,560",604,391,770,"1,221",401,790,666,397,494,826
2020,7,90,873,100,82,84,167,50,114,63,44,52,117
2020,7,100,63,6,9,6,7,4,7,7,6,6,5
2020,8,총,"176,937","14,046","12,378","15,057","27,971","11,710","26,313","18,821","10,130","11,751","28,760"
2020,8,0,"10,440",710,865,632,"1,736",729,"1,357","1,166",337,620,"2,288"
2020,8,10,"11,970","1,206","1,207",673,"1,970",878,"1,683","1,263",460,794,"1,836"
2020,8,20,"24,300","1,874","1,428","1,829","3,143","1,281","5,098","2,883","1,897","1,537","3,330"
2020,8,30,"24,114","1,662","1,259","1,860","3,525","1,485","4,115","2,715","1,539","1,697","4,257"
2020,8,40,"25,638","2,051","1,991","1,922","3,755","1,770","3,746","2,902","1,301","1,821","4,379"
2020,8,50,"27,717","2,423","2,187","2,362","4,468","1,898","3,596","2,771","1,440","1,842","4,730"
2020,8,60,"28,224","2,111","1,903","2,961","5,041","1,988","3,625","2,612","1,660","1,767","4,556"
2020,8,70,"17,006","1,300","1,046","1,953","2,938","1,228","2,184","1,767","1,053","1,108","2,429"
2020,8,80,"6,589",603,398,774,"1,223",399,790,671,393,506,832
2020,8,90,875,100,84,85,165,50,112,64,44,53,118
2020,8,100,64,6,10,6,7,4,7,7,6,6,5
2020,9,총,"177,266","14,044","12,363","15,045","27,936","11,634","26,262","18,698","9,966","12,544","28,774"
2020,9,0,"10,452",710,867,625,"1,718",728,"1,341","1,137",329,709,"2,288"
2020,9,10,"11,978","1,206","1,205",680,"1,974",863,"1,677","1,269",437,827,"1,840"
2020,9,20,"24,394","1,873","1,424","1,820","3,152","1,260","5,112","2,895","1,896","1,632","3,330"
2020,9,30,"24,071","1,653","1,265","1,836","3,472","1,473","4,112","2,698","1,505","1,853","4,204"
2020,9,40,"25,669","2,051","1,987","1,920","3,747","1,752","3,732","2,869","1,275","1,908","4,428"
2020,9,50,"27,783","2,420","2,187","2,349","4,453","1,891","3,578","2,765","1,426","1,978","4,736"
2020,9,60,"28,309","2,120","1,889","2,972","5,071","1,979","3,604","2,579","1,625","1,915","4,555"
2020,9,70,"17,051","1,295","1,047","1,970","2,948","1,234","2,191","1,754","1,031","1,141","2,440"
2020,9,80,"6,619",610,399,782,"1,224",398,796,663,394,520,833
2020,9,90,876,100,83,85,169,52,112,62,42,56,115
2020,9,100,64,6,10,6,8,4,7,7,6,5,5
2020,10,총,"177,085","14,020","12,331","14,958","27,861","11,611","26,193","18,696","9,862","12,842","28,711"
2020,10,0,"10,399",719,859,614,"1,708",717,"1,314","1,136",320,759,"2,253"
2020,10,10,"11,933","1,188","1,197",664,"1,975",857,"1,669","1,274",434,835,"1,840"
2020,10,20,"24,377","1,874","1,422","1,812","3,141","1,260","5,099","2,875","1,885","1,676","3,333"
2020,10,30,"23,997","1,647","1,249","1,813","3,457","1,471","4,098","2,715","1,491","1,889","4,167"
2020,10,40,"25,564","2,038","1,976","1,909","3,723","1,737","3,702","2,860","1,259","1,946","4,414"
2020,10,50,"27,783","2,432","2,180","2,351","4,424","1,889","3,588","2,763","1,409","2,021","4,726"
2020,10,60,"28,388","2,117","1,906","2,947","5,072","1,987","3,606","2,587","1,620","1,966","4,580"
2020,10,70,"17,047","1,289","1,047","1,976","2,953","1,235","2,203","1,745","1,007","1,152","2,440"
2020,10,80,"6,658",613,404,778,"1,228",399,797,671,390,536,842
2020,10,90,877,98,81,89,172,55,110,63,41,57,111
2020,10,100,62,5,10,5,8,4,7,7,6,5,5
2020,11,총,"176,885","14,043","12,341","14,939","27,899","11,554","26,066","18,691","9,755","12,970","28,627"
2020,11,0,"10,333",719,866,612,"1,710",707,"1,287","1,125",309,772,"2,226"
2020,11,10,"11,896","1,178","1,185",662,"1,989",849,"1,651","1,281",428,841,"1,832"
2020,11,20,"24,261","1,858","1,407","1,797","3,127","1,245","5,063","2,871","1,861","1,703","3,329"
2020,11,30,"23,913","1,657","1,251","1,803","3,449","1,448","4,070","2,699","1,481","1,908","4,147"
2020,11,40,"25,547","2,054","1,978","1,908","3,738","1,733","3,674","2,854","1,244","1,960","4,404"
2020,11,50,"27,756","2,438","2,182","2,344","4,426","1,889","3,586","2,761","1,391","2,040","4,699"
2020,11,60,"28,480","2,119","1,920","2,963","5,075","1,989","3,613","2,604","1,601","1,989","4,607"
2020,11,70,"17,063","1,293","1,055","1,973","2,967","1,244","2,195","1,744","1,005","1,157","2,430"
2020,11,80,"6,695",620,408,781,"1,237",390,811,679,391,539,839
2020,11,90,879,102,79,91,173,56,109,65,39,56,109
2020,11,100,62,5,10,5,8,4,7,8,5,5,5
2020,12,총,"176,894","14,043","12,345","14,924","27,921","11,501","26,065","18,688","9,696","13,127","28,584"
2020,12,0,"10,328",724,876,605,"1,703",699,"1,275","1,120",310,787,"2,229"
2020,12,10,"11,852","1,191","1,174",659,"1,996",834,"1,635","1,274",412,855,"1,822"
2020,12,20,"24,349","1,840","1,406","1,802","3,140","1,249","5,094","2,896","1,856","1,742","3,324"
2020,12,30,"23,877","1,658","1,248","1,790","3,433","1,445","4,073","2,705","1,466","1,920","4,139"
2020,12,40,"25,487","2,043","1,966","1,896","3,761","1,715","3,654","2,858","1,227","1,988","4,379"
