년도,월,나이,충청남도 계룡시,충청남도 계룡시 두마면,충청남도 계룡시 엄사면,충청남도 계룡시 신도안면,충청남도 계룡시 금암동
2021,3,20,"2,176",362,"1,076",327,411
2021,3,30,"2,354",376,852,681,445
2021,3,40,"4,309",630,"1,655","1,208",816
2021,3,50,"3,482",660,"1,789",268,765
2021,3,60,"2,364",521,"1,173",58,612
2021,3,70,"1,156",229,647,42,238
2021,3,80,761,128,492,16,125
2021,3,90,141,38,79,1,23
2021,3,100,3,1,2,0,0
2021,4,총,"21,696","3,689","9,473","4,213","4,321"
2021,4,0,"1,940",296,606,665,373
2021,4,10,"2,974",454,"1,087",928,505
2021,4,20,"2,184",358,"1,082",332,412
2021,4,30,"2,358",374,853,682,449
2021,4,40,"4,296",631,"1,647","1,206",812
2021,4,50,"3,503",658,"1,800",281,764
2021,4,60,"2,385",522,"1,181",61,621
2021,4,70,"1,146",226,640,43,237
2021,4,80,763,129,495,14,125
2021,4,90,144,40,80,1,23
2021,4,100,3,1,2,0,0
2021,5,총,"21,700","3,682","9,487","4,214","4,317"
2021,5,0,"1,935",297,597,674,367
2021,5,10,"2,974",455,"1,089",926,504
2021,5,20,"2,173",355,"1,080",329,409
2021,5,30,"2,330",367,845,673,445
2021,5,40,"4,305",631,"1,650","1,209",815
2021,5,50,"3,509",663,"1,799",281,766
2021,5,60,"2,420",523,"1,201",65,631
2021,5,70,"1,142",224,644,42,232
2021,5,80,759,125,495,14,125
2021,5,90,150,41,85,1,23
2021,5,100,3,1,2,0,0
2021,6,총,"21,664","3,671","9,465","4,194","4,334"
2021,6,0,"1,923",298,592,666,367
2021,6,10,"2,973",454,"1,084",921,514
2021,6,20,"2,167",355,"1,066",336,410
2021,6,30,"2,308",359,846,664,439
2021,6,40,"4,280",629,"1,626","1,208",817
2021,6,50,"3,525",661,"1,810",281,773
2021,6,60,"2,431",524,"1,210",64,633
2021,6,70,"1,142",223,645,40,234
2021,6,80,759,125,495,13,126
2021,6,90,153,42,89,1,21
2021,6,100,3,1,2,0,0
2021,7,총,"21,680","3,710","9,448","4,195","4,327"
2021,7,0,"1,927",301,591,668,367
2021,7,10,"2,975",460,"1,078",925,512
2021,7,20,"2,146",356,"1,054",330,406
2021,7,30,"2,310",361,844,664,441
2021,7,40,"4,265",634,"1,604","1,212",815
2021,7,50,"3,529",666,"1,816",280,767
2021,7,60,"2,469",534,"1,234",60,641
2021,7,70,"1,143",227,642,43,231
2021,7,80,760,127,493,12,128
2021,7,90,153,43,90,1,19
2021,7,100,3,1,2,0,0
2021,8,총,"21,735","3,718","9,455","4,239","4,323"
2021,8,0,"1,924",301,591,678,354
2021,8,10,"2,974",461,"1,066",936,511
2021,8,20,"2,143",356,"1,056",330,401
2021,8,30,"2,322",364,849,664,445
2021,8,40,"4,255",630,"1,600","1,217",808
2021,8,50,"3,551",671,"1,812",292,776
2021,8,60,"2,503",538,"1,253",67,645
2021,8,70,"1,143",228,639,43,233
2021,8,80,765,126,497,11,131
2021,8,90,153,42,91,1,19
2021,8,100,2,1,1,0,0
2021,9,총,"21,699","3,718","9,446","4,216","4,319"
2021,9,0,"1,896",296,580,670,350
2021,9,10,"2,971",464,"1,067",934,506
2021,9,20,"2,136",358,"1,051",325,402
2021,9,30,"2,299",357,840,664,438
2021,9,40,"4,248",631,"1,600","1,211",806
2021,9,50,"3,581",675,"1,821",296,789
2021,9,60,"2,508",535,"1,266",65,642
2021,9,70,"1,137",232,635,39,231
2021,9,80,767,127,494,11,135
2021,9,90,155,42,92,1,20
2021,9,100,1,1,0,0,0
2021,10,총,"21,624","3,703","9,434","4,183","4,304"
2021,10,0,"1,868",290,573,657,348
2021,10,10,"2,968",468,"1,071",926,503
2021,10,20,"2,121",361,"1,039",325,396
2021,10,30,"2,269",350,830,652,437
2021,10,40,"4,235",630,"1,601","1,204",800
2021,10,50,"3,588",675,"1,817",302,794
2021,10,60,"2,514",533,"1,277",64,640
2021,10,70,"1,141",233,635,41,232
2021,10,80,765,123,497,11,134
2021,10,90,154,39,94,1,20
2021,10,100,1,1,0,0,0
2021,11,총,"21,640","3,733","9,433","4,187","4,287"
2021,11,0,"1,879",292,578,662,347
2021,11,10,"2,959",471,"1,057",929,502
2021,11,20,"2,127",373,"1,037",324,393
2021,11,30,"2,270",352,833,654,431
2021,11,40,"4,227",631,"1,598","1,200",798
2021,11,50,"3,584",677,"1,815",300,792
2021,11,60,"2,540",545,"1,289",67,639
2021,11,70,"1,128",227,633,36,232
2021,11,80,768,124,495,14,135
2021,11,90,157,40,98,1,18
2021,11,100,1,1,0,0,0
2021,12,총,"21,768","4,006","9,369","4,119","4,274"
