년도,월,나이,강진군,강진읍,군동면,칠량면,대구면,도암면,신전면,성전면,작천면,병영면,옴천면,마량면
2020,1,총,"18,298","7,330","2,130","1,242",635,"1,352",969,"1,472",980,903,344,941
2020,1,0,949,530,102,39,19,38,59,55,22,31,11,43
2020,1,10,"1,307",756,149,69,23,67,41,67,39,35,19,42
2020,1,20,"1,316",735,125,69,30,60,39,81,52,46,14,65
2020,1,30,"1,307",726,135,54,31,57,54,89,40,40,18,63
2020,1,40,"1,734",959,199,89,45,85,59,105,42,62,20,69
2020,1,50,"2,769","1,170",326,175,89,177,143,213,143,127,43,163
2020,1,60,"3,012","1,010",319,228,135,262,209,281,181,157,53,177
2020,1,70,"3,107",827,383,269,142,310,179,306,239,204,70,178
2020,1,80,"2,416",532,341,216,102,256,167,238,190,168,82,124
2020,1,90,356,75,50,32,18,35,18,35,31,31,14,17
2020,1,100,25,10,1,2,1,5,1,2,1,2,0,0
2020,2,총,"18,238","7,308","2,121","1,237",627,"1,343",971,"1,473",976,899,345,938
2020,2,0,942,524,100,38,20,38,59,58,23,29,11,42
2020,2,10,"1,288",744,143,71,21,67,43,65,38,36,20,40
2020,2,20,"1,294",731,124,68,28,55,38,78,49,45,13,65
2020,2,30,"1,296",718,132,54,31,58,53,92,40,37,19,62
2020,2,40,"1,733",967,201,88,42,83,61,106,43,58,17,67
2020,2,50,"2,760","1,165",324,173,90,172,143,212,143,130,43,165
2020,2,60,"3,027","1,015",323,228,136,261,209,280,181,160,56,178
2020,2,70,"3,085",821,378,268,141,312,177,305,236,201,69,177
2020,2,80,"2,421",533,345,214,98,258,167,239,191,168,83,125
2020,2,90,366,80,49,33,19,34,20,36,31,33,14,17
2020,2,100,26,10,2,2,1,5,1,2,1,2,0,0
2020,3,총,"18,227","7,297","2,146","1,233",627,"1,339",973,"1,461",977,898,344,932
2020,3,0,929,516,106,38,20,35,59,55,23,28,10,39
2020,3,10,"1,279",732,142,69,21,70,43,67,38,36,20,41
2020,3,20,"1,308",735,129,71,28,53,40,75,51,47,13,66
2020,3,30,"1,300",727,135,53,30,59,55,86,40,36,20,59
2020,3,40,"1,723",961,205,86,43,81,60,106,42,57,17,65
2020,3,50,"2,734","1,149",326,171,90,172,141,207,142,130,42,164
2020,3,60,"3,057","1,033",325,229,136,263,210,284,179,160,57,181
2020,3,70,"3,064",820,376,269,141,304,175,301,232,201,69,176
2020,3,80,"2,426",532,350,211,98,261,167,240,195,166,82,124
2020,3,90,381,82,50,34,19,36,22,38,34,35,14,17
2020,3,100,26,10,2,2,1,5,1,2,1,2,0,0
2020,4,총,"18,168","7,233","2,181","1,232",623,"1,334",968,"1,457",975,896,341,928
2020,4,0,931,509,114,37,21,36,59,56,21,30,10,38
2020,4,10,"1,269",716,147,73,21,65,43,70,38,36,19,41
2020,4,20,"1,291",723,130,68,27,51,39,72,51,48,14,68
2020,4,30,"1,296",726,141,52,27,58,54,85,41,35,19,58
2020,4,40,"1,718",944,216,86,43,80,61,109,41,55,16,67
2020,4,50,"2,707","1,140",329,173,88,171,137,201,140,128,42,158
2020,4,60,"3,053","1,029",329,229,136,264,210,282,179,159,54,182
2020,4,70,"3,040",810,372,267,141,302,174,298,229,202,69,176
2020,4,80,"2,453",543,348,213,98,265,168,243,200,167,84,124
2020,4,90,384,83,53,32,20,37,22,39,34,34,14,16
2020,4,100,26,10,2,2,1,5,1,2,1,2,0,0
2020,5,총,"18,123","7,185","2,198","1,225",618,"1,336",965,"1,456",977,896,340,927
2020,5,0,930,507,116,36,19,36,58,58,21,31,9,39
2020,5,10,"1,265",713,148,71,21,64,45,69,38,35,20,41
2020,5,20,"1,273",708,130,69,27,52,36,73,50,46,14,68
2020,5,30,"1,282",712,149,51,26,57,53,81,42,36,18,57
2020,5,40,"1,695",928,218,84,42,80,60,107,39,55,16,66
2020,5,50,"2,705","1,140",335,173,84,170,135,201,143,127,40,157
2020,5,60,"3,052","1,028",328,226,139,268,207,280,179,161,56,180
2020,5,70,"3,023",802,370,263,139,300,172,302,228,200,69,178
2020,5,80,"2,479",552,347,218,100,266,174,243,202,168,84,125
2020,5,90,393,85,55,32,20,38,24,40,34,35,14,16
2020,5,100,26,10,2,2,1,5,1,2,1,2,0,0
2020,6,총,"18,062","7,146","2,224","1,217",610,"1,324",964,"1,454",970,891,342,920
2020,6,0,927,501,120,35,19,35,57,59,21,32,9,39
2020,6,10,"1,252",699,153,69,21,62,46,69,38,34,20,41
2020,6,20,"1,267",701,136,69,26,50,35,71,50,47,15,67
2020,6,30,"1,266",696,149,51,26,57,54,82,41,35,18,57
2020,6,40,"1,697",932,223,83,42,78,60,107,38,55,15,64
2020,6,50,"2,678","1,139",337,172,81,167,134,191,140,126,41,150
2020,6,60,"3,057","1,026",332,224,138,272,206,284,177,160,56,182
2020,6,70,"3,031",805,373,265,136,295,173,305,229,201,70,179
2020,6,80,"2,469",553,345,214,99,264,174,242,203,165,84,126
2020,6,90,392,84,54,33,21,39,24,42,32,34,14,15
2020,6,100,26,10,2,2,1,5,1,2,1,2,0,0
2020,7,총,"18,030","7,146","2,222","1,209",605,"1,324",958,"1,447",971,892,340,916
2020,7,0,930,503,124,34,19,34,56,59,21,31,8,41
2020,7,10,"1,243",695,150,68,21,64,45,68,37,36,21,38
2020,7,20,"1,275",714,133,66,26,53,35,68,51,47,15,67
2020,7,30,"1,250",691,151,48,23,54,54,80,42,34,19,54
2020,7,40,"1,693",932,224,81,43,77,58,107,38,55,14,64
2020,7,50,"2,656","1,129",331,173,80,163,136,190,139,125,41,149
2020,7,60,"3,062","1,027",334,225,136,272,205,284,179,161,56,183
2020,7,70,"3,033",804,377,263,135,298,174,306,227,200,70,179
2020,7,80,"2,464",553,344,215,97,265,172,240,203,166,83,126
2020,7,90,398,88,52,34,24,39,22,43,33,35,13,15
2020,7,100,26,10,2,2,1,5,1,2,1,2,0,0
2020,8,총,"18,015","7,149","2,224","1,209",607,"1,318",953,"1,445",969,886,339,916
2020,8,0,921,501,126,32,19,34,52,58,21,30,8,40
2020,8,10,"1,230",687,146,67,20,64,48,67,37,36,21,37
2020,8,20,"1,290",724,137,67,27,51,35,70,50,43,15,71
2020,8,30,"1,244",682,154,49,23,54,53,84,42,34,18,51
2020,8,40,"1,687",939,218,82,42,76,57,102,38,53,15,65
2020,8,50,"2,651","1,128",333,173,81,162,133,188,138,126,41,148
2020,8,60,"3,076","1,032",335,226,138,274,205,288,178,161,56,183
2020,8,70,"3,014",803,376,258,134,296,174,303,226,194,70,180
2020,8,80,"2,475",556,345,218,98,262,173,240,204,172,82,125
2020,8,90,402,88,52,35,24,40,22,43,34,35,13,16
2020,8,100,25,9,2,2,1,5,1,2,1,2,0,0
2020,9,총,"17,976","7,131","2,226","1,205",608,"1,316",950,"1,444",963,883,336,914
2020,9,0,908,496,124,29,18,36,48,58,21,30,8,40
2020,9,10,"1,235",689,143,70,21,63,51,69,37,35,21,36
2020,9,20,"1,276",712,144,63,27,50,36,66,48,43,15,72
2020,9,30,"1,226",673,149,47,24,54,51,86,43,32,16,51
2020,9,40,"1,685",946,217,81,41,77,56,99,38,52,14,64
2020,9,50,"2,637","1,117",336,174,81,161,134,191,132,124,41,146
2020,9,60,"3,084","1,040",337,228,139,273,202,289,177,165,54,180
2020,9,70,"3,008",801,373,256,132,291,173,301,230,194,72,185
2020,9,80,"2,477",559,345,219,100,263,174,238,202,170,82,125
2020,9,90,415,89,56,36,24,43,24,45,34,36,13,15
2020,9,100,25,9,2,2,1,5,1,2,1,2,0,0
2020,10,총,"17,941","7,127","2,231","1,193",612,"1,308",949,"1,433",960,877,336,915
2020,10,0,905,499,125,28,19,33,48,56,21,29,8,39
2020,10,10,"1,233",690,144,66,20,64,50,68,37,35,21,38
2020,10,20,"1,264",704,146,61,29,49,37,65,48,40,15,70
2020,10,30,"1,217",673,148,48,23,53,50,81,43,32,15,51
2020,10,40,"1,681",942,221,77,41,77,58,97,38,51,15,64
2020,10,50,"2,629","1,119",333,174,81,157,133,191,130,123,42,146
2020,10,60,"3,086","1,042",343,226,139,273,201,291,177,162,53,179
2020,10,70,"3,002",802,365,255,134,293,171,298,230,196,71,187
2020,10,80,"2,486",561,350,220,101,260,175,239,201,171,83,125
2020,10,90,413,86,54,36,24,44,25,45,34,36,13,16
2020,10,100,25,9,2,2,1,5,1,2,1,2,0,0
2020,11,총,"17,914","7,117","2,223","1,191",606,"1,305",947,"1,436",963,879,334,913
2020,11,0,899,499,125,29,18,29,47,55,22,28,8,39
2020,11,10,"1,225",681,146,64,19,65,49,69,38,36,20,38
2020,11,20,"1,264",705,145,60,28,50,37,66,47,41,15,70
2020,11,30,"1,201",664,142,50,23,49,51,84,42,32,15,49
2020,11,40,"1,681",943,223,75,40,79,58,95,38,52,15,63
2020,11,50,"2,614","1,115",332,176,80,156,131,187,130,121,42,144
2020,11,60,"3,103","1,048",341,227,139,276,202,295,179,163,51,182
2020,11,70,"2,998",801,363,255,135,291,171,295,229,199,71,188
2020,11,80,"2,489",568,352,216,98,261,174,241,203,169,83,124
2020,11,90,415,84,52,37,25,44,26,47,34,36,14,16
2020,11,100,25,9,2,2,1,5,1,2,1,2,0,0
2020,12,총,"17,882","7,097","2,229","1,196",605,"1,298",948,"1,432",958,879,330,910
2020,12,0,900,503,125,28,18,28,49,55,19,29,8,38
2020,12,10,"1,220",677,150,64,20,65,48,68,37,35,21,35
2020,12,20,"1,254",704,140,60,27,46,35,68,48,42,14,70
2020,12,30,"1,192",659,142,51,24,48,50,79,41,32,16,50
2020,12,40,"1,682",935,229,76,39,79,59,99,39,52,14,61
2020,12,50,"2,600","1,107",331,178,77,153,131,187,130,119,42,145
2020,12,60,"3,110","1,051",343,225,140,274,204,296,178,166,48,185
2020,12,70,"2,988",801,361,257,135,292,173,290,226,193,72,188
