년도,월,나이,서울특별시 광진구,서울특별시 광진구 화양동,서울특별시 광진구 군자동,서울특별시 광진구 중곡제1동,서울특별시 광진구 중곡제2동,서울특별시 광진구 중곡제3동,서울특별시 광진구 중곡제4동,서울특별시 광진구 능동,서울특별시 광진구 광장동,서울특별시 광진구 자양제1동,서울특별시 광진구 자양제2동,서울특별시 광진구 자양제3동,서울특별시 광진구 자양제4동,서울특별시 광진구 구의제1동,서울특별시 광진구 구의제2동,서울특별시 광진구 구의제3동
2020,3,총,"169,568","10,505","9,824","7,746","10,630","8,426","14,774","5,343","17,325","11,049","12,860","13,956","9,197","10,676","13,151","14,106"
2020,3,0,"10,738",219,503,437,669,415,870,300,"1,821",544,932,"1,236",377,486,954,975
2020,3,10,"13,829",364,569,397,746,541,"1,130",299,"2,891",839,"1,072","1,333",459,628,"1,220","1,341"
2020,3,20,"29,427","3,886","2,079","1,308","1,798","1,384","2,290",979,"2,018","2,026","1,963","1,988","1,360","2,187","1,862","2,299"
2020,3,30,"28,430","2,261","1,861","1,504","1,990","1,449","2,301","1,247","1,766","1,948","2,045","2,083","1,501","2,189","2,011","2,274"
2020,3,40,"26,757","1,219","1,370","1,184","1,548","1,233","2,215",827,"3,678","1,745","2,103","2,247","1,355","1,653","2,191","2,189"
2020,3,50,"27,045","1,121","1,503","1,242","1,737","1,524","2,642",659,"2,719","1,769","2,054","2,267","1,751","1,581","2,166","2,310"
2020,3,60,"19,483",769,"1,097",977,"1,254","1,115","1,931",549,"1,417","1,293","1,679","1,726","1,390","1,072","1,587","1,627"
2020,3,70,"10,200",477,638,518,680,590,"1,071",340,652,653,770,736,752,645,883,795
2020,3,80,"3,279",165,190,168,190,158,293,129,318,203,216,299,228,213,253,256
2020,3,90,335,19,13,8,16,15,23,14,44,25,25,39,19,20,19,36
2020,3,100,45,5,1,3,2,2,8,0,1,4,1,2,5,2,5,4
2020,4,총,"169,213","10,537","9,812","7,736","10,579","8,433","14,737","5,348","17,305","11,010","12,817","13,943","9,153","10,654","13,104","14,045"
2020,4,0,"10,610",215,498,431,662,414,849,296,"1,804",525,924,"1,224",375,485,944,964
2020,4,10,"13,752",363,567,399,737,539,"1,132",298,"2,877",829,"1,064","1,340",454,624,"1,209","1,320"
2020,4,20,"29,410","3,910","2,098","1,305","1,793","1,375","2,283",979,"2,042","2,017","1,952","1,985","1,344","2,174","1,862","2,291"
2020,4,30,"28,347","2,271","1,851","1,495","1,979","1,459","2,286","1,240","1,754","1,938","2,038","2,093","1,486","2,192","2,002","2,263"
2020,4,40,"26,644","1,227","1,365","1,178","1,533","1,227","2,212",828,"3,652","1,745","2,091","2,233","1,357","1,651","2,170","2,175"
2020,4,50,"26,984","1,117","1,492","1,250","1,728","1,522","2,648",666,"2,723","1,765","2,045","2,260","1,726","1,563","2,165","2,314"
2020,4,60,"19,574",768,"1,103",982,"1,261","1,118","1,935",555,"1,434","1,302","1,681","1,728","1,404","1,085","1,593","1,625"
