년도,월,나이,충청남도 서천군,충청남도 서천군 장항읍,충청남도 서천군 서천읍,충청남도 서천군 마서면,충청남도 서천군 화양면,충청남도 서천군 기산면,충청남도 서천군 한산면,충청남도 서천군 마산면,충청남도 서천군 시초면,충청남도 서천군 문산면,충청남도 서천군 판교면,충청남도 서천군 종천면,충청남도 서천군 비인면,충청남도 서천군 서면
2020,3,총,"25,952","5,623","6,740","2,511","1,106",840,"1,220",732,630,654,"1,049","1,001","1,508","2,338"
2020,3,0,"1,214",289,522,90,30,19,28,26,13,23,18,24,31,101
2020,3,10,"1,860",462,807,117,38,27,52,41,31,16,36,43,58,132
2020,3,20,"2,367",625,765,174,65,57,98,48,37,27,62,68,151,190
2020,3,30,"2,039",480,578,200,70,44,76,52,42,34,61,63,102,237
2020,3,40,"3,367",861,"1,000",323,107,92,134,66,47,66,97,93,158,323
2020,3,50,"4,676","1,080","1,149",471,174,152,198,116,108,116,193,182,301,436
2020,3,60,"4,875",910,980,522,241,176,254,166,149,148,246,254,337,492
2020,3,70,"3,485",617,619,385,212,159,216,133,111,137,199,176,247,274
2020,3,80,"1,886",278,282,209,155,103,150,78,84,83,129,81,111,143
2020,3,90,173,21,35,19,12,11,14,6,8,3,8,15,12,9
2020,3,100,10,0,3,1,2,0,0,0,0,1,0,2,0,1
2020,4,총,"25,898","5,599","6,736","2,518","1,102",836,"1,210",735,630,652,"1,048","1,000","1,498","2,334"
2020,4,0,"1,213",287,522,93,31,19,26,27,14,22,17,24,31,100
2020,4,10,"1,851",460,805,117,38,26,52,38,32,17,36,42,57,131
2020,4,20,"2,350",622,769,172,65,59,96,51,34,27,61,67,146,181
2020,4,30,"2,030",477,577,202,70,43,73,51,43,32,62,64,100,236
2020,4,40,"3,350",857,993,320,109,93,131,66,46,67,97,90,155,326
2020,4,50,"4,654","1,075","1,146",470,169,146,196,116,108,116,188,183,302,439
2020,4,60,"4,882",910,977,527,239,178,256,170,148,146,249,251,337,494
2020,4,70,"3,501",618,624,388,214,157,218,133,112,135,202,181,247,272
2020,4,80,"1,882",272,285,210,153,104,147,77,84,86,128,81,111,144
2020,4,90,175,21,35,18,12,11,15,6,9,3,8,15,12,10
2020,4,100,10,0,3,1,2,0,0,0,0,1,0,2,0,1
2020,5,총,"25,843","5,580","6,734","2,501","1,109",833,"1,212",737,630,650,"1,038",999,"1,495","2,325"
2020,5,0,"1,210",284,522,93,32,18,27,27,14,22,15,24,32,100
2020,5,10,"1,835",457,797,112,38,26,53,37,32,17,35,42,58,131
2020,5,20,"2,342",621,770,170,64,57,91,52,34,27,61,69,141,185
2020,5,30,"2,013",476,569,196,75,41,74,51,43,33,61,64,100,230
2020,5,40,"3,311",839,996,315,109,94,131,65,46,66,91,86,155,318
2020,5,50,"4,638","1,075","1,150",466,165,143,196,117,108,115,186,183,297,437
2020,5,60,"4,898",914,980,525,240,181,258,172,148,144,249,250,339,498
2020,5,70,"3,521",620,625,395,218,159,219,134,110,136,204,181,250,270
2020,5,80,"1,885",271,289,210,152,103,146,76,85,86,128,83,111,145
2020,5,90,180,23,33,18,14,11,17,6,10,3,8,15,12,10
2020,5,100,10,0,3,1,2,0,0,0,0,1,0,2,0,1
2020,6,총,"25,829","5,568","6,766","2,482","1,120",830,"1,199",731,628,654,"1,038",996,"1,492","2,325"
2020,6,0,"1,193",274,522,90,34,16,25,26,14,21,15,24,32,100
2020,6,10,"1,829",460,796,112,38,29,51,36,31,17,35,40,55,129
2020,6,20,"2,330",617,769,163,64,56,88,52,35,27,61,70,145,183
2020,6,30,"2,010",472,578,194,78,39,69,50,43,32,62,65,102,226
2020,6,40,"3,294",825,998,312,108,97,130,63,44,69,92,84,155,317
2020,6,50,"4,639","1,079","1,158",466,164,140,196,118,107,115,179,184,293,440
2020,6,60,"4,928",921,993,526,249,180,253,173,149,147,254,249,332,502
2020,6,70,"3,534",621,625,395,217,159,224,134,110,136,205,180,255,273
2020,6,80,"1,880",276,290,205,153,103,145,72,84,86,127,84,111,144
2020,6,90,182,23,34,18,13,11,18,7,11,3,8,14,12,10
2020,6,100,10,0,3,1,2,0,0,0,0,1,0,2,0,1
2020,7,총,"25,834","5,577","6,756","2,493","1,120",831,"1,202",727,627,657,"1,037",990,"1,487","2,330"
2020,7,0,"1,187",274,519,92,34,15,24,25,14,22,16,23,30,99
2020,7,10,"1,829",460,794,112,38,28,53,37,31,17,36,41,55,127
2020,7,20,"2,324",617,772,163,64,56,85,52,34,27,58,67,145,184
2020,7,30,"1,990",468,570,195,75,39,69,47,43,31,60,66,103,224
2020,7,40,"3,280",828,978,312,108,96,133,61,44,69,92,83,150,326
2020,7,50,"4,657","1,081","1,165",470,165,141,194,120,106,117,182,183,292,441
2020,7,60,"4,937",927,"1,002",524,251,180,255,171,151,146,252,246,332,500
2020,7,70,"3,559",623,627,400,218,160,225,135,110,140,207,181,258,275
2020,7,80,"1,878",275,292,206,152,105,146,72,83,85,126,84,109,143
2020,7,90,184,24,34,18,13,11,18,7,11,3,8,14,13,10
2020,7,100,9,0,3,1,2,0,0,0,0,0,0,2,0,1
2020,8,총,"25,776","5,573","6,740","2,494","1,114",826,"1,192",724,630,660,"1,035",984,"1,483","2,321"
2020,8,0,"1,174",271,510,90,33,14,23,27,14,23,16,23,31,99
2020,8,10,"1,823",457,796,115,37,28,52,36,31,16,36,40,51,128
2020,8,20,"2,304",614,766,158,62,57,83,48,36,27,56,64,149,184
2020,8,30,"1,992",469,569,197,74,39,66,49,42,32,62,64,104,225
2020,8,40,"3,259",829,970,312,107,95,131,61,45,69,88,83,147,322
2020,8,50,"4,650","1,080","1,174",468,163,140,194,120,104,117,182,182,292,434
2020,8,60,"4,938",931,996,528,252,179,254,170,153,147,251,246,331,500
2020,8,70,"3,565",624,628,402,219,159,224,135,111,141,208,180,257,277
2020,8,80,"1,874",274,292,205,152,102,147,71,83,84,128,86,108,142
2020,8,90,188,24,36,18,13,13,18,7,11,4,8,14,13,9
2020,8,100,9,0,3,1,2,0,0,0,0,0,0,2,0,1
2020,9,총,"25,742","5,570","6,731","2,484","1,109",828,"1,187",722,628,651,"1,042",987,"1,480","2,323"
2020,9,0,"1,169",274,509,89,30,13,23,26,13,22,17,24,31,98
2020,9,10,"1,813",450,796,115,37,29,52,34,31,17,34,40,50,128
2020,9,20,"2,298",612,760,159,61,57,80,49,37,28,58,63,148,186
2020,9,30,"1,969",466,571,184,73,38,67,48,43,30,63,63,101,222
2020,9,40,"3,246",827,961,309,106,96,128,62,45,67,88,85,150,322
2020,9,50,"4,650","1,080","1,172",473,160,141,196,118,100,116,183,182,293,436
2020,9,60,"4,947",930,"1,003",527,255,178,250,171,156,146,254,246,329,502
2020,9,70,"3,567",630,626,401,219,160,226,136,108,140,207,180,257,277
2020,9,80,"1,883",277,294,207,153,103,146,70,84,82,130,88,109,140
2020,9,90,191,24,36,19,13,13,19,8,11,3,8,14,12,11
2020,9,100,9,0,3,1,2,0,0,0,0,0,0,2,0,1
2020,10,총,"25,687","5,569","6,719","2,473","1,104",827,"1,187",723,631,648,"1,038",981,"1,472","2,315"
2020,10,0,"1,166",273,506,89,30,13,26,26,14,22,16,24,30,97
2020,10,10,"1,808",452,792,111,36,28,53,35,30,16,35,40,50,130
2020,10,20,"2,283",611,756,159,60,58,80,50,37,27,57,61,144,183
2020,10,30,"1,955",464,569,183,72,38,65,49,44,29,62,62,97,221
2020,10,40,"3,218",824,956,306,102,96,124,61,44,66,84,85,151,319
2020,10,50,"4,651","1,078","1,179",472,161,142,199,119,101,118,181,181,287,433
2020,10,60,"4,947",936,"1,000",526,256,177,250,169,158,144,257,245,331,498
2020,10,70,"3,572",625,630,399,219,160,227,135,107,141,208,179,258,284
2020,10,80,"1,886",281,291,209,153,102,145,71,85,82,130,88,111,138
2020,10,90,192,25,37,18,13,13,18,8,11,3,8,14,13,11
2020,10,100,9,0,3,1,2,0,0,0,0,0,0,2,0,1
2020,11,총,"25,666","5,575","6,712","2,476","1,101",822,"1,185",722,632,642,"1,038",987,"1,461","2,313"
2020,11,0,"1,158",276,501,90,29,11,26,25,15,21,16,24,28,96
2020,11,10,"1,809",453,796,108,34,28,52,35,30,16,35,39,49,134
2020,11,20,"2,263",602,754,160,62,55,77,50,36,25,55,63,141,183
2020,11,30,"1,961",464,568,186,72,38,67,47,43,31,62,64,96,223
2020,11,40,"3,208",824,959,304,98,96,122,63,45,64,81,84,152,316
2020,11,50,"4,640","1,078","1,173",470,161,139,201,118,103,116,183,183,286,429
2020,11,60,"4,962",943,996,532,259,179,249,170,157,146,259,246,328,498
2020,11,70,"3,571",625,636,396,216,161,226,136,107,139,209,181,259,280
2020,11,80,"1,894",285,288,210,154,102,148,70,85,82,130,88,109,143
2020,11,90,190,25,38,19,13,13,17,8,11,2,8,13,13,10
2020,11,100,10,0,3,1,3,0,0,0,0,0,0,2,0,1
2020,12,총,"25,614","5,553","6,709","2,476","1,092",818,"1,185",714,630,643,"1,041",991,"1,451","2,311"
2020,12,0,"1,158",276,500,86,28,11,29,24,15,21,17,26,30,95
2020,12,10,"1,807",446,799,112,35,29,52,31,29,16,36,38,49,135
2020,12,20,"2,247",602,747,165,59,52,76,52,34,26,52,62,137,183
2020,12,30,"1,939",456,568,182,72,36,67,45,43,32,63,65,91,219
2020,12,40,"3,205",822,964,303,100,96,119,61,45,64,79,86,150,316
2020,12,50,"4,609","1,071","1,170",471,157,139,203,114,103,110,180,182,283,426
2020,12,60,"4,985",947,996,531,260,181,246,173,158,149,264,246,332,502
2020,12,70,"3,562",621,633,396,212,161,226,135,107,140,211,184,257,279
2020,12,80,"1,900",287,290,210,152,100,151,71,85,83,131,87,108,145
2020,12,90,192,25,39,19,14,13,16,8,11,2,8,13,14,10
2020,12,100,10,0,3,1,3,0,0,0,0,0,0,2,0,1
2021,1,총,"25,548","5,554","6,680","2,477","1,092",818,"1,182",711,626,644,"1,037",987,"1,443","2,297"
2021,1,0,"1,150",274,498,85,27,10,30,24,15,22,16,27,29,93
2021,1,10,"1,794",447,792,110,36,28,52,31,29,16,35,36,48,134
2021,1,20,"2,235",604,740,169,59,53,74,52,33,25,51,61,132,182
2021,1,30,"1,922",451,557,181,74,37,66,46,40,33,61,66,91,219
2021,1,40,"3,175",812,955,302,101,94,116,60,48,64,82,85,149,307
2021,1,50,"4,587","1,078","1,174",462,153,139,200,112,103,111,178,178,276,423
2021,1,60,"5,008",950,997,538,260,183,252,175,157,146,264,248,336,502
2021,1,70,"3,573",628,632,401,212,159,224,132,108,141,210,185,261,280
2021,1,80,"1,901",285,292,211,152,101,150,72,83,83,131,87,107,147
2021,1,90,193,25,40,17,15,14,18,7,10,3,9,12,14,9
2021,1,100,10,0,3,1,3,0,0,0,0,0,0,2,0,1
2021,2,총,"25,507","5,541","6,672","2,469","1,097",816,"1,190",710,623,642,"1,033",983,"1,438","2,293"
2021,2,0,"1,144",274,496,84,30,9,30,24,16,21,15,26,27,92
2021,2,10,"1,774",445,786,109,35,28,50,30,28,17,35,33,48,130
2021,2,20,"2,213",591,736,165,59,54,73,55,32,24,51,62,128,183
2021,2,30,"1,902",454,554,178,72,33,66,44,40,33,57,66,89,216
2021,2,40,"3,165",804,952,303,103,95,118,60,48,64,81,83,152,302
2021,2,50,"4,594","1,082","1,184",460,154,136,201,111,103,109,175,177,273,429
2021,2,60,"5,023",953,992,539,262,184,256,173,157,148,271,249,337,502
2021,2,70,"3,577",625,637,404,210,160,226,134,105,141,207,186,260,282
2021,2,80,"1,904",286,292,210,153,103,152,72,83,82,132,85,108,146
2021,2,90,201,27,40,16,16,14,18,7,11,3,9,14,16,10
2021,2,100,10,0,3,1,3,0,0,0,0,0,0,2,0,1
2021,3,총,"25,385","5,531","6,622","2,457","1,092",809,"1,173",707,617,643,"1,039",987,"1,422","2,286"
2021,3,0,"1,133",271,489,83,30,10,31,24,17,21,15,26,26,90
2021,3,10,"1,763",444,778,108,36,29,49,30,26,17,34,34,48,130
2021,3,20,"2,186",588,732,160,58,52,67,54,31,25,51,64,126,178
2021,3,30,"1,889",461,543,175,71,35,67,45,39,30,58,64,85,216
2021,3,40,"3,103",797,925,300,98,92,115,58,45,63,83,82,149,296
2021,3,50,"4,569","1,080","1,183",458,153,131,199,111,105,108,171,177,263,430
2021,3,60,"5,049",949,"1,004",542,265,183,253,177,155,151,276,251,343,500
2021,3,70,"3,582",631,633,402,208,161,223,131,107,142,208,186,261,289
2021,3,80,"1,906",284,292,213,157,103,151,71,80,83,134,88,106,144
2021,3,90,203,26,42,16,16,13,18,6,12,3,9,14,15,13
2021,3,100,2,0,1,0,0,0,0,0,0,0,0,1,0,0
2021,4,총,"25,323","5,519","6,605","2,460","1,094",800,"1,175",704,609,640,"1,034",981,"1,427","2,275"
2021,4,0,"1,129",269,487,82,29,9,33,24,16,21,16,25,27,91
2021,4,10,"1,745",436,776,109,35,31,49,29,24,17,33,34,49,123
2021,4,20,"2,165",582,717,160,61,49,67,55,31,25,49,61,127,181
2021,4,30,"1,882",465,550,170,71,32,68,44,37,29,56,64,84,212
2021,4,40,"3,089",792,922,304,99,89,115,57,45,64,84,82,148,288
2021,4,50,"4,561","1,086","1,183",453,153,132,199,110,104,107,165,177,261,431
2021,4,60,"5,061",947,998,554,264,184,253,174,155,151,280,249,351,501
2021,4,70,"3,576",629,632,399,211,160,220,135,107,138,208,187,259,291
2021,4,80,"1,910",287,297,212,155,101,153,69,79,85,133,88,106,145
2021,4,90,203,26,42,17,16,13,18,7,11,3,10,13,15,12
2021,4,100,2,0,1,0,0,0,0,0,0,0,0,1,0,0
2021,5,총,"25,321","5,542","6,602","2,446","1,093",800,"1,178",704,606,632,"1,036",986,"1,427","2,269"
2021,5,0,"1,121",264,487,79,29,9,32,24,17,20,16,25,28,91
2021,5,10,"1,747",443,779,109,35,31,48,29,24,15,32,36,45,121
2021,5,20,"2,158",585,718,160,59,48,66,54,31,23,49,59,126,180
2021,5,30,"1,861",461,542,168,72,32,68,43,32,29,55,64,84,211
2021,5,40,"3,080",793,926,298,98,87,115,57,42,65,84,82,144,289
2021,5,50,"4,552","1,091","1,176",447,154,131,200,110,107,101,164,179,265,427
2021,5,60,"5,090",960,"1,000",553,264,189,252,174,155,153,285,252,353,500
2021,5,70,"3,590",629,634,402,211,157,226,136,109,138,208,188,259,293
2021,5,80,"1,917",290,296,211,156,103,152,70,79,85,134,88,108,145
2021,5,90,203,26,43,19,15,13,19,7,10,3,9,12,15,12
2021,5,100,2,0,1,0,0,0,0,0,0,0,0,1,0,0
2021,6,총,"25,270","5,550","6,574","2,432","1,092",796,"1,180",704,602,631,"1,036",983,"1,426","2,264"
2021,6,0,"1,120",262,484,77,29,9,32,24,17,20,17,27,27,95
2021,6,10,"1,736",441,774,112,35,30,48,29,22,14,31,35,46,119
2021,6,20,"2,156",590,718,156,58,48,68,55,32,22,49,58,124,178
2021,6,30,"1,835",461,524,164,72,30,67,41,32,28,52,65,84,215
2021,6,40,"3,051",779,922,294,96,87,113,58,43,65,85,80,142,287
2021,6,50,"4,546","1,092","1,180",439,156,131,203,108,105,102,165,180,264,421
2021,6,60,"5,111",979,997,555,264,188,253,176,154,153,285,252,356,499
2021,6,70,"3,602",629,638,408,211,157,225,136,107,139,210,186,260,296
2021,6,80,"1,905",292,293,206,156,103,152,70,80,85,131,88,108,141
