년도,월,나이,인천광역시 옹진군,인천광역시 옹진군 북도면,인천광역시 옹진군 북도면장봉출장소,인천광역시 옹진군 백령면,인천광역시 옹진군 대청면,인천광역시 옹진군 대청면소청출장소,인천광역시 옹진군 덕적면,인천광역시 옹진군 영흥면,인천광역시 옹진군 자월면,인천광역시 옹진군 자월면이작출장소,인천광역시 옹진군 연평면
2020,3,총,"11,592",617,535,"3,099",714,151,"1,041","3,462",481,192,"1,300"
2020,3,0,504,18,17,188,29,0,21,172,12,8,39
2020,3,10,627,27,19,149,37,8,48,229,23,8,79
2020,3,20,"1,955",48,33,833,142,38,80,368,41,10,362
2020,3,30,"1,237",48,38,391,78,16,59,393,28,15,171
2020,3,40,"1,567",64,78,439,80,11,129,489,67,20,190
2020,3,50,"2,109",136,121,422,129,24,230,682,104,47,214
2020,3,60,"2,031",161,132,380,119,27,257,662,108,41,144
2020,3,70,"1,119",80,80,201,66,21,148,364,63,34,62
2020,3,80,391,31,16,80,31,6,59,93,33,8,34
2020,3,90,48,3,0,15,3,0,10,9,2,1,5
2020,3,100,4,1,1,1,0,0,0,1,0,0,0
2020,4,총,"11,575",612,534,"3,085",712,150,"1,040","3,481",481,192,"1,288"
2020,4,0,499,18,17,188,28,0,19,171,12,8,38
2020,4,10,628,27,19,148,38,8,48,231,21,8,80
2020,4,20,"1,940",44,32,824,137,37,84,366,43,10,363
2020,4,30,"1,228",47,35,387,82,16,55,399,27,15,165
2020,4,40,"1,550",64,80,433,76,11,129,487,66,20,184
2020,4,50,"2,108",132,120,419,130,22,233,690,104,47,211
2020,4,60,"2,048",164,135,388,118,28,257,662,109,41,146
2020,4,70,"1,129",81,80,200,68,22,147,371,64,34,62
2020,4,80,393,31,15,82,32,6,58,94,33,8,34
2020,4,90,48,3,0,15,3,0,10,9,2,1,5
2020,4,100,4,1,1,1,0,0,0,1,0,0,0
2020,5,총,"11,602",610,529,"3,091",716,150,"1,042","3,479",492,193,"1,300"
2020,5,0,502,17,17,194,28,0,19,166,13,8,40
2020,5,10,631,27,19,149,37,8,50,231,22,8,80
2020,5,20,"1,952",46,30,824,137,37,81,366,47,10,374
2020,5,30,"1,214",46,34,386,84,16,54,389,27,15,163
2020,5,40,"1,547",65,79,431,77,11,128,488,63,20,185
2020,5,50,"2,099",129,120,415,131,22,231,694,106,47,204
2020,5,60,"2,064",165,134,391,119,28,262,660,113,40,152
2020,5,70,"1,145",79,79,203,68,22,149,378,67,36,64
2020,5,80,396,32,16,82,32,6,58,97,32,8,33
2020,5,90,48,3,0,15,3,0,10,9,2,1,5
2020,5,100,4,1,1,1,0,0,0,1,0,0,0
2020,6,총,"11,580",614,531,"3,080",707,151,"1,043","3,470",498,195,"1,291"
2020,6,0,494,17,18,191,27,0,20,160,13,8,40
2020,6,10,630,27,19,145,37,8,52,231,22,8,81
2020,6,20,"1,927",47,29,817,132,37,81,366,46,10,362
2020,6,30,"1,196",45,33,383,79,16,52,382,27,15,164
2020,6,40,"1,543",64,79,438,79,12,123,484,64,20,180
2020,6,50,"2,101",128,124,409,129,22,231,695,108,48,207
2020,6,60,"2,078",169,132,396,121,28,265,660,114,41,152
2020,6,70,"1,158",81,79,203,68,22,151,381,70,36,67
2020,6,80,401,32,17,82,32,6,58,101,32,8,33
2020,6,90,48,3,0,15,3,0,10,9,2,1,5
2020,6,100,4,1,1,1,0,0,0,1,0,0,0
2020,7,총,"11,619",611,529,"3,098",711,150,"1,045","3,470",503,195,"1,307"
2020,7,0,496,17,18,194,26,0,19,159,14,8,41
2020,7,10,623,27,18,143,36,8,50,230,20,8,83
2020,7,20,"1,941",46,30,825,133,36,84,358,45,10,374
2020,7,30,"1,190",43,33,380,80,15,53,382,26,15,163
2020,7,40,"1,554",65,78,442,81,12,122,488,64,20,182
2020,7,50,"2,109",128,120,409,127,22,233,700,115,47,208
2020,7,60,"2,092",169,134,402,125,29,265,663,114,41,150
2020,7,70,"1,166",81,81,205,68,22,152,381,71,37,68
2020,7,80,397,31,16,82,32,6,58,99,32,8,33
2020,7,90,47,3,0,15,3,0,9,9,2,1,5
2020,7,100,4,1,1,1,0,0,0,1,0,0,0
2020,8,총,"11,619",615,527,"3,086",716,151,"1,041","3,476",502,195,"1,310"
2020,8,0,503,18,17,193,29,0,20,159,14,8,45
2020,8,10,610,26,18,140,35,7,50,229,19,7,79
2020,8,20,"1,935",47,30,817,135,36,80,357,44,10,379
2020,8,30,"1,190",42,33,378,77,16,56,383,26,15,164
2020,8,40,"1,550",66,78,441,81,14,120,488,63,20,179
2020,8,50,"2,095",126,116,407,129,21,232,699,113,47,205
2020,8,60,"2,113",173,137,402,127,27,266,668,118,42,153
2020,8,70,"1,166",81,81,208,68,24,149,378,71,37,69
2020,8,80,406,32,16,84,32,6,59,105,32,8,32
2020,8,90,47,3,0,15,3,0,9,9,2,1,5
2020,8,100,4,1,1,1,0,0,0,1,0,0,0
2020,9,총,"11,630",613,526,"3,083",725,152,"1,039","3,485",502,199,"1,306"
2020,9,0,499,18,16,191,29,0,20,159,15,8,43
2020,9,10,602,24,19,137,34,5,48,234,18,7,76
2020,9,20,"1,963",49,30,824,143,38,81,362,45,11,380
2020,9,30,"1,188",40,32,381,80,16,57,380,27,15,160
2020,9,40,"1,542",66,76,440,83,15,111,487,62,21,181
2020,9,50,"2,088",126,117,400,128,20,236,696,115,48,202
2020,9,60,"2,122",172,138,404,125,28,265,676,115,43,156
2020,9,70,"1,165",83,81,204,67,24,151,378,71,37,69
2020,9,80,409,30,16,86,33,6,61,103,32,8,34
2020,9,90,48,4,0,15,3,0,9,9,2,1,5
2020,9,100,4,1,1,1,0,0,0,1,0,0,0
2020,10,총,"11,666",609,530,"3,109",736,153,"1,035","3,495",505,199,"1,295"
2020,10,0,502,17,16,194,32,0,18,162,14,8,41
2020,10,10,603,22,19,140,34,5,46,238,17,6,76
2020,10,20,"1,982",49,31,838,148,39,83,359,47,12,376
2020,10,30,"1,184",41,31,381,79,17,60,377,27,14,157
2020,10,40,"1,540",64,78,440,85,14,110,484,61,21,183
2020,10,50,"2,084",123,119,403,126,20,231,699,119,48,196
2020,10,60,"2,129",174,137,402,129,28,261,682,116,43,157
2020,10,70,"1,175",84,82,208,67,24,154,378,70,38,70
2020,10,80,414,30,16,86,33,6,63,106,32,8,34
2020,10,90,49,4,0,16,3,0,9,9,2,1,5
2020,10,100,4,1,1,1,0,0,0,1,0,0,0
2020,11,총,"11,667",615,524,"3,110",724,154,"1,026","3,526",504,196,"1,288"
2020,11,0,490,17,16,193,30,0,16,159,13,8,38
2020,11,10,604,22,19,138,34,6,47,239,18,6,75
2020,11,20,"1,988",50,30,839,145,40,81,367,45,11,380
2020,11,30,"1,172",43,32,378,77,16,60,373,27,14,152
2020,11,40,"1,533",65,76,441,83,14,105,488,60,20,181
2020,11,50,"2,079",119,118,405,120,20,231,706,118,47,195
2020,11,60,"2,150",178,135,403,133,28,259,695,119,43,157
2020,11,70,"1,183",85,80,209,68,24,156,382,70,38,71
2020,11,80,415,31,17,87,30,6,63,107,32,8,34
2020,11,90,49,4,0,16,4,0,8,9,2,1,5
