년도,월,나이,연수구,옥련1동,옥련2동,선학동,연수1동,연수2동,연수3동,청학동,동춘1동,동춘2동,동춘3동,송도1동,송도2동,송도3동,송도4동,송도5동
2020,1,총,"367,321","20,370","21,516","17,906","21,018","22,158","17,299","25,906","26,139","19,231","19,284","36,538","36,711","48,221","35,024",
2020,1,0,"36,220","1,532","1,668",997,"1,148","1,545","1,167","1,443","2,382","1,572","1,690","3,233","4,869","7,347","5,627",
2020,1,10,"41,539","2,048","2,371","1,165","1,752","1,875","1,408","1,915","2,821","2,135","2,927","5,509","6,334","5,770","3,509",
2020,1,20,"50,898","2,904","3,180","2,755","3,416","3,577","2,401","3,724","3,790","2,858","2,680","5,905","3,736","5,929","4,043",
2020,1,30,"54,414","2,484","2,625","2,436","2,876","3,346","2,462","3,218","4,025","2,670","1,918","4,173","4,649","9,773","7,759",
2020,1,40,"65,220","3,314","3,513","2,408","3,488","3,225","2,410","3,958","4,332","3,223","3,541","6,748","8,532","9,739","6,789",
2020,1,50,"62,135","3,911","4,118","3,613","4,212","4,115","3,224","5,445","4,765","3,602","3,399","6,169","5,358","5,772","4,432",
2020,1,60,"34,000","2,245","2,266","2,697","2,427","2,583","2,279","3,572","2,578","1,929","1,826","3,069","2,031","2,514","1,984",
2020,1,70,"14,766","1,287","1,147","1,220","1,154","1,135","1,113","1,696",886,785,838,"1,137",776,987,605,
2020,1,80,"6,911",570,532,522,471,655,687,812,458,400,380,491,361,337,235,
2020,1,90,"1,166",72,91,89,70,100,141,114,91,55,83,104,64,53,39,
2020,1,100,52,3,5,4,4,2,7,9,11,2,2,0,1,0,2,
2020,2,총,"369,588","20,308","21,462","17,881","20,920","22,126","17,204","25,846","26,169","19,247","19,233","36,679","36,797","48,284","37,432",
2020,2,0,"36,744","1,528","1,633","1,005","1,128","1,533","1,143","1,429","2,375","1,552","1,689","3,261","4,966","7,328","6,174",
2020,2,10,"41,689","2,031","2,358","1,158","1,741","1,874","1,394","1,904","2,816","2,131","2,904","5,489","6,321","5,795","3,773",
2020,2,20,"50,721","2,874","3,170","2,719","3,385","3,537","2,357","3,686","3,775","2,848","2,646","5,905","3,690","5,944","4,185",
2020,2,30,"54,846","2,477","2,605","2,421","2,839","3,347","2,445","3,199","4,025","2,681","1,899","4,231","4,636","9,711","8,330",
2020,2,40,"65,822","3,293","3,501","2,412","3,494","3,228","2,401","3,951","4,345","3,201","3,543","6,751","8,591","9,822","7,289",
2020,2,50,"62,289","3,899","4,121","3,613","4,186","4,091","3,190","5,428","4,778","3,625","3,405","6,177","5,348","5,747","4,681",
2020,2,60,"34,474","2,256","2,296","2,709","2,450","2,613","2,318","3,610","2,599","1,964","1,839","3,111","2,053","2,560","2,096",
2020,2,70,"14,804","1,290","1,143","1,221","1,149","1,138","1,120","1,700",888,785,844,"1,152",772,983,619,
2020,2,80,"6,961",579,539,526,471,659,689,814,465,403,383,497,355,338,243,
2020,2,90,"1,187",78,91,93,73,104,140,116,92,55,80,105,64,56,40,
2020,2,100,51,3,5,4,4,2,7,9,11,2,1,0,1,0,2,
2020,3,총,"370,796","20,227","21,362","17,856","20,860","22,069","17,169","25,715","26,171","19,182","19,154","36,637","36,716","48,299","39,379",
2020,3,0,"36,894","1,505","1,617",987,"1,125","1,518","1,138","1,420","2,374","1,537","1,678","3,259","4,941","7,294","6,501",
2020,3,10,"41,589","2,011","2,326","1,145","1,724","1,856","1,379","1,881","2,794","2,113","2,898","5,430","6,303","5,774","3,955",
2020,3,20,"50,839","2,863","3,153","2,709","3,368","3,535","2,349","3,658","3,791","2,831","2,628","5,886","3,679","5,998","4,391",
2020,3,30,"55,096","2,461","2,585","2,423","2,813","3,335","2,429","3,170","4,005","2,662","1,892","4,259","4,614","9,666","8,782",
2020,3,40,"65,903","3,281","3,484","2,386","3,493","3,201","2,393","3,929","4,338","3,177","3,511","6,713","8,570","9,808","7,619",
2020,3,50,"62,435","3,866","4,108","3,618","4,170","4,095","3,179","5,378","4,777","3,610","3,410","6,168","5,350","5,783","4,923",
2020,3,60,"34,874","2,281","2,308","2,734","2,468","2,626","2,327","3,617","2,624","1,998","1,832","3,144","2,072","2,593","2,250",
2020,3,70,"14,919","1,284","1,144","1,229","1,148","1,155","1,132","1,712",902,789,844,"1,172",765,983,660,
2020,3,80,"6,983",590,539,526,473,640,694,822,461,408,379,497,355,344,255,
2020,3,90,"1,209",82,93,95,74,105,142,118,93,55,81,108,66,56,41,
2020,3,100,55,3,5,4,4,3,7,10,12,2,1,1,1,0,2,
2020,4,총,"371,396","20,245","21,312","17,796","20,741","22,044","17,174","25,679","26,214","19,164","19,133","36,571","36,722","48,342","40,259",
2020,4,0,"36,874","1,500","1,599",985,"1,097","1,513","1,132","1,420","2,356","1,543","1,682","3,232","4,918","7,287","6,610",
2020,4,10,"41,596","2,003","2,322","1,137","1,715","1,851","1,368","1,871","2,808","2,093","2,899","5,409","6,307","5,787","4,026",
2020,4,20,"50,851","2,861","3,153","2,679","3,341","3,528","2,364","3,658","3,787","2,829","2,595","5,869","3,693","6,012","4,482",
