년도,월,나이,전주시,완산구,중앙동,풍남동,노송동,완산동,동서학동,서서학동,중화산1동,중화산2동,서신동,평화1동,평화2동,삼천1동,삼천2동,삼천3동,효자1동,효자2동,효자3동,효자4동,효자5동,덕진구,진북동,인후1동,인후2동,인후3동,덕진동,금암1동,금암2동,팔복동,우아1동,우아2동,호성동,송천1동,송천2동,조촌동,여의동,혁신동,전주시효자출장소
2020,1,총,"332,439","173,743","3,897","2,232","6,721","2,538","3,391","4,673","7,805","9,977","20,513","6,708","23,796","6,507","7,410","11,886","6,067","5,662","8,100","17,023","18,837","158,696","7,527","9,814","5,852","16,386","10,079","3,517","5,217","3,648","4,957","7,206","10,881","29,892","13,645","5,914","14,952","9,209",0
2020,1,0,"27,319","12,333",156,54,332,85,160,175,507,743,"1,608",294,"2,070",413,386,885,340,281,547,"1,611","1,686","14,986",358,833,304,"1,459","1,068",125,238,170,364,490,834,"3,946","1,120",423,"1,758","1,496",0
2020,1,10,"35,786","18,230",250,95,419,175,227,368,632,"1,321","2,561",451,"2,730",612,730,"1,340",481,509,836,"2,075","2,418","17,556",539,"1,193",401,"2,112",781,194,341,276,420,685,"1,369","4,107","1,583",485,"1,508","1,562",0
2020,1,20,"43,587","23,527",434,215,711,257,369,506,"1,208","1,547","2,916",643,"2,776",837,"1,020","1,456",735,769,"1,047","2,659","3,422","20,060",834,"1,137",753,"2,193","1,445",881,743,370,652,974,"1,245","3,623","1,897",688,"1,861",764,0
2020,1,30,"41,027","19,869",364,179,714,195,280,385,871,"1,184","2,478",632,"2,767",652,665,"1,188",627,558,886,"2,165","3,079","21,158",624,"1,069",627,"2,081","1,694",389,525,312,582,945,"1,132","4,861","1,534",749,"2,561","1,473",0
2020,1,40,"55,199","28,503",437,225,847,328,396,576,"1,112","1,948","3,813",847,"4,048","1,002","1,047","2,079",826,778,"1,197","3,132","3,865","26,696",916,"1,682",712,"3,221","1,418",351,603,427,711,"1,242","1,793","5,893","2,283",830,"2,465","2,149",0
2020,1,50,"53,980","29,657",689,362,"1,115",380,566,832,"1,434","1,610","3,452","1,219","3,985","1,268","1,548","2,266","1,050","1,060","1,515","2,764","2,542","24,323","1,264","1,510",973,"2,436","1,470",530,869,689,874,"1,189","1,917","3,963","2,403","1,018","2,212","1,006",0
2020,1,60,"38,033","21,135",754,476,"1,170",458,634,896,"1,091",903,"1,877","1,143","2,897",910,"1,146","1,307",982,923,"1,102","1,461","1,005","16,898","1,225","1,198","1,018","1,380","1,092",495,932,652,741,845,"1,370","1,910","1,461",775,"1,372",432,0
2020,1,70,"23,325","12,599",503,384,847,405,452,600,593,443,"1,134",906,"1,556",515,546,760,678,517,586,678,496,"10,726","1,132",791,719,968,709,362,673,497,376,503,743,950,844,530,737,192,0
2020,1,80,"12,070","6,680",263,197,474,218,255,287,304,236,595,487,824,245,279,513,288,225,314,403,273,"5,390",546,333,295,463,332,165,259,221,208,289,412,535,453,365,402,112,0
2020,1,90,"1,978","1,142",39,43,79,36,48,44,51,39,75,85,135,51,43,91,57,39,69,72,46,836,82,59,44,70,55,25,32,30,28,43,64,103,66,43,69,23,0
2020,1,100,135,68,8,2,13,1,4,4,2,3,4,1,8,2,0,1,3,3,1,3,5,67,7,9,6,3,15,0,2,4,1,1,2,1,1,8,7,0,0
2020,2,총,"332,649","173,907","3,885","2,226","6,688","2,545","3,362","4,656","7,783","9,970","20,408","6,709","23,687","6,405","7,366","11,780","5,989","5,632","8,072","17,979","18,765","158,742","7,531","9,819","5,841","16,396","10,015","3,522","5,192","3,660","4,957","7,193","10,879","29,909","13,687","5,953","14,952","9,236",0
2020,2,0,"27,261","12,352",153,52,323,87,160,172,491,748,"1,587",285,"2,044",398,383,862,337,283,533,"1,797","1,657","14,909",356,835,300,"1,450","1,059",114,232,169,360,483,824,"3,929","1,124",434,"1,746","1,494",0
2020,2,10,"35,656","18,155",253,95,415,175,223,361,635,"1,333","2,517",447,"2,678",596,711,"1,313",465,507,829,"2,200","2,402","17,501",532,"1,185",394,"2,108",769,204,339,272,413,684,"1,357","4,112","1,571",485,"1,512","1,564",0
2020,2,20,"43,516","23,477",432,208,706,258,365,496,"1,198","1,528","2,903",638,"2,773",833,"1,004","1,440",722,754,"1,034","2,751","3,434","20,039",841,"1,142",760,"2,187","1,423",887,737,370,652,978,"1,257","3,616","1,906",680,"1,845",758,0
2020,2,30,"40,968","19,867",356,179,707,191,277,379,863,"1,175","2,440",628,"2,741",630,681,"1,157",615,555,882,"2,368","3,043","21,101",625,"1,062",614,"2,082","1,684",380,517,313,587,927,"1,131","4,845","1,545",765,"2,555","1,469",0
