년도,월,나이,대전광역시 대덕구,대전광역시 대덕구 오정동,대전광역시 대덕구 대화동,대전광역시 대덕구 회덕동,대전광역시 대덕구 비래동,대전광역시 대덕구 송촌동,대전광역시 대덕구 중리동,대전광역시 대덕구 신탄진동,대전광역시 대덕구 석봉동,대전광역시 대덕구 덕암동,대전광역시 대덕구 목상동,대전광역시 대덕구 법1동,대전광역시 대덕구 법2동
2020,8,20,"13,475","1,311",495,855,"1,292","2,259","1,659",843,969,"1,204",627,712,"1,249"
2020,8,30,"10,607",920,477,681,938,"1,388","1,367",652,"1,266",944,636,484,854
2020,8,40,"13,949","1,151",647,"1,002","1,318","2,356","1,703",860,"1,230","1,206",697,643,"1,136"
2020,8,50,"17,010","1,525",756,"1,302","1,597","2,901","1,934","1,156","1,153","1,446",640,980,"1,620"
2020,8,60,"11,758","1,302",671,"1,131","1,118","1,280","1,418",858,767,850,362,721,"1,280"
2020,8,70,"5,368",616,295,561,539,495,661,465,299,447,132,356,502
2020,8,80,"1,833",177,88,215,184,211,209,157,117,159,42,112,162
2020,8,90,134,11,4,20,17,14,11,6,7,13,5,13,13
2020,8,100,8,2,0,4,1,1,0,0,0,0,0,0,0
2020,9,총,"88,954","7,939","3,885","6,622","8,424","14,018","10,328","5,705","8,106","7,280","3,646","4,804","8,197"
2020,9,0,"5,649",368,172,352,503,"1,084",531,241,"1,011",420,231,241,495
2020,9,10,"8,820",563,294,549,925,"2,037",885,501,745,675,313,443,890
2020,9,20,"13,499","1,300",496,834,"1,291","2,258","1,651",841,"1,048","1,178",619,730,"1,253"
2020,9,30,"10,742",926,477,681,942,"1,381","1,348",644,"1,440",927,621,509,846
2020,9,40,"13,916","1,139",640,984,"1,302","2,341","1,676",844,"1,350","1,182",678,661,"1,119"
2020,9,50,"17,078","1,523",750,"1,287","1,599","2,904","1,930","1,148","1,258","1,430",633,994,"1,622"
2020,9,60,"11,880","1,310",669,"1,140","1,122","1,294","1,426",855,827,845,368,733,"1,291"
