년도,월,나이,제천시,봉양읍,금성면,청풍면,수산면,덕산면,한수면,백운면,송학면,교동,의림지동,중앙동,남현동,영서동,용두동,신백동,청전동,화산동
2020,1,총,"67,326","3,460","1,059",653,"1,056","1,146",355,"1,699","2,459","9,404","4,936","3,059","2,504","5,138","8,987","5,679","7,924","7,808"
2020,1,0,"4,717",157,33,19,22,37,4,56,46,839,449,145,108,435,706,418,369,874
2020,1,10,"6,337",182,57,23,43,115,19,87,138,"1,266",584,240,181,466,972,631,664,669
2020,1,20,"8,438",283,88,34,64,59,22,115,261,"1,225",681,359,331,606,"1,541",799,"1,102",868
2020,1,30,"7,071",252,68,36,51,47,26,83,161,"1,070",540,297,245,579,"1,103",579,783,"1,151"
2020,1,40,"9,778",397,77,63,83,122,46,152,261,"1,645",803,429,314,804,"1,354",874,"1,031","1,323"
2020,1,50,"12,453",698,240,142,226,210,81,337,505,"1,707",903,550,464,895,"1,608","1,124","1,496","1,267"
2020,1,60,"10,648",814,285,170,286,296,84,471,598,"1,034",630,562,470,731,"1,076",735,"1,481",925
2020,1,70,"5,552",463,132,114,194,184,39,262,322,462,233,345,301,447,429,365,740,520
2020,1,80,"2,142",194,70,50,75,71,30,121,154,147,102,119,84,157,187,144,238,199
2020,1,90,167,20,7,1,9,5,4,13,12,8,10,11,6,11,11,9,20,10
2020,1,100,23,0,2,1,3,0,0,2,1,1,1,2,0,7,0,1,0,2
2020,2,총,"67,244","3,465","1,059",653,"1,054","1,139",359,"1,692","2,458","9,375","4,917","3,064","2,489","5,152","8,993","5,662","7,917","7,796"
2020,2,0,"4,699",155,32,19,23,37,5,57,50,835,448,150,108,432,695,412,367,874
2020,2,10,"6,315",186,58,22,43,112,20,87,136,"1,255",584,243,178,472,967,633,654,665
2020,2,20,"8,369",282,83,35,64,56,21,111,251,"1,218",673,356,326,600,"1,527",798,"1,109",859
2020,2,30,"7,048",248,67,37,48,46,26,78,161,"1,066",537,296,240,587,"1,116",560,779,"1,156"
2020,2,40,"9,748",398,79,58,85,123,46,149,268,"1,642",794,418,312,801,"1,349",872,"1,036","1,318"
2020,2,50,"12,434",702,239,145,224,209,80,334,498,"1,698",904,555,464,895,"1,614","1,127","1,484","1,262"
2020,2,60,"10,703",817,289,171,284,296,87,474,602,"1,043",629,566,463,741,"1,096",735,"1,480",930
2020,2,70,"5,569",462,133,113,196,185,39,266,325,461,233,345,305,445,429,370,744,518
2020,2,80,"2,163",195,69,51,75,70,31,120,154,147,104,121,86,160,189,145,243,203
2020,2,90,173,20,8,1,9,5,4,14,12,9,10,12,7,12,11,9,21,9
2020,2,100,23,0,2,1,3,0,0,2,1,1,1,2,0,7,0,1,0,2
2020,3,총,"67,085","3,449","1,061",653,"1,055","1,137",359,"1,675","2,443","9,346","4,922","3,046","2,481","5,172","8,979","5,648","7,906","7,753"
2020,3,0,"4,682",153,32,19,23,37,5,53,52,825,446,148,110,444,701,410,361,863
2020,3,10,"6,274",189,57,20,43,111,21,87,134,"1,246",594,237,169,467,959,631,651,658
2020,3,20,"8,327",278,86,34,63,56,21,106,245,"1,225",673,357,332,605,"1,503",782,"1,107",854
2020,3,30,"7,009",241,66,40,47,45,25,77,155,"1,045",533,296,232,587,"1,135",567,774,"1,144"
2020,3,40,"9,687",395,80,57,88,118,46,146,266,"1,623",798,411,313,800,"1,331",862,"1,036","1,317"
2020,3,50,"12,376",689,238,145,223,213,79,329,494,"1,714",899,550,461,893,"1,607","1,130","1,463","1,249"
2020,3,60,"10,794",827,290,171,286,296,87,477,606,"1,048",630,571,468,746,"1,111",742,"1,507",931
2020,3,70,"5,564",461,134,113,196,187,39,265,322,462,234,342,305,448,432,368,742,514
2020,3,80,"2,175",196,67,52,75,70,32,120,155,147,102,120,85,163,189,145,245,212
2020,3,90,174,20,9,1,8,4,4,13,13,10,12,12,6,12,11,10,20,9
2020,3,100,23,0,2,1,3,0,0,2,1,1,1,2,0,7,0,1,0,2
2020,4,총,"67,030","3,453","1,063",655,"1,057","1,141",356,"1,670","2,431","9,311","4,913","3,017","2,487","5,168","8,968","5,644","7,935","7,761"
2020,4,0,"4,663",151,33,18,24,37,5,52,52,817,446,139,109,442,705,402,364,867
2020,4,10,"6,232",187,58,21,42,111,21,84,129,"1,235",591,236,171,470,949,633,641,653
2020,4,20,"8,290",271,88,33,60,56,21,108,239,"1,230",676,346,335,593,"1,480",779,"1,115",860
2020,4,30,"6,993",237,68,40,47,47,24,76,151,"1,022",527,302,235,584,"1,143",563,783,"1,144"
2020,4,40,"9,678",396,78,59,92,117,46,145,267,"1,623",799,404,311,801,"1,337",859,"1,035","1,309"
2020,4,50,"12,378",703,234,147,223,212,77,328,492,"1,717",896,537,460,892,"1,601","1,137","1,464","1,258"
2020,4,60,"10,844",833,290,170,285,298,87,479,609,"1,051",633,575,470,753,"1,118",741,"1,522",930
2020,4,70,"5,578",460,136,114,195,188,39,264,321,461,233,343,304,448,435,375,746,516
2020,4,80,"2,175",195,67,51,79,71,32,119,158,146,99,121,84,165,187,144,244,213
2020,4,90,174,20,9,1,7,4,4,13,12,8,12,12,8,13,13,9,20,9
