년도,월,나이,서울특별시 노원구,서울특별시 노원구 월계1동,서울특별시 노원구 월계2동,서울특별시 노원구 월계3동,서울특별시 노원구 공릉1동,서울특별시 노원구 공릉2동,서울특별시 노원구 하계1동,서울특별시 노원구 하계2동,서울특별시 노원구 중계본동,서울특별시 노원구 중계1동,서울특별시 노원구 중계4동,서울특별시 노원구 중계2.3동,서울특별시 노원구 상계1동,서울특별시 노원구 상계2동,서울특별시 노원구 상계3.4동,서울특별시 노원구 상계5동,서울특별시 노원구 상계6.7동,서울특별시 노원구 상계8동,서울특별시 노원구 상계9동,서울특별시 노원구 상계10동
2020,3,총,"256,726","11,908","13,362","14,955","18,703","19,498","13,584","11,051","12,553","13,625","10,206","16,793","19,330","10,321","13,539","12,189","15,890","11,328","10,317","7,574"
2020,3,0,"18,223",680,938,"1,262","1,184","1,575",631,823,892,"1,133",628,"1,166","1,332",539,753,614,"1,396","1,370",788,519
2020,3,10,"28,941",984,"1,191","1,171","1,444","2,378","1,934","1,507","2,318","3,104","1,384","1,644","1,823","1,039","1,197","1,105","1,647","1,128","1,214",729
2020,3,20,"38,176","2,270","1,736","1,844","3,421","3,233","2,687","1,643","1,762","1,586","1,384","2,299","2,829","1,655","1,761","1,836","2,309","1,311","1,449","1,161"
2020,3,30,"33,280","1,572","1,697","2,446","2,882","2,615","1,411","1,242",927,893,"1,042","2,198","2,541","1,244","1,598","1,457","2,355","2,473","1,448","1,239"
2020,3,40,"42,536","1,837","2,228","2,415","2,841","3,245","1,982","1,967","2,366","3,025","1,742","2,994","2,813","1,578","2,098","1,910","2,679","1,964","1,684","1,168"
2020,3,50,"42,917","1,846","2,235","2,260","2,846","3,004","2,394","1,956","2,418","2,349","1,806","2,728","3,394","1,981","2,432","2,232","2,585","1,444","1,695","1,312"
2020,3,60,"30,696","1,481","1,927","2,023","2,456","2,039","1,557","1,115","1,180",972,"1,209","2,053","2,777","1,379","2,002","1,691","1,741",947,"1,237",910
2020,3,70,"15,894",900,"1,081","1,136","1,214","1,021",689,562,468,402,738,"1,209","1,296",667,"1,220",980,840,502,585,384
2020,3,80,"5,413",310,295,365,376,343,259,214,195,140,247,446,450,217,438,317,302,172,197,130
2020,3,90,571,25,33,31,37,39,38,21,24,18,26,53,43,16,33,43,35,17,20,19
2020,3,100,79,3,1,2,2,6,2,1,3,3,0,3,32,6,7,4,1,0,0,3
2020,4,총,"256,344","11,881","13,404","14,900","18,656","19,526","13,529","11,001","12,522","13,591","10,188","16,748","19,313","10,316","13,579","12,168","15,863","11,302","10,310","7,547"
2020,4,0,"18,106",671,942,"1,247","1,169","1,566",642,817,878,"1,118",626,"1,159","1,321",542,764,602,"1,374","1,358",788,522
2020,4,10,"28,760",976,"1,186","1,158","1,436","2,365","1,916","1,493","2,312","3,094","1,371","1,625","1,804","1,029","1,198","1,104","1,647","1,119","1,208",719
2020,4,20,"38,117","2,265","1,739","1,848","3,408","3,249","2,632","1,637","1,765","1,583","1,383","2,294","2,831","1,663","1,764","1,835","2,308","1,314","1,446","1,153"
2020,4,30,"33,259","1,556","1,717","2,425","2,865","2,627","1,416","1,247",933,899,"1,053","2,181","2,548","1,245","1,603","1,445","2,358","2,460","1,454","1,227"
2020,4,40,"42,370","1,835","2,236","2,404","2,842","3,232","1,982","1,945","2,359","3,007","1,722","2,987","2,799","1,568","2,091","1,897","2,661","1,961","1,677","1,165"
2020,4,50,"42,882","1,847","2,236","2,254","2,838","3,012","2,389","1,944","2,405","2,357","1,808","2,726","3,383","1,968","2,447","2,238","2,589","1,442","1,694","1,305"
2020,4,60,"30,782","1,480","1,929","2,014","2,464","2,057","1,560","1,115","1,183",972,"1,209","2,066","2,792","1,391","2,009","1,695","1,739",952,"1,238",917
2020,4,70,"15,949",909,"1,087","1,146","1,216","1,028",690,564,464,400,738,"1,206","1,304",673,"1,223",984,838,506,585,388
2020,4,80,"5,454",313,296,369,376,345,258,217,195,141,252,448,454,214,441,321,311,173,200,130
2020,4,90,585,25,35,33,40,39,42,21,25,16,26,53,45,18,32,42,37,17,20,19
2020,4,100,80,4,1,2,2,6,2,1,3,4,0,3,32,5,7,5,1,0,0,2
2020,5,총,"256,045","11,844","13,439","14,886","18,675","19,523","13,486","10,975","12,492","13,540","10,167","16,736","19,259","10,323","13,602","12,138","15,842","11,286","10,283","7,549"
2020,5,0,"18,038",664,942,"1,248","1,166","1,557",647,820,881,"1,114",623,"1,142","1,311",533,762,599,"1,373","1,353",785,518
2020,5,10,"28,557",970,"1,175","1,151","1,425","2,344","1,895","1,482","2,285","3,072","1,366","1,623","1,792","1,025","1,199","1,097","1,639","1,109","1,189",719
2020,5,20,"38,125","2,257","1,745","1,846","3,446","3,284","2,616","1,630","1,779","1,569","1,381","2,300","2,795","1,676","1,767","1,832","2,297","1,309","1,442","1,154"
2020,5,30,"33,214","1,553","1,730","2,411","2,851","2,623","1,418","1,248",937,906,"1,043","2,193","2,551","1,244","1,595","1,444","2,346","2,436","1,458","1,227"
2020,5,40,"42,184","1,834","2,238","2,394","2,843","3,217","1,962","1,932","2,333","2,977","1,703","2,968","2,797","1,568","2,090","1,877","2,653","1,978","1,660","1,160"
2020,5,50,"42,893","1,834","2,238","2,261","2,840","3,013","2,393","1,936","2,398","2,378","1,815","2,716","3,374","1,969","2,461","2,226","2,588","1,445","1,701","1,307"
2020,5,60,"30,848","1,480","1,941","2,007","2,468","2,064","1,560","1,125","1,188",968,"1,206","2,080","2,789","1,394","2,015","1,696","1,747",960,"1,239",921
2020,5,70,"16,018",916,"1,096","1,158","1,223","1,033",694,559,469,393,749,"1,204","1,310",675,"1,227",992,840,506,587,387
2020,5,80,"5,503",308,298,373,372,343,258,221,194,143,256,454,463,216,448,327,319,173,202,135
2020,5,90,584,24,35,35,39,39,41,21,25,16,25,53,45,18,31,42,39,17,20,19
2020,5,100,81,4,1,2,2,6,2,1,3,4,0,3,32,5,7,6,1,0,0,2
2020,6,총,"255,624","11,827","13,437","14,864","18,648","19,508","13,451","10,966","12,423","13,545","10,136","16,676","19,250","10,312","13,585","12,135","15,801","11,294","10,253","7,513"
2020,6,0,"17,941",657,946,"1,240","1,151","1,548",649,823,875,"1,108",615,"1,125","1,311",537,763,597,"1,363","1,340",777,516
2020,6,10,"28,407",967,"1,156","1,158","1,424","2,328","1,875","1,476","2,264","3,082","1,358","1,601","1,790","1,010","1,190","1,095","1,624","1,110","1,187",712
2020,6,20,"38,048","2,255","1,753","1,831","3,451","3,293","2,594","1,617","1,772","1,567","1,367","2,297","2,784","1,677","1,760","1,840","2,295","1,319","1,434","1,142"
2020,6,30,"33,140","1,544","1,729","2,403","2,837","2,642","1,426","1,240",935,893,"1,040","2,167","2,547","1,239","1,596","1,450","2,346","2,436","1,453","1,217"
2020,6,40,"42,044","1,829","2,239","2,390","2,838","3,208","1,942","1,929","2,304","2,965","1,693","2,972","2,802","1,566","2,075","1,869","2,632","1,986","1,654","1,151"
2020,6,50,"42,800","1,833","2,222","2,260","2,812","3,002","2,390","1,934","2,389","2,393","1,807","2,717","3,348","1,977","2,461","2,217","2,603","1,437","1,694","1,304"
2020,6,60,"30,973","1,492","1,954","2,003","2,492","2,063","1,578","1,141","1,195",976,"1,226","2,073","2,808","1,384","2,021","1,694","1,738",966,"1,241",928
2020,6,70,"16,078",913,"1,102","1,168","1,224","1,038",695,563,468,399,751,"1,211","1,317",685,"1,226",995,841,511,587,384
2020,6,80,"5,521",308,298,375,377,340,258,221,193,142,253,458,464,215,455,330,318,172,206,138
2020,6,90,590,25,37,34,40,40,42,21,25,16,26,52,47,17,30,42,40,17,20,19
2020,6,100,82,4,1,2,2,6,2,1,3,4,0,3,32,5,8,6,1,0,0,2
2020,7,총,"255,127","11,781","13,430","14,854","18,590","19,487","13,425","10,949","12,391","13,505","10,124","16,679","19,234","10,295","13,559","12,105","15,747","11,240","10,231","7,501"
2020,7,0,"17,817",650,942,"1,228","1,139","1,545",650,821,865,"1,096",616,"1,125","1,293",538,754,593,"1,347","1,334",768,513
2020,7,10,"28,266",959,"1,157","1,150","1,412","2,309","1,854","1,475","2,259","3,074","1,352","1,588","1,790",997,"1,183","1,083","1,624","1,099","1,190",711
2020,7,20,"37,982","2,248","1,756","1,845","3,449","3,288","2,580","1,606","1,767","1,564","1,352","2,301","2,785","1,677","1,757","1,844","2,275","1,315","1,434","1,139"
2020,7,30,"32,995","1,548","1,716","2,381","2,826","2,637","1,425","1,240",927,886,"1,038","2,163","2,532","1,238","1,586","1,439","2,336","2,417","1,446","1,214"
2020,7,40,"41,823","1,816","2,228","2,383","2,806","3,189","1,926","1,923","2,297","2,943","1,691","2,963","2,795","1,560","2,069","1,868","2,604","1,973","1,648","1,141"
2020,7,50,"42,812","1,824","2,213","2,256","2,807","3,012","2,404","1,929","2,396","2,401","1,803","2,724","3,344","1,971","2,464","2,214","2,610","1,436","1,700","1,304"
2020,7,60,"31,037","1,484","1,962","2,022","2,493","2,073","1,585","1,148","1,186",976,"1,231","2,072","2,822","1,394","2,029","1,692","1,745",965,"1,235",923
2020,7,70,"16,158",911,"1,121","1,166","1,234","1,046",692,561,473,399,760,"1,227","1,326",684,"1,221",999,846,513,586,393
2020,7,80,"5,559",312,298,387,382,341,264,224,193,144,255,461,468,213,458,326,318,170,203,142
2020,7,90,594,25,36,34,40,41,43,21,24,18,26,52,46,18,30,41,41,18,21,19
2020,7,100,84,4,1,2,2,6,2,1,4,4,0,3,33,5,8,6,1,0,0,2
2020,8,총,"254,463","11,730","13,402","14,793","18,546","19,456","13,387","10,927","12,332","13,464","10,114","16,609","19,180","10,277","13,538","12,103","15,734","11,203","10,189","7,479"
2020,8,0,"17,683",639,934,"1,198","1,142","1,533",653,822,861,"1,088",619,"1,111","1,280",530,755,590,"1,341","1,320",755,512
