년도,월,나이,사천시,사천읍,정동면,사남면,용현면,축동면,곤양면,곤명면,서포면,동서동,선구동,동서금동,벌용동,향촌동,남양동,신수출장소
2020,1,총,"55,446","9,077","5,403","7,680","3,952",808,"1,746","1,492","1,806","3,324","2,709","3,013","8,090","3,395","2,813",138
2020,1,0,"4,204",785,544,"1,026",382,21,45,32,32,101,120,182,562,198,170,4
2020,1,10,"5,063","1,012",631,978,301,26,78,48,74,165,156,214,848,319,209,4
2020,1,20,"4,435","1,019",491,600,235,50,114,75,103,184,197,192,692,271,211,1
2020,1,30,"5,911","1,161",697,"1,288",485,46,85,70,67,196,230,299,755,289,234,9
2020,1,40,"8,337","1,579",974,"1,416",543,70,158,105,123,331,332,411,"1,380",560,347,8
2020,1,50,"8,873","1,440",779,833,644,127,277,254,311,587,513,547,"1,477",604,461,19
2020,1,60,"8,049",925,541,673,588,188,357,332,387,773,530,563,"1,140",516,500,36
2020,1,70,"6,116",645,422,470,440,137,347,308,368,624,389,395,779,374,380,38
2020,1,80,"3,806",430,275,338,284,127,249,239,282,308,209,179,403,219,246,18
2020,1,90,634,75,49,57,49,16,35,28,59,53,33,28,53,45,53,1
2020,1,100,18,6,0,1,1,0,1,1,0,2,0,3,1,0,2,0
2020,2,총,"55,348","9,044","5,402","7,633","3,956",802,"1,745","1,492","1,797","3,310","2,679","3,128","8,041","3,387","2,795",137
2020,2,0,"4,151",779,536,998,377,21,45,34,32,95,118,201,552,194,166,3
2020,2,10,"5,058","1,005",638,974,300,26,80,48,76,162,153,226,838,321,206,5
2020,2,20,"4,413","1,001",497,597,233,50,112,74,101,180,189,207,699,265,207,1
2020,2,30,"5,847","1,151",684,"1,257",488,44,86,70,66,198,223,311,744,289,227,9
2020,2,40,"8,352","1,579",974,"1,421",548,71,157,105,122,325,330,440,"1,366",556,350,8
2020,2,50,"8,870","1,446",782,840,643,123,277,249,312,578,513,560,"1,465",601,462,19
2020,2,60,"8,080",927,542,674,595,187,354,332,389,780,523,581,"1,143",518,500,35
2020,2,70,"6,096",645,420,480,435,136,343,303,361,619,390,393,778,376,380,37
2020,2,80,"3,815",430,278,337,286,127,254,246,276,314,207,177,401,224,239,19
2020,2,90,648,75,51,54,50,17,36,30,62,57,33,29,54,43,56,1
