년도,월,나이,경상남도 의령군,경상남도 의령군 의령읍,경상남도 의령군 가례면,경상남도 의령군 칠곡면,경상남도 의령군 대의면,경상남도 의령군 화정면,경상남도 의령군 용덕면,경상남도 의령군 정곡면,경상남도 의령군 지정면,경상남도 의령군 낙서면,경상남도 의령군 부림면,경상남도 의령군 봉수면,경상남도 의령군 궁류면,경상남도 의령군 유곡면
2020,1,총,"13,223","4,662",857,576,508,775,793,690,939,357,"1,414",530,559,563
2020,1,0,589,382,15,16,14,17,17,14,17,10,52,17,9,9
2020,1,10,870,473,41,25,22,42,31,22,30,20,97,28,24,15
2020,1,20,"1,188",528,53,46,43,87,65,42,79,18,132,27,36,32
2020,1,30,"1,013",472,64,40,34,36,64,33,55,14,95,44,25,37
2020,1,40,"1,735",818,94,52,51,83,88,73,98,37,191,57,42,51
2020,1,50,"2,617",840,191,113,101,167,174,160,180,61,286,88,122,134
2020,1,60,"2,621",630,215,149,118,172,195,166,240,105,255,132,121,123
2020,1,70,"1,646",369,108,80,78,102,95,112,165,49,221,80,99,88
2020,1,80,855,135,66,49,42,64,56,60,69,39,79,54,77,65
2020,1,90,88,15,10,6,5,5,8,8,5,4,6,3,4,9
2020,1,100,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2020,2,총,"13,214","4,674",858,572,505,767,790,696,939,356,"1,406",534,555,562
2020,2,0,590,381,16,15,15,16,18,16,16,10,52,17,9,9
2020,2,10,863,473,41,24,21,42,30,24,30,19,96,28,20,15
2020,2,20,"1,174",522,54,47,42,83,63,43,77,20,133,25,35,30
2020,2,30,"1,012",475,63,38,33,38,63,33,53,13,92,48,26,37
2020,2,40,"1,737",818,93,53,49,81,89,74,100,38,192,57,41,52
2020,2,50,"2,612",846,189,113,100,165,172,159,181,61,281,88,124,133
2020,2,60,"2,643",636,220,147,121,170,197,167,239,104,259,134,123,126
2020,2,70,"1,647",374,106,80,78,103,92,113,167,48,220,79,99,88
2020,2,80,846,133,66,49,41,64,59,58,70,39,76,54,74,63
2020,2,90,88,16,10,6,5,5,7,9,5,4,5,4,4,8
2020,2,100,2,0,0,0,0,0,0,0,1,0,0,0,0,1
2020,3,총,"13,202","4,683",860,569,496,764,785,702,940,358,"1,391",534,555,565
2020,3,0,584,379,18,15,12,17,16,16,16,13,47,18,9,8
2020,3,10,858,472,41,24,20,41,30,25,32,18,95,26,19,15
2020,3,20,"1,173",529,53,46,41,82,63,44,73,21,131,25,35,30
2020,3,30,"1,001",475,60,37,32,36,62,33,52,14,90,47,25,38
2020,3,40,"1,726",819,92,52,48,80,87,75,99,39,184,58,41,52
2020,3,50,"2,595",839,187,112,96,163,172,161,181,63,283,87,119,132
2020,3,60,"2,673",644,227,148,122,172,193,166,243,100,259,138,132,129
2020,3,70,"1,653",375,107,80,79,102,97,114,169,49,218,76,99,88
2020,3,80,848,135,65,48,41,66,58,59,68,37,79,55,73,64
2020,3,90,89,16,10,7,5,5,7,9,6,4,5,4,3,8
2020,3,100,2,0,0,0,0,0,0,0,1,0,0,0,0,1
2020,4,총,"13,173","4,681",854,567,492,763,782,705,930,358,"1,391",533,552,565
2020,4,0,579,379,18,13,12,17,16,17,15,12,46,18,9,7
2020,4,10,851,473,39,23,19,39,30,25,32,19,93,25,19,15
2020,4,20,"1,160",524,54,45,40,81,56,43,72,21,133,26,34,31
2020,4,30,996,472,61,36,31,36,65,34,51,15,91,44,23,37
2020,4,40,"1,720",818,90,54,47,81,85,73,99,37,183,60,41,52
2020,4,50,"2,581",836,184,112,97,160,170,164,174,64,286,85,117,132
2020,4,60,"2,693",651,225,148,119,174,197,170,246,100,257,141,134,131
2020,4,70,"1,648",378,108,80,81,102,100,109,166,50,216,75,98,85
2020,4,80,852,133,65,49,41,68,56,60,68,36,81,55,74,66
2020,4,90,91,17,10,7,5,5,7,10,6,4,5,4,3,8
2020,4,100,2,0,0,0,0,0,0,0,1,0,0,0,0,1
2020,5,총,"13,180","4,680",858,569,491,762,784,704,931,357,"1,391",532,552,569
2020,5,0,577,378,18,13,12,17,16,18,16,12,44,17,9,7
2020,5,10,850,474,37,23,17,36,31,25,33,19,94,27,19,15
2020,5,20,"1,165",523,56,46,41,84,54,42,73,20,135,26,34,31
2020,5,30,984,469,59,35,31,34,66,34,50,16,89,41,23,37
2020,5,40,"1,708",812,91,54,44,80,86,71,98,37,184,60,39,52
2020,5,50,"2,569",838,187,111,99,159,166,159,174,62,281,85,117,131
2020,5,60,"2,729",657,228,151,120,177,200,176,245,101,262,141,138,133
2020,5,70,"1,649",378,107,79,81,102,102,109,166,51,215,76,96,87
2020,5,80,854,134,65,50,41,68,56,60,68,35,82,55,74,66
2020,5,90,93,17,10,7,5,5,7,10,7,4,5,4,3,9
2020,5,100,2,0,0,0,0,0,0,0,1,0,0,0,0,1
2020,6,총,"13,191","4,689",856,572,497,757,782,708,936,357,"1,388",531,552,566
2020,6,0,581,378,18,15,12,17,16,18,18,13,43,17,9,7
2020,6,10,847,478,37,24,17,33,30,23,34,18,92,27,19,15
2020,6,20,"1,167",521,56,44,43,86,54,43,72,20,138,26,34,30
2020,6,30,967,467,56,37,30,34,64,35,48,14,84,41,21,36
2020,6,40,"1,712",818,91,54,45,78,85,70,97,37,185,61,40,51
2020,6,50,"2,561",839,184,112,100,157,164,161,173,64,281,81,115,130
2020,6,60,"2,748",656,230,150,122,178,205,178,249,100,263,143,140,134
2020,6,70,"1,654",381,109,79,82,100,103,110,168,52,213,75,96,86
2020,6,80,860,134,65,50,41,69,55,60,69,35,84,56,75,67
