년도,월,나이,충청남도 홍성군,충청남도 홍성군 홍성읍,충청남도 홍성군 광천읍,충청남도 홍성군 홍북읍,충청남도 홍성군 금마면,충청남도 홍성군 홍동면,충청남도 홍성군 장곡면,충청남도 홍성군 은하면,충청남도 홍성군 결성면,충청남도 홍성군 서부면,충청남도 홍성군 갈산면,충청남도 홍성군 구항면
2020,3,총,"50,326","19,435","4,413","14,066","1,724","1,703","1,548","1,173","1,098","1,675","1,776","1,715"
2020,3,0,"3,856","1,284",141,"2,113",45,60,38,22,17,48,40,48
2020,3,10,"4,752","2,218",223,"1,753",59,105,61,41,42,82,77,91
2020,3,20,"4,373","2,169",250,"1,353",97,87,69,46,45,88,73,96
2020,3,30,"5,201","1,817",217,"2,621",84,82,65,39,33,65,81,97
2020,3,40,"6,989","3,208",365,"2,600",126,162,86,61,50,100,93,138
2020,3,50,"7,697","3,342",756,"1,580",297,286,215,174,185,292,289,281
2020,3,60,"7,237","2,589",945,"1,027",362,328,321,270,253,376,398,368
2020,3,70,"5,487","1,651",869,557,324,286,337,241,233,327,362,300
2020,3,80,"4,077",992,553,394,283,269,317,232,205,255,315,262
2020,3,90,615,155,79,65,47,36,38,46,35,37,45,32
2020,3,100,42,10,15,3,0,2,1,1,0,5,3,2
2020,4,총,"50,250","19,397","4,398","14,080","1,730","1,694","1,536","1,171","1,095","1,661","1,780","1,708"
2020,4,0,"3,823","1,268",137,"2,103",49,58,39,22,16,47,39,45
2020,4,10,"4,735","2,194",222,"1,762",59,107,60,40,42,79,79,91
2020,4,20,"4,343","2,152",249,"1,354",96,86,63,45,42,87,74,95
2020,4,30,"5,205","1,814",214,"2,629",87,80,64,39,35,65,81,97
2020,4,40,"6,958","3,194",358,"2,600",127,161,84,61,48,96,94,135
2020,4,50,"7,674","3,340",753,"1,583",299,279,212,172,182,288,284,282
2020,4,60,"7,260","2,609",950,"1,017",361,332,320,272,256,377,400,366
2020,4,70,"5,491","1,664",868,559,323,281,338,237,231,324,366,300
2020,4,80,"4,111",997,556,406,284,274,318,235,207,255,316,263
2020,4,90,609,156,76,64,45,34,37,47,36,38,44,32
2020,4,100,41,9,15,3,0,2,1,1,0,5,3,2
2020,5,총,"50,282","19,409","4,379","14,142","1,724","1,701","1,530","1,166","1,091","1,655","1,775","1,710"
2020,5,0,"3,817","1,263",137,"2,106",47,59,40,22,15,46,37,45
2020,5,10,"4,730","2,187",221,"1,769",61,108,58,38,39,80,80,89
2020,5,20,"4,352","2,169",243,"1,365",90,83,64,45,40,84,74,95
2020,5,30,"5,201","1,811",210,"2,636",86,82,60,35,37,66,81,97
2020,5,40,"6,961","3,183",354,"2,619",125,161,84,61,47,95,94,138
2020,5,50,"7,653","3,330",749,"1,586",300,277,211,168,181,287,284,280
2020,5,60,"7,285","2,621",951,"1,023",365,336,319,273,258,374,397,368
2020,5,70,"5,508","1,674",868,560,322,281,337,240,232,324,369,301
2020,5,80,"4,116","1,003",554,411,282,278,319,234,206,256,310,263
2020,5,90,618,159,77,64,46,34,37,49,36,38,46,32
2020,5,100,41,9,15,3,0,2,1,1,0,5,3,2
2020,6,총,"50,269","19,388","4,367","14,183","1,724","1,697","1,527","1,157","1,093","1,654","1,767","1,712"
2020,6,0,"3,807","1,263",136,"2,104",46,57,39,22,15,45,36,44
2020,6,10,"4,730","2,178",220,"1,782",60,108,59,37,38,81,77,90
2020,6,20,"4,342","2,181",243,"1,344",88,78,65,45,43,84,76,95
2020,6,30,"5,179","1,795",205,"2,645",85,82,60,34,36,62,79,96
2020,6,40,"6,972","3,174",351,"2,637",125,164,83,60,46,100,94,138
2020,6,50,"7,621","3,318",742,"1,587",301,274,209,168,180,287,279,276
2020,6,60,"7,318","2,638",956,"1,033",367,332,320,268,259,370,400,375
