년도,월,나이,강원도 고성군,강원도 고성군 간성읍,강원도 고성군 거진읍,강원도 고성군 현내면,강원도 고성군 죽왕면,강원도 고성군 토성면,강원도 고성군 수동면
2020,1,총,"14,051","3,764","3,230","1,199","1,995","3,863",0
2020,1,0,677,297,118,31,80,151,0
2020,1,10,955,348,202,68,109,228,0
2020,1,20,"1,995",605,370,103,275,642,0
2020,1,30,"1,271",430,218,91,200,332,0
2020,1,40,"1,794",517,381,141,237,518,0
2020,1,50,"2,665",626,649,237,383,770,0
2020,1,60,"2,499",494,667,281,363,694,0
2020,1,70,"1,545",321,434,180,236,374,0
2020,1,80,570,105,163,61,103,138,0
2020,1,90,77,20,28,6,9,14,0
2020,1,100,3,1,0,0,0,2,0
2020,2,총,"13,999","3,741","3,234","1,192","1,988","3,844",0
2020,2,0,670,296,120,28,80,146,0
2020,2,10,947,345,201,70,104,227,0
2020,2,20,"1,950",587,373,103,266,621,0
2020,2,30,"1,264",430,213,87,197,337,0
2020,2,40,"1,794",517,382,139,243,513,0
2020,2,50,"2,657",622,645,237,383,770,0
2020,2,60,"2,521",502,667,283,368,701,0
2020,2,70,"1,540",315,439,179,235,372,0
2020,2,80,576,107,165,60,103,141,0
2020,2,90,77,19,29,6,9,14,0
2020,2,100,3,1,0,0,0,2,0
2020,3,총,"13,981","3,736","3,216","1,195","1,995","3,839",0
2020,3,0,670,296,118,27,81,148,0
2020,3,10,926,340,197,68,98,223,0
2020,3,20,"1,921",581,366,99,266,609,0
2020,3,30,"1,276",428,219,94,200,335,0
2020,3,40,"1,778",521,372,135,241,509,0
2020,3,50,"2,667",616,644,244,388,775,0
2020,3,60,"2,540",509,664,284,374,709,0
2020,3,70,"1,546",318,443,177,237,371,0
2020,3,80,575,105,165,61,100,144,0
2020,3,90,79,21,28,6,10,14,0
2020,3,100,3,1,0,0,0,2,0
2020,4,총,"13,926","3,720","3,196","1,197","1,997","3,816",0
2020,4,0,664,297,116,26,81,144,0
2020,4,10,912,337,195,66,95,219,0
2020,4,20,"1,911",575,360,102,271,603,0
2020,4,30,"1,266",421,214,93,202,336,0
2020,4,40,"1,760",519,368,133,238,502,0
2020,4,50,"2,653",614,642,243,388,766,0
2020,4,60,"2,560",510,669,289,378,714,0
2020,4,70,"1,539",319,440,177,232,371,0
2020,4,80,580,107,165,62,101,145,0
2020,4,90,78,20,27,6,11,14,0
2020,4,100,3,1,0,0,0,2,0
2020,5,총,"13,910","3,715","3,184","1,196","1,980","3,835",0
2020,5,0,666,301,114,26,79,146,0
2020,5,10,905,334,195,63,92,221,0
2020,5,20,"1,897",567,355,104,269,602,0
2020,5,30,"1,266",428,210,91,195,342,0
2020,5,40,"1,749",510,362,132,239,506,0
2020,5,50,"2,655",616,646,247,383,763,0
2020,5,60,"2,571",513,672,288,382,716,0
2020,5,70,"1,535",320,434,175,232,374,0
2020,5,80,586,106,170,63,98,149,0
2020,5,90,77,19,26,7,11,14,0
2020,5,100,3,1,0,0,0,2,0
2020,6,총,"13,884","3,693","3,185","1,202","1,980","3,824",0
2020,6,0,663,298,115,25,79,146,0
2020,6,10,891,331,193,62,89,216,0
2020,6,20,"1,882",561,354,103,271,593,0
2020,6,30,"1,271",429,210,92,199,341,0
2020,6,40,"1,740",499,363,135,238,505,0
2020,6,50,"2,650",620,648,247,376,759,0
2020,6,60,"2,582",510,669,291,388,724,0
2020,6,70,"1,530",318,431,177,230,374,0
2020,6,80,596,107,177,63,99,150,0
2020,6,90,76,19,25,7,11,14,0
2020,6,100,3,1,0,0,0,2,0
2020,7,총,"13,862","3,683","3,164","1,200","1,969","3,846",0
2020,7,0,669,301,114,25,81,148,0
2020,7,10,881,325,192,61,87,216,0
2020,7,20,"1,864",562,348,102,261,591,0
2020,7,30,"1,269",431,204,93,197,344,0
2020,7,40,"1,741",491,357,137,238,518,0
2020,7,50,"2,640",616,648,240,372,764,0
2020,7,60,"2,589",510,671,295,392,721,0
2020,7,70,"1,525",320,425,175,231,374,0
2020,7,80,604,107,180,64,99,154,0
2020,7,90,77,19,25,8,11,14,0
2020,7,100,3,1,0,0,0,2,0
2020,8,총,"13,852","3,659","3,163","1,196","1,962","3,872",0
2020,8,0,666,294,111,26,80,155,0
2020,8,10,880,322,192,60,88,218,0
2020,8,20,"1,853",562,346,97,258,590,0
2020,8,30,"1,257",419,204,95,193,346,0
2020,8,40,"1,734",489,357,133,239,516,0
2020,8,50,"2,646",610,653,243,372,768,0
2020,8,60,"2,601",514,669,294,389,735,0
2020,8,70,"1,520",320,422,176,230,372,0
2020,8,80,615,109,184,64,102,156,0
2020,8,90,77,19,25,8,11,14,0
2020,8,100,3,1,0,0,0,2,0
2020,9,총,"13,815","3,653","3,152","1,184","1,955","3,871",0
2020,9,0,656,289,109,25,78,155,0
2020,9,10,881,320,187,61,92,221,0
2020,9,20,"1,847",563,348,92,255,589,0
2020,9,30,"1,254",424,201,92,193,344,0
2020,9,40,"1,711",484,350,133,230,514,0
2020,9,50,"2,641",611,651,241,372,766,0
2020,9,60,"2,610",516,676,291,392,735,0
2020,9,70,"1,513",318,416,177,227,375,0
2020,9,80,624,109,190,64,104,157,0
2020,9,90,75,18,24,8,12,13,0
2020,9,100,3,1,0,0,0,2,0
2020,10,총,"13,812","3,658","3,142","1,184","1,961","3,867",0
2020,10,0,652,292,103,25,77,155,0
2020,10,10,879,325,186,59,91,218,0
2020,10,20,"1,831",556,344,91,259,581,0
2020,10,30,"1,258",425,201,92,196,344,0
2020,10,40,"1,717",483,349,133,232,520,0
2020,10,50,"2,631",615,644,242,362,768,0
2020,10,60,"2,624",512,684,293,399,736,0
2020,10,70,"1,501",317,409,177,227,371,0
2020,10,80,641,114,199,63,106,159,0
2020,10,90,75,18,23,9,12,13,0
2020,10,100,3,1,0,0,0,2,0
2020,11,총,"13,824","3,664","3,125","1,187","1,971","3,877",0
2020,11,0,655,291,101,28,78,157,0
2020,11,10,884,326,184,59,93,222,0
2020,11,20,"1,825",558,344,90,258,575,0
2020,11,30,"1,258",427,198,94,195,344,0
2020,11,40,"1,720",483,346,132,233,526,0
2020,11,50,"2,618",615,639,239,364,761,0
2020,11,60,"2,640",513,682,297,405,743,0
