년도,월,나이,전라남도 여수시,전라남도 여수시 돌산읍,전라남도 여수시 돌산읍우두출장소,전라남도 여수시 돌산읍죽포출장소,전라남도 여수시 소라면,전라남도 여수시 율촌면,전라남도 여수시 화양면,전라남도 여수시 남면,전라남도 여수시 화정면,전라남도 여수시 화정면개도출장소,전라남도 여수시 삼산면,전라남도 여수시 동문동,전라남도 여수시 한려동,전라남도 여수시 중앙동,전라남도 여수시 충무동,전라남도 여수시 광림동,전라남도 여수시 서강동,전라남도 여수시 대교동,전라남도 여수시 국동,전라남도 여수시 월호동,전라남도 여수시 여서동,전라남도 여수시 문수동,전라남도 여수시 미평동,전라남도 여수시 둔덕동,전라남도 여수시 만덕동,전라남도 여수시 쌍봉동,전라남도 여수시 시전동,전라남도 여수시 여천동,전라남도 여수시 주삼동,전라남도 여수시 삼일동,전라남도 여수시 묘도동
2020,3,총,"143,551","1,399","4,464",970,"10,594","3,282","3,372","1,482",645,430,"1,169","2,381","1,669","2,249","2,120","3,307","1,915","2,862","6,077","3,574","9,493","9,990","6,425","5,332","5,311","17,025","18,374","11,468","4,173","1,364",635
2020,3,0,"11,085",27,338,21,"1,141",147,80,41,7,17,33,120,57,89,68,152,69,88,403,269,692,769,407,412,556,"1,467","2,360",662,544,37,12
2020,3,10,"14,282",53,335,41,"1,080",184,175,78,16,18,46,154,119,168,132,192,128,122,519,331,"1,020","1,178",629,685,498,"2,153","2,377","1,133",602,83,33
2020,3,20,"19,193",114,441,75,"1,282",288,315,100,31,32,105,258,197,225,196,410,239,284,753,418,"1,424","1,398","1,070",763,606,"3,008","2,444","2,037",443,173,64
2020,3,30,"17,205",93,450,57,"1,438",274,233,89,41,18,88,255,195,212,186,350,193,271,703,391,"1,109","1,158",771,694,745,"2,142","2,817","1,426",626,125,55
2020,3,40,"22,420",176,773,107,"1,699",499,415,176,64,55,166,333,220,338,320,464,262,409,906,497,"1,419","1,625",991,847,841,"2,797","3,114","1,759",844,203,101
2020,3,50,"25,438",273,747,175,"1,845",623,743,284,110,97,279,386,274,381,370,577,303,548,"1,031",577,"1,659","1,730","1,236",939,778,"3,064","3,011","2,404",558,288,148
2020,3,60,"19,472",310,764,239,"1,251",603,713,323,161,78,250,449,280,431,409,589,363,551,"1,004",639,"1,394","1,344",837,672,725,"1,578","1,513","1,337",313,236,116
2020,3,70,"10,769",230,443,174,612,444,486,268,148,78,143,347,240,305,334,454,265,444,608,357,569,603,372,254,436,649,556,533,193,156,68
2020,3,80,"3,394",110,159,76,225,205,187,111,58,32,55,65,81,91,96,110,89,136,146,87,197,173,107,61,118,154,169,161,46,54,35
2020,3,90,278,13,14,5,20,13,25,11,9,5,4,11,6,9,8,8,4,9,4,7,10,12,5,5,8,13,12,16,2,7,3
2020,3,100,15,0,0,0,1,2,0,1,0,0,0,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,2,2,0
2020,4,총,"143,493","1,398","4,459",968,"10,556","3,268","3,373","1,481",645,426,"1,163","2,389","1,669","2,255","2,115","3,334","1,929","2,860","6,072","3,554","9,505","9,970","6,415","5,313","5,288","17,012","18,455","11,432","4,190","1,363",636
2020,4,0,"11,050",25,337,20,"1,134",146,78,42,7,16,33,121,54,91,69,156,73,86,408,253,682,762,396,419,556,"1,468","2,373",651,544,38,12
