년도,월,나이,경기도 남양주시,경기도 남양주시 와부읍,경기도 남양주시 진접읍,경기도 남양주시 화도읍,경기도 남양주시 화도읍동부출장소,경기도 남양주시 진건읍,경기도 남양주시 오남읍,경기도 남양주시 퇴계원읍,경기도 남양주시 별내면,경기도 남양주시 수동면,경기도 남양주시 조안면,경기도 남양주시 호평동,경기도 남양주시 평내동,경기도 남양주시 금곡동,경기도 남양주시 양정동,경기도 남양주시 다산1동,경기도 남양주시 다산2동,경기도 남양주시 별내동
2020,1,총,"352,487","32,574","46,433","50,438","6,603","11,904","26,771","15,180","10,031","4,300","2,042","26,008","17,545","9,538","2,031","38,167","16,524","36,398"
2020,1,0,"32,656","2,214","4,382","4,428",723,529,"2,179",965,672,159,95,"2,787","1,611",418,87,"5,086","2,088","4,233"
2020,1,10,"37,716","3,768","5,583","5,516",565,"1,012","3,372","1,351",969,274,130,"3,296","2,472",619,101,"3,748","1,658","3,282"
2020,1,20,"39,806","3,818","4,972","5,659",669,"1,551","3,025","2,002","1,240",370,198,"2,564","1,974","1,174",215,"4,259","1,723","4,393"
2020,1,30,"46,727","3,347","5,647","6,393","1,025","1,148","2,925","1,706",976,352,200,"3,590","2,087",984,196,"7,058","2,922","6,171"
2020,1,40,"63,935","6,135","8,705","9,503","1,108","1,657","5,247","2,213","1,700",481,244,"5,648","3,720","1,149",196,"6,820","3,122","6,287"
2020,1,50,"55,896","5,531","7,228","7,947","1,033","2,501","4,282","3,063","1,710",837,369,"3,453","2,546","2,052",426,"5,094","2,362","5,462"
2020,1,60,"39,518","3,869","5,136","5,595",841,"1,752","2,788","2,064","1,340",886,407,"2,349","1,584","1,635",418,"3,465","1,554","3,835"
2020,1,70,"23,400","2,566","3,127","3,628",393,"1,066","1,922","1,164",948,543,242,"1,576",981,855,239,"1,690",711,"1,749"
2020,1,80,"10,825","1,110","1,443","1,508",205,583,875,568,397,298,126,619,488,559,127,793,317,809
2020,1,90,"1,856",195,198,239,41,92,149,79,64,97,31,122,78,84,17,144,57,169
2020,1,100,152,21,12,22,0,13,7,5,15,3,0,4,4,9,9,10,10,8
2020,2,총,"353,332","32,399","46,282","50,393","6,687","11,876","26,715","15,133","9,953","4,305","2,030","25,967","17,521","9,526","2,028","38,319","17,495","36,703"
2020,2,0,"32,707","2,192","4,321","4,400",740,524,"2,156",967,667,162,92,"2,778","1,596",415,90,"5,080","2,284","4,243"
2020,2,10,"37,673","3,731","5,559","5,483",574,"1,004","3,361","1,342",949,269,125,"3,269","2,466",612,100,"3,774","1,750","3,305"
2020,2,20,"39,795","3,791","4,961","5,639",678,"1,532","3,012","1,981","1,228",361,200,"2,567","1,975","1,170",212,"4,305","1,774","4,409"
2020,2,30,"46,582","3,279","5,565","6,312","1,033","1,140","2,884","1,686",951,360,198,"3,550","2,066",975,197,"7,034","3,153","6,199"
2020,2,40,"64,240","6,091","8,699","9,543","1,119","1,645","5,244","2,210","1,684",479,243,"5,625","3,728","1,144",196,"6,879","3,334","6,377"
2020,2,50,"56,030","5,522","7,198","7,970","1,044","2,498","4,279","3,060","1,705",834,360,"3,484","2,554","2,044",422,"5,114","2,448","5,494"
2020,2,60,"39,848","3,879","5,173","5,614",853,"1,762","2,817","2,075","1,339",897,415,"2,365","1,591","1,646",416,"3,483","1,623","3,900"
2020,2,70,"23,491","2,579","3,132","3,638",398,"1,077","1,924","1,164",946,547,235,"1,579",973,858,237,"1,700",732,"1,772"
2020,2,80,"10,947","1,120","1,462","1,528",206,589,882,566,403,301,130,621,491,566,133,793,330,826
2020,2,90,"1,869",194,200,244,42,92,150,77,66,92,32,125,77,87,16,147,57,171
2020,2,100,150,21,12,22,0,13,6,5,15,3,0,4,4,9,9,10,10,7
2020,3,총,"353,851","32,331","46,215","50,350","6,761","11,884","26,652","15,113","9,921","4,287","2,032","26,012","17,492","9,508","2,027","38,503","17,938","36,825"
2020,3,0,"32,564","2,171","4,278","4,354",749,520,"2,121",951,663,159,95,"2,751","1,586",412,90,"5,080","2,347","4,237"
2020,3,10,"37,622","3,707","5,559","5,457",576,"1,004","3,351","1,327",948,260,125,"3,280","2,449",605,101,"3,785","1,769","3,319"
2020,3,20,"39,997","3,806","4,966","5,659",692,"1,533","3,006","1,986","1,227",361,199,"2,568","1,984","1,165",216,"4,367","1,819","4,443"
2020,3,30,"46,431","3,231","5,518","6,254","1,055","1,134","2,856","1,673",935,356,198,"3,530","2,049",978,194,"7,015","3,279","6,176"
2020,3,40,"64,261","6,075","8,676","9,530","1,121","1,641","5,217","2,204","1,675",474,253,"5,633","3,709","1,130",195,"6,920","3,411","6,397"
2020,3,50,"56,144","5,515","7,189","7,990","1,049","2,496","4,288","3,057","1,700",825,358,"3,512","2,561","2,035",413,"5,145","2,501","5,510"
2020,3,60,"40,193","3,905","5,203","5,665",861,"1,779","2,849","2,091","1,340",901,412,"2,395","1,596","1,665",423,"3,506","1,663","3,939"
2020,3,70,"23,573","2,568","3,147","3,637",408,"1,080","1,923","1,167",946,551,232,"1,594",979,855,238,"1,714",748,"1,786"
2020,3,80,"11,028","1,135","1,469","1,533",206,591,889,574,406,303,128,621,499,565,132,807,333,837
2020,3,90,"1,889",197,198,249,44,93,147,78,66,94,32,124,76,89,17,154,58,173
2020,3,100,149,21,12,22,0,13,5,5,15,3,0,4,4,9,8,10,10,8
2020,4,총,"354,232","32,217","46,177","50,295","6,833","11,875","26,679","15,085","9,918","4,292","2,029","26,083","17,496","9,468","2,022","38,655","18,162","36,946"
2020,4,0,"32,441","2,141","4,234","4,326",761,519,"2,107",947,664,157,94,"2,746","1,581",409,89,"5,067","2,380","4,219"
2020,4,10,"37,603","3,702","5,554","5,439",582,998,"3,342","1,315",934,265,126,"3,296","2,438",591,101,"3,818","1,772","3,330"
2020,4,20,"40,049","3,795","4,950","5,646",702,"1,533","3,018","1,981","1,235",350,194,"2,589","2,000","1,158",216,"4,376","1,846","4,460"
2020,4,30,"46,385","3,214","5,517","6,224","1,062","1,126","2,861","1,671",922,357,198,"3,514","2,041",973,192,"7,020","3,312","6,181"
2020,4,40,"64,295","6,036","8,659","9,505","1,138","1,633","5,200","2,190","1,673",472,249,"5,637","3,715","1,119",194,"6,999","3,461","6,415"
2020,4,50,"56,192","5,504","7,189","7,992","1,052","2,493","4,306","3,035","1,710",830,360,"3,530","2,567","2,014",408,"5,143","2,532","5,527"
2020,4,60,"40,434","3,897","5,210","5,698",871,"1,793","2,865","2,111","1,345",908,415,"2,407","1,596","1,679",424,"3,526","1,704","3,985"
2020,4,70,"23,667","2,563","3,171","3,643",413,"1,079","1,931","1,170",943,552,231,"1,605",983,859,242,"1,735",748,"1,799"
2020,4,80,"11,105","1,143","1,479","1,554",206,592,897,581,409,305,129,626,498,565,129,809,338,845
2020,4,90,"1,911",202,201,247,46,96,147,79,68,93,33,128,72,92,19,152,59,177
2020,4,100,150,20,13,21,0,13,5,5,15,3,0,5,5,9,8,10,10,8
2020,5,총,"354,454","32,113","46,159","50,309","6,886","11,854","26,659","15,042","9,913","4,292","2,035","26,077","17,498","9,478","2,022","38,821","18,242","37,054"
2020,5,0,"32,293","2,130","4,215","4,297",756,511,"2,078",938,656,160,97,"2,742","1,568",405,88,"5,066","2,375","4,211"
2020,5,10,"37,602","3,680","5,558","5,434",601,995,"3,336","1,307",931,262,128,"3,286","2,432",590,103,"3,837","1,791","3,331"
2020,5,20,"40,098","3,771","4,943","5,651",708,"1,520","3,012","1,985","1,242",348,188,"2,599","1,999","1,158",214,"4,418","1,857","4,485"
2020,5,30,"46,277","3,210","5,486","6,205","1,065","1,125","2,869","1,654",912,359,202,"3,480","2,035",966,193,"7,026","3,306","6,184"
2020,5,40,"64,225","5,991","8,645","9,504","1,144","1,622","5,172","2,171","1,675",465,250,"5,613","3,705","1,120",197,"7,035","3,478","6,438"
2020,5,50,"56,356","5,503","7,178","8,014","1,067","2,487","4,323","3,037","1,701",829,359,"3,570","2,590","2,011",403,"5,170","2,562","5,552"
2020,5,60,"40,614","3,895","5,240","5,728",874,"1,809","2,866","2,109","1,356",908,417,"2,411","1,597","1,699",426,"3,547","1,715","4,017"
2020,5,70,"23,738","2,558","3,193","3,654",414,"1,082","1,942","1,175",946,555,233,"1,612",987,858,241,"1,740",748,"1,800"
2020,5,80,"11,174","1,148","1,483","1,549",210,592,910,584,412,309,129,634,504,568,132,817,340,853
2020,5,90,"1,926",207,206,252,47,98,146,77,67,94,32,126,76,92,17,155,60,174
2020,5,100,151,20,12,21,0,13,5,5,15,3,0,4,5,11,8,10,10,9
2020,6,총,"355,046","32,005","46,118","50,334","7,008","11,844","26,680","15,039","9,889","4,357","2,042","26,111","17,628","9,436","2,034","38,977","18,411","37,133"
2020,6,0,"32,239","2,117","4,207","4,270",768,506,"2,055",933,644,162,97,"2,734","1,569",401,88,"5,076","2,388","4,224"
2020,6,10,"37,662","3,668","5,561","5,436",640,988,"3,321","1,304",920,300,131,"3,293","2,431",581,103,"3,861","1,796","3,328"
2020,6,20,"40,208","3,755","4,913","5,662",731,"1,521","3,028","1,984","1,239",350,189,"2,615","2,035","1,150",216,"4,452","1,886","4,482"
2020,6,30,"46,209","3,214","5,446","6,175","1,063","1,125","2,847","1,655",900,354,205,"3,464","2,051",962,196,"7,051","3,331","6,170"
2020,6,40,"64,330","5,961","8,655","9,492","1,169","1,614","5,184","2,168","1,678",471,245,"5,618","3,714","1,115",195,"7,066","3,514","6,471"
2020,6,50,"56,345","5,468","7,134","8,035","1,074","2,480","4,347","3,027","1,702",823,360,"3,561","2,624","1,996",403,"5,178","2,573","5,560"
2020,6,60,"40,899","3,902","5,289","5,762",885,"1,819","2,870","2,123","1,358",923,420,"2,444","1,618","1,694",430,"3,550","1,752","4,060"
2020,6,70,"23,854","2,552","3,196","3,667",421,"1,083","1,957","1,181",952,567,234,"1,615",997,872,246,"1,756",756,"1,802"
2020,6,80,"11,203","1,137","1,494","1,558",208,597,916,585,410,308,130,637,507,561,132,822,345,856
2020,6,90,"1,946",211,211,256,49,99,150,74,71,96,31,125,77,93,17,155,60,171
2020,6,100,151,20,12,21,0,12,5,5,15,3,0,5,5,11,8,10,10,9
2020,7,총,"356,030","31,984","46,072","50,349","7,092","11,838","26,673","15,003","9,910","4,421","2,027","26,061","18,115","9,396","2,029","39,053","18,484","37,523"
2020,7,0,"32,239","2,106","4,171","4,265",771,509,"2,036",928,638,156,98,"2,718","1,613",394,87,"5,072","2,398","4,279"
2020,7,10,"37,727","3,659","5,560","5,411",679,984,"3,311","1,292",924,347,128,"3,283","2,461",572,101,"3,872","1,799","3,344"
2020,7,20,"40,384","3,767","4,897","5,667",740,"1,512","3,050","1,982","1,241",362,183,"2,638","2,109","1,138",215,"4,467","1,889","4,527"
2020,7,30,"46,092","3,178","5,407","6,130","1,071","1,120","2,799","1,629",902,348,206,"3,426","2,127",952,194,"7,012","3,345","6,246"
2020,7,40,"64,590","5,959","8,672","9,528","1,175","1,607","5,179","2,157","1,676",478,242,"5,604","3,801","1,100",196,"7,127","3,529","6,560"
2020,7,50,"56,516","5,469","7,133","8,031","1,090","2,482","4,371","3,029","1,699",823,356,"3,573","2,704","1,995",399,"5,170","2,587","5,605"
2020,7,60,"41,117","3,919","5,298","5,792",895,"1,828","2,881","2,135","1,367",924,420,"2,433","1,670","1,706",431,"3,566","1,759","4,093"
2020,7,70,"23,996","2,550","3,210","3,685",417,"1,091","1,979","1,191",961,572,231,"1,615","1,021",880,247,"1,764",763,"1,819"
2020,7,80,"11,263","1,148","1,501","1,562",207,592,912,581,412,309,131,642,523,557,134,839,345,868
2020,7,90,"1,955",209,212,256,47,101,150,74,75,99,32,124,81,91,17,154,60,173
2020,7,100,151,20,11,22,0,12,5,5,15,3,0,5,5,11,8,10,10,9
2020,8,총,"356,416","31,947","46,054","50,328","7,181","11,826","26,664","14,988","9,879","4,433","2,028","26,079","18,262","9,350","2,034","39,077","18,512","37,774"
2020,8,0,"32,108","2,082","4,139","4,230",783,506,"2,011",919,629,154,101,"2,722","1,601",384,86,"5,061","2,402","4,298"
2020,8,10,"37,745","3,648","5,550","5,418",682,983,"3,298","1,283",915,352,125,"3,271","2,474",569,99,"3,909","1,797","3,372"
2020,8,20,"40,448","3,756","4,911","5,638",752,"1,503","3,066","1,959","1,242",370,184,"2,649","2,136","1,134",218,"4,469","1,889","4,572"
2020,8,30,"45,932","3,162","5,380","6,088","1,084","1,110","2,778","1,630",896,347,209,"3,407","2,143",938,193,"6,999","3,316","6,252"
2020,8,40,"64,634","5,932","8,665","9,519","1,188","1,606","5,162","2,148","1,660",470,243,"5,607","3,843","1,086",192,"7,140","3,554","6,619"
2020,8,50,"56,597","5,483","7,118","8,070","1,097","2,474","4,394","3,020","1,705",827,353,"3,575","2,723","1,995",407,"5,131","2,599","5,626"
2020,8,60,"41,441","3,943","5,336","5,822",916,"1,849","2,894","2,170","1,371",932,418,"2,445","1,691","1,703",430,"3,603","1,771","4,147"
2020,8,70,"24,024","2,553","3,211","3,679",422,"1,090","1,989","1,196",952,572,232,"1,624","1,037",877,246,"1,755",762,"1,827"
2020,8,80,"11,362","1,158","1,512","1,580",211,593,920,581,419,305,132,652,525,558,137,846,351,882
2020,8,90,"1,975",210,221,262,46,100,147,77,75,101,31,123,84,95,18,154,61,170
2020,8,100,150,20,11,22,0,12,5,5,15,3,0,4,5,11,8,10,10,9
2020,9,총,"356,732","31,889","46,119","50,359","7,252","11,820","26,682","14,980","9,880","4,417","2,025","26,083","18,418","9,335","2,023","39,104","18,513","37,833"
2020,9,0,"31,970","2,056","4,124","4,215",782,504,"2,002",908,623,152,97,"2,698","1,620",386,86,"5,054","2,395","4,268"
2020,9,10,"37,698","3,654","5,534","5,431",689,974,"3,279","1,279",919,345,127,"3,270","2,466",564,99,"3,900","1,790","3,378"
2020,9,20,"40,476","3,720","4,941","5,624",762,"1,502","3,087","1,949","1,240",369,181,"2,665","2,170","1,126",219,"4,458","1,894","4,569"
2020,9,30,"45,769","3,155","5,350","6,057","1,101","1,109","2,764","1,623",884,341,204,"3,358","2,175",935,191,"6,980","3,301","6,241"
2020,9,40,"64,646","5,903","8,680","9,486","1,199","1,595","5,145","2,157","1,649",473,245,"5,628","3,845","1,076",185,"7,173","3,572","6,635"
2020,9,50,"56,739","5,491","7,131","8,103","1,099","2,469","4,427","3,009","1,710",818,357,"3,599","2,744","1,989",399,"5,133","2,605","5,656"
2020,9,60,"41,737","3,951","5,365","5,875",937,"1,867","2,919","2,190","1,376",932,421,"2,452","1,732","1,715",434,"3,626","1,769","4,176"
2020,9,70,"24,115","2,561","3,230","3,682",421,"1,095","1,986","1,193",963,579,227,"1,635","1,045",875,246,"1,767",761,"1,849"
2020,9,80,"11,423","1,164","1,526","1,600",215,592,923,589,424,305,134,650,527,560,137,847,353,877
2020,9,90,"2,009",214,227,264,47,101,146,78,77,100,32,124,89,98,19,156,63,174
2020,9,100,150,20,11,22,0,12,4,5,15,3,0,4,5,11,8,10,10,10
2020,10,총,"357,338","31,804","46,093","51,079","7,261","11,789","26,639","14,979","9,865","4,382","2,024","26,079","18,521","9,296","2,022","39,104","18,547","37,854"
2020,10,0,"31,806","2,029","4,089","4,234",783,493,"1,981",904,610,153,95,"2,659","1,629",379,87,"5,034","2,393","4,254"
2020,10,10,"37,673","3,644","5,528","5,484",685,968,"3,258","1,272",917,323,127,"3,263","2,458",561,100,"3,903","1,797","3,385"
2020,10,20,"40,514","3,705","4,944","5,706",761,"1,496","3,085","1,954","1,237",363,175,"2,677","2,183","1,113",217,"4,461","1,887","4,550"
2020,10,30,"45,640","3,135","5,313","6,156","1,095","1,088","2,754","1,617",866,348,203,"3,334","2,196",923,187,"6,930","3,298","6,197"
2020,10,40,"64,685","5,868","8,679","9,577","1,202","1,597","5,093","2,146","1,650",470,253,"5,619","3,837","1,068",185,"7,213","3,582","6,646"
2020,10,50,"57,009","5,501","7,104","8,301","1,100","2,458","4,494","3,002","1,713",804,354,"3,613","2,785","1,966",403,"5,137","2,609","5,665"
2020,10,60,"42,139","3,959","5,418","5,993",943,"1,887","2,923","2,200","1,390",930,419,"2,482","1,766","1,734",431,"3,648","1,791","4,225"
2020,10,70,"24,182","2,556","3,249","3,725",424,"1,089","1,981","1,196",956,578,233,"1,639","1,046",877,248,"1,763",758,"1,864"
2020,10,80,"11,506","1,171","1,527","1,614",220,597,923,604,433,306,132,664,527,564,137,844,358,885
2020,10,90,"2,026",215,230,266,48,104,144,79,78,103,33,124,88,100,19,159,64,172
2020,10,100,158,21,12,23,0,12,3,5,15,4,0,5,6,11,8,12,10,11
2020,11,총,"357,873","31,736","46,103","51,568","7,234","11,731","26,654","14,956","9,875","4,354","2,033","26,062","18,575","9,310","2,016","39,122","18,590","37,954"
2020,11,0,"31,679","2,002","4,064","4,259",780,473,"1,969",899,609,155,97,"2,646","1,619",368,86,"5,015","2,399","4,239"
2020,11,10,"37,663","3,634","5,527","5,501",670,968,"3,254","1,257",914,290,128,"3,256","2,465",565,99,"3,913","1,805","3,417"
2020,11,20,"40,612","3,695","4,948","5,786",766,"1,489","3,092","1,948","1,244",360,174,"2,681","2,205","1,117",218,"4,449","1,897","4,543"
2020,11,30,"45,483","3,100","5,286","6,221","1,090","1,074","2,733","1,600",868,346,203,"3,325","2,204",921,186,"6,886","3,282","6,158"
2020,11,40,"64,836","5,870","8,671","9,670","1,202","1,580","5,095","2,143","1,652",467,255,"5,604","3,819","1,073",182,"7,263","3,596","6,694"
2020,11,50,"57,175","5,499","7,097","8,390","1,095","2,445","4,518","2,993","1,718",808,355,"3,633","2,813","1,968",401,"5,148","2,618","5,676"
2020,11,60,"42,401","3,979","5,479","6,070",938,"1,898","2,917","2,225","1,388",930,424,"2,479","1,777","1,738",434,"3,669","1,798","4,258"
2020,11,70,"24,275","2,554","3,254","3,753",427,"1,090","1,998","1,191",956,582,231,"1,641","1,047",882,248,"1,760",765,"1,896"
2020,11,80,"11,547","1,167","1,533","1,626",219,596,929,617,435,307,133,669,534,564,136,843,353,886
2020,11,90,"2,042",214,232,269,47,106,146,78,75,105,33,123,87,103,18,164,67,175
2020,11,100,160,22,12,23,0,12,3,5,16,4,0,5,5,11,8,12,10,12
2020,12,총,"358,124","31,679","46,124","51,816","7,215","11,696","26,658","14,917","9,873","4,322","2,020","26,088","18,602","9,325","2,007","39,203","18,602","37,977"
