년도,월,나이,세종특별자치시 세종특별자치시,세종특별자치시  조치원읍,세종특별자치시  연기면,세종특별자치시  연동면,세종특별자치시  부강면,세종특별자치시  금남면,세종특별자치시  장군면,세종특별자치시  연서면,세종특별자치시  전의면,세종특별자치시  전동면,세종특별자치시  소정면,세종특별자치시  한솔동,세종특별자치시  새롬동,세종특별자치시  도담동,세종특별자치시  아름동,세종특별자치시  종촌동,세종특별자치시  고운동,세종특별자치시  소담동,세종특별자치시  보람동,세종특별자치시  대평동,세종특별자치시  다정동,세종특별자치시  해밀동,세종특별자치시  반곡동
2020,1,총,"170,729","22,296","1,447","1,628","3,440","4,587","3,504","4,041","3,072","2,037","1,336","9,547","26,143","15,551","11,690","14,478","16,271","14,890","9,498","5,273",,,
2020,1,0,"24,214","1,829",41,44,193,153,106,177,120,43,60,"1,430","4,632","2,263","2,001","2,586","3,153","2,821","1,707",855,,,
2020,1,10,"20,258","2,182",60,72,209,221,166,249,226,74,100,"1,726","3,161","2,235","2,173","2,033","2,236","1,462","1,173",500,,,
2020,1,20,"18,418","3,638",178,178,494,484,528,469,343,197,163,852,"2,738","1,707",904,"1,226","1,231","1,446",981,661,,,
2020,1,30,"29,982","2,965",197,162,431,509,498,454,309,179,120,"1,253","5,839","2,752","1,618","2,751","3,213","3,675","1,861","1,196",,,
2020,1,40,"33,502","3,739",221,213,547,634,569,584,470,241,224,"2,229","5,239","3,359","2,939","3,141","3,593","2,764","1,920",876,,,
2020,1,50,"22,062","3,522",315,317,655,929,692,785,617,455,272,"1,258","2,724","1,896","1,254","1,485","1,465","1,636","1,069",716,,,
2020,1,60,"13,626","2,512",257,353,474,910,533,695,502,470,208,523,"1,340",849,544,806,952,807,549,342,,,
2020,1,70,"6,151","1,314",122,181,280,513,259,403,299,247,122,213,393,362,198,358,348,238,196,105,,,
2020,1,80,"2,264",539,55,94,141,210,136,209,176,119,63,52,66,112,49,82,70,34,39,18,,,
2020,1,90,242,53,1,13,15,24,17,16,9,10,3,11,11,16,10,10,10,7,3,3,,,
2020,1,100,10,3,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,,,
2020,2,총,"171,403","22,305","1,439","1,644","3,419","4,594","3,519","4,039","3,058","2,024","1,321","9,560","26,363","15,572","11,767","14,526","16,349","15,075","9,579","5,250",,,
2020,2,0,"24,284","1,821",40,47,192,155,106,179,120,43,57,"1,429","4,657","2,266","2,033","2,577","3,156","2,836","1,721",849,,,
2020,2,10,"20,355","2,173",59,73,202,221,160,251,223,72,98,"1,714","3,235","2,227","2,182","2,027","2,252","1,486","1,198",502,,,
2020,2,20,"18,347","3,635",170,179,487,485,531,464,331,194,160,861,"2,707","1,688",902,"1,234","1,236","1,466",970,647,,,
2020,2,30,"29,923","2,961",200,166,430,517,501,444,310,177,114,"1,244","5,796","2,760","1,609","2,755","3,200","3,695","1,869","1,175",,,
2020,2,40,"33,778","3,728",217,212,541,618,574,592,464,240,224,"2,231","5,381","3,374","2,950","3,161","3,616","2,825","1,950",880,,,
2020,2,50,"22,191","3,541",313,319,658,929,697,775,615,447,270,"1,260","2,750","1,901","1,282","1,493","1,483","1,660","1,075",723,,,
2020,2,60,"13,798","2,531",263,357,474,914,533,704,508,470,207,540,"1,361",864,554,818,973,830,547,350,,,
2020,2,70,"6,184","1,310",120,183,280,520,261,401,301,252,123,217,395,362,196,367,353,236,205,102,,,
2020,2,80,"2,287",546,56,94,138,213,139,212,174,118,64,53,71,114,49,84,69,34,41,18,,,
2020,2,90,246,56,1,13,16,22,17,17,11,9,3,11,10,16,10,10,11,7,3,3,,,
2020,2,100,10,3,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,,,
2020,3,총,"171,951","22,298","1,460","1,643","3,390","4,591","3,522","4,040","3,068","2,011","1,326","9,589","26,437","15,644","11,779","14,557","16,597","15,137","9,592","5,270",,,
2020,3,0,"24,286","1,809",43,48,182,148,106,176,116,42,57,"1,428","4,659","2,260","2,024","2,573","3,188","2,859","1,712",856,,,
2020,3,10,"20,459","2,167",61,72,201,223,163,253,227,73,100,"1,714","3,264","2,239","2,176","2,036","2,293","1,489","1,205",503,,,
2020,3,20,"18,401","3,624",175,187,481,484,535,467,339,190,166,875,"2,706","1,699",902,"1,243","1,255","1,467",959,647,,,
2020,3,30,"29,894","2,936",203,161,427,517,491,446,314,178,114,"1,235","5,783","2,780","1,594","2,754","3,234","3,692","1,862","1,173",,,
2020,3,40,"33,901","3,732",219,206,532,621,586,588,461,237,219,"2,251","5,398","3,388","2,949","3,166","3,672","2,848","1,952",876,,,
2020,3,50,"22,328","3,558",315,319,656,921,690,775,612,432,267,"1,260","2,776","1,907","1,320","1,497","1,515","1,682","1,094",732,,,
2020,3,60,"13,894","2,541",266,354,478,921,530,697,509,477,213,539,"1,375",881,553,820,"1,004",826,556,354,,,
2020,3,70,"6,216","1,317",121,187,277,516,264,406,300,254,120,220,395,363,202,371,354,235,209,105,,,
2020,3,80,"2,312",553,56,95,139,218,140,215,178,117,66,56,73,110,49,86,70,32,39,20,,,
2020,3,90,250,58,1,13,16,22,17,17,11,9,3,11,8,17,10,11,12,7,4,3,,,
2020,3,100,10,3,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,,,
2020,4,총,"172,176","22,259","1,457","1,656","3,375","4,606","3,522","4,037","3,055","2,001","1,322","9,618","26,434","15,652","11,780","14,574","16,713","15,215","9,628","5,272",,,
2020,4,0,"24,291","1,785",41,48,180,149,104,180,115,40,58,"1,445","4,669","2,258","2,008","2,573","3,215","2,865","1,703",855,,,
2020,4,10,"20,538","2,166",59,71,201,230,156,252,229,71,98,"1,713","3,273","2,254","2,182","2,039","2,319","1,505","1,216",504,,,
2020,4,20,"18,359","3,603",176,192,472,487,532,463,336,188,166,877,"2,711","1,684",908,"1,243","1,253","1,463",964,641,,,
2020,4,30,"29,831","2,922",207,162,419,516,497,446,315,176,113,"1,229","5,735","2,776","1,598","2,744","3,249","3,699","1,860","1,168",,,
2020,4,40,"33,941","3,722",211,209,531,614,589,593,453,230,216,"2,256","5,418","3,385","2,940","3,177","3,688","2,877","1,952",880,,,
2020,4,50,"22,421","3,554",319,315,661,916,683,759,607,426,265,"1,270","2,787","1,922","1,329","1,514","1,541","1,701","1,117",735,,,
2020,4,60,"13,984","2,564",265,362,481,929,538,704,513,486,216,537,"1,369",881,553,818,"1,014",833,562,359,,,
2020,4,70,"6,226","1,323",121,186,270,525,266,404,299,255,120,224,391,367,204,368,352,234,212,105,,,
2020,4,80,"2,316",556,56,95,144,217,140,219,175,118,66,55,73,108,47,87,70,31,38,21,,,
2020,4,90,259,61,2,15,15,23,17,17,12,9,3,12,8,17,11,11,12,7,4,3,,,
2020,4,100,10,3,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,,,
2020,5,총,"172,269","22,266","1,456","1,647","3,389","4,597","3,553","4,039","3,045","2,003","1,320","9,604","26,416","15,628","11,789","14,585","16,806","15,251","9,597","5,278",,,
2020,5,0,"24,226","1,788",40,50,183,142,100,174,109,41,56,"1,435","4,659","2,246","1,989","2,557","3,227","2,871","1,701",858,,,
2020,5,10,"20,581","2,157",61,69,201,224,155,245,231,70,97,"1,720","3,289","2,255","2,191","2,052","2,331","1,514","1,218",501,,,
2020,5,20,"18,322","3,593",176,191,471,497,543,479,326,185,169,875,"2,676","1,675",907,"1,248","1,266","1,456",951,638,,,
2020,5,30,"29,740","2,916",207,157,429,519,504,445,321,178,112,"1,220","5,712","2,775","1,614","2,717","3,250","3,672","1,835","1,157",,,
2020,5,40,"33,977","3,727",206,207,526,605,591,589,446,229,215,"2,243","5,454","3,369","2,941","3,189","3,708","2,889","1,959",884,,,
2020,5,50,"22,525","3,568",320,313,665,913,697,754,612,426,263,"1,286","2,779","1,929","1,326","1,525","1,559","1,722","1,123",745,,,
2020,5,60,"14,032","2,560",266,365,481,927,538,711,515,488,216,539,"1,368",890,553,827,"1,019",843,562,364,,,
2020,5,70,"6,284","1,337",122,185,272,528,269,409,299,256,122,219,397,367,209,372,364,244,207,106,,,
2020,5,80,"2,313",552,56,95,145,219,140,217,173,119,66,55,73,106,48,86,72,33,37,21,,,
2020,5,90,259,65,2,14,15,23,16,16,12,9,3,12,9,16,11,12,10,7,4,3,,,
2020,5,100,10,3,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,,,
2020,6,총,"172,234","22,097","1,451","1,652","3,405","4,608","3,583","4,008","3,033","1,995","1,309","9,586","26,490","15,609","11,805","14,552","16,837","15,299","9,588","5,327",,,
2020,6,0,"24,163","1,752",41,49,182,142,98,163,107,40,57,"1,421","4,687","2,254","1,990","2,534","3,213","2,877","1,693",863,,,
2020,6,10,"20,599","2,139",59,67,199,219,163,243,231,70,95,"1,723","3,290","2,253","2,193","2,057","2,346","1,528","1,222",502,,,
2020,6,20,"18,280","3,551",185,191,479,504,546,480,328,182,167,865,"2,664","1,668",909,"1,243","1,261","1,453",952,652,,,
2020,6,30,"29,634","2,900",198,160,429,517,506,439,321,173,111,"1,224","5,683","2,756","1,622","2,696","3,252","3,667","1,815","1,165",,,
2020,6,40,"34,015","3,697",205,205,528,611,596,579,439,229,212,"2,234","5,502","3,362","2,932","3,194","3,720","2,911","1,961",898,,,
2020,6,50,"22,519","3,537",318,314,665,905,702,745,604,429,262,"1,287","2,785","1,939","1,335","1,528","1,565","1,722","1,129",748,,,
2020,6,60,"14,101","2,561",268,367,486,934,547,711,518,487,213,548,"1,375",894,548,824,"1,032",854,567,367,,,
2020,6,70,"6,331","1,339",120,189,274,535,269,414,299,257,121,220,416,364,215,376,363,246,209,105,,,
2020,6,80,"2,321",553,55,95,147,217,140,218,173,117,67,53,79,103,50,87,75,33,36,23,,,
