년도,월,나이,문경시,문경읍,문경읍갈평출장소,가은읍,가은읍북부출장소,영순면,산양면,호계면,산북면,동로면,마성면,농암면,점촌1동,점촌2동,점촌3동,점촌4동,점촌5동
2020,1,총,"36,687","3,011",561,"1,635",409,"1,196","1,559","1,298","1,405",938,"1,909","1,393","2,970","3,716","4,692","1,589","8,406"
2020,1,0,"1,984",123,20,48,11,28,53,20,20,34,45,37,153,216,324,56,796
2020,1,10,"2,701",155,29,66,13,112,51,100,55,33,69,46,195,292,394,59,"1,032"
2020,1,20,"2,812",158,33,61,20,66,85,188,58,43,93,47,231,268,379,101,981
2020,1,30,"2,838",170,21,68,32,44,72,51,45,45,93,58,269,303,445,107,"1,015"
2020,1,40,"4,150",278,48,112,33,61,91,82,88,65,119,70,321,443,637,125,"1,577"
2020,1,50,"6,040",526,104,281,77,166,227,180,218,175,286,258,534,617,848,247,"1,296"
2020,1,60,"6,680",654,124,320,69,258,354,249,276,198,391,309,633,753,815,354,923
2020,1,70,"5,240",573,94,339,85,207,304,224,311,188,428,286,387,520,507,298,489
2020,1,80,"3,594",306,71,288,54,215,266,179,288,135,334,228,216,261,290,211,252
2020,1,90,603,61,17,49,14,38,53,24,42,22,48,49,28,37,48,29,44
2020,1,100,45,7,0,3,1,1,3,1,4,0,3,5,3,6,5,2,1
2020,2,총,"36,622","2,994",558,"1,631",408,"1,218","1,553","1,285","1,396",938,"1,901","1,398","2,997","3,692","4,672","1,587","8,394"
2020,2,0,"1,981",121,20,50,11,29,52,19,20,36,45,37,157,209,320,57,798
2020,2,10,"2,705",156,29,65,13,131,49,96,53,32,66,45,196,291,389,60,"1,034"
2020,2,20,"2,764",158,32,59,18,67,83,175,57,44,94,47,231,263,375,94,967
2020,2,30,"2,829",163,22,68,31,44,71,51,46,42,89,59,275,299,444,110,"1,015"
2020,2,40,"4,132",279,47,114,33,60,90,83,88,65,119,73,328,431,633,124,"1,565"
2020,2,50,"6,003",515,99,275,78,161,225,176,212,177,283,258,532,611,843,248,"1,310"
2020,2,60,"6,694",653,125,320,72,262,355,251,277,196,388,310,636,757,817,355,920
2020,2,70,"5,255",574,94,341,84,207,300,228,311,189,434,288,393,520,508,294,490
2020,2,80,"3,612",308,73,286,54,218,269,180,288,135,332,228,217,267,290,214,253
2020,2,90,603,60,17,50,13,38,56,25,41,22,48,48,29,38,48,29,41
2020,2,100,44,7,0,3,1,1,3,1,3,0,3,5,3,6,5,2,1
2020,3,총,"36,489","2,989",553,"1,635",402,"1,204","1,532","1,291","1,387",930,"1,887","1,399","2,986","3,681","4,659","1,585","8,369"
2020,3,0,"1,966",120,20,50,10,29,46,19,20,37,44,35,157,205,321,58,795
2020,3,10,"2,699",152,29,64,14,123,51,107,51,31,66,44,198,289,388,60,"1,032"
2020,3,20,"2,713",156,30,58,16,67,81,177,53,41,89,48,224,263,366,95,949
2020,3,30,"2,794",161,22,71,27,43,65,47,47,42,87,56,277,297,438,106,"1,008"
2020,3,40,"4,118",278,47,115,34,60,89,83,90,62,119,74,320,431,634,118,"1,564"
2020,3,50,"5,948",507,95,267,77,156,218,176,208,176,281,255,536,594,838,254,"1,310"
2020,3,60,"6,693",658,126,326,72,264,351,249,274,195,386,315,623,762,817,352,923
2020,3,70,"5,268",575,93,342,83,203,302,226,314,188,432,284,401,526,516,293,490
2020,3,80,"3,631",314,74,288,55,217,268,179,284,136,334,235,217,270,289,216,255
2020,3,90,616,61,17,51,13,41,59,27,43,22,46,48,30,38,47,31,42
2020,3,100,43,7,0,3,1,1,2,1,3,0,3,5,3,6,5,2,1
2020,4,총,"36,393","2,993",550,"1,632",404,"1,192","1,534","1,286","1,383",934,"1,881","1,399","2,990","3,649","4,619","1,584","8,363"
2020,4,0,"1,956",121,20,49,10,29,45,19,21,37,45,33,161,200,316,60,790
2020,4,10,"2,696",152,29,65,14,117,52,110,50,31,64,45,201,287,381,61,"1,037"
2020,4,20,"2,676",153,28,57,17,65,82,176,51,44,89,49,220,252,359,93,941
2020,4,30,"2,767",160,22,70,27,42,66,46,46,41,89,54,281,293,426,105,999
2020,4,40,"4,111",279,47,114,35,60,85,79,88,63,114,73,323,423,633,119,"1,576"
2020,4,50,"5,891",502,96,262,75,155,219,169,204,174,277,255,530,589,830,251,"1,303"
2020,4,60,"6,725",661,125,328,74,263,350,253,282,198,387,321,620,761,821,352,929
2020,4,70,"5,258",577,94,340,83,202,303,224,308,188,433,277,406,527,514,292,490
2020,4,80,"3,650",321,73,290,56,215,271,182,286,134,334,238,218,274,288,215,255
2020,4,90,620,60,16,54,12,43,59,27,44,24,46,49,27,37,46,34,42
2020,4,100,43,7,0,3,1,1,2,1,3,0,3,5,3,6,5,2,1
2020,5,총,"36,355","2,998",549,"1,638",404,"1,196","1,525","1,278","1,384",932,"1,880","1,393","2,980","3,662","4,603","1,598","8,335"
2020,5,0,"1,950",120,21,51,9,29,44,19,21,37,44,33,159,200,313,68,782
2020,5,10,"2,675",158,29,61,15,117,53,104,50,31,64,44,197,282,378,60,"1,032"
2020,5,20,"2,654",147,27,61,17,67,80,179,50,43,90,49,209,252,351,97,935
2020,5,30,"2,753",163,22,69,28,41,66,45,46,41,87,55,279,300,417,107,987
2020,5,40,"4,100",276,45,113,34,64,85,78,91,61,110,71,324,426,632,119,"1,571"
2020,5,50,"5,883",504,95,261,75,152,215,166,198,175,280,253,530,590,829,249,"1,311"
2020,5,60,"6,737",657,128,332,74,264,348,253,288,201,382,321,624,763,820,355,927
2020,5,70,"5,283",583,94,341,84,198,302,225,309,185,434,276,409,531,521,293,498
2020,5,80,"3,656",325,72,292,54,219,271,180,282,135,339,240,219,276,293,213,246
2020,5,90,622,58,16,54,13,44,59,28,46,23,47,47,27,36,44,35,45
2020,5,100,42,7,0,3,1,1,2,1,3,0,3,4,3,6,5,2,1
2020,6,총,"36,582","3,008",553,"1,648",404,"1,198","1,543","1,273","1,399",954,"1,896","1,409","2,998","3,685","4,634","1,595","8,385"
2020,6,0,"1,959",120,21,51,9,30,42,18,23,38,46,34,162,207,315,64,779
2020,6,10,"2,687",162,29,64,15,117,56,99,52,35,66,44,193,282,380,59,"1,034"
2020,6,20,"2,690",145,28,59,16,63,85,179,53,44,94,52,211,258,350,99,954
2020,6,30,"2,781",163,23,74,28,42,67,45,46,41,89,57,288,298,425,109,986
2020,6,40,"4,134",279,45,113,34,66,92,78,90,65,111,71,328,431,640,119,"1,572"
2020,6,50,"5,913",509,98,266,75,148,216,164,205,176,281,261,524,584,831,248,"1,327"
2020,6,60,"6,796",657,125,330,73,269,352,258,293,206,381,324,634,769,829,352,944
2020,6,70,"5,294",581,96,340,85,198,303,223,308,190,437,276,408,532,526,292,499
2020,6,80,"3,660",326,72,294,55,220,267,180,280,135,340,237,221,282,291,216,244
2020,6,90,626,59,16,54,13,44,61,28,46,24,48,49,26,36,42,35,45
2020,6,100,42,7,0,3,1,1,2,1,3,0,3,4,3,6,5,2,1
2020,7,총,"36,433","3,011",555,"1,641",404,"1,191","1,535","1,259","1,386",950,"1,891","1,403","3,002","3,674","4,610","1,583","8,338"
2020,7,0,"1,960",120,21,52,9,29,42,15,23,39,47,34,162,208,315,65,779
2020,7,10,"2,641",159,29,64,13,110,57,90,50,35,61,44,191,281,376,56,"1,025"
2020,7,20,"2,673",150,28,57,17,65,79,179,51,43,99,48,217,257,337,97,949
2020,7,30,"2,762",165,23,72,28,41,67,46,42,41,91,57,289,294,422,105,979
2020,7,40,"4,105",274,44,112,35,67,94,77,87,63,105,70,328,428,638,121,"1,562"
2020,7,50,"5,870",507,98,266,75,146,208,163,205,175,275,257,524,583,831,241,"1,316"
2020,7,60,"6,791",658,127,328,73,270,356,257,292,206,386,323,634,767,825,348,941
2020,7,70,"5,298",580,97,340,86,198,303,223,306,191,435,281,411,528,525,296,498
2020,7,80,"3,666",332,72,294,53,218,265,180,282,135,342,237,216,286,295,217,242
2020,7,90,626,59,16,53,14,46,62,28,46,22,47,48,27,36,41,35,46
2020,7,100,41,7,0,3,1,1,2,1,2,0,3,4,3,6,5,2,1
2020,8,총,"36,368","3,019",553,"1,639",401,"1,182","1,532","1,255","1,379",947,"1,881","1,396","3,007","3,663","4,580","1,584","8,350"
2020,8,0,"1,955",118,22,52,9,29,43,15,22,38,46,35,164,203,312,68,779
2020,8,10,"2,621",160,29,63,13,100,59,91,49,34,57,43,190,281,372,58,"1,022"
2020,8,20,"2,672",155,27,58,14,63,75,179,51,43,98,44,221,253,325,94,972
2020,8,30,"2,732",163,22,68,28,42,68,46,43,42,86,58,287,294,413,105,967
2020,8,40,"4,086",271,44,115,35,67,91,75,87,59,108,67,327,423,635,122,"1,560"
2020,8,50,"5,840",506,96,263,75,144,209,165,201,178,268,259,521,581,825,237,"1,312"
2020,8,60,"6,823",664,128,329,74,271,354,255,291,207,387,324,636,770,834,351,948
2020,8,70,"5,290",583,96,336,86,197,303,218,307,189,437,274,413,529,523,296,503
2020,8,80,"3,671",331,74,296,52,222,266,179,280,135,344,238,217,286,295,215,241
2020,8,90,638,61,15,56,14,46,62,31,46,22,47,50,28,37,42,36,45
2020,8,100,40,7,0,3,1,1,2,1,2,0,3,4,3,6,4,2,1
2020,9,총,"36,381","3,011",551,"1,641",398,"1,190","1,527","1,256","1,376",948,"1,872","1,404","3,010","3,679","4,581","1,590","8,347"
2020,9,0,"1,960",120,22,53,7,29,42,15,23,40,46,35,165,201,316,68,778
2020,9,10,"2,612",159,30,61,15,104,59,83,45,34,56,46,187,286,366,64,"1,017"
2020,9,20,"2,668",150,26,58,14,64,70,181,51,43,94,45,218,255,334,93,972
2020,9,30,"2,726",162,22,71,27,42,69,44,45,41,85,57,289,292,409,105,966
2020,9,40,"4,087",269,44,116,34,69,91,77,85,57,107,69,329,422,634,125,"1,559"
2020,9,50,"5,827",506,95,258,75,142,206,170,201,181,269,258,520,583,813,237,"1,313"
2020,9,60,"6,857",661,128,333,74,274,358,259,290,206,386,325,638,780,841,350,954
2020,9,70,"5,281",579,95,336,86,198,299,215,306,188,431,278,415,530,526,296,503
2020,9,80,"3,677",334,74,295,51,222,269,178,281,136,348,236,219,286,294,214,240
2020,9,90,646,64,15,57,14,45,62,33,47,22,47,51,27,38,44,36,44
2020,9,100,40,7,0,3,1,1,2,1,2,0,3,4,3,6,4,2,1
2020,10,총,"36,394","3,005",556,"1,639",397,"1,187","1,531","1,255","1,389",954,"1,873","1,412","3,004","3,667","4,585","1,585","8,355"
2020,10,0,"1,962",118,22,56,6,29,44,16,22,42,45,36,165,200,316,70,775
2020,10,10,"2,593",158,30,60,16,101,60,78,48,33,58,44,185,281,361,65,"1,015"
2020,10,20,"2,678",150,25,58,14,66,66,185,52,42,92,47,224,252,339,91,975
2020,10,30,"2,709",161,23,73,25,42,72,46,48,40,86,58,284,288,402,106,955
2020,10,40,"4,087",268,44,116,34,69,88,77,84,58,110,70,326,418,638,124,"1,563"
2020,10,50,"5,821",500,96,251,72,140,208,170,203,181,270,258,520,577,816,233,"1,326"
2020,10,60,"6,875",664,129,333,77,273,361,254,295,210,385,327,636,787,839,346,959
2020,10,70,"5,289",579,97,336,86,197,299,216,303,188,429,277,415,535,532,296,504
2020,10,80,"3,692",335,75,295,51,224,270,179,285,137,349,239,219,284,296,215,239
2020,10,90,647,65,15,58,15,45,61,33,47,23,46,51,27,39,42,37,43
2020,10,100,41,7,0,3,1,1,2,1,2,0,3,5,3,6,4,2,1
2020,11,총,"36,339","3,008",553,"1,645",398,"1,179","1,529","1,250","1,396",952,"1,866","1,416","2,975","3,661","4,573","1,581","8,357"
2020,11,0,"1,955",118,22,54,6,29,46,15,25,40,45,36,160,201,311,71,776
2020,11,10,"2,573",159,30,61,16,98,60,74,48,35,56,44,181,282,359,65,"1,005"
2020,11,20,"2,676",148,25,58,14,65,64,190,53,42,94,46,221,247,342,90,977
2020,11,30,"2,694",164,23,74,25,42,72,48,48,40,87,59,277,284,400,104,947
2020,11,40,"4,069",269,42,116,33,68,89,75,86,59,106,68,315,417,636,124,"1,566"
2020,11,50,"5,807",493,95,252,72,141,207,167,202,177,266,262,525,574,812,230,"1,332"
2020,11,60,"6,881",666,129,337,78,271,362,255,298,209,387,330,634,785,833,345,962
2020,11,70,"5,279",582,96,329,87,197,295,214,301,189,423,276,419,532,534,296,509
2020,11,80,"3,714",337,76,305,51,224,271,177,284,138,351,239,214,292,301,215,239
2020,11,90,648,65,15,55,15,43,61,34,48,23,48,51,26,41,41,39,43
2020,11,100,43,7,0,4,1,1,2,1,3,0,3,5,3,6,4,2,1
2020,12,총,"36,406","3,009",558,"1,655",401,"1,181","1,527","1,258","1,389",951,"1,873","1,416","2,969","3,668","4,566","1,582","8,403"
2020,12,0,"1,957",118,22,54,6,32,44,21,26,40,47,36,159,195,308,72,777
2020,12,10,"2,559",156,28,63,16,96,64,71,45,37,54,44,177,279,356,63,"1,010"
2020,12,20,"2,690",147,27,61,16,66,59,188,53,38,94,48,224,253,338,88,990
2020,12,30,"2,710",162,24,73,25,39,75,46,50,43,92,59,273,287,404,105,953
2020,12,40,"4,062",270,43,120,33,67,89,76,85,60,104,67,312,412,637,123,"1,564"
2020,12,50,"5,825",491,97,254,73,142,208,172,203,175,272,260,521,583,800,235,"1,339"
2020,12,60,"6,911",671,127,337,80,273,361,257,296,209,387,335,641,782,837,346,972
2020,12,70,"5,264",582,99,330,86,198,292,209,292,185,419,274,418,536,535,296,513
2020,12,80,"3,733",340,75,302,51,225,270,183,288,141,352,240,216,291,306,214,239
2020,12,90,652,65,16,57,14,42,63,34,48,23,49,48,25,44,41,38,45
2020,12,100,43,7,0,4,1,1,2,1,3,0,3,5,3,6,4,2,1
2021,1,총,"36,149","2,984",548,"1,643",401,"1,164","1,514","1,233","1,388",942,"1,873","1,406","2,963","3,643","4,519","1,569","8,359"
2021,1,0,"1,939",109,21,57,6,32,43,21,25,40,48,37,160,198,301,71,770
2021,1,10,"2,519",155,29,57,16,90,63,71,46,35,52,43,173,279,349,63,998
2021,1,20,"2,646",144,27,60,16,62,53,177,54,37,95,47,223,249,332,82,988
2021,1,30,"2,661",160,22,71,25,38,76,41,50,40,91,57,272,283,387,108,940
2021,1,40,"4,010",264,42,118,32,67,86,76,81,60,102,67,313,403,628,120,"1,551"
2021,1,50,"5,768",487,96,246,74,141,204,168,201,174,268,252,521,575,793,227,"1,341"
2021,1,60,"6,909",668,126,335,79,269,362,255,300,208,393,337,641,777,843,346,970
2021,1,70,"5,249",580,94,333,83,200,290,208,287,180,420,271,415,540,534,296,518
2021,1,80,"3,748",345,75,303,55,222,271,181,292,145,352,242,217,290,306,216,236
2021,1,90,657,65,16,59,14,43,63,35,49,23,49,48,24,43,42,38,46
2021,1,100,43,7,0,4,1,0,3,0,3,0,3,5,4,6,4,2,1
2021,2,총,"36,221","2,985",546,"1,631",404,"1,167","1,522","1,234","1,382",950,"1,885","1,409","2,964","3,654","4,542","1,568","8,378"
2021,2,0,"1,916",107,21,54,6,31,42,23,22,39,49,37,161,199,293,70,762
2021,2,10,"2,518",154,28,57,16,86,65,68,45,37,54,41,174,274,365,64,990
2021,2,20,"2,651",145,28,59,17,59,57,173,56,36,96,50,219,248,332,81,995
2021,2,30,"2,664",161,22,69,26,38,76,45,47,42,93,58,271,289,384,107,936
2021,2,40,"4,021",266,42,114,32,69,87,80,82,64,105,67,314,399,632,121,"1,547"
2021,2,50,"5,763",482,93,243,75,140,204,166,202,173,271,248,519,586,789,223,"1,349"
2021,2,60,"6,972",669,125,339,80,277,363,252,301,212,393,342,647,778,853,349,992
2021,2,70,"5,225",579,93,331,82,198,289,210,285,180,414,271,410,537,536,293,517
2021,2,80,"3,790",351,78,302,56,226,273,182,292,144,357,241,222,294,310,220,242
2021,2,90,656,64,16,59,13,43,63,35,47,23,50,49,23,43,44,37,47
2021,2,100,45,7,0,4,1,0,3,0,3,0,3,5,4,7,4,3,1
2021,3,총,"36,630","3,039",546,"1,661",411,"1,193","1,548","1,279","1,402",954,"1,900","1,433","3,013","3,689","4,557","1,584","8,421"
2021,3,0,"1,922",108,19,56,7,30,46,21,21,41,52,37,169,206,285,74,750
2021,3,10,"2,586",174,28,60,16,103,67,82,51,35,55,42,175,275,368,65,990
2021,3,20,"2,752",151,26,64,18,64,61,201,55,39,93,55,223,258,339,84,"1,021"
2021,3,30,"2,688",160,19,75,27,40,80,43,45,41,97,57,274,297,385,108,940
2021,3,40,"4,069",275,42,114,33,70,86,84,82,65,104,72,328,404,633,122,"1,555"
2021,3,50,"5,798",491,95,249,77,138,207,163,205,175,277,251,520,583,794,220,"1,353"
2021,3,60,"7,063",675,129,344,81,282,366,256,309,212,395,352,657,792,854,361,998
2021,3,70,"5,222",580,94,331,80,196,291,211,289,177,410,270,411,530,543,291,518
2021,3,80,"3,821",354,78,304,57,226,276,182,294,146,364,241,227,294,311,220,247
2021,3,90,663,64,16,60,14,44,65,36,48,23,48,51,25,43,41,37,48
2021,3,100,46,7,0,4,1,0,3,0,3,0,5,5,4,7,4,2,1
2021,4,총,"36,544","3,028",547,"1,672",408,"1,196","1,543","1,267","1,403",958,"1,897","1,432","3,006","3,689","4,540","1,571","8,387"
2021,4,0,"1,918",106,19,56,6,30,45,21,21,42,54,37,172,210,288,72,739
2021,4,10,"2,576",174,27,60,16,104,67,77,50,36,55,42,178,276,366,64,984
2021,4,20,"2,735",151,26,64,18,61,62,200,56,37,94,53,221,258,337,81,"1,016"
2021,4,30,"2,676",159,20,75,28,38,77,44,44,43,90,57,274,299,387,109,932
