년도,월,나이,경상북도 구미시,경상북도 구미시 선산읍,경상북도 구미시 고아읍,경상북도 구미시 무을면,경상북도 구미시 옥성면,경상북도 구미시 도개면,경상북도 구미시 해평면,경상북도 구미시 산동면,경상북도 구미시 장천면,경상북도 구미시 송정동,경상북도 구미시 원평1동,경상북도 구미시 원평2동,경상북도 구미시 도량동,경상북도 구미시 지산동,경상북도 구미시 선주원남동,경상북도 구미시 형곡1동,경상북도 구미시 형곡2동,경상북도 구미시 신평1동,경상북도 구미시 신평2동,경상북도 구미시 비산동,경상북도 구미시 공단1동,경상북도 구미시 공단2동,경상북도 구미시 광평동,경상북도 구미시 상모사곡동,경상북도 구미시 임오동,경상북도 구미시 인동동,경상북도 구미시 진미동,경상북도 구미시 양포동,경상북도 구미시 산동읍,경상북도 구미시 공단동,경상북도 구미시 원평동
2020,1,총,"204,565","7,738","18,285",964,866,"1,133","2,041","12,154","1,594","8,289","1,768","1,652","15,680","1,110","23,659","7,765","8,891","1,510","1,536","2,927","3,260","2,037","2,126","14,095","9,507","24,071","7,640","22,267",,,
2020,1,0,"20,950",483,"1,638",22,10,23,31,"2,646",28,452,38,48,"1,216",39,"2,515",565,465,84,126,322,453,326,176,"1,397","1,177","2,515",524,"3,631",,,
2020,1,10,"22,301",600,"1,928",32,40,61,82,927,97,674,66,77,"1,873",67,"3,114",860,"1,005",100,114,250,339,101,181,"1,804","1,256","2,956",582,"3,115",,,
2020,1,20,"26,387",678,"2,127",47,35,66,133,"1,512",134,"1,194",240,124,"1,926",107,"2,699",946,"1,281",243,208,487,423,300,298,"1,867","1,158","3,425","2,217","2,512",,,
2020,1,30,"31,929",673,"2,261",39,29,39,83,"3,592",87,"1,012",264,107,"1,874",71,"3,319",897,860,181,234,558,627,504,312,"1,957","1,575","4,457","1,705","4,612",,,
2020,1,40,"36,542","1,000","3,166",58,51,86,165,"1,699",181,"1,311",300,172,"2,870",134,"4,720","1,466","1,717",197,194,486,568,273,356,"3,027","2,066","4,579","1,143","4,557",,,
2020,1,50,"33,643","1,539","3,755",169,150,170,346,888,299,"1,736",342,355,"3,214",240,"4,115","1,629","2,092",292,319,513,527,313,413,"2,473","1,409","3,338",802,"2,205",,,
2020,1,60,"17,693","1,205","1,699",221,195,252,432,443,291,"1,230",283,381,"1,652",242,"1,962",856,944,225,165,191,219,167,226,882,495,"1,558",402,875,,,
2020,1,70,"8,792",793,936,170,158,221,409,227,249,457,145,256,656,126,751,336,344,136,106,74,68,37,113,421,229,756,152,466,,,
2020,1,80,"5,385",645,647,175,171,186,304,194,203,190,64,117,346,72,393,179,159,43,59,41,33,10,43,223,121,422,91,254,,,
