년도,월,나이,경상남도 통영시,경상남도 통영시 산양읍,경상남도 통영시 용남면,경상남도 통영시 도산면,경상남도 통영시 광도면,경상남도 통영시 욕지면,경상남도 통영시 한산면,경상남도 통영시 사량면,경상남도 통영시 도천동,경상남도 통영시 명정동,경상남도 통영시 중앙동,경상남도 통영시 정량동,경상남도 통영시 북신동,경상남도 통영시 미수동,경상남도 통영시 봉평동,경상남도 통영시 무전동
2020,1,총,"65,192","2,295","6,505","1,459","15,384",926,"1,036",764,"4,655","1,582","2,143","4,550","5,599","6,000","5,216","7,078"
2020,1,0,"5,320",76,717,37,"2,028",28,19,10,243,65,84,279,374,506,295,559
2020,1,10,"6,269",106,699,60,"1,895",34,30,22,445,105,124,329,466,701,475,778
2020,1,20,"5,422",141,560,84,"1,265",57,41,25,420,97,156,355,476,527,437,781
2020,1,30,"7,409",146,849,72,"2,641",42,41,31,375,97,131,434,574,678,452,846
2020,1,40,"9,926",203,"1,046",102,"2,970",97,68,52,600,154,219,563,792,"1,001",729,"1,330"
2020,1,50,"11,338",418,"1,032",235,"2,146",180,132,141,906,304,430,941,"1,071","1,076","1,020","1,306"
2020,1,60,"9,836",467,741,372,"1,343",221,216,159,816,330,489,909,"1,076",864,915,918
2020,1,70,"6,030",400,523,275,676,147,269,169,569,292,339,499,518,419,573,362
2020,1,80,"3,152",288,285,190,361,102,199,137,240,117,157,210,212,204,278,172
2020,1,90,473,48,53,32,59,18,20,16,39,20,13,28,38,24,39,26
2020,1,100,17,2,0,0,0,0,1,2,2,1,1,3,2,0,3,0
2020,2,총,"65,005","2,287","6,483","1,449","15,356",933,"1,034",764,"4,636","1,586","2,123","4,534","5,573","5,974","5,211","7,062"
2020,2,0,"5,264",73,711,36,"2,010",29,21,9,236,66,81,275,367,498,293,559
2020,2,10,"6,246",107,695,58,"1,882",37,30,21,445,107,123,324,465,706,469,777
2020,2,20,"5,324",135,550,76,"1,261",55,40,23,409,95,151,346,462,516,433,772
2020,2,30,"7,307",147,841,73,"2,616",43,40,29,363,97,128,424,571,661,458,816
2020,2,40,"9,959",202,"1,045",101,"2,982",99,70,52,606,157,221,562,784,"1,005",720,"1,353"
2020,2,50,"11,301",413,"1,033",236,"2,150",176,128,144,899,305,421,946,"1,066","1,068","1,018","1,298"
2020,2,60,"9,899",474,749,372,"1,352",226,217,160,821,328,483,911,"1,079",874,925,928
2020,2,70,"6,024",398,519,276,683,147,266,165,570,292,343,500,522,411,569,363
2020,2,80,"3,179",286,286,191,359,104,199,143,244,118,157,214,215,210,282,171
