년도,월,나이,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
2020,1,총,"25,862,863","4,745,088","1,674,202","1,204,387","1,481,749","720,931","736,259","589,233","170,729","6,665,310","774,866","810,129","1,081,552","903,385","935,962","1,340,346","1,691,504","337,231"
2020,1,0,"2,128,540","339,150","124,296","96,147","123,695","64,677","62,226","53,431","24,214","604,946","55,888","65,809","92,704","69,811","70,759","102,701","146,194","31,892"
2020,1,10,"2,559,161","419,617","146,268","123,601","145,302","85,034","79,118","61,350","20,258","696,108","74,506","80,132","107,651","94,138","90,410","123,702","174,439","37,527"
2020,1,20,"3,577,821","713,008","228,155","173,663","212,668","108,596","111,910","83,217","18,418","931,584","101,150","110,927","134,646","114,897","112,943","164,749","213,831","43,459"
2020,1,30,"3,620,786","753,695","221,449","157,557","216,207","97,503","103,379","83,874","29,982","986,198","88,879","105,134","149,019","101,416","102,155","162,265","219,187","42,887"
2020,1,40,"4,263,630","774,242","260,408","193,857","250,389","121,400","121,041","96,761","33,502","1,165,205","117,686","126,507","175,334","141,872","142,184","204,347","280,337","58,558"
2020,1,50,"4,367,950","754,650","281,696","209,886","258,261","115,774","121,251","107,834","22,062","1,116,749","138,299","140,777","179,360","156,378","169,291","239,799","298,103","57,780"
2020,1,60,"3,102,402","565,091","241,982","147,776","169,693","73,505","82,394","68,504","13,626","700,122","111,518","104,145","130,566","120,213","129,551","191,877","214,869","36,970"
2020,1,70,"1,613,721","313,217","128,051","74,170","77,745","40,150","39,775","26,868","6,151","334,417","60,610","53,219","74,953","72,087","82,864","104,680","104,657","20,107"
2020,1,80,"570,616","100,290","38,366","25,644","25,007","13,070","13,834","6,884","2,264","117,354","23,692","21,406","34,011","29,557","32,712","42,408","36,646","7,471"
2020,1,90,"53,338","10,504","3,139","1,928","2,542","1,172","1,250",480,242,"11,577","2,386","1,922","3,108","2,851","2,976","3,620","3,095",546
2020,1,100,"4,898","1,624",392,158,240,50,81,30,10,"1,050",252,151,200,165,117,198,146,34
2020,2,총,"25,860,491","4,745,133","1,673,266","1,202,364","1,481,133","720,686","735,791","588,626","171,403","6,672,706","774,358","809,805","1,081,153","902,365","934,900","1,338,907","1,690,600","337,295"
2020,2,0,"2,121,276","338,085","123,987","95,689","123,156","64,441","61,932","53,190","24,284","603,777","55,664","65,526","92,163","69,401","70,370","102,185","145,523","31,903"
2020,2,10,"2,548,669","417,723","145,587","122,869","144,682","84,584","78,689","61,034","20,355","694,030","74,087","79,845","107,267","93,659","89,867","123,159","173,808","37,424"
2020,2,20,"3,566,210","711,372","227,372","172,608","211,891","108,342","111,597","82,723","18,347","930,000","100,658","110,377","134,033","114,347","112,492","163,777","212,885","43,389"
2020,2,30,"3,613,439","753,110","220,696","156,980","215,666","97,291","103,296","83,639","29,923","985,563","88,713","104,946","148,441","100,972","101,654","161,599","218,253","42,697"
2020,2,40,"4,267,738","775,014","260,736","193,446","250,529","121,575","120,944","96,746","33,778","1,167,869","117,543","126,554","175,745","141,899","142,204","204,213","280,402","58,541"
2020,2,50,"4,368,908","754,816","281,287","209,933","258,011","115,911","121,171","107,786","22,191","1,118,496","138,104","140,698","179,212","156,239","169,281","239,749","298,134","57,889"
2020,2,60,"3,121,885","567,502","242,854","148,428","171,118","73,842","82,946","69,028","13,798","706,269","112,474","104,938","131,499","120,763","130,096","192,745","216,382","37,203"
2020,2,70,"1,617,877","314,041","128,371","74,464","78,036","40,255","39,928","26,988","6,184","335,460","60,545","53,233","75,193","72,364","82,793","104,923","104,964","20,135"
2020,2,80,"575,717","101,239","38,821","25,843","25,252","13,188","13,951","6,977","2,287","118,498","23,927","21,590","34,252","29,695","33,003","42,709","36,955","7,530"
2020,2,90,"53,803","10,586","3,158","1,944","2,548","1,206","1,257",484,246,"11,672","2,388","1,945","3,147","2,861","3,021","3,647","3,143",550
2020,2,100,"4,969","1,645",397,160,244,51,80,31,10,"1,072",255,153,201,165,119,201,151,34
2020,3,총,"25,858,743","4,742,217","1,672,252","1,202,273","1,479,839","720,460","735,179","588,127","171,951","6,684,759","773,983","809,369","1,080,705","901,252","933,896","1,336,289","1,689,137","337,055"
2020,3,0,"2,113,237","336,469","123,551","95,296","122,481","64,161","61,669","52,987","24,286","602,356","55,523","65,263","91,813","68,995","70,031","101,707","144,866","31,783"
2020,3,10,"2,538,510","415,728","144,939","122,210","143,995","84,260","78,321","60,699","20,459","692,468","73,634","79,495","106,905","93,186","89,391","122,401","173,123","37,296"
2020,3,20,"3,573,013","713,226","227,531","173,167","211,904","108,487","111,676","82,604","18,401","935,532","100,504","110,343","134,042","114,357","112,355","163,001","212,541","43,342"
2020,3,30,"3,604,008","751,137","219,981","156,595","214,926","96,986","103,050","83,321","29,894","985,199","88,434","104,568","147,824","100,439","101,265","160,653","217,165","42,571"
2020,3,40,"4,256,517","772,140","259,940","192,730","249,847","121,414","120,473","96,603","33,901","1,166,402","117,128","126,152","175,424","141,379","141,576","203,326","279,663","58,419"
2020,3,50,"4,367,750","754,079","280,755","210,058","257,735","115,943","120,926","107,694","22,328","1,120,166","137,929","140,625","178,984","156,052","169,211","239,321","298,005","57,939"
2020,3,60,"3,141,575","569,745","243,739","149,247","172,319","74,336","83,465","69,465","13,894","713,028","113,466","105,743","132,385","121,274","130,720","193,638","217,712","37,399"
2020,3,70,"1,624,362","315,112","129,019","74,791","78,381","40,300","40,192","27,172","6,216","337,194","60,595","53,330","75,519","72,676","82,837","105,389","105,500","20,139"
2020,3,80,"580,471","102,246","39,216","26,053","25,441","13,315","14,046","7,063","2,312","119,555","24,097","21,724","34,420","29,843","33,335","42,963","37,254","7,588"
2020,3,90,"54,276","10,672","3,179","1,962","2,565","1,206","1,281",488,250,"11,770","2,419","1,974","3,184","2,884","3,057","3,687","3,155",543
2020,3,100,"5,024","1,663",402,164,245,52,80,31,10,"1,089",254,152,205,167,118,203,153,36
2020,4,총,"25,857,509","4,737,843","1,671,199","1,200,899","1,478,916","720,536","734,902","587,902","172,176","6,696,531","773,468","809,005","1,080,256","900,628","932,970","1,334,981","1,688,178","337,119"
2020,4,0,"2,104,945","334,693","123,072","94,844","121,907","63,870","61,364","52,778","24,291","600,759","55,320","65,034","91,460","68,693","69,691","101,297","144,164","31,708"
2020,4,10,"2,530,515","413,804","144,381","121,704","143,618","84,007","78,043","60,493","20,538","691,364","73,290","79,157","106,574","92,828","89,026","121,827","172,578","37,283"
2020,4,20,"3,574,813","712,883","227,296","172,940","211,612","108,720","111,701","82,510","18,359","939,653","100,309","110,190","133,830","114,373","112,233","162,635","212,272","43,297"
2020,4,30,"3,599,425","750,315","219,550","156,276","214,442","96,789","102,958","83,171","29,831","986,120","88,312","104,389","147,388","100,093","100,833","159,943","216,549","42,466"
2020,4,40,"4,249,435","769,983","259,516","192,197","249,401","121,319","120,240","96,509","33,941","1,166,235","116,680","125,793","175,268","140,939","141,216","202,841","279,024","58,333"
2020,4,50,"4,368,381","753,529","280,356","209,826","257,622","116,096","120,866","107,601","22,421","1,122,484","137,776","140,703","178,970","156,080","169,080","239,068","297,854","58,049"
2020,4,60,"3,156,334","571,487","244,338","149,778","173,159","74,659","83,844","69,833","13,984","717,779","114,230","106,334","133,052","121,621","131,307","194,473","218,853","37,603"
2020,4,70,"1,629,738","315,825","129,583","75,012","78,726","40,386","40,393","27,354","6,226","338,743","60,601","53,434","75,798","72,933","82,819","105,727","106,000","20,178"
2020,4,80,"584,276","102,912","39,523","26,189","25,606","13,425","14,118","7,124","2,316","120,460","24,252","21,835","34,507","29,991","33,568","43,262","37,566","7,622"
2020,4,90,"54,585","10,734","3,178","1,970","2,577","1,211","1,296",498,259,"11,835","2,444","1,981","3,204","2,908","3,079","3,703","3,164",544
2020,4,100,"5,062","1,678",406,163,246,54,79,31,10,"1,099",254,155,205,169,118,205,154,36
2020,5,총,"25,856,030","4,735,431","1,670,175","1,199,504","1,478,307","720,300","734,940","587,434","172,269","6,703,603","773,923","809,114","1,080,425","899,894","932,496","1,333,815","1,687,289","337,111"
2020,5,0,"2,097,497","333,248","122,725","94,357","121,360","63,618","61,153","52,590","24,226","599,029","55,201","64,830","91,181","68,392","69,467","100,944","143,574","31,602"
2020,5,10,"2,522,074","411,862","143,643","120,961","143,138","83,574","77,688","60,184","20,581","690,849","73,014","78,834","106,302","92,432","88,705","121,160","171,960","37,187"
2020,5,20,"3,575,158","713,036","227,181","172,821","211,467","108,939","111,810","82,369","18,322","941,023","100,387","110,253","133,793","114,250","111,968","162,195","212,058","43,286"
2020,5,30,"3,594,708","749,894","218,979","155,992","214,096","96,596","102,975","82,943","29,740","985,963","88,301","104,224","146,984","99,777","100,471","159,494","215,883","42,396"
2020,5,40,"4,241,615","767,985","259,122","191,555","248,912","121,039","120,001","96,365","33,977","1,165,260","116,388","125,534","175,047","140,513","140,930","202,378","278,340","58,269"
2020,5,50,"4,372,705","753,933","280,256","209,832","257,668","116,270","121,014","107,576","22,525","1,124,992","137,993","141,029","179,246","156,109","169,087","239,096","297,968","58,111"
2020,5,60,"3,168,203","572,501","244,676","150,182","173,935","74,935","84,172","70,175","14,032","721,909","114,835","106,787","133,578","121,940","131,832","195,058","219,855","37,801"
2020,5,70,"1,636,759","316,917","130,137","75,346","79,206","40,545","40,588","27,536","6,284","340,450","60,652","53,560","76,267","73,281","83,091","106,122","106,545","20,232"
2020,5,80,"587,425","103,579","39,851","26,312","25,702","13,514","14,160","7,164","2,313","121,136","24,439","21,920","34,588","30,118","33,734","43,462","37,787","7,646"
2020,5,90,"54,782","10,776","3,198","1,982","2,580","1,217","1,297",501,259,"11,883","2,456","1,985","3,233","2,910","3,095","3,701","3,163",546
2020,5,100,"5,104","1,700",407,164,243,53,82,31,10,"1,109",257,158,206,172,116,205,156,35
2020,6,총,"25,853,937","4,732,275","1,668,618","1,198,815","1,476,813","720,060","734,441","586,939","172,234","6,711,047","774,325","809,657","1,081,224","899,137","931,898","1,332,780","1,686,331","337,343"
2020,6,0,"2,090,575","331,870","122,295","94,046","120,847","63,438","60,891","52,351","24,163","597,691","55,087","64,673","90,891","68,076","69,174","100,566","142,949","31,567"
2020,6,10,"2,516,242","410,236","143,169","120,530","142,763","83,285","77,383","59,968","20,599","690,470","72,857","78,661","106,178","92,137","88,373","120,877","171,651","37,105"
2020,6,20,"3,574,164","713,039","226,699","172,679","210,883","108,943","111,813","82,286","18,280","942,471","100,426","110,346","133,872","114,090","111,830","161,678","211,521","43,308"
2020,6,30,"3,588,576","749,157","218,387","155,746","213,371","96,490","102,796","82,695","29,634","985,236","88,149","104,196","146,796","99,483","100,061","158,961","215,095","42,323"
2020,6,40,"4,239,154","766,587","259,081","191,259","248,676","120,963","119,772","96,202","34,015","1,166,172","116,278","125,516","175,281","140,191","140,651","202,091","278,217","58,202"
2020,6,50,"4,365,248","752,182","279,155","209,487","256,964","115,915","120,905","107,416","22,519","1,124,534","137,873","140,932","179,227","155,636","168,487","238,496","297,444","58,076"
2020,6,60,"3,188,946","575,000","245,721","150,908","175,164","75,535","84,574","70,649","14,101","728,210","115,695","107,578","134,421","122,735","132,975","196,269","221,240","38,171"
2020,6,70,"1,642,296","317,745","130,561","75,629","79,590","40,662","40,742","27,655","6,331","341,782","60,683","53,670","76,524","73,606","83,330","106,451","107,021","20,314"
2020,6,80,"588,678","103,967","39,938","26,384","25,715","13,562","14,169","7,190","2,321","121,415","24,548","21,942","34,596","30,091","33,793","43,477","37,881","7,689"
2020,6,90,"54,925","10,782","3,202","1,982","2,594","1,214","1,312",494,261,"11,953","2,474","1,988","3,232","2,918","3,107","3,709","3,152",551
2020,6,100,"5,133","1,710",410,165,246,53,84,33,10,"1,113",255,155,206,174,117,205,160,37
2020,7,총,"25,852,796","4,728,872","1,667,613","1,198,621","1,475,837","719,860","734,008","586,533","172,660","6,717,812","774,913","809,841","1,081,752","898,719","931,280","1,331,461","1,685,427","337,587"
2020,7,0,"2,083,542","330,330","121,904","93,738","120,420","63,125","60,602","52,083","24,134","596,586","54,950","64,429","90,576","67,777","68,920","100,148","142,316","31,504"
2020,7,10,"2,510,175","408,779","142,681","120,078","142,314","83,009","77,107","59,828","20,667","689,824","72,656","78,485","106,045","91,848","88,092","120,394","171,277","37,091"
2020,7,20,"3,572,642","712,412","226,299","172,852","210,352","109,019","111,815","82,156","18,310","943,417","100,583","110,262","133,825","114,084","111,599","161,207","211,161","43,289"
2020,7,30,"3,581,337","747,611","218,081","155,431","212,697","96,360","102,600","82,466","29,610","984,344","88,011","104,100","146,459","99,112","99,666","158,326","214,141","42,322"
2020,7,40,"4,236,548","765,473","258,735","191,086","248,480","120,824","119,547","96,122","34,129","1,166,569","116,234","125,500","175,321","140,036","140,422","201,812","278,104","58,154"
2020,7,50,"4,366,095","751,861","278,739","209,477","256,879","115,865","121,015","107,296","22,639","1,126,057","137,952","141,025","179,404","155,526","168,457","238,415","297,364","58,124"
2020,7,60,"3,202,249","576,472","246,463","151,338","176,044","75,917","84,765","70,979","14,186","732,581","116,369","108,024","135,133","123,068","133,396","196,872","222,280","38,362"
2020,7,70,"1,648,740","318,867","130,920","75,982","79,969","40,837","40,978","27,845","6,388","343,170","60,735","53,893","76,939","74,009","83,590","106,804","107,422","20,392"
2020,7,80,"591,225","104,518","40,176","26,483","25,840","13,637","14,165","7,227","2,331","122,154","24,683","21,970","34,599","30,154","33,921","43,567","38,046","7,754"
2020,7,90,"55,078","10,824","3,208","1,989","2,596","1,215","1,326",497,255,"11,990","2,484","2,000","3,246","2,930","3,100","3,709","3,153",556
2020,7,100,"5,165","1,725",407,167,246,52,88,34,11,"1,120",256,153,205,175,117,207,163,39
2020,8,총,"25,851,388","4,724,585","1,666,462","1,198,662","1,474,620","719,601","733,547","585,922","173,183","6,727,226","775,113","810,023","1,081,807","898,296","930,466","1,329,919","1,684,134","337,822"
2020,8,0,"2,075,085","328,489","121,423","93,380","119,788","62,839","60,287","51,822","24,076","594,930","54,767","64,251","90,254","67,476","68,615","99,661","141,613","31,414"
2020,8,10,"2,503,612","407,212","142,167","119,602","141,922","82,619","76,800","59,623","20,777","689,249","72,409","78,284","105,807","91,556","87,798","119,857","170,840","37,090"
2020,8,20,"3,572,033","712,228","226,054","173,114","209,904","109,164","111,753","81,937","18,362","944,910","100,634","110,184","133,757","114,030","111,275","160,646","210,757","43,324"
2020,8,30,"3,573,829","745,595","217,418","155,262","211,851","96,131","102,423","82,064","29,633","984,436","87,933","103,926","146,143","98,793","99,247","157,580","213,188","42,206"
2020,8,40,"4,231,843","763,773","258,368","190,808","248,154","120,628","119,299","96,042","34,237","1,167,046","115,854","125,398","175,173","139,756","140,129","201,388","277,686","58,104"
2020,8,50,"4,365,556","751,118","278,113","209,314","256,654","115,907","121,080","107,223","22,783","1,127,677","138,066","141,082","179,499","155,283","168,204","238,222","297,180","58,151"
2020,8,60,"3,222,386","578,951","247,645","152,241","177,354","76,411","85,171","71,424","14,293","738,664","117,102","108,705","135,921","123,784","134,178","198,052","223,810","38,680"
2020,8,70,"1,652,021","319,373","131,230","76,119","80,115","40,917","41,097","27,971","6,418","344,081","60,768","53,932","77,086","74,225","83,776","106,928","107,545","20,440"
2020,8,80,"594,304","105,188","40,400","26,656","26,034","13,712","14,219","7,277","2,341","122,981","24,821","22,084","34,689","30,279","34,001","43,636","38,179","7,807"
2020,8,90,"55,516","10,914","3,234","1,999","2,600","1,220","1,329",506,252,"12,121","2,500","2,023","3,273","2,940","3,128","3,741","3,171",565
2020,8,100,"5,203","1,744",410,167,244,53,89,33,11,"1,131",259,154,205,174,115,208,165,41
2020,9,총,"25,851,003","4,719,170","1,665,554","1,197,914","1,474,105","719,445","733,356","585,387","173,613","6,736,077","775,324","810,302","1,082,029","898,048","930,076","1,329,408","1,683,263","337,932"
2020,9,0,"2,065,411","326,491","120,936","92,857","119,162","62,495","59,910","51,481","23,974","593,023","54,592","63,979","89,831","67,059","68,306","99,222","140,778","31,315"
2020,9,10,"2,498,217","405,944","141,794","119,297","141,587","82,271","76,647","59,501","20,837","688,200","72,249","78,228","105,716","91,319","87,514","119,541","170,537","37,035"
2020,9,20,"3,572,064","711,112","225,759","173,021","209,648","109,531","111,753","81,812","18,445","946,799","100,612","110,161","133,812","114,113","111,213","160,403","210,474","43,396"
2020,9,30,"3,565,566","743,478","216,901","154,844","211,222","95,829","102,270","81,717","29,591","984,180","87,797","103,699","145,639","98,476","98,842","156,883","212,123","42,075"
2020,9,40,"4,227,209","761,988","257,967","190,535","247,944","120,401","119,062","95,926","34,313","1,167,445","115,612","125,311","175,100","139,432","139,855","201,170","277,115","58,033"
2020,9,50,"4,365,984","750,539","277,630","209,104","256,495","115,878","121,133","107,078","22,943","1,129,448","138,112","141,135","179,635","155,180","168,110","238,070","297,280","58,214"
2020,9,60,"3,242,517","581,260","248,751","153,067","178,704","76,971","85,695","71,917","14,424","744,767","117,799","109,389","136,735","124,476","134,880","199,270","225,508","38,904"
2020,9,70,"1,654,719","319,572","131,473","76,218","80,288","41,011","41,155","28,071","6,458","344,875","60,761","54,047","77,179","74,492","83,919","107,025","107,673","20,502"
2020,9,80,"597,881","105,985","40,678","26,767","26,167","13,782","14,307","7,339","2,360","123,931","25,000","22,147","34,845","30,351","34,151","43,817","38,407","7,847"
2020,9,90,"56,189","11,043","3,252","2,035","2,640","1,222","1,335",511,256,"12,271","2,532","2,048","3,331","2,974","3,170","3,798","3,200",571
2020,9,100,"5,246","1,758",413,169,248,54,89,34,12,"1,138",258,158,206,176,116,209,168,40
2020,10,총,"25,847,719","4,713,716","1,664,277","1,196,446","1,473,834","718,912","732,552","584,963","175,135","6,741,849","775,679","810,528","1,081,967","897,770","929,911","1,329,257","1,682,733","338,190"
2020,10,0,"2,053,757","324,310","120,276","92,225","118,446","62,065","59,554","51,129","24,095","590,278","54,338","63,637","89,222","66,606","67,966","98,704","139,714","31,192"
2020,10,10,"2,492,660","404,407","141,427","118,877","141,458","82,004","76,337","59,378","21,040","687,009","72,079","78,032","105,647","91,162","87,239","119,260","170,311","36,993"
