년도,월,나이,충청북도 음성군,충청북도 음성군 음성읍,충청북도 음성군 금왕읍,충청북도 음성군 소이면,충청북도 음성군 원남면,충청북도 음성군 맹동면,충청북도 음성군 대소면,충청북도 음성군 삼성면,충청북도 음성군 생극면,충청북도 음성군 감곡면
2020,1,총,"50,268","8,835","10,963","1,532","1,606","7,080","8,571","3,913","2,520","5,248"
2020,1,0,"3,422",509,793,30,38,907,623,164,103,255
2020,1,10,"4,203",753,"1,179",68,84,496,854,254,114,401
2020,1,20,"5,751","1,028","1,405",118,111,771,"1,067",397,237,617
2020,1,30,"5,779",906,"1,216",105,104,"1,314","1,049",388,202,495
2020,1,40,"8,067","1,311","1,913",159,158,"1,253","1,596",590,330,757
2020,1,50,"9,956","1,782","2,192",310,319,991,"1,821",909,555,"1,077"
2020,1,60,"7,515","1,439","1,334",351,409,805,977,717,547,936
2020,1,70,"3,855",784,635,243,261,381,405,339,294,513
2020,1,80,"1,535",285,272,140,105,134,162,140,121,176
2020,1,90,160,35,21,8,16,14,17,13,15,21
2020,1,100,25,3,3,0,1,14,0,2,2,0
2020,2,총,"50,219","8,825","10,932","1,535","1,607","7,065","8,565","3,930","2,526","5,234"
2020,2,0,"3,377",501,784,31,38,889,610,164,103,257
2020,2,10,"4,192",745,"1,177",68,85,498,854,251,112,402
2020,2,20,"5,714","1,017","1,395",115,107,767,"1,066",397,246,604
2020,2,30,"5,765",910,"1,210",106,105,"1,307","1,038",396,201,492
2020,2,40,"8,050","1,299","1,901",159,159,"1,260","1,591",599,326,756
2020,2,50,"9,939","1,780","2,179",307,315,994,"1,839",902,553,"1,070"
2020,2,60,"7,590","1,458","1,354",360,415,812,976,725,551,939
2020,2,70,"3,865",791,636,240,264,374,412,340,292,516
2020,2,80,"1,538",285,270,141,103,135,160,141,125,178
2020,2,90,164,36,23,8,15,15,19,13,15,20
2020,2,100,25,3,3,0,1,14,0,2,2,0
2020,3,총,"50,139","8,793","10,929","1,535","1,613","7,045","8,560","3,945","2,522","5,197"
2020,3,0,"3,357",497,777,30,38,877,614,164,100,260
2020,3,10,"4,166",741,"1,175",69,81,500,850,247,111,392
2020,3,20,"5,693","1,006","1,386",112,112,770,"1,060",403,245,599
2020,3,30,"5,721",894,"1,207",109,106,"1,294","1,028",393,201,489
2020,3,40,"8,007","1,294","1,883",164,155,"1,257","1,586",600,319,749
2020,3,50,"9,937","1,771","2,191",303,314,"1,000","1,832",909,557,"1,060"
2020,3,60,"7,653","1,470","1,376",361,421,810,994,730,551,940
2020,3,70,"3,865",795,636,238,265,367,415,340,296,513
2020,3,80,"1,547",283,272,141,105,141,161,143,125,176
2020,3,90,168,39,23,8,15,15,20,14,15,19
2020,3,100,25,3,3,0,1,14,0,2,2,0
2020,4,총,"50,020","8,775","10,910","1,523","1,601","7,035","8,562","3,930","2,513","5,171"
2020,4,0,"3,329",496,770,29,35,870,612,162,98,257
2020,4,10,"4,146",741,"1,170",67,80,499,848,249,109,383
2020,4,20,"5,680",998,"1,393",109,108,768,"1,068",401,243,592
2020,4,30,"5,698",887,"1,199",108,106,"1,294","1,023",388,202,491
2020,4,40,"7,952","1,300","1,865",158,155,"1,249","1,582",589,320,734
2020,4,50,"9,896","1,760","2,184",298,311,994,"1,829",911,548,"1,061"
2020,4,60,"7,698","1,470","1,392",364,422,823,"1,003",734,547,943
2020,4,70,"3,879",796,636,240,263,370,415,340,303,516
2020,4,80,"1,553",285,275,142,106,139,164,140,127,175
2020,4,90,164,39,23,8,14,15,18,14,14,19
2020,4,100,25,3,3,0,1,14,0,2,2,0
2020,5,총,"49,965","8,754","10,889","1,512","1,593","7,048","8,558","3,920","2,512","5,179"
2020,5,0,"3,305",488,763,29,33,858,615,162,99,258
2020,5,10,"4,135",738,"1,161",66,79,507,841,251,111,381
2020,5,20,"5,645",990,"1,376",103,105,772,"1,069",395,242,593
2020,5,30,"5,694",883,"1,198",108,103,"1,307","1,019",385,200,491
2020,5,40,"7,904","1,284","1,860",154,155,"1,244","1,568",582,321,736
2020,5,50,"9,909","1,756","2,189",296,307,991,"1,846",912,544,"1,068"
2020,5,60,"7,742","1,485","1,402",366,426,831,"1,007",738,548,939
2020,5,70,"3,871",800,633,241,262,366,410,340,303,516
2020,5,80,"1,570",287,280,141,107,144,165,139,129,178
2020,5,90,165,40,24,8,15,14,18,14,13,19
2020,5,100,25,3,3,0,1,14,0,2,2,0
2020,6,총,"49,951","8,758","10,859","1,506","1,599","7,080","8,573","3,902","2,508","5,166"
2020,6,0,"3,291",492,755,26,32,868,608,162,96,252
2020,6,10,"4,130",732,"1,151",68,97,508,839,246,114,375
2020,6,20,"5,627",991,"1,352",102,105,779,"1,073",392,241,592
2020,6,30,"5,682",873,"1,200",108,100,"1,312","1,026",373,198,492
2020,6,40,"7,900","1,287","1,869",153,155,"1,250","1,565",574,319,728
2020,6,50,"9,895","1,763","2,178",295,301,989,"1,842",915,539,"1,073"
2020,6,60,"7,787","1,487","1,409",367,424,834,"1,025",742,554,945
2020,6,70,"3,882",803,638,238,264,365,413,343,303,515
2020,6,80,"1,564",287,278,140,105,147,165,139,129,174
2020,6,90,168,40,26,9,15,14,17,14,13,20
2020,6,100,25,3,3,0,1,14,0,2,2,0
2020,7,총,"49,995","8,762","10,862","1,501","1,608","7,107","8,603","3,901","2,490","5,161"
2020,7,0,"3,274",486,751,26,32,866,606,160,93,254
2020,7,10,"4,115",734,"1,143",65,102,503,833,246,116,373
2020,7,20,"5,634",997,"1,348",99,106,788,"1,075",394,235,592
2020,7,30,"5,682",871,"1,204",109,101,"1,328","1,022",369,193,485
2020,7,40,"7,896","1,272","1,874",152,154,"1,244","1,586",571,312,731
2020,7,50,"9,916","1,763","2,187",296,302,999,"1,849",911,543,"1,066"
2020,7,60,"7,823","1,504","1,413",364,428,837,"1,031",747,551,948
2020,7,70,"3,903",807,639,242,263,368,419,347,301,517
2020,7,80,"1,559",285,275,139,105,146,165,140,130,174
2020,7,90,168,40,25,9,14,14,17,14,14,21
2020,7,100,25,3,3,0,1,14,0,2,2,0
2020,8,총,"49,950","8,759","10,820","1,500","1,615","7,100","8,632","3,897","2,490","5,137"
2020,8,0,"3,259",486,738,27,33,866,607,158,89,255
2020,8,10,"4,091",729,"1,135",64,101,505,832,244,118,363
2020,8,20,"5,592",990,"1,338",95,106,779,"1,073",386,234,591
2020,8,30,"5,643",878,"1,179",111,104,"1,313","1,019",368,191,480
2020,8,40,"7,913","1,265","1,873",150,156,"1,259","1,599",576,312,723
2020,8,50,"9,915","1,758","2,204",296,298,995,"1,852",903,547,"1,062"
2020,8,60,"7,880","1,516","1,418",366,433,842,"1,048",753,551,953
