년도,월,나이,전라북도,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 덕진구,전라북도 군산시,전라북도 익산시,전라북도 정읍시,전라북도 남원시,전라북도 김제시,전라북도 완주군,전라북도 진안군,전라북도 무주군,전라북도 장수군,전라북도 임실군,전라북도 순창군,전라북도 고창군,전라북도 부안군
2020,1,총,"913,917","332,439","173,743","158,696","133,511","144,006","55,686","41,562","42,209","44,878","12,708","12,213","11,241","13,989","14,574","28,165","26,736"
2020,1,0,"66,291","27,319","12,333","14,986","10,977","10,171","3,327","2,499","2,246","3,716",689,593,593,693,793,"1,368","1,307"
2020,1,10,"87,554","35,786","18,230","17,556","13,356","14,251","4,792","3,689","3,147","4,034",803,914,858,858,"1,131","2,088","1,847"
2020,1,20,"98,597","43,587","23,527","20,060","13,623","16,986","4,966","3,441","3,361","4,039",893,853,773,"1,032","1,014","1,995","2,034"
2020,1,30,"95,524","41,027","19,869","21,158","15,459","14,491","4,416","3,374","3,262","4,947",936,820,819,999,"1,124","1,929","1,921"
2020,1,40,"132,477","55,199","28,503","26,696","21,078","21,178","7,265","5,332","4,504","6,024","1,196","1,288","1,117","1,231","1,465","2,817","2,783"
2020,1,50,"147,109","53,980","29,657","24,323","21,170","24,678","8,815","6,605","6,533","6,880","2,008","1,946","1,684","2,152","2,150","4,277","4,231"
2020,1,60,"123,487","38,033","21,135","16,898","18,098","19,364","8,162","6,177","7,058","6,327","2,199","2,094","2,011","2,303","2,265","4,721","4,675"
2020,1,70,"93,150","23,325","12,599","10,726","12,094","13,167","7,622","5,654","6,310","4,895","2,081","1,981","1,784","2,453","2,552","4,879","4,353"
2020,1,80,"59,300","12,070","6,680","5,390","6,459","8,258","5,380","4,061","4,906","3,409","1,629","1,469","1,374","1,926","1,785","3,460","3,114"
2020,1,90,"9,786","1,978","1,142",836,"1,120","1,384",855,697,829,577,258,245,213,323,273,597,437
2020,1,100,642,135,68,67,77,78,86,33,53,30,16,10,15,19,22,34,34
2020,2,총,"912,747","332,649","173,907","158,742","133,226","143,562","55,579","41,483","42,112","44,886","12,702","12,183","11,190","13,881","14,539","28,087","26,668"
2020,2,0,"65,896","27,261","12,352","14,909","10,861","10,100","3,292","2,479","2,212","3,706",685,591,585,684,788,"1,355","1,297"
2020,2,10,"87,016","35,656","18,155","17,501","13,258","14,126","4,757","3,662","3,127","4,011",805,903,841,863,"1,122","2,058","1,827"
2020,2,20,"97,992","43,516","23,477","20,039","13,537","16,814","4,919","3,411","3,311","4,022",886,848,756,"1,000",996,"1,965","2,011"
2020,2,30,"94,999","40,968","19,867","21,101","15,327","14,379","4,394","3,338","3,250","4,901",927,807,804,986,"1,112","1,906","1,900"
2020,2,40,"132,572","55,356","28,560","26,796","21,099","21,131","7,263","5,328","4,491","6,062","1,184","1,293","1,127","1,193","1,473","2,799","2,773"
2020,2,50,"146,835","53,943","29,635","24,308","21,128","24,627","8,784","6,588","6,502","6,879","2,023","1,937","1,670","2,131","2,135","4,269","4,219"
