년도,월,나이,전라남도 영암군,전라남도 영암군 영암읍,전라남도 영암군 삼호읍,전라남도 영암군 삼호읍서부출장소,전라남도 영암군 덕진면,전라남도 영암군 금정면,전라남도 영암군 신북면,전라남도 영암군 시종면,전라남도 영암군 도포면,전라남도 영암군 군서면,전라남도 영암군 서호면,전라남도 영암군 학산면,전라남도 영암군 미암면
2020,1,총,"27,993","4,175","7,886","3,869",939,"1,046","1,934","1,831","1,185","1,540",938,"1,479","1,171"
2020,1,0,"1,984",356,809,372,41,26,54,70,49,68,28,68,43
2020,1,10,"2,488",435,970,386,48,51,121,96,69,101,50,109,52
2020,1,20,"2,863",484,793,519,79,68,190,161,115,140,71,143,100
2020,1,30,"2,913",403,"1,052",613,73,57,154,125,84,94,68,94,96
2020,1,40,"4,558",586,"1,696",816,113,127,229,239,125,193,110,178,146
2020,1,50,"5,388",794,"1,413",786,201,231,375,353,252,299,176,288,220
2020,1,60,"3,859",538,698,253,151,231,391,388,246,273,182,263,245
2020,1,70,"2,636",402,350,94,124,172,271,290,155,253,152,203,170
2020,1,80,"1,199",157,98,26,96,75,138,101,85,111,97,117,98
2020,1,90,98,19,6,4,12,8,8,8,5,8,3,16,1
2020,1,100,7,1,1,0,1,0,3,0,0,0,1,0,0
2020,2,총,"27,926","4,141","7,905","3,851",940,"1,037","1,936","1,825","1,178","1,535",936,"1,475","1,167"
2020,2,0,"1,968",353,805,366,43,24,51,70,49,65,30,67,45
2020,2,10,"2,487",431,980,387,46,49,118,91,71,102,51,109,52
2020,2,20,"2,840",477,798,510,80,69,191,157,109,140,70,141,98
2020,2,30,"2,877",398,"1,044",600,73,56,151,122,86,93,67,91,96
2020,2,40,"4,560",576,"1,707",819,112,124,233,243,126,189,111,179,141
2020,2,50,"5,364",793,"1,403",785,201,227,378,353,247,296,172,289,220
2020,2,60,"3,885",535,710,258,154,234,389,388,243,276,185,265,248
2020,2,70,"2,635",400,350,95,124,171,273,290,154,254,152,203,169
2020,2,80,"1,205",157,101,27,94,74,141,104,88,113,94,116,96
2020,2,90,98,20,6,4,12,9,8,7,5,7,3,15,2
2020,2,100,7,1,1,0,1,0,3,0,0,0,1,0,0
2020,3,총,"27,900","4,145","7,893","3,857",932,"1,030","1,927","1,821","1,181","1,545",933,"1,472","1,164"
2020,3,0,"1,949",353,795,362,43,24,50,67,50,67,29,67,42
2020,3,10,"2,479",431,979,392,44,49,111,87,74,101,51,107,53
2020,3,20,"2,829",478,789,514,76,67,194,156,108,139,70,140,98
2020,3,30,"2,858",399,"1,034",596,74,59,147,123,86,92,63,91,94
2020,3,40,"4,557",572,"1,710",825,109,122,229,246,125,189,111,177,142
2020,3,50,"5,367",792,"1,413",784,200,222,378,351,244,302,173,290,218
2020,3,60,"3,903",541,711,259,155,233,391,388,246,280,184,267,248
2020,3,70,"2,635",398,353,95,125,169,275,290,155,247,154,203,171
2020,3,80,"1,211",159,101,26,93,76,140,106,87,118,94,115,96
2020,3,90,105,21,7,4,12,9,9,7,6,10,3,15,2
2020,3,100,7,1,1,0,1,0,3,0,0,0,1,0,0
2020,4,총,"27,860","4,131","7,899","3,852",933,"1,041","1,920","1,810","1,176","1,546",936,"1,464","1,152"
2020,4,0,"1,940",354,794,357,45,23,50,69,47,68,30,64,39
2020,4,10,"2,469",425,977,389,45,53,111,90,73,99,51,104,52
