년도,월,나이,대구광역시 서구,대구광역시 서구 내당1동,대구광역시 서구 내당2.3동,대구광역시 서구 내당4동,대구광역시 서구 비산1동,대구광역시 서구 비산2.3동,대구광역시 서구 비산4동,대구광역시 서구 비산5동,대구광역시 서구 비산6동,대구광역시 서구 비산7동,대구광역시 서구 평리1동,대구광역시 서구 평리2동,대구광역시 서구 평리3동,대구광역시 서구 평리4동,대구광역시 서구 평리5동,대구광역시 서구 평리6동,대구광역시 서구 상중이동,대구광역시 서구 원대동
2020,1,총,"87,761","4,418","5,161","8,444","5,157","4,971","5,023","3,332","3,967","5,852","4,100","4,108","5,291","9,212","1,146","2,925","10,474","4,180"
2020,1,0,"4,221",202,204,425,173,186,198,115,114,201,156,345,191,713,48,84,728,138
2020,1,10,"6,235",309,313,683,363,299,362,211,288,328,291,304,376,663,72,192,935,246
2020,1,20,"12,418",729,717,"1,376",698,622,709,406,590,802,609,517,735,"1,306",152,399,"1,476",575
2020,1,30,"10,481",553,599,"1,158",554,499,618,370,448,592,454,546,614,"1,323",132,313,"1,267",441
2020,1,40,"12,894",573,768,"1,148",822,713,719,467,568,884,600,657,790,"1,365",162,447,"1,561",650
2020,1,50,"17,774",837,"1,048","1,483","1,123","1,026","1,000",705,845,"1,394",875,747,"1,174","1,737",232,637,"2,012",899
2020,1,60,"14,057",710,855,"1,264",825,886,826,583,653,968,662,604,881,"1,318",219,551,"1,583",669
2020,1,70,"7,292",377,487,684,449,529,446,346,338,539,332,299,412,614,96,225,706,413
2020,1,80,"2,226",119,158,204,140,197,139,120,116,139,113,84,111,160,31,70,183,142
2020,1,90,140,7,10,19,7,14,3,9,5,4,5,4,7,13,1,7,18,7
2020,1,100,23,2,2,0,3,0,3,0,2,1,3,1,0,0,1,0,5,0
2020,2,총,"87,544","4,398","5,168","8,435","5,126","4,940","5,029","3,322","3,948","5,861","4,072","4,095","5,281","9,168","1,124","2,916","10,482","4,179"
2020,2,0,"4,205",199,202,421,171,179,200,116,114,201,153,343,197,708,48,83,732,138
2020,2,10,"6,149",300,312,688,359,298,355,209,285,324,282,296,369,653,70,190,921,238
2020,2,20,"12,329",732,718,"1,353",680,612,704,390,585,808,607,521,727,"1,287",149,401,"1,475",580
2020,2,30,"10,413",555,602,"1,148",546,497,616,376,446,590,444,533,612,"1,298",125,313,"1,274",438
2020,2,40,"12,883",572,768,"1,160",824,704,717,465,561,887,594,663,789,"1,366",159,437,"1,563",654
2020,2,50,"17,695",825,"1,038","1,487","1,107","1,021","1,008",701,845,"1,384",876,741,"1,168","1,725",229,637,"2,014",889
2020,2,60,"14,121",714,866,"1,268",834,886,833,587,649,979,661,607,879,"1,338",215,550,"1,577",678
2020,2,70,"7,339",372,491,685,453,532,444,347,342,541,335,301,423,620,96,228,714,415
2020,2,80,"2,246",121,160,205,143,197,146,122,114,142,111,85,109,160,31,70,189,141
2020,2,90,141,6,9,20,6,14,3,9,5,4,6,4,8,13,1,7,18,8
2020,2,100,23,2,2,0,3,0,3,0,2,1,3,1,0,0,1,0,5,0
2020,3,총,"87,337","4,387","5,148","8,402","5,103","4,940","5,047","3,351","3,946","5,851","4,070","4,078","5,255","9,150","1,089","2,899","10,480","4,141"
2020,3,0,"4,179",205,197,418,169,179,195,115,114,202,155,341,195,698,49,84,728,135
2020,3,10,"6,097",295,308,688,361,291,352,206,282,320,279,295,367,646,65,188,920,234
