년도,월,나이,경상북도,경상북도 포항시,경상북도 포항시 남구,경상북도 포항시 북구,경상북도 경주시,경상북도 김천시,경상북도 안동시,경상북도 구미시,경상북도 영주시,경상북도 영천시,경상북도 상주시,경상북도 문경시,경상북도 경산시,경상북도 군위군,경상북도 의성군,경상북도 청송군,경상북도 영양군,경상북도 영덕군,경상북도 청도군,경상북도 고령군,경상북도 성주군,경상북도 칠곡군,경상북도 예천군,경상북도 봉화군,경상북도 울진군,경상북도 울릉군
2020,6,30,"139,355","28,890","12,847","16,043","12,170","7,323","7,557","31,325","4,077","4,301","3,508","2,781","15,685",607,"1,488",721,488,"1,238","1,359","1,074","1,530","7,106","2,813",933,"2,006",375
2020,6,40,"184,712","38,683","17,375","21,308","17,749","9,188","10,764","36,334","6,800","5,802","5,515","4,134","20,310",913,"1,963","1,045",718,"1,752","1,997","1,738","1,937","9,453","3,209","1,357","2,845",506
2020,6,50,"223,334","45,315","20,173","25,142","22,708","11,478","13,059","33,944","8,954","8,554","8,139","5,913","22,225","1,907","4,098","2,258","1,371","2,981","3,572","2,649","3,918","8,856","3,860","2,746","4,015",814
2020,6,60,"200,196","38,748","18,018","20,730","20,281","10,909","12,820","18,356","9,326","9,067","9,141","6,796","17,266","2,495","5,769","2,702","1,686","3,792","4,704","2,934","4,343","6,356","4,644","3,187","4,057",817
2020,6,70,"134,038","19,371","8,866","10,505","13,563","7,646","9,253","8,911","6,637","6,883","7,288","5,294","10,753","2,187","5,153","2,289","1,535","3,611","3,597","2,298","3,110","4,322","3,855","2,660","3,267",555
2020,6,80,"89,297","10,171","4,469","5,702","8,765","5,339","6,254","5,458","4,359","4,614","5,635","3,660","5,934","1,702","4,053","1,570","1,157","2,532","2,899","1,753","2,326","2,890","3,225","2,075","2,625",301
2020,6,90,"14,337","1,703",724,979,"1,335",898,"1,097",913,762,567,989,626,801,253,611,242,175,396,457,233,350,467,526,364,517,55
2020,6,100,751,74,36,38,71,42,47,42,44,28,49,42,56,15,35,16,20,19,19,3,20,33,31,23,16,6
2020,7,총,"1,312,540","249,331","112,210","137,121","126,655","70,079","80,151","203,046","52,367","49,965","49,961","36,433","130,319","11,476","26,596","12,581","8,467","19,279","21,653","15,431","20,977","55,127","28,283","15,772","24,380","4,211"
2020,7,0,"94,069","19,605","8,669","10,936","8,070","5,164","5,165","20,480","3,065","2,875","2,551","1,960","10,252",331,944,481,361,889,763,720,961,"4,776","2,296",703,"1,452",205
