년도,월,나이,제주시,한림읍,애월읍,구좌읍,조천읍,한경면,추자면,우도면,일도1동,일도2동,이도1동,이도2동,삼도1동,삼도2동,용담1동,용담2동,건입동,화북동,삼양동,봉개동,아라동,오라동,연동,노형동,외도동,이호동,도두동
2020,1,총,"489,202","21,373","36,186","15,549","24,803","9,044","1,717","1,860","2,701","33,612","7,688","49,953","13,771","8,141","7,261","15,051","9,230","24,850","25,712","5,272","34,879","15,397","41,487","54,148","21,742","4,573","3,202"
2020,1,0,"46,997","1,550","3,359",941,"2,079",544,66,96,112,"2,993",536,"4,902","1,173",486,456,"1,148",691,"2,636","3,838",563,"4,462","2,251","3,245","5,295","2,877",400,298
2020,1,10,"54,272","1,818","3,419","1,152","2,238",589,88,111,152,"3,968",769,"6,384","1,479",722,676,"1,488",792,"3,134","3,077",455,"4,290","1,724","4,332","7,752","2,907",447,309
2020,1,20,"62,670","2,167","3,628","1,463","2,779",719,117,193,268,"4,498","1,077","7,443","1,760","1,018",914,"1,970","1,130","3,280","2,895",707,"4,660","1,846","6,838","7,859","2,463",610,368
2020,1,30,"63,949","2,341","4,426","1,645","2,998",814,121,208,246,"4,020",899,"6,786","1,548",921,735,"1,687","1,050","3,106","4,238",796,"5,544","2,631","6,025","6,835","3,290",603,436
2020,1,40,"83,247","3,516","6,508","2,381","4,017","1,442",220,302,384,"5,229","1,067","8,439","2,268","1,262","1,112","2,239","1,347","4,184","4,679",788,"6,355","2,719","7,198","9,996","4,311",741,543
2020,1,50,"79,535","3,822","6,259","2,761","4,323","1,627",319,372,536,"5,642","1,383","7,686","2,180","1,506","1,365","2,582","1,578","4,092","3,301",774,"4,799","2,080","7,003","9,153","3,008",803,581
2020,1,60,"51,464","2,891","4,153","2,226","3,050","1,439",337,252,539,"3,943",997,"4,749","1,562","1,132",985,"1,977","1,404","2,467","2,030",551,"2,709","1,175","4,199","4,297","1,523",514,363
2020,1,70,"29,324","1,932","2,577","1,633","1,999",998,269,168,303,"2,229",574,"2,390","1,206",692,664,"1,267",809,"1,211","1,044",374,"1,292",618,"1,839","1,947",844,282,163
2020,1,80,"14,955","1,146","1,530","1,149","1,117",745,151,129,124,945,329,"1,009",524,336,304,587,350,620,494,222,631,281,685,846,433,149,119
2020,1,90,"2,620",162,313,192,198,119,29,29,28,131,53,155,66,55,45,97,73,113,115,41,125,66,120,166,85,24,20
2020,1,100,169,28,14,6,5,8,0,0,9,14,4,10,5,11,5,9,6,7,1,1,12,6,3,2,1,0,2
2020,2,총,"489,456","21,326","36,333","15,554","24,937","9,045","1,729","1,843","2,671","33,578","7,702","49,942","13,743","8,116","7,241","15,051","9,209","24,801","25,729","5,265","34,955","15,425","41,486","54,244","21,757","4,553","3,221"
2020,2,0,"47,089","1,547","3,416",958,"2,116",552,70,95,107,"2,990",550,"4,884","1,162",483,450,"1,139",681,"2,634","3,837",560,"4,449","2,260","3,220","5,336","2,881",400,312
2020,2,10,"54,041","1,807","3,416","1,151","2,241",583,92,107,145,"3,929",759,"6,367","1,458",718,669,"1,495",788,"3,126","3,066",449,"4,286","1,712","4,310","7,717","2,904",439,307
2020,2,20,"62,586","2,133","3,598","1,453","2,767",714,114,187,267,"4,491","1,071","7,441","1,767","1,019",909,"1,968","1,130","3,246","2,893",707,"4,707","1,846","6,853","7,864","2,461",613,367
2020,2,30,"63,796","2,319","4,464","1,649","3,009",821,126,206,237,"3,990",904,"6,736","1,541",915,726,"1,680","1,040","3,086","4,190",802,"5,518","2,634","6,026","6,870","3,276",598,433
2020,2,40,"83,282","3,505","6,519","2,382","4,053","1,436",219,301,377,"5,229","1,073","8,452","2,254","1,262","1,103","2,247","1,332","4,186","4,705",779,"6,371","2,740","7,193","9,964","4,318",732,550
2020,2,50,"79,710","3,814","6,292","2,776","4,326","1,631",322,372,536,"5,640","1,372","7,720","2,186","1,504","1,369","2,565","1,582","4,093","3,331",774,"4,815","2,085","6,993","9,203","3,023",804,582
2020,2,60,"51,753","2,900","4,189","2,217","3,094","1,443",336,249,537,"3,973","1,005","4,776","1,570","1,125",991,"1,988","1,410","2,476","2,050",551,"2,741","1,177","4,223","4,319","1,531",514,368
2020,2,70,"29,377","1,947","2,580","1,624","1,995",994,271,169,304,"2,238",582,"2,377","1,209",686,670,"1,273",819,"1,218","1,040",375,"1,304",617,"1,847","1,952",844,281,161
2020,2,80,"15,019","1,161","1,535","1,144","1,128",746,148,129,122,950,327,"1,016",526,341,299,588,347,620,502,227,628,285,698,852,432,150,118
2020,2,90,"2,636",165,310,194,203,117,31,28,30,134,55,163,66,53,50,99,74,109,114,40,125,63,119,165,86,22,21
2020,2,100,167,28,14,6,5,8,0,0,9,14,4,10,4,10,5,9,6,7,1,1,11,6,4,2,1,0,2
