년도,월,나이,양양군,양양읍,서면,손양면,현북면,현남면,강현면
2020,1,총,"13,618","5,982","1,434","1,173","1,229","1,516","2,284"
2020,1,0,657,402,42,41,33,45,94
2020,1,10,936,541,83,66,52,62,132
2020,1,20,985,499,95,89,58,76,168
2020,1,30,"1,106",632,76,78,63,102,155
2020,1,40,"1,610",917,149,108,99,114,223
2020,1,50,"2,377",981,235,202,259,241,459
2020,1,60,"2,591",923,326,221,283,341,497
2020,1,70,"1,999",663,266,224,234,280,332
2020,1,80,"1,095",343,132,123,119,197,181
2020,1,90,248,80,30,17,27,54,40
2020,1,100,14,1,0,4,2,4,3
2020,2,총,"13,620","5,996","1,431","1,173","1,231","1,505","2,284"
2020,2,0,659,404,43,42,35,42,93
2020,2,10,936,544,85,68,49,63,127
2020,2,20,974,497,91,88,58,71,169
2020,2,30,"1,095",630,76,74,66,100,149
2020,2,40,"1,617",921,147,109,98,110,232
2020,2,50,"2,370",982,236,201,257,240,454
2020,2,60,"2,609",930,326,219,284,346,504
2020,2,70,"2,000",660,265,227,235,280,333
2020,2,80,"1,100",347,133,124,120,194,182
2020,2,90,246,80,29,16,27,55,39
2020,2,100,14,1,0,5,2,4,2
2020,3,총,"13,612","6,002","1,422","1,170","1,227","1,500","2,291"
2020,3,0,664,408,41,40,37,38,100
2020,3,10,927,539,82,68,48,63,127
2020,3,20,978,502,91,86,57,70,172
2020,3,30,"1,086",629,69,74,64,100,150
2020,3,40,"1,600",913,148,108,93,109,229
2020,3,50,"2,359",979,239,195,255,237,454
2020,3,60,"2,630",942,323,224,286,351,504
2020,3,70,"2,001",658,266,227,236,279,335
2020,3,80,"1,104",349,133,126,122,193,181
2020,3,90,249,82,30,17,27,56,37
2020,3,100,14,1,0,5,2,4,2
2020,4,총,"13,603","6,007","1,423","1,164","1,229","1,493","2,287"
2020,4,0,666,415,41,37,37,38,98
2020,4,10,921,533,79,69,48,65,127
2020,4,20,971,506,90,82,57,67,169
2020,4,30,"1,091",628,70,77,63,103,150
2020,4,40,"1,587",908,147,108,93,107,224
2020,4,50,"2,350",984,240,190,252,233,451
2020,4,60,"2,642",943,325,226,288,351,509
2020,4,70,"1,992",651,262,229,237,277,336
2020,4,80,"1,118",358,137,123,125,195,180
2020,4,90,251,80,32,18,27,53,41
2020,4,100,14,1,0,5,2,4,2
2020,5,총,"13,647","6,060","1,411","1,165","1,225","1,496","2,290"
2020,5,0,667,422,35,33,39,39,99
2020,5,10,913,533,81,65,44,66,124
2020,5,20,974,508,88,84,57,65,172
2020,5,30,"1,093",631,68,74,65,104,151
2020,5,40,"1,603",921,144,108,93,112,225
2020,5,50,"2,350",996,238,192,248,231,445
2020,5,60,"2,669",954,326,233,288,352,516
2020,5,70,"1,987",655,257,227,234,278,336
2020,5,80,"1,128",360,142,126,129,191,180
2020,5,90,248,79,32,18,25,54,40
2020,5,100,15,1,0,5,3,4,2
2020,6,총,"13,672","6,082","1,411","1,166","1,232","1,495","2,286"
2020,6,0,664,420,35,34,38,39,98
2020,6,10,907,532,80,66,40,67,122
2020,6,20,983,512,86,86,61,65,173
2020,6,30,"1,093",633,69,69,69,103,150
2020,6,40,"1,598",927,141,107,93,113,217
2020,6,50,"2,354",996,237,195,250,229,447
2020,6,60,"2,704",976,330,235,290,351,522
2020,6,70,"1,978",649,257,225,235,278,334
2020,6,80,"1,129",361,142,126,129,191,180
2020,6,90,247,75,34,18,24,55,41
2020,6,100,15,1,0,5,3,4,2
2020,7,총,"13,700","6,131","1,404","1,157","1,232","1,491","2,285"
2020,7,0,666,426,33,33,38,40,96
2020,7,10,903,533,79,64,39,66,122
2020,7,20,988,524,84,83,61,63,173
2020,7,30,"1,097",635,67,72,72,101,150
2020,7,40,"1,605",938,141,100,90,116,220
2020,7,50,"2,352","1,001",234,199,251,228,439
2020,7,60,"2,710",978,330,230,291,353,528
2020,7,70,"1,975",651,259,225,234,275,331
2020,7,80,"1,141",365,143,129,129,191,184
2020,7,90,248,78,34,17,24,54,41
2020,7,100,15,2,0,5,3,4,1
2020,8,총,"13,708","6,156","1,399","1,156","1,236","1,481","2,280"
2020,8,0,664,427,32,33,38,39,95
2020,8,10,895,534,75,63,37,66,120
2020,8,20,979,521,85,78,61,60,174
