년도,월,나이,부산광역시,중구,서구,동구,영도구,부산진구,동래구,남구,북구,해운대구,사하구,금정구,강서구,연제구,수영구,사상구,기장군
2020,1,총,"1,737,617","21,322","55,486","44,916","58,965","184,176","139,161","139,582","146,819","210,275","160,490","121,738","62,945","108,494","92,587","107,572","83,089"
2020,1,0,"117,935",704,"2,727","1,983","2,834","10,887","9,698","9,540","9,898","14,223","10,647","6,810","9,442","7,578","5,110","6,686","9,168"
2020,1,10,"135,915","1,108","3,670","2,572","3,812","12,673","12,074","11,663","12,033","19,287","12,919","9,104","5,160","8,205","5,973","7,666","7,996"
2020,1,20,"207,471","2,714","6,768","5,090","5,667","25,839","15,933","16,634","18,272","23,921","19,130","15,646","5,553","12,921","12,167","13,829","7,387"
2020,1,30,"212,087","2,094","5,611","4,727","5,311","23,488","16,965","15,999","17,120","24,965","18,870","13,029","12,960","14,086","12,023","12,546","12,293"
2020,1,40,"257,418","2,596","7,092","5,590","7,532","25,739","22,220","21,477","21,454","35,427","23,459","16,829","9,348","16,358","13,036","14,661","14,600"
2020,1,50,"300,270","3,623","9,067","7,388","10,164","30,806","23,899","22,785","29,274","37,309","29,273","22,332","8,025","18,393","15,245","21,605","11,082"
2020,1,60,"267,134","4,095","9,832","8,194","11,220","28,244","21,082","21,490","21,643","29,045","25,278","20,042","7,093","16,696","15,270","17,497","10,413"
2020,1,70,"156,936","2,808","6,863","6,088","8,182","17,449","11,558","13,493","11,178","16,864","13,707","11,613","3,324","9,575","9,102","8,783","6,349"
2020,1,80,"69,951","1,268","3,208","2,814","3,565","7,766","4,842","5,549","5,089","7,895","6,070","5,320","1,669","4,007","3,968","3,712","3,209"
2020,1,90,"11,096",249,566,401,584,"1,108",774,849,782,"1,227","1,009",860,342,617,640,529,559
2020,1,100,"1,404",63,82,69,94,177,116,103,76,112,128,153,29,58,53,58,33
2020,2,총,"1,737,659","21,344","55,476","44,986","58,851","183,996","139,183","139,229","146,504","209,978","160,105","121,602","63,191","108,771","93,078","107,417","83,948"
2020,2,0,"117,637",693,"2,704","1,959","2,815","10,811","9,676","9,442","9,859","14,174","10,561","6,788","9,474","7,549","5,168","6,631","9,333"
2020,2,10,"135,533","1,101","3,693","2,563","3,777","12,639","12,048","11,638","11,888","19,172","12,812","9,124","5,196","8,233","5,982","7,621","8,046"
