년도,월,나이,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 동남구 목천읍,충청남도 천안시 동남구 풍세면,충청남도 천안시 동남구 광덕면,충청남도 천안시 동남구 북면,충청남도 천안시 동남구 성남면,충청남도 천안시 동남구 수신면,충청남도 천안시 동남구 병천면,충청남도 천안시 동남구 동면,충청남도 천안시 동남구 중앙동,충청남도 천안시 동남구 문성동,충청남도 천안시 동남구 원성1동,충청남도 천안시 동남구 원성2동,충청남도 천안시 동남구 봉명동,충청남도 천안시 동남구 일봉동,충청남도 천안시 동남구 신방동,충청남도 천안시 동남구 청룡동,충청남도 천안시 동남구 신안동,충청남도 천안시 서북구,충청남도 천안시 서북구 성환읍,충청남도 천안시 서북구 성거읍,충청남도 천안시 서북구 직산읍,충청남도 천안시 서북구 입장면,충청남도 천안시 서북구 성정1동,충청남도 천안시 서북구 성정2동,충청남도 천안시 서북구 쌍용1동,충청남도 천안시 서북구 쌍용2동,충청남도 천안시 서북구 쌍용3동,충청남도 천안시 서북구 백석동,충청남도 천안시 서북구 불당동,충청남도 천안시 서북구 부성1동,충청남도 천안시 서북구 부성2동,충청남도 천안시 서북구 불당1동,충청남도 천안시 서북구 불당2동
2020,3,총,"320,708","127,895","11,777","1,930","2,143","2,105","1,566","1,065","2,909","1,018","2,610","1,757","4,286","4,668","8,570","12,445","22,247","28,044","18,755","192,813","12,084","10,728","8,897","4,108","7,777","12,127","7,279","19,670","9,966","20,484","34,184","19,412","26,097",,
2020,3,0,"31,278","10,479",921,71,62,75,44,31,148,16,81,45,201,156,519,"1,190","2,440","3,079","1,400","20,799",675,"1,022",704,164,386,513,430,"1,849",779,"2,959","5,170","1,705","4,443",,
2020,3,10,"33,472","12,920","1,348",121,82,122,92,38,168,31,146,89,292,343,681,"1,596","2,841","3,455","1,475","20,552","1,142","1,222",911,276,583,733,652,"2,451","1,150","2,729","4,477","1,863","2,363",,
2020,3,20,"45,439","16,682","1,231",149,176,154,111,86,267,54,256,247,495,530,"1,315","1,355","2,873","3,485","3,898","28,757","1,263","1,179",957,394,"1,110","3,238","1,250","2,916","1,294","2,515","4,327","4,303","4,011",,
2020,3,30,"49,910","16,329","1,203",131,144,134,76,64,225,47,204,154,414,375,"1,070","1,495","3,446","4,371","2,776","33,581","1,041","1,483","1,118",290,956,"2,249",895,"2,747","1,259","3,785","7,451","3,369","6,938",,
2020,3,40,"54,177","21,144","2,211",179,207,245,129,76,324,57,304,205,599,664,"1,381","2,348","4,485","5,157","2,573","33,033","1,801","1,966","1,516",478,"1,157","1,691","1,026","3,688","1,744","3,821","7,002","3,227","3,916",,
2020,3,50,"49,575","21,531","2,000",363,430,411,293,187,595,202,459,321,874,955,"1,601","2,093","3,328","4,183","3,236","28,044","1,997","1,701","1,576",830,"1,503","1,682","1,426","3,498","1,851","2,770","3,834","2,750","2,626",,
2020,3,60,"29,439","14,610","1,344",401,441,440,342,224,503,219,565,330,711,782,"1,095","1,243","1,576","2,388","2,006","14,829","1,921","1,101","1,025",759,"1,080","1,154",943,"1,451",923,"1,105","1,135","1,192","1,040",,
2020,3,70,"16,083","8,205",838,251,296,262,249,181,357,196,377,232,412,524,573,698,726,"1,171",862,"7,878","1,335",630,644,518,654,538,404,628,553,464,468,596,446,,
2020,3,80,"9,584","5,058",589,224,257,222,197,157,260,160,187,118,239,294,273,369,454,619,439,"4,526",770,358,387,338,303,267,207,392,347,285,261,347,264,,
2020,3,90,"1,630",875,92,40,46,39,31,19,55,33,24,14,42,41,55,57,76,128,83,755,119,64,55,50,40,56,44,48,65,50,57,58,49,,
2020,3,100,121,62,0,0,2,1,2,2,7,3,7,2,7,4,7,1,2,8,7,59,20,2,4,11,5,6,2,2,1,1,2,2,1,,
2020,4,총,"320,726","127,852","11,776","1,923","2,151","2,111","1,567","1,065","2,908","1,014","2,624","1,761","4,295","4,650","8,555","12,399","22,267","28,041","18,745","192,874","12,049","10,726","8,910","4,082","7,778","12,102","7,256","19,625","9,952","20,494","34,396","19,428","26,076",,
