년도,월,나이,전라남도 목포시,전라남도 목포시 용당1동,전라남도 목포시 용당2동,전라남도 목포시 연동,전라남도 목포시 산정동,전라남도 목포시 연산동,전라남도 목포시 원산동,전라남도 목포시 대성동,전라남도 목포시 목원동,전라남도 목포시 동명동,전라남도 목포시 삼학동,전라남도 목포시 만호동,전라남도 목포시 유달동,전라남도 목포시 죽교동,전라남도 목포시 북항동,전라남도 목포시 용해동,전라남도 목포시 이로동,전라남도 목포시 상동,전라남도 목포시 하당동,전라남도 목포시 신흥동,전라남도 목포시 삼향동,전라남도 목포시 옥암동,전라남도 목포시 부흥동,전라남도 목포시 부주동
2020,1,총,"114,506","5,665","2,803","2,477","4,445","4,897","6,879","2,749","4,150","3,006","3,188","1,682","2,588","1,782","4,911","8,983","5,195","8,899","6,423","8,601","2,593","5,425","4,972","12,193"
2020,1,0,"10,355",295,132,96,323,750,602,282,117,117,262,35,80,76,446,"1,104",527,859,516,733,244,603,499,"1,657"
2020,1,10,"13,213",416,200,150,525,566,865,252,254,193,327,82,132,137,556,"1,281",702,"1,096",674,"1,064",309,816,591,"2,025"
2020,1,20,"14,982",648,333,255,563,672,"1,033",280,438,323,405,120,422,193,630,"1,069",612,"1,057","1,116","1,454",293,753,747,"1,566"
2020,1,30,"14,512",650,309,256,571,893,842,462,392,295,399,166,216,182,595,"1,163",614,"1,099",990,"1,065",347,648,738,"1,620"
2020,1,40,"19,763",876,450,416,695,851,"1,206",452,612,475,529,300,408,295,842,"1,715",879,"1,509","1,179","1,360",452,945,826,"2,491"
2020,1,50,"18,452",941,480,460,731,580,"1,170",416,827,517,451,360,473,333,819,"1,283",763,"1,402","1,045","1,530",398,891,854,"1,728"
2020,1,60,"13,215",944,474,422,566,342,718,343,743,515,442,321,434,277,606,741,630,"1,136",581,945,330,463,459,783
2020,1,70,"7,623",684,357,319,362,195,334,190,571,430,303,222,324,211,314,458,354,580,249,326,165,222,186,267
2020,1,80,"2,196",195,64,89,101,45,100,70,176,134,67,71,94,68,100,150,110,142,66,111,51,81,64,47
2020,1,90,179,13,4,13,8,2,8,1,18,6,3,3,5,8,3,18,4,18,7,13,4,3,8,9
2020,1,100,16,3,0,1,0,1,1,1,2,1,0,2,0,2,0,1,0,1,0,0,0,0,0,0
2020,2,총,"114,262","5,660","2,786","2,478","4,432","4,908","6,857","2,742","4,118","2,998","3,198","1,677","2,556","1,782","4,909","8,964","5,205","8,880","6,461","8,574","2,591","5,444","4,930","12,112"
2020,2,0,"10,281",289,132,97,322,747,602,281,119,119,259,36,81,80,441,"1,085",523,845,518,737,245,593,496,"1,634"
2020,2,10,"13,170",423,200,149,519,572,851,251,247,189,324,80,126,137,559,"1,286",705,"1,105",681,"1,058",313,809,583,"2,003"
2020,2,20,"14,890",646,330,252,555,670,"1,030",280,428,321,405,117,411,193,629,"1,058",612,"1,038","1,132","1,430",289,769,731,"1,564"
2020,2,30,"14,391",635,309,256,568,894,835,449,386,296,399,165,206,181,595,"1,157",614,"1,098",988,"1,054",341,656,727,"1,582"
2020,2,40,"19,756",876,449,421,704,853,"1,192",459,606,474,532,298,406,295,848,"1,713",883,"1,507","1,180","1,365",456,943,819,"2,477"
2020,2,50,"18,465",946,474,461,722,587,"1,178",418,816,516,450,359,471,326,809,"1,284",765,"1,394","1,057","1,533",395,901,856,"1,747"
2020,2,60,"13,267",953,471,421,565,340,724,342,746,514,450,324,434,283,613,748,627,"1,143",581,944,331,470,460,783
2020,2,70,"7,622",673,351,316,363,197,335,191,572,426,308,220,322,212,309,463,360,587,253,330,163,218,184,269
2020,2,80,"2,220",201,66,91,106,45,101,69,177,136,68,72,94,65,102,151,112,143,64,109,54,82,67,45
2020,2,90,183,15,4,12,8,2,8,1,19,6,3,4,5,8,4,18,4,19,7,14,4,3,7,8
2020,2,100,17,3,0,2,0,1,1,1,2,1,0,2,0,2,0,1,0,1,0,0,0,0,0,0
2020,3,총,"114,138","5,654","2,764","2,479","4,428","4,903","6,849","2,714","4,115","2,997","3,181","1,673","2,510","1,776","4,889","8,947","5,355","8,854","6,446","8,568","2,585","5,444","4,896","12,111"
2020,3,0,"10,243",284,129,96,329,752,600,283,119,119,256,35,78,78,436,"1,069",552,838,510,727,239,583,490,"1,641"
2020,3,10,"13,084",414,196,152,515,567,835,254,243,186,314,82,119,137,553,"1,287",717,"1,099",679,"1,060",316,809,578,"1,972"
2020,3,20,"14,898",656,328,248,552,665,"1,031",274,432,326,408,119,390,193,631,"1,058",637,"1,033","1,120","1,426",290,778,724,"1,579"
2020,3,30,"14,314",631,296,252,558,890,830,438,379,295,392,162,208,176,593,"1,153",635,"1,094",989,"1,058",333,653,717,"1,582"
2020,3,40,"19,689",864,450,423,705,855,"1,186",452,607,473,528,297,396,296,841,"1,698",921,"1,498","1,169","1,359",455,942,821,"2,453"
2020,3,50,"18,478",950,469,464,724,583,"1,192",416,815,514,449,355,463,326,801,"1,281",780,"1,390","1,057","1,529",400,904,850,"1,766"
2020,3,60,"13,335",954,478,418,567,347,725,339,745,513,451,326,437,282,617,763,631,"1,150",595,944,331,469,458,795
2020,3,70,"7,660",681,351,319,362,197,337,191,577,425,309,219,318,212,310,468,359,590,255,340,162,220,187,271
2020,3,80,"2,236",202,63,93,107,44,104,65,175,139,71,73,95,68,103,150,119,142,65,111,55,82,65,45
2020,3,90,185,15,4,12,9,2,8,1,21,6,3,3,6,6,4,20,4,19,7,14,4,4,6,7
2020,3,100,16,3,0,2,0,1,1,1,2,1,0,2,0,2,0,0,0,1,0,0,0,0,0,0
2020,4,총,"114,140","5,644","2,768","2,470","4,417","4,926","6,847","2,715","4,089","2,993","3,173","1,666","2,495","1,771","4,897","8,962","5,437","8,860","6,437","8,586","2,590","5,420","4,862","12,115"
2020,4,0,"10,183",285,128,94,330,753,587,290,116,118,254,34,78,78,440,"1,064",559,834,505,724,235,571,476,"1,630"
2020,4,10,"13,058",402,191,149,511,571,840,257,240,185,306,82,114,136,547,"1,284",736,"1,099",683,"1,061",316,796,574,"1,978"
2020,4,20,"14,920",673,335,245,552,663,"1,037",272,419,324,409,116,387,193,633,"1,060",639,"1,043","1,109","1,423",301,790,718,"1,579"
2020,4,30,"14,261",626,296,251,551,884,827,436,385,293,380,163,205,172,587,"1,170",653,"1,079",980,"1,061",332,648,706,"1,576"
2020,4,40,"19,682",856,443,416,704,871,"1,186",446,606,477,538,290,393,293,843,"1,701",928,"1,498","1,163","1,361",447,938,824,"2,460"
2020,4,50,"18,500",952,475,472,721,590,"1,188",414,796,505,446,352,465,330,812,"1,269",795,"1,391","1,073","1,527",404,901,852,"1,770"
2020,4,60,"13,401",952,481,418,571,348,726,341,747,515,456,333,432,281,622,772,642,"1,154",595,957,331,470,457,800
2020,4,70,"7,658",678,351,315,359,194,341,192,577,424,304,217,319,210,309,469,362,598,252,348,165,221,184,269
2020,4,80,"2,275",204,64,96,109,49,106,64,179,144,77,74,96,69,101,153,119,145,70,110,55,80,65,46
2020,4,90,186,13,4,12,9,2,8,2,22,7,3,3,6,7,3,20,4,18,7,14,4,5,6,7
2020,4,100,16,3,0,2,0,1,1,1,2,1,0,2,0,2,0,0,0,1,0,0,0,0,0,0
2020,5,총,"113,977","5,634","2,742","2,476","4,421","4,924","6,818","2,708","4,121","2,997","3,141","1,661","2,480","1,765","4,884","8,962","5,460","8,851","6,441","8,568","2,572","5,401","4,854","12,096"
2020,5,0,"10,136",288,127,95,334,752,578,298,123,115,249,33,76,80,431,"1,056",564,832,502,722,232,567,470,"1,612"
2020,5,10,"13,015",397,188,149,511,574,831,257,242,187,303,82,110,133,540,"1,291",738,"1,091",689,"1,054",314,794,572,"1,968"
2020,5,20,"14,861",670,329,242,550,656,"1,042",266,427,321,404,116,382,187,632,"1,051",641,"1,036","1,101","1,422",298,783,716,"1,589"
2020,5,30,"14,203",622,288,255,548,881,819,432,388,300,373,162,210,170,585,"1,171",645,"1,075",985,"1,045",329,647,702,"1,571"
2020,5,40,"19,659",856,435,415,705,873,"1,176",450,612,470,529,283,388,293,837,"1,706",941,"1,508","1,160","1,365",447,934,827,"2,449"
2020,5,50,"18,494",950,473,474,720,592,"1,186",403,796,507,442,353,464,335,821,"1,274",794,"1,393","1,067","1,526",400,895,848,"1,781"
2020,5,60,"13,423",955,482,418,576,350,724,342,739,517,457,336,427,278,620,772,645,"1,152",602,963,327,473,462,806
2020,5,70,"7,683",674,350,317,361,193,344,193,589,426,301,217,319,213,315,467,366,598,254,343,166,222,186,269
2020,5,80,"2,298",206,66,97,107,50,109,63,181,145,80,74,98,67,99,154,121,148,74,115,55,81,64,44
2020,5,90,190,13,4,12,9,2,8,3,22,8,3,3,6,7,4,20,5,18,7,13,4,5,7,7
2020,5,100,15,3,0,2,0,1,1,1,2,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0
2020,6,총,"113,829","5,619","2,735","2,467","4,395","4,919","6,797","2,693","4,127","2,992","3,134","1,646","2,467","1,750","4,881","8,937","5,480","8,835","6,436","8,672","2,580","5,405","4,781","12,081"
2020,6,0,"10,073",292,126,91,329,749,565,293,121,115,244,31,75,71,438,"1,046",564,833,493,729,233,573,455,"1,607"
2020,6,10,"12,952",398,184,148,506,575,826,254,242,187,301,79,109,134,534,"1,286",739,"1,083",691,"1,062",313,789,558,"1,954"
2020,6,20,"14,852",666,326,240,549,650,"1,051",273,424,317,400,115,377,186,633,"1,043",645,"1,033","1,112","1,451",299,780,706,"1,576"
2020,6,30,"14,116",621,284,254,542,885,809,421,390,298,371,160,209,166,573,"1,157",641,"1,071",980,"1,062",327,646,686,"1,563"
2020,6,40,"19,655",844,428,413,699,868,"1,174",453,612,475,530,279,383,291,840,"1,711",951,"1,510","1,161","1,370",454,930,819,"2,460"
2020,6,50,"18,441",944,474,475,719,594,"1,184",400,792,504,439,353,462,327,824,"1,262",791,"1,379","1,060","1,541",397,905,834,"1,781"
2020,6,60,"13,506",957,487,414,573,351,730,340,751,509,460,334,427,285,619,790,653,"1,153",606,984,330,471,463,819
2020,6,70,"7,714",677,354,320,362,195,340,192,590,431,302,215,321,213,317,466,367,605,252,345,167,225,187,271
2020,6,80,"2,310",203,68,98,107,49,108,63,182,146,83,75,98,68,99,156,124,150,73,115,56,80,66,43
2020,6,90,194,14,4,12,9,2,9,3,21,9,4,3,6,7,4,20,5,18,8,13,4,6,6,7
2020,6,100,16,3,0,2,0,1,1,1,2,1,0,2,0,2,0,0,0,0,0,0,0,0,1,0
2020,7,총,"113,775","5,591","2,711","2,455","4,355","4,908","6,755","2,662","4,132","2,989","3,117","1,639","2,456","1,738","4,840","8,871","5,467","9,316","6,356","8,652","2,555","5,501","4,688","12,021"
2020,7,0,"10,018",292,123,89,321,746,556,290,122,111,239,29,74,66,426,"1,032",565,885,480,725,228,588,438,"1,593"
2020,7,10,"12,922",387,181,145,498,571,823,251,242,186,298,81,113,135,530,"1,283",738,"1,137",687,"1,047",307,795,544,"1,943"
2020,7,20,"14,822",675,320,240,549,649,"1,044",269,417,315,396,114,370,184,624,"1,019",639,"1,124","1,096","1,460",294,788,688,"1,548"
2020,7,30,"14,047",610,274,247,532,883,793,413,394,291,367,153,206,160,565,"1,136",635,"1,153",958,"1,061",318,675,669,"1,554"
2020,7,40,"19,674",839,428,412,693,864,"1,169",444,615,481,526,284,381,288,839,"1,705",951,"1,582","1,150","1,363",444,953,805,"2,458"
2020,7,50,"18,449",937,465,478,717,593,"1,176",406,788,507,435,348,460,326,814,"1,262",795,"1,457","1,051","1,534",401,903,816,"1,780"
2020,7,60,"13,545",954,485,409,568,356,737,333,761,508,461,332,428,288,615,793,640,"1,191",603,982,331,482,468,820
2020,7,70,"7,758",675,360,320,360,196,340,191,587,437,306,217,315,215,322,465,371,620,250,350,172,228,185,276
2020,7,80,"2,329",206,71,101,108,47,108,61,182,142,85,76,103,68,100,157,128,148,73,117,56,83,68,41
2020,7,90,195,13,4,12,9,2,8,3,22,10,4,3,6,6,5,19,5,19,8,13,4,6,6,8
2020,7,100,16,3,0,2,0,1,1,1,2,1,0,2,0,2,0,0,0,0,0,0,0,0,1,0
2020,8,총,"113,053","5,545","2,685","2,430","4,323","4,848","6,720","2,623","4,102","2,971","3,108","1,624","2,441","1,727","4,820","8,827","5,427","9,452","6,259","8,547","2,530","5,559","4,605","11,880"
2020,8,0,"9,833",285,121,83,317,739,548,277,122,112,235,27,74,66,424,"1,014",559,888,458,702,227,588,416,"1,551"
2020,8,10,"12,822",384,178,142,498,558,812,249,240,185,294,76,114,136,526,"1,280",734,"1,148",673,"1,043",302,797,539,"1,914"
2020,8,20,"14,752",656,315,236,548,639,"1,042",270,415,312,397,116,364,179,626,"1,009",634,"1,160","1,075","1,440",292,798,678,"1,551"
2020,8,30,"13,828",607,267,239,520,864,781,395,390,283,370,147,206,157,558,"1,128",615,"1,179",935,"1,047",306,687,639,"1,508"
2020,8,40,"19,575",832,425,413,688,857,"1,159",439,609,475,519,283,373,287,832,"1,700",958,"1,603","1,136","1,343",445,964,797,"2,438"
2020,8,50,"18,364",933,460,474,716,590,"1,176",405,776,501,430,348,457,316,802,"1,251",793,"1,466","1,048","1,525",398,911,808,"1,780"
2020,8,60,"13,586",950,480,405,561,356,740,333,756,511,465,331,434,298,623,808,635,"1,214",603,973,330,495,467,818
2020,8,70,"7,756",678,363,323,357,194,345,190,587,437,307,217,315,213,322,461,365,627,251,347,173,228,184,272
2020,8,80,"2,321",203,72,100,109,47,107,61,184,144,87,73,98,67,102,158,129,148,72,115,52,84,69,40
2020,8,90,200,14,4,13,9,3,9,3,21,10,4,4,6,6,5,18,5,19,8,12,5,7,7,8
2020,8,100,16,3,0,2,0,1,1,1,2,1,0,2,0,2,0,0,0,0,0,0,0,0,1,0
2020,9,총,"112,457","5,500","2,685","2,422","4,299","4,830","6,674","2,609","4,080","2,958","3,090","1,621","2,418","1,705","4,802","8,758","5,419","9,462","6,225","8,499","2,507","5,553","4,555","11,786"
2020,9,0,"9,653",282,120,81,307,730,535,278,119,111,234,28,72,66,409,990,552,874,453,697,220,584,406,"1,505"
2020,9,10,"12,736",377,178,141,500,558,811,245,233,182,297,74,111,129,517,"1,280",734,"1,144",662,"1,020",300,795,535,"1,913"
2020,9,20,"14,730",652,312,240,544,641,"1,036",270,412,310,391,115,359,176,638,"1,001",641,"1,182","1,079","1,447",286,792,668,"1,538"
