년도,월,나이,광주광역시 동구,광주광역시 동구 충장동,광주광역시 동구 동명동,광주광역시 동구 계림1동,광주광역시 동구 계림2동,광주광역시 동구 산수1동,광주광역시 동구 산수2동,광주광역시 동구 지산1동,광주광역시 동구 지산2동,광주광역시 동구 서남동,광주광역시 동구 학동,광주광역시 동구 학운동,광주광역시 동구 지원1동,광주광역시 동구 지원2동
2020,3,총,"98,628","4,489","3,783","6,026","8,199","8,891","10,649","4,400","4,824","3,168","8,475","12,221","8,211","15,292"
2020,3,0,"6,640",73,126,185,759,566,634,229,239,93,795,679,561,"1,701"
2020,3,10,"7,323",156,222,281,764,679,886,343,418,141,601,"1,016",685,"1,131"
2020,3,20,"13,914",951,639,774,988,"1,189","1,418",781,880,747,"1,176","1,472",994,"1,905"
2020,3,30,"12,406",602,375,648,980,"1,160","1,147",474,432,374,"1,240","1,176","1,079","2,719"
2020,3,40,"13,630",537,520,828,"1,234","1,309","1,407",633,664,352,"1,168","1,601","1,119","2,258"
2020,3,50,"15,400",692,517,"1,129","1,180","1,462","1,819",634,764,465,"1,297","1,892","1,365","2,184"
2020,3,60,"14,086",772,589,"1,112","1,018","1,172","1,613",602,633,465,"1,057","2,005","1,242","1,806"
2020,3,70,"10,074",494,506,704,868,904,"1,166",452,502,348,784,"1,508",808,"1,030"
2020,3,80,"4,474",178,246,320,362,392,504,215,255,160,313,758,307,464
2020,3,90,620,30,40,41,43,53,52,30,34,21,33,109,49,85
2020,3,100,61,4,3,4,3,5,3,7,3,2,11,5,2,9
2020,4,총,"98,622","4,489","3,775","6,008","8,145","8,942","10,615","4,404","4,818","3,178","8,409","12,193","8,199","15,447"
2020,4,0,"6,627",72,124,183,752,576,631,229,234,91,797,677,556,"1,705"
2020,4,10,"7,291",156,219,270,761,687,869,342,416,141,586,"1,009",676,"1,159"
2020,4,20,"13,925",957,640,780,978,"1,189","1,397",787,886,754,"1,163","1,468","1,003","1,923"
2020,4,30,"12,404",595,366,656,971,"1,168","1,156",474,433,385,"1,227","1,160","1,077","2,736"
2020,4,40,"13,629",541,519,824,"1,231","1,318","1,397",633,657,352,"1,165","1,593","1,115","2,284"
2020,4,50,"15,389",693,530,"1,121","1,170","1,452","1,808",629,768,462,"1,281","1,896","1,363","2,216"
2020,4,60,"14,117",767,586,"1,107","1,013","1,191","1,626",609,633,466,"1,055","2,010","1,243","1,811"
2020,4,70,"10,043",493,501,706,856,900,"1,166",453,495,342,776,"1,502",807,"1,046"
2020,4,80,"4,514",181,250,319,365,401,508,210,258,162,315,767,306,472
2020,4,90,620,30,37,38,45,55,54,31,35,21,33,105,51,85
2020,4,100,63,4,3,4,3,5,3,7,3,2,11,6,2,10
2020,5,총,"99,158","4,547","3,754","5,995","8,099","8,975","10,570","4,388","4,828","3,189","8,375","12,136","8,166","16,136"
2020,5,0,"6,661",73,121,181,751,575,622,219,228,88,797,679,549,"1,778"
2020,5,10,"7,292",155,221,264,756,688,862,332,415,138,582,997,680,"1,202"
2020,5,20,"14,096","1,006",636,781,973,"1,201","1,384",802,900,783,"1,161","1,462",983,"2,024"
2020,5,30,"12,510",605,364,654,952,"1,177","1,153",481,434,385,"1,217","1,144","1,080","2,864"
2020,5,40,"13,656",536,514,815,"1,226","1,318","1,384",616,651,350,"1,157","1,576","1,107","2,406"
2020,5,50,"15,454",690,520,"1,111","1,166","1,459","1,807",629,777,452,"1,268","1,883","1,353","2,339"
2020,5,60,"14,164",771,588,"1,110","1,009","1,185","1,620",606,631,465,"1,051","2,006","1,239","1,883"
2020,5,70,"10,095",490,503,716,855,909,"1,167",453,494,342,782,"1,509",817,"1,058"
2020,5,80,"4,538",185,248,319,364,403,512,212,259,164,314,766,307,485
2020,5,90,626,31,36,40,44,55,56,31,36,20,35,108,48,86
2020,5,100,66,5,3,4,3,5,3,7,3,2,11,6,3,11
2020,6,총,"99,273","4,581","3,757","5,992","8,058","8,961","10,508","4,399","4,806","3,186","8,364","12,071","8,156","16,434"
2020,6,0,"6,660",72,119,179,752,568,611,223,226,86,796,671,554,"1,803"
2020,6,10,"7,267",156,218,262,756,683,861,340,406,139,572,984,676,"1,214"
2020,6,20,"14,165","1,039",644,789,953,"1,205","1,366",803,906,786,"1,168","1,439",981,"2,086"
2020,6,30,"12,517",611,367,651,944,"1,173","1,139",480,432,382,"1,220","1,140","1,071","2,907"
