년도,월,나이,부산광역시 중구,부산광역시 중구 중앙동,부산광역시 중구 동광동,부산광역시 중구 대청동,부산광역시 중구 보수동,부산광역시 중구 부평동,부산광역시 중구 광복동,부산광역시 중구 남포동,부산광역시 중구 영주제1동,부산광역시 중구 영주제2동
2020,1,총,"20,508","1,060","1,485","3,156","5,262","2,228",560,584,"2,467","3,706"
2020,1,0,779,23,44,129,217,73,12,10,100,171
2020,1,10,"1,133",37,56,197,324,113,25,14,117,250
2020,1,20,"2,751",194,162,463,736,251,68,42,396,439
2020,1,30,"2,501",149,153,379,621,266,63,64,403,403
2020,1,40,"3,058",143,209,491,814,318,65,71,411,536
2020,1,50,"3,627",184,294,535,940,384,100,136,372,682
2020,1,60,"3,650",190,272,540,871,460,137,158,377,645
2020,1,70,"2,168",98,219,303,518,267,61,71,203,428
2020,1,80,727,35,63,104,200,78,22,12,76,137
2020,1,90,97,7,12,12,18,13,5,6,10,14
2020,1,100,17,0,1,3,3,5,2,0,2,1
2020,2,총,"20,482","1,079","1,479","3,152","5,238","2,226",560,582,"2,476","3,690"
2020,2,0,766,21,43,130,213,71,12,9,103,164
2020,2,10,"1,134",39,54,198,322,111,28,15,114,253
2020,2,20,"2,753",200,160,461,737,248,68,42,403,434
2020,2,30,"2,474",156,147,373,613,267,63,63,395,397
2020,2,40,"3,040",146,203,495,810,311,63,70,415,527
2020,2,50,"3,642",190,300,532,930,394,99,134,373,690
2020,2,60,"3,654",185,274,543,873,462,137,160,379,641
2020,2,70,"2,166",100,220,303,514,265,61,71,204,428
2020,2,80,738,35,65,101,205,79,22,12,78,141
2020,2,90,97,7,12,12,18,13,5,6,10,14
2020,2,100,18,0,1,4,3,5,2,0,2,1
2020,3,총,"20,454","1,103","1,488","3,126","5,237","2,243",546,579,"2,467","3,665"
2020,3,0,767,20,44,124,212,72,12,9,108,166
2020,3,10,"1,123",39,54,198,320,113,26,13,113,247
2020,3,20,"2,753",203,161,456,739,254,64,42,398,436
2020,3,30,"2,455",171,143,367,609,266,62,63,386,388
2020,3,40,"3,026",149,210,487,799,314,64,70,415,518
2020,3,50,"3,631",189,292,526,938,395,94,131,376,690
2020,3,60,"3,672",191,277,547,877,465,136,164,373,642
2020,3,70,"2,157",99,226,301,512,261,57,71,208,422
2020,3,80,755,35,68,104,209,86,24,10,78,141
2020,3,90,97,7,12,12,19,12,5,6,10,14
2020,3,100,18,0,1,4,3,5,2,0,2,1
2020,4,총,"20,451","1,116","1,485","3,127","5,252","2,236",547,579,"2,449","3,660"
2020,4,0,764,20,42,121,218,70,13,8,107,165
2020,4,10,"1,114",41,54,197,314,114,23,14,111,246
2020,4,20,"2,775",207,161,468,745,255,65,40,397,437
2020,4,30,"2,439",174,142,371,603,261,60,63,376,389
2020,4,40,"3,031",147,213,481,809,315,65,68,416,517
2020,4,50,"3,614",192,288,523,940,396,94,132,371,678
2020,4,60,"3,667",194,277,549,874,458,137,167,367,644
2020,4,70,"2,176",99,226,300,517,263,59,70,213,429
2020,4,80,756,35,69,101,210,87,24,11,79,140
2020,4,90,97,7,12,12,19,12,5,6,10,14
2020,4,100,18,0,1,4,3,5,2,0,2,1
2020,5,총,"20,457","1,131","1,487","3,119","5,260","2,233",550,575,"2,451","3,651"
2020,5,0,752,19,41,120,215,67,12,8,105,165
2020,5,10,"1,107",41,53,194,315,116,23,14,110,241
2020,5,20,"2,785",216,160,472,749,254,66,38,397,433
2020,5,30,"2,435",178,143,363,601,262,61,63,382,382
2020,5,40,"3,040",147,217,484,809,317,66,69,411,520
2020,5,50,"3,607",195,288,522,938,395,92,130,372,675
2020,5,60,"3,662",193,276,541,879,453,138,165,366,651
2020,5,70,"2,193",101,227,305,520,263,60,71,216,430
2020,5,80,761,34,69,103,212,89,25,11,80,138
2020,5,90,97,7,12,11,19,12,5,6,10,15
2020,5,100,18,0,1,4,3,5,2,0,2,1
2020,6,총,"20,411","1,148","1,472","3,113","5,225","2,233",544,580,"2,453","3,643"
2020,6,0,739,19,40,119,206,65,11,10,106,163
2020,6,10,"1,086",37,50,193,308,115,22,14,108,239
2020,6,20,"2,797",223,162,469,747,253,65,43,403,432
2020,6,30,"2,427",196,139,361,595,258,59,57,381,381
2020,6,40,"3,031",147,214,483,802,321,67,71,409,517
2020,6,50,"3,594",195,282,522,929,391,94,133,373,675
2020,6,60,"3,663",192,278,541,884,452,135,164,364,653
2020,6,70,"2,195",100,222,307,518,268,60,71,219,430
2020,6,80,761,32,71,103,213,92,24,11,78,137
2020,6,90,100,7,13,11,20,13,5,6,10,15
2020,6,100,18,0,1,4,3,5,2,0,2,1
2020,7,총,"20,380","1,173","1,465","3,111","5,210","2,234",542,581,"2,438","3,626"
2020,7,0,735,20,39,118,205,68,10,10,102,163
2020,7,10,"1,068",39,47,190,305,112,22,14,108,231
2020,7,20,"2,799",230,162,471,741,260,64,44,395,432
2020,7,30,"2,438",207,139,364,596,259,58,56,383,376
2020,7,40,"3,008",149,213,486,800,312,66,68,404,510
2020,7,50,"3,570",192,281,516,921,387,95,134,371,673
2020,7,60,"3,672",196,274,540,887,451,136,167,363,658
2020,7,70,"2,202",101,225,308,518,272,59,70,222,427
2020,7,80,770,33,72,103,214,94,24,12,78,140
2020,7,90,100,6,12,11,20,14,6,6,10,15
2020,7,100,18,0,1,4,3,5,2,0,2,1
2020,8,총,"20,358","1,183","1,467","3,108","5,214","2,221",540,582,"2,435","3,608"
2020,8,0,728,19,39,116,207,66,10,10,97,164
2020,8,10,"1,060",40,47,185,305,109,22,14,109,229
2020,8,20,"2,803",232,166,470,740,264,62,42,401,426
2020,8,30,"2,446",213,137,369,599,257,58,57,382,374
2020,8,40,"2,972",144,214,478,797,305,63,70,396,505
2020,8,50,"3,569",203,283,519,911,385,98,134,369,667
2020,8,60,"3,681",192,270,544,901,451,135,165,367,656
2020,8,70,"2,211",100,224,311,516,272,61,73,225,429
2020,8,80,766,34,74,99,214,93,23,11,76,142
2020,8,90,103,6,12,13,21,13,6,6,11,15
2020,8,100,19,0,1,4,3,6,2,0,2,1
2020,9,총,"20,345","1,193","1,471","3,119","5,202","2,201",539,578,"2,440","3,602"
2020,9,0,715,20,37,115,203,65,9,10,99,157
2020,9,10,"1,051",40,45,187,302,107,20,13,109,228
2020,9,20,"2,806",232,172,469,745,253,64,41,408,422
2020,9,30,"2,424",216,134,364,591,254,58,55,383,369
2020,9,40,"2,972",148,213,482,797,296,63,68,394,511
2020,9,50,"3,590",200,285,526,910,397,99,135,367,671
2020,9,60,"3,692",196,276,546,905,443,135,165,367,659
2020,9,70,"2,213",101,222,315,512,276,61,74,224,428
2020,9,80,762,34,74,98,214,92,22,10,77,141
2020,9,90,101,6,12,13,20,12,6,7,10,15
2020,9,100,19,0,1,4,3,6,2,0,2,1
2020,10,총,"20,320","1,196","1,468","3,112","5,187","2,199",543,585,"2,422","3,608"
2020,10,0,715,20,35,119,201,69,9,10,99,153
2020,10,10,"1,036",42,44,183,291,107,21,13,106,229
2020,10,20,"2,805",235,173,465,748,250,64,39,405,426
2020,10,30,"2,431",215,136,366,593,254,58,55,383,371
2020,10,40,"2,962",151,213,484,787,296,62,70,388,511
2020,10,50,"3,564",197,281,517,905,399,104,137,365,659
2020,10,60,"3,700",196,280,543,908,440,133,167,363,670
2020,10,70,"2,215",101,217,318,516,274,60,76,224,429
2020,10,80,770,33,76,100,213,92,24,11,77,144
2020,10,90,102,6,12,12,22,12,6,7,10,15
2020,10,100,20,0,1,5,3,6,2,0,2,1
2020,11,총,"20,294","1,203","1,460","3,089","5,206","2,193",541,581,"2,429","3,592"
2020,11,0,708,19,35,117,199,68,10,9,102,149
2020,11,10,"1,029",41,43,183,292,102,21,13,106,228
2020,11,20,"2,793",238,172,458,751,250,63,38,400,423
2020,11,30,"2,429",223,138,353,597,255,58,52,385,368
2020,11,40,"2,963",150,207,485,793,294,63,70,390,511
2020,11,50,"3,562",198,278,518,907,396,102,136,372,655
2020,11,60,"3,701",194,281,539,914,443,133,168,362,667
2020,11,70,"2,224",102,215,321,518,278,60,77,225,428
2020,11,80,759,32,77,98,209,88,23,11,75,146
2020,11,90,106,6,13,12,23,13,6,7,10,16
2020,11,100,20,0,1,5,3,6,2,0,2,1
2020,12,총,"20,282","1,220","1,456","3,071","5,200","2,214",536,572,"2,440","3,573"
2020,12,0,689,19,34,113,195,67,9,9,101,142
2020,12,10,"1,032",41,47,181,289,105,21,13,110,225
2020,12,20,"2,806",249,170,458,749,256,63,35,405,421
2020,12,30,"2,424",227,135,354,589,266,56,49,386,362
2020,12,40,"2,939",148,204,476,793,296,64,70,388,500
2020,12,50,"3,562",199,277,517,909,393,102,135,373,657
2020,12,60,"3,709",195,286,536,918,440,131,169,365,669
2020,12,70,"2,226",104,212,317,520,281,58,75,226,433
2020,12,80,768,32,77,101,212,91,24,10,74,147
2020,12,90,107,6,13,13,23,13,6,7,10,16
2020,12,100,20,0,1,5,3,6,2,0,2,1
2021,1,총,"20,269","1,231","1,464","3,053","5,205","2,212",535,572,"2,436","3,561"
2021,1,0,686,21,35,109,197,65,11,9,99,140
2021,1,10,"1,021",38,47,180,286,108,17,13,110,222
2021,1,20,"2,806",261,172,461,745,256,64,36,400,411
2021,1,30,"2,416",227,132,352,588,258,57,49,388,365
2021,1,40,"2,951",156,206,479,795,297,60,71,386,501
2021,1,50,"3,535",190,279,507,904,395,103,134,374,649
2021,1,60,"3,717",194,286,529,924,443,133,166,367,675
2021,1,70,"2,231",105,214,318,528,278,58,77,224,429
2021,1,80,779,33,79,100,212,93,24,10,76,152
2021,1,90,107,6,13,13,23,13,6,7,10,16
2021,1,100,20,0,1,5,3,6,2,0,2,1
2021,2,총,"20,262","1,253","1,448","3,050","5,210","2,227",533,567,"2,432","3,542"
2021,2,0,674,19,33,105,199,63,12,9,97,137
2021,2,10,"1,011",38,46,184,286,105,16,14,106,216
2021,2,20,"2,802",271,160,458,746,260,63,36,396,412
2021,2,30,"2,443",228,133,350,596,267,59,53,392,365
2021,2,40,"2,942",163,204,484,783,299,60,65,386,498
2021,2,50,"3,522",192,276,500,906,393,101,137,374,643
2021,2,60,"3,731",196,288,536,925,452,130,161,367,676
2021,2,70,"2,223",105,215,313,528,278,61,73,224,426
2021,2,80,785,35,77,102,214,91,23,12,78,153
2021,2,90,109,6,15,13,24,13,6,7,10,15
2021,2,100,20,0,1,5,3,6,2,0,2,1
2021,3,총,"20,169","1,207","1,438","3,022","5,234","2,215",531,560,"2,427","3,535"
2021,3,0,661,19,33,101,192,61,13,9,96,137
2021,3,10,"1,001",39,48,181,285,106,16,14,102,210
2021,3,20,"2,814",268,159,453,766,261,62,36,394,415
2021,3,30,"2,420",217,134,338,596,271,61,51,391,361
2021,3,40,"2,933",161,206,482,785,289,59,62,390,499
2021,3,50,"3,503",187,271,495,910,393,99,136,370,642
2021,3,60,"3,733",188,282,542,931,446,131,163,372,678
2021,3,70,"2,217",99,212,312,531,284,60,73,223,423
