년도,월,나이,정선군,정선읍,고한읍,사북읍,신동읍,신동읍함백출장소,남면,북평면,임계면,화암면,여량면
2020,1,총,"19,320","5,502","2,477","2,593",958,852,"1,747","1,303","1,897",905,"1,086"
2020,1,0,972,361,118,172,33,23,90,51,58,27,39
2020,1,10,"1,394",553,120,229,59,62,94,83,94,48,52
2020,1,20,"1,661",580,188,236,78,67,140,108,118,73,73
2020,1,30,"1,897",521,423,296,64,64,209,88,119,45,68
2020,1,40,"2,950",899,453,426,145,120,257,177,223,112,138
2020,1,50,"3,933","1,046",438,514,215,192,344,284,436,239,225
2020,1,60,"3,657",868,398,433,207,166,380,279,445,208,273
2020,1,70,"2,057",487,256,219,107,114,181,155,267,112,159
2020,1,80,701,166,69,63,46,30,46,64,126,39,52
2020,1,90,78,17,11,1,4,8,5,12,11,2,7
2020,1,100,20,4,3,4,0,6,1,2,0,0,0
2020,2,총,"19,238","5,469","2,458","2,595",962,846,"1,739","1,304","1,885",900,"1,080"
2020,2,0,955,360,115,170,36,23,84,52,54,25,36
2020,2,10,"1,376",538,115,228,61,60,96,87,93,47,51
2020,2,20,"1,629",573,185,234,73,66,137,104,112,72,73
2020,2,30,"1,889",519,418,295,66,64,208,85,117,48,69
2020,2,40,"2,917",885,440,431,142,119,258,178,220,110,134
2020,2,50,"3,925","1,048",444,511,215,192,339,286,434,235,221
2020,2,60,"3,686",874,401,438,211,165,388,275,448,209,277
2020,2,70,"2,049",482,254,220,108,111,180,157,268,113,156
2020,2,80,714,170,72,62,46,32,43,66,128,39,56
2020,2,90,78,16,11,2,4,8,5,12,11,2,7
2020,2,100,20,4,3,4,0,6,1,2,0,0,0
2020,3,총,"19,234","5,465","2,472","2,576",967,835,"1,753","1,306","1,876",903,"1,081"
2020,3,0,944,351,117,165,36,22,85,52,55,25,36
2020,3,10,"1,367",534,117,218,61,58,99,92,90,47,51
2020,3,20,"1,635",578,182,236,73,66,143,104,108,72,73
2020,3,30,"1,880",521,424,289,67,63,202,83,117,46,68
2020,3,40,"2,900",872,442,423,139,112,264,182,219,113,134
2020,3,50,"3,914","1,050",448,508,219,193,338,282,432,229,215
2020,3,60,"3,727",882,397,445,215,166,393,277,453,218,281
2020,3,70,"2,052",485,258,221,107,110,179,155,266,112,159
2020,3,80,717,171,73,64,46,32,43,67,125,39,57
2020,3,90,79,17,11,3,4,7,6,11,11,2,7
2020,3,100,19,4,3,4,0,6,1,1,0,0,0
2020,4,총,"19,232","5,462","2,472","2,575",965,834,"1,766","1,304","1,874",900,"1,080"
2020,4,0,933,352,115,165,34,20,85,49,57,22,34
2020,4,10,"1,364",529,118,212,64,58,98,93,89,50,53
2020,4,20,"1,633",581,184,232,72,66,145,101,108,72,72
2020,4,30,"1,851",509,422,282,65,61,199,84,114,46,69
2020,4,40,"2,914",883,439,430,140,114,261,183,219,110,135
2020,4,50,"3,891","1,036",448,507,216,191,343,282,428,228,212
2020,4,60,"3,777",892,401,455,217,170,406,278,458,218,282
2020,4,70,"2,042",485,257,219,105,108,179,154,263,112,160
2020,4,80,729,174,74,66,47,33,44,68,126,40,57
2020,4,90,79,17,11,3,5,7,5,11,12,2,6
2020,4,100,19,4,3,4,0,6,1,1,0,0,0
2020,5,총,"19,224","5,469","2,478","2,576",961,831,"1,765","1,302","1,877",897,"1,068"
2020,5,0,933,351,117,166,34,19,85,49,56,22,34
2020,5,10,"1,355",535,117,209,64,55,97,89,90,50,49
2020,5,20,"1,633",580,184,231,71,69,143,106,108,72,69
2020,5,30,"1,840",508,427,279,63,61,193,82,113,45,69
2020,5,40,"2,886",876,438,425,138,112,263,177,217,107,133
2020,5,50,"3,899","1,037",451,518,216,188,343,285,424,227,210
2020,5,60,"3,804",901,399,455,216,173,413,276,467,221,283
2020,5,70,"2,044",487,255,220,105,108,178,158,263,111,159
2020,5,80,732,173,76,66,49,33,44,68,127,40,56
2020,5,90,79,17,11,3,5,7,5,11,12,2,6
2020,5,100,19,4,3,4,0,6,1,1,0,0,0
2020,6,총,"19,236","5,480","2,485","2,566",963,830,"1,760","1,301","1,878",905,"1,068"
2020,6,0,933,344,126,163,35,17,83,53,56,22,34
2020,6,10,"1,346",534,111,211,66,56,92,84,91,52,49
2020,6,20,"1,626",581,182,226,71,67,143,110,106,72,68
2020,6,30,"1,829",509,424,281,64,60,190,81,110,42,68
2020,6,40,"2,894",874,437,424,138,111,266,180,218,111,135
2020,6,50,"3,888","1,044",447,508,212,188,344,281,426,229,209
2020,6,60,"3,838",910,413,457,218,173,415,276,470,222,284
2020,6,70,"2,044",487,252,223,104,110,177,157,263,113,158
2020,6,80,740,176,79,66,50,35,44,68,125,40,57
2020,6,90,79,17,11,3,5,7,5,10,13,2,6
2020,6,100,19,4,3,4,0,6,1,1,0,0,0
2020,7,총,"19,218","5,477","2,483","2,572",957,829,"1,756","1,297","1,872",906,"1,069"
2020,7,0,918,340,121,162,35,16,81,52,55,21,35
2020,7,10,"1,346",535,111,206,63,58,93,86,90,54,50
2020,7,20,"1,615",574,189,230,72,65,135,109,104,69,68
2020,7,30,"1,817",506,418,282,60,61,190,81,110,43,66
2020,7,40,"2,894",882,440,420,135,108,269,179,216,110,135
2020,7,50,"3,879","1,045",445,515,214,188,341,276,424,228,203
2020,7,60,"3,867",914,412,460,218,175,421,280,471,226,290
2020,7,70,"2,042",485,254,223,106,110,175,155,263,112,159
2020,7,80,744,176,79,67,50,35,45,68,126,41,57
2020,7,90,76,16,11,3,4,6,5,10,13,2,6
2020,7,100,20,4,3,4,0,7,1,1,0,0,0
2020,8,총,"19,235","5,483","2,480","2,571",960,829,"1,757","1,299","1,879",910,"1,067"
2020,8,0,910,333,122,161,35,17,79,52,56,21,34
2020,8,10,"1,345",537,111,206,62,59,91,85,88,55,51
2020,8,20,"1,606",572,187,225,73,65,133,109,107,69,66
2020,8,30,"1,805",508,414,280,60,59,187,79,109,43,66
2020,8,40,"2,887",876,439,426,133,109,273,176,213,109,133
2020,8,50,"3,894","1,054",440,513,215,184,341,281,432,231,203
2020,8,60,"3,886",919,417,463,218,178,424,278,471,226,292
2020,8,70,"2,057",486,254,222,110,111,178,160,263,114,159
2020,8,80,750,178,82,68,50,34,45,68,127,40,58
2020,8,90,75,16,11,3,4,6,5,10,13,2,5
2020,8,100,20,4,3,4,0,7,1,1,0,0,0
2020,9,총,"19,202","5,488","2,485","2,556",953,832,"1,748","1,294","1,873",910,"1,063"
2020,9,0,903,334,121,160,35,15,77,52,55,22,32
2020,9,10,"1,333",536,111,200,62,59,89,84,85,54,53
2020,9,20,"1,613",580,188,229,72,68,130,107,107,69,63
2020,9,30,"1,785",502,417,270,58,59,185,78,109,43,64
2020,9,40,"2,887",881,447,419,130,110,272,174,211,109,134
2020,9,50,"3,878","1,052",438,516,210,184,338,280,428,229,203
2020,9,60,"3,904",916,413,467,222,180,429,281,477,227,292
2020,9,70,"2,045",487,253,222,109,110,175,159,259,115,156
2020,9,80,757,178,83,67,51,34,47,68,128,40,61
2020,9,90,77,18,11,2,4,6,5,10,14,2,5
2020,9,100,20,4,3,4,0,7,1,1,0,0,0
2020,10,총,"19,203","5,479","2,496","2,550",956,826,"1,757","1,290","1,878",903,"1,068"
2020,10,0,904,333,123,158,35,15,77,54,55,22,32
2020,10,10,"1,323",535,112,198,62,56,88,84,84,52,52
2020,10,20,"1,615",580,187,232,69,70,132,104,109,69,63
2020,10,30,"1,757",492,416,264,55,59,179,79,109,41,63
