년도,월,나이,경상남도 고성군,경상남도 고성군 고성읍,경상남도 고성군 삼산면,경상남도 고성군 하일면,경상남도 고성군 하이면,경상남도 고성군 상리면,경상남도 고성군 대가면,경상남도 고성군 영현면,경상남도 고성군 영오면,경상남도 고성군 개천면,경상남도 고성군 구만면,경상남도 고성군 회화면,경상남도 고성군 마암면,경상남도 고성군 동해면,경상남도 고성군 거류면
2020,1,총,"26,030","12,446",876,959,"1,340",827,821,495,740,588,508,"1,849",891,"1,551","2,139"
2020,1,0,"1,418","1,035",22,13,57,11,14,10,20,16,16,87,13,35,69
2020,1,10,"1,912","1,202",40,54,87,35,32,18,38,29,15,131,25,69,137
2020,1,20,"1,710","1,006",36,36,95,32,38,23,37,32,23,124,38,78,112
2020,1,30,"1,963","1,293",34,39,84,38,31,18,27,20,13,134,32,61,139
2020,1,40,"2,959","1,864",67,52,138,61,53,25,54,29,30,189,73,103,221
2020,1,50,"4,285","2,099",142,132,224,146,126,63,127,91,75,310,142,259,349
2020,1,60,"4,622","1,838",207,236,270,149,166,105,135,118,98,367,183,336,414
2020,1,70,"3,848","1,253",180,215,214,181,162,120,139,108,115,276,204,314,367
2020,1,80,"2,825",731,125,155,140,150,174,95,138,119,103,198,154,253,290
2020,1,90,479,120,23,27,31,24,25,18,24,25,20,33,27,42,40
2020,1,100,9,5,0,0,0,0,0,0,1,1,0,0,0,1,1
2020,2,총,"25,957","12,421",860,951,"1,341",825,815,493,744,593,506,"1,845",888,"1,540","2,135"
2020,2,0,"1,402","1,023",22,11,55,9,14,10,21,16,15,87,12,35,72
2020,2,10,"1,894","1,196",34,48,90,35,31,18,38,32,14,130,25,68,135
2020,2,20,"1,672",992,33,37,91,34,36,23,33,31,21,122,39,75,105
2020,2,30,"1,950","1,281",35,37,84,38,31,18,32,20,12,134,32,58,138
2020,2,40,"2,941","1,857",64,52,139,60,51,25,53,31,30,186,71,102,220
2020,2,50,"4,282","2,107",138,130,223,146,123,62,129,89,77,312,146,255,345
2020,2,60,"4,636","1,846",207,238,271,147,170,103,131,121,99,368,179,339,417
2020,2,70,"3,829","1,257",180,211,214,177,159,121,141,108,113,270,202,311,365
2020,2,80,"2,850",733,127,159,142,153,174,95,141,118,104,202,152,254,296
2020,2,90,491,123,20,28,32,26,26,18,24,26,21,34,30,42,41
2020,2,100,10,6,0,0,0,0,0,0,1,1,0,0,0,1,1
2020,3,총,"25,888","12,381",862,944,"1,334",827,820,495,743,589,500,"1,848",888,"1,536","2,121"
2020,3,0,"1,395","1,021",21,11,53,9,14,10,21,16,17,86,12,33,71
2020,3,10,"1,888","1,193",33,45,90,35,32,19,38,32,14,133,24,68,132
2020,3,20,"1,637",964,34,37,90,33,35,23,32,30,17,126,39,74,103
2020,3,30,"1,921","1,271",33,34,84,38,31,18,33,18,12,127,29,59,134
2020,3,40,"2,918","1,845",63,52,139,59,52,25,52,30,30,188,70,100,213
2020,3,50,"4,289","2,112",143,130,221,147,123,63,127,88,73,311,147,255,349
2020,3,60,"4,646","1,848",208,240,269,151,177,102,133,122,100,370,180,336,410
2020,3,70,"3,833","1,254",181,210,213,176,157,120,141,109,117,271,199,316,369
2020,3,80,"2,857",741,124,156,144,154,175,97,142,118,101,201,158,249,297
2020,3,90,494,126,22,29,31,25,24,18,23,25,19,35,30,45,42
2020,3,100,10,6,0,0,0,0,0,0,1,1,0,0,0,1,1
2020,4,총,"25,865","12,375",862,945,"1,328",827,820,495,741,585,500,"1,847",889,"1,531","2,120"
2020,4,0,"1,385","1,015",21,11,53,10,14,10,21,15,17,83,12,34,69
2020,4,10,"1,878","1,188",35,45,89,35,31,18,37,32,14,130,24,65,135
2020,4,20,"1,641",964,33,37,90,32,36,23,33,29,17,128,39,77,103
2020,4,30,"1,912","1,273",33,36,84,37,30,17,33,18,12,125,28,57,129
2020,4,40,"2,907","1,837",64,52,136,59,50,24,50,30,29,193,71,101,211
2020,4,50,"4,266","2,106",143,130,217,148,122,63,121,87,73,305,148,250,353
2020,4,60,"4,669","1,863",206,240,271,150,180,104,139,120,99,375,176,337,409
2020,4,70,"3,832","1,255",180,209,213,178,159,121,141,109,118,270,202,312,365
2020,4,80,"2,871",744,124,156,146,153,174,95,139,119,101,203,160,254,303
2020,4,90,494,124,23,29,29,25,24,20,26,25,20,35,29,43,42
2020,4,100,10,6,0,0,0,0,0,0,1,1,0,0,0,1,1
2020,5,총,"25,828","12,330",861,951,"1,325",825,818,493,742,583,500,"1,852",887,"1,535","2,126"
2020,5,0,"1,373","1,002",19,11,53,11,14,10,21,15,17,83,11,34,72
2020,5,10,"1,871","1,182",36,44,90,33,30,18,35,32,14,132,24,65,136
2020,5,20,"1,636",965,33,37,88,33,35,23,33,28,17,126,38,76,104
2020,5,30,"1,887","1,254",30,36,82,36,30,18,33,17,12,127,26,58,128
2020,5,40,"2,890","1,814",67,54,134,58,51,24,49,30,29,197,71,102,210
2020,5,50,"4,247","2,108",138,131,214,145,121,63,119,87,72,301,148,248,352
2020,5,60,"4,690","1,872",209,240,273,152,179,101,141,120,98,374,177,341,413
2020,5,70,"3,841","1,258",178,212,215,176,161,120,141,108,119,271,202,312,368
2020,5,80,"2,881",741,128,157,145,156,173,96,142,119,102,205,160,256,301
2020,5,90,500,128,23,29,31,25,24,20,27,26,19,36,29,42,41
2020,5,100,12,6,0,0,0,0,0,0,1,1,1,0,1,1,1
2020,6,총,"25,800","12,307",873,947,"1,325",829,821,493,742,583,501,"1,848",890,"1,519","2,122"
2020,6,0,"1,364",989,22,11,54,13,13,10,23,15,17,83,11,34,69
2020,6,10,"1,874","1,188",37,43,91,32,33,18,34,32,14,129,23,64,136
2020,6,20,"1,638",965,32,38,87,33,35,23,35,28,17,127,41,71,106
2020,6,30,"1,860","1,239",31,35,81,37,31,17,32,17,11,125,25,55,124
2020,6,40,"2,892","1,815",71,54,134,57,51,23,48,30,30,195,70,102,212
2020,6,50,"4,228","2,095",137,127,215,144,122,64,118,88,72,304,148,243,351
2020,6,60,"4,722","1,881",215,242,276,154,180,103,143,120,97,376,179,344,412
2020,6,70,"3,827","1,257",176,211,211,177,161,119,140,107,121,271,199,310,367
2020,6,80,"2,883",745,129,157,146,157,170,97,142,119,102,203,163,252,301
2020,6,90,500,127,23,29,30,25,25,19,26,26,19,35,30,43,43
2020,6,100,12,6,0,0,0,0,0,0,1,1,1,0,1,1,1
2020,7,총,"25,766","12,285",872,951,"1,322",823,818,492,741,582,504,"1,850",886,"1,522","2,118"
2020,7,0,"1,343",970,23,12,54,13,13,9,23,14,17,82,11,34,68
2020,7,10,"1,872","1,190",38,40,91,31,30,17,34,32,16,132,23,65,133
2020,7,20,"1,627",955,32,38,86,35,35,23,35,28,17,125,40,73,105
2020,7,30,"1,839","1,231",30,35,79,36,30,17,31,17,12,122,25,54,120
2020,7,40,"2,887","1,813",71,56,134,56,52,23,46,29,29,198,68,97,215
2020,7,50,"4,225","2,101",131,129,215,140,121,62,119,86,71,302,148,252,348
2020,7,60,"4,733","1,882",217,241,278,155,182,105,143,124,98,376,178,341,413
2020,7,70,"3,839","1,265",179,214,211,175,157,119,140,106,122,275,198,309,369
2020,7,80,"2,893",747,128,157,144,158,173,98,142,119,102,203,165,254,303
2020,7,90,495,125,23,29,30,23,25,19,27,26,19,35,29,42,43
2020,7,100,13,6,0,0,0,1,0,0,1,1,1,0,1,1,1
2020,8,총,"25,735","12,284",867,945,"1,323",814,821,492,738,582,510,"1,840",883,"1,517","2,119"
2020,8,0,"1,327",962,22,12,54,12,15,9,21,14,16,76,11,35,68
2020,8,10,"1,866","1,185",38,39,91,29,30,18,34,32,18,133,23,64,132
2020,8,20,"1,624",957,30,35,87,36,36,23,35,28,17,121,40,72,107
2020,8,30,"1,824","1,222",30,34,78,35,28,17,31,17,12,121,27,52,120
2020,8,40,"2,874","1,814",73,57,128,55,54,23,45,29,28,196,66,96,210
2020,8,50,"4,225","2,103",133,128,218,138,122,60,119,84,74,304,149,249,344
2020,8,60,"4,757","1,899",215,242,279,154,181,106,142,125,99,378,174,345,418
2020,8,70,"3,823","1,262",176,213,209,172,156,118,139,105,121,277,200,306,369
2020,8,80,"2,901",749,126,157,148,158,173,99,143,120,104,199,163,255,307
2020,8,90,501,125,24,28,31,24,26,19,28,27,20,35,29,42,43
2020,8,100,13,6,0,0,0,1,0,0,1,1,1,0,1,1,1
2020,9,총,"25,692","12,256",864,946,"1,322",818,819,491,742,580,505,"1,836",883,"1,511","2,119"
2020,9,0,"1,318",950,22,13,53,12,15,9,23,14,16,76,12,35,68
2020,9,10,"1,860","1,184",38,38,90,29,30,17,33,32,17,133,23,64,132
2020,9,20,"1,625",954,29,35,89,36,35,22,37,28,16,119,41,73,111
2020,9,30,"1,791","1,197",30,34,76,35,29,18,29,17,13,120,27,51,115
2020,9,40,"2,874","1,811",72,58,127,57,53,23,48,29,28,196,65,94,213
2020,9,50,"4,185","2,095",127,128,216,136,118,57,117,80,71,305,146,249,340
2020,9,60,"4,795","1,923",222,241,280,157,183,108,146,125,98,378,175,342,417
2020,9,70,"3,814","1,258",173,214,210,173,156,117,139,105,121,274,197,306,371
