년도,월,나이,강북구,삼양동,미아동,송중동,송천동,삼각산동,번1동,번2동,번3동,수유1동,수유2동,수유3동,우이동,인수동
2020,1,총,"153,058","12,597","10,697","14,785","13,987","15,744","9,586","8,239","8,540","10,649","10,488","11,822","10,310","15,614"
2020,1,0,"8,933",762,472,836,639,"1,680",403,420,555,557,596,464,640,909
2020,1,10,"12,082","1,084",756,"1,074",890,"2,145",625,630,735,743,813,662,775,"1,150"
2020,1,20,"21,333","1,692","1,621","2,071","1,946","1,709","1,580","1,117","1,051","1,591","1,485","2,050","1,324","2,096"
2020,1,30,"21,386","1,676","1,575","2,224","1,897","1,871","1,523","1,099",994,"1,564","1,395","1,957","1,425","2,186"
2020,1,40,"24,981","2,009","1,643","2,468","2,145","3,292","1,597","1,331","1,443","1,649","1,607","1,816","1,568","2,413"
2020,1,50,"26,048","2,261","1,863","2,436","2,637","2,455","1,606","1,409","1,354","1,826","1,827","2,033","1,710","2,631"
2020,1,60,"20,706","1,728","1,526","2,002","2,166","1,508","1,219","1,186","1,149","1,472","1,480","1,528","1,486","2,256"
2020,1,70,"12,956","1,035",911,"1,253","1,217",804,781,797,985,901,912,974,957,"1,429"
2020,1,80,"4,184",305,304,378,403,249,231,235,254,309,340,307,372,497
2020,1,90,390,35,25,32,42,23,20,12,19,33,32,29,45,43
2020,1,100,59,10,1,11,5,8,1,3,1,4,1,2,8,4
2020,2,총,"152,857","12,545","10,688","14,822","13,979","15,699","9,564","8,248","8,508","10,616","10,484","11,833","10,289","15,582"
2020,2,0,"8,870",750,473,840,643,"1,669",396,416,548,548,586,463,640,898
2020,2,10,"12,006","1,075",739,"1,076",881,"2,121",625,630,731,735,809,657,770,"1,157"
2020,2,20,"21,298","1,680","1,629","2,075","1,936","1,710","1,574","1,128","1,050","1,574","1,493","2,050","1,313","2,086"
2020,2,30,"21,256","1,662","1,578","2,222","1,891","1,854","1,527","1,089",964,"1,556","1,382","1,950","1,415","2,166"
2020,2,40,"24,969","1,999","1,640","2,476","2,162","3,295","1,581","1,328","1,451","1,648","1,611","1,810","1,568","2,400"
2020,2,50,"26,045","2,263","1,854","2,439","2,621","2,458","1,601","1,415","1,350","1,813","1,824","2,046","1,714","2,647"
2020,2,60,"20,768","1,722","1,530","2,028","2,171","1,505","1,222","1,195","1,148","1,488","1,486","1,534","1,491","2,248"
2020,2,70,"12,951","1,041",912,"1,240","1,220",803,780,797,984,904,911,981,947,"1,431"
2020,2,80,"4,238",307,306,382,407,254,235,234,261,313,349,311,379,500
2020,2,90,397,36,26,33,42,22,22,13,20,33,32,29,44,45
2020,2,100,59,10,1,11,5,8,1,3,1,4,1,2,8,4
2020,3,총,"152,747","12,530","10,704","14,777","13,960","15,679","9,580","8,237","8,510","10,628","10,474","11,824","10,310","15,534"
2020,3,0,"8,820",737,478,834,638,"1,667",396,415,537,554,582,450,639,893
2020,3,10,"11,934","1,073",742,"1,056",871,"2,092",620,630,738,740,803,663,760,"1,146"
2020,3,20,"21,355","1,669","1,631","2,083","1,947","1,718","1,603","1,131","1,049","1,578","1,486","2,057","1,314","2,089"
2020,3,30,"21,150","1,655","1,574","2,206","1,852","1,856","1,517","1,072",961,"1,562","1,388","1,939","1,420","2,148"
2020,3,40,"24,875","1,992","1,636","2,456","2,174","3,275","1,575","1,322","1,437","1,646","1,609","1,801","1,556","2,396"
2020,3,50,"26,037","2,270","1,850","2,438","2,615","2,471","1,604","1,422","1,347","1,800","1,812","2,042","1,733","2,633"
2020,3,60,"20,822","1,727","1,543","2,035","2,172","1,501","1,218","1,193","1,169","1,491","1,490","1,542","1,500","2,241"
2020,3,70,"12,981","1,042",912,"1,237","1,236",812,784,797,987,903,917,979,952,"1,423"
2020,3,80,"4,309",318,311,388,408,259,240,239,262,316,354,317,383,514
2020,3,90,404,37,26,33,42,20,22,13,22,34,32,32,45,46
2020,3,100,60,10,1,11,5,8,1,3,1,4,1,2,8,5
2020,4,총,"152,594","12,503","10,721","14,753","13,913","15,679","9,618","8,228","8,506","10,622","10,434","11,833","10,285","15,499"
2020,4,0,"8,763",732,471,834,633,"1,662",393,410,543,549,578,445,628,885
2020,4,10,"11,842","1,078",736,"1,041",859,"2,081",619,621,731,723,791,662,763,"1,137"
2020,4,20,"21,332","1,664","1,640","2,075","1,937","1,722","1,610","1,143","1,043","1,580","1,473","2,071","1,294","2,080"
2020,4,30,"21,110","1,637","1,570","2,201","1,833","1,869","1,527","1,074",971,"1,562","1,377","1,930","1,421","2,138"
2020,4,40,"24,817","1,979","1,642","2,446","2,170","3,264","1,583","1,316","1,420","1,653","1,610","1,796","1,554","2,384"
2020,4,50,"26,043","2,288","1,862","2,437","2,593","2,466","1,619","1,427","1,347","1,797","1,803","2,048","1,740","2,616"
2020,4,60,"20,877","1,724","1,549","2,045","2,185","1,509","1,210","1,189","1,179","1,493","1,490","1,538","1,501","2,265"
