년도,월,나이,논산시,강경읍,연무읍,성동면,광석면,노성면,상월면,부적면,연산면,벌곡면,양촌면,가야곡면,은진면,채운면,취암동,부창동
2020,1,총,"59,352","4,465","7,016","2,102","2,168","1,531","1,839","1,785","3,007","1,237","3,231","1,747","1,897","1,206","17,467","8,654"
2020,1,0,"3,732",192,459,50,69,61,38,45,101,36,215,26,53,36,"1,666",685
2020,1,10,"4,948",358,574,90,121,78,83,102,146,56,184,71,108,77,"1,953",947
2020,1,20,"5,256",340,587,142,146,94,105,122,183,52,205,97,188,63,"2,044",888
2020,1,30,"5,406",308,617,95,105,96,110,87,163,48,289,84,88,68,"2,343",905
2020,1,40,"7,419",499,768,141,176,143,197,141,255,92,322,137,158,102,"2,941","1,347"
2020,1,50,"9,754",781,"1,127",345,378,217,311,323,566,204,527,299,328,179,"2,686","1,483"
2020,1,60,"9,532",846,"1,151",451,447,317,398,372,642,288,536,392,376,247,"1,933","1,136"
2020,1,70,"7,224",649,907,426,382,257,305,305,501,233,508,337,297,225,"1,149",743
2020,1,80,"5,192",402,703,321,311,233,252,245,369,182,379,260,248,180,659,448
2020,1,90,825,81,115,39,32,33,34,40,74,41,62,41,49,26,88,70
2020,1,100,64,9,8,2,1,2,6,3,7,5,4,3,4,3,5,2
2020,2,총,"59,223","4,454","7,001","2,101","2,161","1,535","1,834","1,781","2,990","1,238","3,211","1,752","1,895","1,203","17,469","8,598"
2020,2,0,"3,693",191,459,50,70,61,38,41,97,35,202,25,52,34,"1,661",677
2020,2,10,"4,923",358,564,90,120,75,81,98,150,55,185,70,110,80,"1,939",948
2020,2,20,"5,219",333,585,140,142,96,106,122,178,55,202,98,186,58,"2,059",859
2020,2,30,"5,371",301,613,96,106,97,104,89,165,48,290,82,88,68,"2,328",896
2020,2,40,"7,422",500,768,144,174,143,202,142,255,91,314,136,155,101,"2,946","1,351"
2020,2,50,"9,686",783,"1,113",339,376,216,303,321,554,205,521,302,327,179,"2,688","1,459"
2020,2,60,"9,576",840,"1,160",453,446,319,402,373,650,289,545,397,377,250,"1,933","1,142"
